POA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
POA3000,4,0,0,3,0,4,0,3,0,300,0,311,3,4,0,0,0,0,0,15,3,30,0,52,0,8,0,0,0,0,0,40,0,17,0,65,0,0,0,0,0,0,0,33,0,9,0,37,0,13,0,3,0,8,0,34,3,23,0,78,0,11,0,0,0,16,3,19,0,20,0,74,0,62,0,9,0,31,4,45,0,37,0,177,3,51,3,23,0,58,0,39,3,32,0,211,11,55,0,52,0,91,10,24,4,48,0,295,35,37,0,62,5,88,3,15,0,27,0,280,32,10,0,61,0,80,0,5,4,7,0,204,88,13,0,58,0,55,0,3,0,15,0,235,185,9,4,61,6,76,3,13,0,36,0,394,185,3,3,57,9,13,0,4,0,15,0,295,134,6,3,23,3,9,0,0,0,3,0,181,69,3,0,12,4,29,0,7,0,6,0,136,185,15,6,53,6,26,0,9
POA3002,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0,6,0,0,0,3,0,0,0,6,0,15,0,11,0,4,0,9,0,4,0,10,0,36,0,7,0,4,0,3,0,0,3,10,0,27,3,3,0,0,0,3,0,3,0,4,0,14,4,3,0,5,0,6,0,4,0,6,0,31,39,7,0,19,0,16,0,0,0,8,0,97,50,0,0,15,3,3,0,4,0,7,0,77,44,3,0,17,0,4,0,5,0,6,0,84,31,3,0,3,0,9,0,3,0,4,0,69,93,13,3,32,8,16,0,21
POA3003,0,0,0,0,0,0,0,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,3,0,3,0,5,0,9,0,0,0,0,0,0,0,12,0,24,0,5,0,0,0,3,0,5,0,3,0,21,4,3,0,6,0,6,0,11,0,4,0,37,12,6,0,5,0,12,0,4,0,4,0,44,4,4,0,17,0,11,0,3,0,0,0,36,22,3,0,4,0,15,0,0,0,3,0,45,59,0,0,22,0,13,0,0,0,10,0,102,50,0,0,17,0,10,0,0,0,5,0,87,40,3,0,8,0,0,0,0,0,3,0,59,31,0,0,0,0,5,0,0,0,7,0,40,60,0,0,17,5,10,0,0
POA3004,0,0,0,0,0,3,0,0,0,16,0,22,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,14,0,3,0,0,0,0,0,4,0,3,0,8,0,3,0,3,0,9,0,7,0,15,0,40,0,9,0,0,0,8,0,8,5,16,0,51,8,4,0,5,0,12,0,3,0,25,0,60,7,4,0,17,0,17,3,9,0,14,0,72,10,3,0,10,0,17,0,3,0,12,0,62,24,4,0,15,0,15,0,6,0,13,0,76,119,4,0,32,9,34,0,4,3,18,0,231,92,10,3,36,4,16,0,3,4,15,0,183,76,0,0,21,0,5,0,0,0,14,0,123,69,0,0,4,3,28,0,0,0,7,0,120,147,11,3,39,6,31,0,22
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,3,0,0,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0
POA3006,0,0,0,0,0,3,0,0,0,80,0,85,0,0,0,0,0,0,0,3,3,16,0,28,0,0,0,0,0,0,0,9,0,8,0,10,0,0,0,0,0,3,0,6,0,3,0,11,0,3,0,0,0,0,0,12,0,12,0,25,0,3,0,0,0,0,0,11,0,13,0,29,4,10,0,0,0,7,3,14,0,25,0,60,0,6,0,10,0,19,0,13,3,19,0,75,7,24,0,22,0,29,0,14,0,19,0,116,26,21,0,33,3,38,0,7,0,22,0,145,22,4,0,40,3,39,0,8,0,5,0,124,57,0,0,35,5,36,0,10,0,14,0,164,204,10,3,58,7,80,0,14,0,24,0,399,187,6,3,52,5,18,0,0,0,14,0,294,162,10,3,21,5,5,0,4,3,0,0,203,111,6,3,10,4,56,0,5,3,6,0,201,279,9,9,65,6,54,0,5
POA3008,0,0,0,0,0,0,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,4,3,15,0,15,0,3,0,0,0,0,0,12,0,4,0,18,0,4,0,0,0,10,0,5,0,19,0,34,0,9,0,11,0,12,3,10,0,8,0,50,6,11,0,12,0,13,0,9,3,8,0,66,10,0,0,17,0,23,3,3,0,16,0,81,12,4,0,9,0,34,0,6,0,4,0,71,28,10,0,16,0,23,0,5,0,12,0,96,94,9,0,38,5,61,0,8,5,12,0,218,97,3,3,28,5,4,0,0,0,10,0,150,74,0,3,14,5,3,0,0,0,3,0,110,62,0,0,6,3,39,0,0,0,10,0,128,166,11,3,33,6,22,0,4
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3011,0,0,0,0,0,0,0,0,0,36,0,37,0,0,0,0,0,0,0,3,0,10,0,10,0,3,0,0,0,0,0,4,3,8,0,24,0,0,0,0,0,0,0,7,0,4,0,20,0,5,3,0,0,3,0,7,0,48,0,62,0,3,0,0,0,5,0,21,0,14,0,47,0,13,0,0,0,13,0,22,0,75,3,127,0,19,0,15,0,27,4,18,0,13,0,97,4,35,0,36,0,29,0,12,3,27,0,156,9,22,0,51,3,28,0,4,3,14,0,135,36,11,0,44,4,19,0,9,0,3,0,124,49,12,0,53,0,23,0,3,0,6,0,148,179,8,3,55,7,34,3,6,0,13,0,305,158,9,3,38,4,8,0,0,3,6,0,225,102,0,3,32,4,3,0,5,0,0,0,152,102,0,0,13,3,9,0,0,0,3,0,125,156,4,3,17,4,9,0,0
POA3012,0,0,0,0,0,0,0,0,3,49,0,51,0,0,0,0,0,0,0,3,0,14,0,18,0,0,0,0,0,0,0,3,0,13,0,21,0,0,0,0,0,3,0,6,0,5,0,8,0,8,0,0,0,3,0,6,0,87,3,104,0,9,0,0,0,3,0,8,0,14,0,44,3,19,0,3,0,29,0,26,0,146,0,227,3,15,0,3,7,30,0,11,0,29,0,103,6,20,3,28,0,40,4,10,3,26,0,144,30,28,0,46,0,32,0,7,0,14,3,162,41,11,5,47,5,25,3,0,0,5,4,148,61,6,3,45,4,22,4,5,0,5,0,144,185,11,4,62,11,27,0,0,0,6,0,319,163,0,3,58,4,16,0,0,0,3,0,253,123,0,0,21,7,8,0,0,0,0,0,156,80,0,0,5,4,9,3,0,0,0,0,115,119,3,0,25,4,9,0,3
