POA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA3201,4060,2512,3069,2934,2771,2160,1329,693,408,19932,0,0,0,0,4,0,0,0,3,20,0,0,3,0,5,4,3,0,0,18,55,84,86,57,69,32,35,17,12,452,0,0,0,0,0,3,9,0,0,14,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,90,91,61,74,46,46,14,17,495,58,86,91,67,79,48,50,17,16,507,4118,2604,3164,2996,2845,2201,1376,715,419,20444
POA3202,651,330,278,483,448,268,189,104,76,2820,0,0,0,0,0,0,0,0,0,3,0,0,3,4,8,3,0,0,0,18,5,6,7,12,13,25,40,67,51,227,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,14,16,44,38,66,57,269,7,5,9,16,16,44,38,66,53,272,664,341,288,496,466,303,230,173,131,3092
POA3204,5928,3937,3697,4214,4695,3288,1966,1140,672,29530,0,0,3,0,3,0,7,5,8,24,0,4,0,3,3,4,3,0,0,15,54,75,103,60,52,71,37,34,6,492,0,3,4,0,0,0,4,0,0,11,0,0,0,0,0,3,0,0,0,4,0,0,5,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,53,82,115,70,56,83,43,38,12,546,55,86,111,65,60,85,47,41,17,572,5983,4020,3810,4280,4757,3369,2015,1183,688,30100
POA3205,1222,1010,2522,1800,1351,1044,739,407,226,10317,0,0,3,3,0,3,0,0,0,10,3,0,3,5,7,7,3,0,0,35,22,66,74,48,45,44,25,12,11,345,4,4,3,3,8,3,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,69,89,61,65,60,31,13,14,424,26,72,91,59,65,66,31,13,14,433,1250,1081,2612,1866,1408,1103,771,418,236,10757
POA3206,1736,738,1196,1545,1578,1170,1025,525,190,9699,0,3,0,0,0,0,0,0,0,7,0,0,0,3,5,3,0,4,0,20,35,31,40,55,40,36,37,15,0,284,0,0,3,0,0,4,4,0,0,17,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,4,4,0,0,21,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,28,48,60,61,50,50,23,0,349,34,34,53,60,61,53,50,19,0,357,1774,768,1241,1598,1638,1215,1074,546,195,10057
POA3207,2148,1054,2899,2947,2316,1846,1342,623,178,15348,0,0,5,0,0,0,0,0,0,9,3,0,3,8,3,3,5,0,0,23,49,42,79,57,45,45,35,18,4,372,0,3,3,4,3,9,5,6,0,26,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,8,0,4,0,0,3,3,0,4,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,52,83,71,54,65,49,25,4,459,47,48,92,71,54,65,51,25,4,466,2198,1101,2993,3016,2374,1909,1397,641,183,15817
POA3211,238,174,107,157,228,188,98,47,8,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,3,3,0,0,0,0,36,7,4,7,3,3,0,0,0,0,31,247,181,114,165,234,188,99,48,8,1283
POA3212,3224,1990,2307,2471,2238,1703,1189,544,248,15911,3,3,0,0,0,3,0,0,0,7,0,0,0,0,3,0,0,0,0,3,42,59,54,41,23,17,23,13,5,270,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,66,59,37,24,23,22,13,5,287,44,68,59,37,26,21,22,13,5,292,3264,2058,2361,2513,2264,1725,1214,555,251,16202
POA3213,817,579,343,502,659,501,285,152,31,3871,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,19,9,10,13,3,5,4,0,79,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,9,12,11,5,6,4,0,86,10,20,12,12,17,9,6,4,0,91,830,604,356,515,674,513,293,152,30,3961
POA3214,4481,3657,2921,2614,2928,2783,2044,1143,373,22937,10,9,10,10,0,6,0,3,0,51,5,19,3,4,3,3,0,4,0,34,126,196,116,86,79,65,20,19,8,719,0,8,0,3,3,3,3,0,0,20,0,3,0,3,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,223,122,95,90,74,27,22,8,789,143,234,132,103,92,73,30,23,8,839,4624,3892,3052,2720,3016,2862,2071,1166,380,23781
