POA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA3000,..,67,1300,540,225,199,141,43,8,2531,..,492,948,242,96,65,26,3,3,1885,..,0,3,9,24,18,3,3,0,72,504,..,..,..,..,..,..,..,..,504,..,153,..,..,..,..,..,..,..,153,..,44,57,15,4,0,0,0,0,119,..,673,237,24,5,4,0,0,0,947,..,249,223,22,3,0,0,0,0,497,..,3238,1923,206,43,21,12,3,0,5441,..,1064,1041,470,245,151,103,24,12,3111,4,86,117,34,20,13,4,3,0,279,514,6064,5858,1574,671,465,297,80,33,15548,..,119,1423,443,207,199,103,27,3,2530,..,621,921,141,64,20,10,0,0,1775,..,8,37,80,152,54,9,7,3,351,506,..,..,..,..,..,..,..,..,506,..,187,..,..,..,..,..,..,..,187,..,49,49,19,3,4,0,0,0,122,..,738,287,31,22,24,9,0,0,1110,..,254,268,23,3,0,0,0,0,555
POA3002,..,3,86,97,96,160,150,47,11,646,..,13,166,82,36,19,11,0,0,339,..,0,0,3,8,3,0,0,0,13,128,..,..,..,..,..,..,..,..,128,..,36,..,..,..,..,..,..,..,36,..,12,43,3,3,3,0,0,0,68,..,22,9,0,0,3,0,0,0,40,..,5,14,3,0,0,0,0,0,22,..,38,127,38,15,10,3,0,0,224,..,13,80,79,61,50,38,5,7,336,0,10,11,3,8,3,10,0,0,54,128,167,545,312,219,251,215,62,24,1913,..,4,121,89,121,169,134,23,4,664,..,20,179,53,25,19,0,0,0,302,..,0,0,8,14,9,4,0,3,48,125,..,..,..,..,..,..,..,..,125,..,37,..,..,..,..,..,..,..,37,..,23,26,0,0,3,0,0,0,51,..,8,11,5,0,0,6,3,0,35,..,8,14,4,0,0,0,0,0,32
POA3003,..,3,171,145,95,57,40,15,3,520,..,42,225,71,47,20,5,0,0,416,..,0,0,5,3,3,0,0,0,15,178,..,..,..,..,..,..,..,..,178,..,39,..,..,..,..,..,..,..,39,..,21,12,5,5,7,0,0,0,49,..,32,37,0,4,0,0,0,0,76,..,20,39,3,3,0,0,0,0,67,..,235,344,47,17,3,5,0,0,651,..,50,115,52,37,18,11,3,0,291,3,11,10,3,3,0,3,0,0,37,180,441,963,332,213,111,69,19,5,2346,..,12,200,139,85,43,35,12,0,526,..,63,202,56,30,14,0,0,0,364,..,0,6,15,21,10,5,3,3,63,184,..,..,..,..,..,..,..,..,184,..,52,..,..,..,..,..,..,..,52,..,7,5,3,4,0,0,0,0,24,..,39,38,7,3,6,0,3,0,101,..,25,46,4,4,0,0,0,0,72
POA3004,..,3,283,289,130,181,217,89,32,1229,..,56,326,124,78,45,46,3,0,671,..,0,0,3,6,11,3,0,4,34,240,..,..,..,..,..,..,..,..,240,..,72,..,..,..,..,..,..,..,72,..,22,29,4,4,3,0,0,0,62,..,42,43,7,3,4,3,0,0,94,..,15,26,3,0,3,0,0,0,49,..,145,227,50,10,11,8,0,0,453,..,61,219,191,123,108,76,29,24,829,0,5,11,11,4,8,3,0,0,50,240,425,1162,682,365,371,356,126,57,3791,..,15,374,226,159,203,197,55,15,1239,..,77,326,87,44,36,23,3,0,593,..,0,12,34,64,38,3,3,0,156,252,..,..,..,..,..,..,..,..,252,..,83,..,..,..,..,..,..,..,83,..,28,33,9,3,3,0,0,0,76,..,54,37,9,8,10,8,6,0,135,..,21,28,0,0,0,0,0,0,47
POA3005,..,0,21,23,7,3,8,0,0,65,..,0,8,3,7,7,0,0,0,22,..,0,0,0,0,0,0,0,0,0,17,..,..,..,..,..,..,..,..,17,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,4,0,0,0,0,0,0,0,6,..,5,6,0,0,0,0,0,0,7,..,10,9,3,0,0,0,0,0,27,..,0,11,3,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,17,23,52,35,19,9,6,0,0,168,..,0,29,16,12,5,3,3,0,62,..,3,3,3,3,0,0,0,0,11,..,0,0,3,5,3,0,0,0,9,20,..,..,..,..,..,..,..,..,20,..,4,..,..,..,..,..,..,..,4,..,4,0,0,0,0,0,0,0,4,..,3,3,0,0,0,0,0,0,5,..,5,3,0,0,0,0,0,0,11
POA3006,..,21,743,507,233,264,186,74,9,2041,..,159,726,215,75,42,20,0,3,1245,..,0,0,4,30,19,3,0,0,52,366,..,..,..,..,..,..,..,..,366,..,100,..,..,..,..,..,..,..,100,..,38,49,12,0,0,0,0,0,102,..,169,137,12,7,3,0,0,0,330,..,82,121,8,5,0,0,0,0,218,..,718,893,119,33,9,8,3,0,1788,..,230,549,340,201,101,54,24,7,1495,3,44,55,18,13,11,3,0,3,154,370,1561,3275,1250,594,445,279,99,22,7893,..,48,924,393,239,257,151,39,5,2063,..,216,706,148,34,27,14,0,0,1148,..,6,25,60,99,56,17,5,6,266,396,..,..,..,..,..,..,..,..,396,..,136,..,..,..,..,..,..,..,136,..,38,63,11,3,3,0,0,0,120,..,210,127,30,16,12,5,3,3,407,..,77,115,12,0,3,0,0,0,208
POA3008,..,14,574,333,197,192,126,32,3,1468,..,85,310,97,69,45,21,4,0,632,..,0,0,8,12,7,3,0,0,35,326,..,..,..,..,..,..,..,..,326,..,63,..,..,..,..,..,..,..,63,..,45,35,12,0,0,0,0,0,97,..,78,50,9,5,3,3,0,0,151,..,52,64,7,0,0,0,0,0,124,..,352,517,55,19,9,12,0,0,963,..,105,239,174,117,77,34,7,3,752,3,9,35,10,9,4,0,0,0,73,327,812,1825,701,430,339,194,45,6,4681,..,41,650,272,199,179,100,15,0,1464,..,107,305,74,55,34,6,0,0,568,..,0,26,34,63,34,6,4,0,163,324,..,..,..,..,..,..,..,..,324,..,82,..,..,..,..,..,..,..,82,..,32,53,3,0,0,0,0,0,87,..,78,61,6,4,7,3,4,0,173,..,59,46,7,0,0,0,0,0,115
POA3010,..,0,0,3,4,7,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,23,3,0,0,0,0,0,0,20,0,21,3,3,3,7,0,0,0,36,..,0,0,0,6,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
POA3011,..,33,679,810,415,340,184,128,41,2625,..,86,565,326,170,85,22,0,0,1268,..,3,5,19,29,39,16,7,6,117,1253,..,..,..,..,..,..,..,..,1253,..,293,..,..,..,..,..,..,..,293,..,123,154,60,63,21,3,0,0,435,..,117,140,29,19,21,14,4,5,354,..,111,148,30,6,4,5,0,0,312,..,528,802,192,107,58,20,13,3,1715,..,155,304,238,207,205,127,65,19,1323,16,46,73,30,31,12,14,3,3,227,1269,1501,2875,1730,1052,789,403,221,77,9925,..,80,891,741,379,291,165,88,17,2646,..,121,584,274,145,49,4,0,0,1187,..,16,59,123,131,107,50,52,17,553,1166,..,..,..,..,..,..,..,..,1166,..,254,..,..,..,..,..,..,..,254,..,85,126,44,34,20,0,0,0,309,..,95,113,18,20,42,29,27,18,356,..,79,100,10,9,3,0,0,0,201
POA3012,..,26,885,1166,681,478,318,208,70,3834,..,64,511,337,195,88,20,5,0,1224,..,3,13,30,58,42,15,13,10,183,2137,..,..,..,..,..,..,..,..,2137,..,506,..,..,..,..,..,..,..,506,..,239,282,90,72,32,12,0,0,724,..,138,145,49,28,37,15,10,7,433,..,92,166,37,27,20,7,3,0,347,..,422,623,139,87,56,27,10,3,1365,..,51,268,242,223,237,131,83,47,1279,23,38,81,42,39,24,15,7,7,267,2160,1579,2969,2132,1391,1016,550,340,142,12288,..,81,1142,1105,635,430,280,153,33,3868,..,93,517,324,174,73,15,0,0,1199,..,15,90,230,254,134,63,79,42,914,1999,..,..,..,..,..,..,..,..,1999,..,485,..,..,..,..,..,..,..,485,..,183,182,77,51,34,3,0,0,528,..,107,97,29,35,66,37,31,19,428,..,82,76,19,7,4,0,0,0,203
