POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3000,55,384,1246,293,122,73,42,12,0,2232,26,153,988,251,105,55,30,11,0,1615,25,57,788,253,101,65,23,7,3,1321,5,50,444,223,86,45,21,7,3,885,37,62,630,413,177,110,35,14,5,1476,18,62,180,243,195,156,48,8,13,925,361,1276,1678,600,308,259,150,34,12,4688,3559,11897,13736,3570,1754,1262,709,198,83,36762
POA3002,0,31,166,47,40,39,40,6,5,381,0,20,184,61,42,47,20,8,3,386,0,9,169,68,38,34,29,8,7,374,0,0,113,61,24,38,28,5,3,275,0,4,164,134,68,90,48,16,11,528,0,6,68,108,140,149,105,26,7,611,14,38,182,93,79,72,77,23,24,604,91,343,1407,719,571,664,546,181,146,4667
POA3003,0,51,263,69,38,14,22,3,0,460,0,28,181,62,32,11,12,0,0,327,0,15,178,55,28,19,14,0,0,316,0,4,94,59,40,6,3,0,0,207,0,0,127,112,70,33,9,0,0,348,0,4,44,87,55,23,7,4,0,224,27,123,358,182,91,42,26,8,4,865,192,913,2189,837,486,264,160,52,13,5121
POA3004,0,72,380,119,74,57,68,18,12,800,0,37,352,106,56,67,37,18,7,698,3,13,282,152,75,64,42,14,6,648,0,11,177,114,63,65,35,5,12,487,3,3,309,253,139,105,70,36,12,935,0,0,99,180,153,171,121,40,21,789,49,89,307,203,163,130,122,66,112,1232,261,818,2795,1507,968,949,861,340,243,8746
POA3005,0,0,14,3,3,3,0,0,0,28,0,0,10,9,7,0,0,0,0,26,0,0,19,13,5,0,0,0,0,34,0,0,7,10,0,3,3,0,0,24,0,0,15,16,6,3,5,0,0,46,0,0,5,8,12,3,3,0,0,38,4,9,54,23,16,12,12,3,0,132,20,58,179,90,67,38,26,5,0,479
POA3006,17,244,927,207,103,64,57,4,4,1625,3,113,758,215,98,64,19,14,0,1285,3,41,620,222,107,73,27,9,7,1101,0,26,390,242,107,49,33,14,3,856,4,24,760,455,151,134,40,6,0,1582,5,8,239,337,262,193,89,16,0,1145,123,443,980,390,220,157,111,20,12,2451,815,3215,7599,2727,1428,1146,710,219,56,17902
POA3008,5,84,451,99,59,51,39,4,0,794,3,51,428,109,53,55,36,3,0,736,0,10,353,140,67,41,18,3,0,640,3,8,229,106,55,33,11,3,0,457,0,4,323,253,147,88,36,4,0,861,0,5,114,165,185,114,44,8,3,636,65,171,474,186,146,100,76,10,3,1234,426,1512,3976,1445,1005,789,425,96,18,9695
POA3010,0,3,4,0,3,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,0,13,0,0,3,0,0,0,0,0,0,11,0,3,8,3,7,4,0,0,0,26,0,3,0,0,4,8,0,0,0,11,32,36,4,0,0,0,0,0,0,78,752,662,111,14,17,21,13,0,0,1582
POA3011,5,111,746,362,186,137,33,11,3,1608,0,35,538,356,174,91,16,5,0,1217,0,15,371,300,169,88,11,3,0,960,0,8,243,209,128,73,7,0,0,661,0,0,349,428,209,98,9,3,3,1094,0,0,96,186,85,35,5,0,0,407,86,246,525,338,230,185,149,162,158,2076,831,2285,6025,3592,2272,1734,966,681,395,18782
POA3012,3,119,819,455,306,170,34,18,7,1923,0,41,592,397,242,117,16,5,0,1410,0,10,427,427,211,103,8,3,4,1186,0,7,252,296,169,76,9,0,0,813,0,12,318,513,244,75,8,0,0,1171,0,4,82,248,105,38,4,0,5,483,102,181,538,378,262,191,135,128,102,2017,1065,2116,6128,4600,3072,2221,1261,902,465,21843
POA3013,0,54,322,222,210,144,32,3,0,985,0,14,301,250,170,89,16,3,0,842,0,10,251,322,184,97,13,3,3,877,0,3,184,236,169,74,11,0,0,671,0,0,279,514,289,89,13,0,0,1182,0,3,105,355,187,47,13,3,0,712,44,46,173,199,152,87,59,65,65,883,604,793,2699,2999,2148,1297,714,573,317,12141
POA3015,3,81,367,274,262,164,31,5,0,1196,0,25,337,286,189,138,20,3,0,1011,0,7,241,343,232,134,25,3,4,987,0,3,162,293,197,102,15,0,0,766,0,3,290,585,371,160,19,4,3,1436,0,3,85,402,255,75,15,5,0,839,54,62,188,173,145,136,77,81,69,985,762,891,2655,3384,2521,1797,939,560,316,13817
POA3016,3,47,202,143,217,213,99,19,12,959,0,22,155,162,231,144,56,4,0,783,0,7,124,158,226,156,40,14,6,727,0,4,76,145,184,148,37,3,0,599,0,4,116,305,391,251,58,12,3,1138,0,3,50,344,492,186,50,9,9,1138,81,63,114,140,188,156,130,105,47,1028,1074,839,1403,2041,2747,2202,1351,625,338,12617
POA3018,0,57,254,209,188,149,67,35,9,968,0,9,185,168,161,100,32,17,0,669,0,3,139,183,142,104,24,3,4,605,0,3,85,148,116,68,16,4,0,437,0,4,118,261,209,106,24,4,0,721,0,0,33,141,94,40,16,3,0,324,53,50,112,130,141,121,123,98,63,889,537,591,1664,1975,1800,1547,1272,831,373,10589
