POA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
POA3000,0,0,0,0,0,0,0,0,0,0,0,0,20,57,3,3,0,0,0,84,0,0,110,281,0,4,0,0,0,399,0,0,131,239,3,0,0,0,0,377,0,0,0,8,3,0,0,0,0,11,0,0,3,29,3,0,0,0,0,38,5,6,21,71,19,12,0,0,0,135,0,5,90,76,3,4,3,0,0,181,0,0,0,4,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,16,11,322,580,27,17,12,9,0,987,51,33,720,1157,150,144,79,24,5,2361,363,242,6932,8876,864,658,397,110,43,18480,0,0,0,0,0,0,0,0,0,0,219,82,491,924,268,217,126,34,16,2384,0,0,9,10,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,5,0,0,18,10,0,0,0,0,0,31,0,0,22,41,3,4,0,0,0,72,0,0,3,25,0,0,0,0,0,23
POA3002,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,6,0,0,0,9,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,13,4,0,0,0,0,23,0,0,0,4,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,46,7,7,5,5,0,73,3,4,25,115,40,30,31,7,3,265,75,64,202,1007,280,314,276,85,49,2348,0,0,0,0,0,0,0,0,0,0,62,67,155,623,172,241,159,67,65,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
POA3003,0,0,0,0,0,0,0,0,0,3,0,0,3,8,4,0,0,0,0,13,0,0,5,19,0,0,0,0,0,21,0,3,6,23,0,0,0,0,0,35,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,15,0,0,0,0,0,20,0,0,3,20,4,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,38,109,10,3,5,0,0,171,5,10,50,168,33,24,14,4,0,308,92,103,545,1702,286,150,84,27,6,2989,0,0,0,0,0,0,0,0,0,0,70,84,166,452,107,60,35,13,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6
POA3004,0,0,0,3,0,3,0,0,0,3,0,0,0,23,0,3,3,0,0,25,0,0,3,12,0,0,3,0,0,18,0,0,3,14,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,6,4,12,4,4,7,0,0,41,0,0,0,17,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,18,147,23,9,17,10,11,243,16,19,50,251,76,69,68,28,29,599,139,142,478,2144,465,455,447,172,94,4528,0,0,0,4,0,0,0,0,0,4,99,71,215,703,218,258,212,102,53,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,15,3,0,3,0,0,24,0,0,0,4,0,0,0,0,0,9
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,9,4,0,6,46,8,4,8,3,0,87,22,4,33,147,31,20,15,3,0,275,0,0,0,0,0,0,0,0,0,0,8,10,6,27,18,7,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3006,0,0,0,5,0,0,0,0,0,7,0,0,13,31,3,4,0,0,0,59,0,0,15,43,0,4,0,0,0,57,0,0,21,39,3,0,0,0,0,56,0,0,0,3,3,0,0,0,0,7,0,0,0,18,0,0,0,0,0,16,0,3,11,44,19,7,4,0,0,90,0,0,12,35,4,6,3,0,0,55,0,0,0,3,3,0,0,0,0,8,0,0,0,3,3,0,0,0,0,13,10,7,138,424,29,16,14,10,0,650,38,28,242,711,119,73,50,9,3,1277,281,159,1847,5378,749,553,357,121,29,9465,0,0,0,10,0,0,0,0,0,10,202,81,440,1128,233,251,152,45,10,2540,0,0,3,9,0,0,0,0,0,13,0,0,0,10,0,0,0,0,0,13,0,0,0,3,3,0,0,0,0,3,4,0,10,32,0,3,0,0,0,54,0,0,0,20,0,0,0,0,0,20
POA3008,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,3,0,0,0,13,3,0,10,13,0,0,0,0,0,28,4,0,7,29,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,13,0,5,4,15,9,7,0,0,0,35,0,0,14,19,5,5,0,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,6,12,8,70,179,16,13,3,3,0,301,36,15,85,366,73,48,44,9,0,685,262,112,895,2889,513,396,241,54,9,5379,0,0,0,0,0,0,0,0,0,0,128,49,173,439,194,186,81,18,4,1273,0,0,0,6,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,6,0,0,4,0,0,0,0,0,0,4,3,0,0,4,0,3,0,0,0,15,0,0,0,5,0,0,0,0,0,7
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,22,0,0,36,3,0,0,0,0,0,39,0,0,622,73,6,12,10,0,0,724,0,0,0,0,0,0,0,0,0,0,3,0,525,21,5,3,3,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
POA3011,0,0,0,3,3,4,0,3,0,17,0,0,16,34,0,0,0,0,0,57,0,0,6,13,0,0,0,0,0,17,0,3,6,19,5,0,0,0,0,34,0,0,0,0,8,16,24,15,5,59,0,0,0,12,4,5,0,0,0,20,3,0,8,26,7,3,0,0,0,45,3,6,120,257,134,177,69,28,19,813,0,3,0,6,0,0,0,0,0,9,0,0,0,9,3,0,0,0,0,6,3,9,77,257,76,49,24,24,3,518,61,55,160,415,115,105,72,52,33,1061,692,689,1662,5023,1177,923,485,305,139,11093,0,0,0,0,0,0,0,0,0,0,545,503,764,2200,548,317,130,79,84,5162,0,4,14,54,4,0,0,0,0,77,0,0,0,9,0,5,5,3,0,27,0,0,0,3,4,3,0,0,0,18,0,3,5,18,0,0,0,0,0,29,0,0,0,3,0,3,0,3,3,12
POA3012,0,0,0,3,3,7,3,5,3,28,0,0,14,46,5,3,7,0,0,77,0,0,0,13,0,0,0,0,0,19,0,3,6,16,6,0,0,0,0,35,0,0,0,6,10,10,20,6,3,63,0,0,0,7,8,4,0,0,0,26,3,6,7,35,3,0,3,0,0,59,6,15,87,377,234,215,79,39,18,1071,0,0,0,0,0,0,3,0,0,3,0,0,0,13,0,3,0,0,0,16,4,18,83,342,123,66,39,25,8,715,61,62,92,376,106,77,48,29,23,875,1029,1252,1681,5559,1535,1096,593,388,180,13315,0,0,0,3,0,0,0,0,0,3,842,1019,962,2528,765,437,179,127,132,6982,3,7,14,75,0,0,0,0,0,103,0,0,3,12,4,7,10,0,0,39,0,3,0,5,4,4,0,0,0,20,0,0,4,16,3,0,0,0,0,27,0,0,0,5,6,6,6,0,0,19
