POA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3000,1852,5342,1563,2373,1586,1435,198,1406,284,16052
POA3002,596,1461,113,217,353,161,21,61,46,3025
POA3003,417,1197,269,307,367,221,53,162,59,3038
POA3004,1100,2149,321,398,690,371,50,155,102,5334
POA3005,64,91,7,27,31,22,0,7,4,258
POA3006,1903,4113,800,1102,1292,841,116,424,212,10800
POA3008,1077,2300,360,412,652,444,73,203,112,5641
POA3010,35,181,12,181,64,78,4,140,0,698
POA3011,1350,3481,1066,1213,1326,991,491,995,214,11141
POA3012,1670,3571,1384,1410,1741,1124,779,1263,248,13180
POA3013,1443,2769,770,690,1062,630,245,431,103,8134
POA3015,1715,2947,984,759,1288,681,347,453,153,9319
POA3016,1586,2485,652,631,1026,658,150,294,137,7619
POA3018,856,1551,775,578,944,505,346,367,98,6025
POA3019,262,558,451,405,363,346,391,610,104,3489
POA3020,1237,2607,2349,1929,2138,1599,2115,2970,502,17452
POA3021,1109,2078,2907,2242,2126,1808,2743,3861,546,19421
POA3022,94,216,167,157,154,86,156,186,39,1253
POA3023,2786,4676,3553,2887,4103,2712,3115,3219,604,27657
POA3024,935,1592,1440,1327,1714,1078,1234,1098,167,10588
POA3025,577,935,694,442,663,455,368,407,91,4640
POA3026,0,0,0,0,0,0,17,7,0,29
POA3027,430,1016,325,273,495,305,201,213,69,3339
POA3028,1178,2269,1948,1450,2015,1227,1474,1618,269,13439
POA3029,3666,6919,5328,5071,6351,4029,5425,4266,823,41886
POA3030,5816,9387,5845,4630,7030,4469,3994,4047,853,46067
POA3031,1356,3947,616,942,1224,695,235,471,143,9626
POA3032,2355,4985,1308,1627,2131,1433,532,982,266,15613
POA3033,847,1489,853,598,1098,686,371,425,122,6493
POA3034,589,1069,639,402,793,520,283,391,117,4798
POA3036,476,651,359,233,482,336,130,177,56,2890
POA3037,2467,3598,3434,2396,3888,2753,2396,2613,454,24008
POA3038,1582,2282,1941,1236,2269,1615,1069,1207,227,13425
POA3039,1321,2505,683,675,1119,672,182,335,105,7599
POA3040,2221,4204,1272,1296,2151,1371,366,711,238,13824
POA3041,999,1768,694,606,1031,654,178,321,94,6338
POA3042,1013,1611,1041,748,1299,787,409,515,154,7578
POA3043,794,1253,1128,874,1372,812,719,795,156,7899
POA3044,1705,3666,1631,1251,2119,1224,511,841,209,13153
POA3045,10,3,4,4,4,3,3,4,0,30
POA3046,1422,3023,2255,1589,2051,1303,1049,1611,255,14560
POA3047,328,582,909,887,539,504,840,964,155,5709
POA3048,313,522,776,713,593,558,746,761,149,5126
POA3049,459,726,700,483,837,500,389,412,93,4596
POA3050,5,9,3,3,4,0,0,0,0,24
POA3051,841,2875,439,772,766,575,132,339,111,6856
POA3052,312,1275,150,304,319,209,34,119,50,2779
POA3053,713,2583,420,836,705,550,120,348,86,6359
POA3054,728,2372,260,462,586,380,73,118,77,5039
POA3055,933,2696,786,795,1031,597,222,446,135,7648
POA3056,1926,5857,1243,1509,1692,1055,285,682,218,14465
POA3057,995,2902,579,689,845,526,117,288,95,7036
POA3058,2126,5447,1827,1614,2214,1459,651,1148,275,16767
POA3059,1091,1318,1160,645,1329,976,524,637,178,7857
POA3060,422,944,742,603,566,472,464,602,116,4937
POA3061,83,130,275,196,142,141,189,237,47,1438
POA3062,0,0,0,0,0,0,0,0,0,0
POA3063,65,46,41,18,28,38,15,18,9,280
POA3064,2698,4246,4599,3799,4316,3117,3878,3728,600,30981
POA3065,898,2411,324,526,496,374,83,202,104,5427
POA3066,749,1990,375,455,479,320,73,188,85,4711
POA3067,860,2179,396,472,537,378,78,182,92,5174
POA3068,1759,4939,724,909,1156,621,118,258,190,10671
POA3070,2099,5677,1049,1242,1545,961,229,479,207,13495
POA3071,1368,3611,958,1010,1213,764,268,556,129,9887
POA3072,1845,4695,1785,1729,2059,1482,638,1237,252,15714
POA3073,2064,4589,3097,2342,3049,2062,1376,2416,414,21414
POA3074,512,869,1131,827,889,759,971,1244,176,7369
POA3075,620,1013,1359,849,1043,878,958,1283,189,8194
POA3076,1174,2052,2063,1728,2077,1647,1589,1762,280,14358
POA3078,1037,2502,501,576,757,488,137,280,97,6370
POA3079,1415,3232,607,667,1107,692,124,305,105,8266
POA3081,501,1487,744,701,677,442,348,552,118,5567
POA3082,1400,2507,2223,1615,2285,1735,1153,1437,239,14594
POA3083,1488,2913,1760,1602,2058,1626,771,1373,255,13828
POA3084,1803,4411,1108,1014,1759,1066,256,569,161,12150
POA3085,987,1992,910,681,1025,600,203,322,90,6803
POA3086,8,30,9,94,29,107,9,43,0,334
POA3087,503,1059,637,480,675,421,203,334,66,4373
POA3088,1772,3630,1914,1415,2214,1293,428,800,186,13651
POA3089,882,1450,1053,731,1055,678,200,393,88,6536
POA3090,223,269,183,112,225,152,44,70,17,1301
POA3091,147,140,159,71,119,92,42,41,17,829
POA3093,340,535,222,161,309,164,37,82,28,1888
POA3094,641,1328,658,515,712,355,108,214,63,4593
POA3095,2415,4264,1805,1484,2201,1336,345,728,154,14744
POA3096,128,216,180,131,136,89,35,61,13,998
POA3097,151,179,102,64,96,41,13,31,17,688
POA3099,344,645,470,294,308,185,101,184,36,2567
POA3101,2369,4941,678,968,1481,1053,135,358,211,12190
POA3102,622,1209,197,283,410,304,48,113,40,3223
POA3103,1257,2529,421,544,905,697,99,247,139,6843
POA3104,1680,3270,637,744,1212,1051,157,397,182,9322
POA3105,768,1318,507,442,693,578,140,297,93,4836
POA3106,1467,2192,704,599,1126,871,168,355,119,7602
POA3107,984,1758,611,508,812,652,144,345,99,5922
POA3108,1373,2588,938,831,1231,1037,249,577,183,9013
POA3109,1860,3630,1314,1177,1882,1416,357,737,205,12588
POA3111,982,1676,548,484,854,647,143,295,87,5708
POA3113,845,1296,528,447,544,372,80,184,68,4361
POA3114,408,532,206,158,269,207,36,104,38,1957
POA3115,382,430,322,193,326,233,65,120,33,2095
POA3116,636,827,915,572,810,581,203,433,56,5040
POA3121,3368,7407,1381,1565,2205,1530,300,714,292,18752
POA3122,2117,5302,740,1179,1593,1121,146,516,196,12912
POA3123,1360,3157,445,638,941,651,100,237,115,7645
POA3124,2000,4171,563,873,1327,956,113,307,154,10461
POA3125,872,1823,509,699,796,703,159,454,107,6120
POA3126,805,1476,173,275,451,350,29,86,60,3704
POA3127,1781,3700,552,750,1223,753,116,280,116,9282
POA3128,1170,2745,969,951,1125,914,198,614,171,8852
POA3129,1064,2744,805,783,1119,780,215,456,133,8098
POA3130,2234,4905,1497,1324,2038,1355,408,849,202,14810
POA3131,1348,3070,1186,997,1486,1019,375,745,152,10375
POA3132,1060,2682,888,808,1180,718,256,503,106,8196
POA3133,1407,3001,1062,942,1547,1069,323,680,151,10179
POA3134,2283,4134,2178,1705,2470,1694,506,1091,238,16300
POA3135,1308,2729,1324,1004,1374,929,366,669,110,9816
POA3136,2615,4913,3386,2377,3370,2310,924,1686,330,21913
POA3137,758,1089,1321,768,1075,675,421,643,91,6842
POA3138,1267,1910,2053,1304,1646,1154,597,1033,164,11134
POA3139,879,843,1561,789,854,609,521,814,140,6993
POA3140,1019,1226,1519,919,1228,912,455,815,104,8195
POA3141,2798,6495,854,1130,1780,1302,133,369,244,15092
POA3142,1415,2531,321,429,799,619,38,162,179,6483
POA3143,910,1919,267,391,646,464,47,162,81,4890
