POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA3000,26,1700,431,451,1422,1.2,955,2
POA3002,38,2192,1341,451,3120,1,2285,1.9
POA3003,30,2006,852,450,2246,1.1,1766,2.2
POA3004,35,2000,1187,473,2526,1,2006,1.8
POA3005,33,2184,1139,584,2562,1,2182,2.1
POA3006,30,2000,980,511,2289,1.1,1852,1.9
POA3008,30,2167,965,501,2237,1.2,1858,2
POA3010,20,0,106,0,3249,0.9,3249,3
POA3011,33,1974,686,320,1874,1,1441,2.3
POA3012,33,1987,701,321,1835,1,1483,2.5
POA3013,36,2167,924,400,2516,0.9,2047,2.5
POA3015,37,2167,961,400,2482,0.9,2071,2.6
POA3016,42,2200,886,370,2608,0.9,2008,2.6
POA3018,42,2000,734,335,1953,0.8,1440,2.3
POA3019,32,1600,424,275,1153,1,1051,2.9
POA3020,35,1517,462,300,1224,1,1128,2.8
POA3021,35,1408,425,288,1117,0.9,1050,2.9
POA3022,35,1517,508,295,1346,0.9,1156,2.6
POA3023,33,1800,620,346,1643,0.9,1586,3.2
POA3024,31,1600,687,301,1597,0.9,1505,3
POA3025,38,2000,503,340,1478,0.9,1240,2.6
POA3026,52,0,560,200,687,0.9,630,1.2
POA3027,31,2167,878,390,2179,0.8,2220,3.3
POA3028,36,1517,586,301,1556,0.9,1387,2.7
POA3029,31,1733,663,320,1619,0.9,1578,3.2
POA3030,33,1800,702,331,1827,0.9,1676,3
POA3031,33,2000,844,340,2214,1,1626,2.2
POA3032,33,2000,794,364,2134,0.9,1720,2.5
POA3033,43,2000,610,360,1752,0.8,1484,2.7
POA3034,44,1950,526,346,1531,0.8,1318,2.7
POA3036,44,2000,690,360,2018,0.8,1743,2.8
POA3037,33,1733,633,330,1772,0.9,1684,3.2
POA3038,41,1647,591,340,1780,0.8,1654,3
POA3039,37,2167,860,366,2424,0.9,1861,2.4
POA3040,37,2167,854,343,2388,0.9,1825,2.5
POA3041,39,2000,820,360,2293,0.9,1905,2.7
POA3042,40,1950,687,351,1838,0.8,1461,2.5
POA3043,40,1708,602,325,1526,0.8,1291,2.5
POA3044,37,2000,728,360,1980,0.9,1607,2.6
POA3045,33,0,1550,0,0,0,0,0
POA3046,35,1733,565,330,1503,0.9,1296,2.6
POA3047,31,1321,392,291,1003,1,922,3
POA3048,32,1300,377,300,1066,1,1017,3.3
POA3049,39,1729,644,323,1760,0.8,1513,2.8
POA3050,36,0,575,0,0,0,0,0
