POA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA3000,165,1358,4448,1397,584,361,121,20,6,8464,0,0,8,0,0,0,0,0,0,11,0,0,6,0,3,0,0,0,0,9,6,19,94,20,7,7,4,0,0,163,0,4,22,12,7,0,0,0,0,41,0,10,47,11,8,3,0,0,0,78,3,23,61,34,11,8,0,0,0,136,41,229,348,54,39,19,6,0,0,736,125,640,937,121,55,18,4,0,0,1906,0,17,53,28,14,4,0,0,0,110,0,19,97,28,5,3,0,0,0,163,0,43,273,80,35,12,5,0,0,453,4,22,95,22,12,10,0,0,0,172,7,144,659,153,58,33,9,0,0,1065,4,41,197,33,24,10,3,0,0,312,0,13,90,53,37,18,5,0,0,229,17,78,267,102,45,44,8,0,0,558,5,75,364,113,64,49,12,0,0,683,6,29,66,36,12,10,4,0,0,167,0,61,132,20,28,7,0,0,0,260
POA3002,12,104,517,297,210,215,132,25,6,1511,0,0,0,0,0,3,4,0,0,3,0,0,3,0,0,0,0,0,0,4,0,6,20,12,3,3,3,0,0,44,0,0,4,3,0,0,0,0,0,12,0,6,5,3,5,4,0,0,0,27,0,3,6,4,6,3,3,0,0,25,3,13,45,10,8,9,8,0,0,106,4,25,30,7,3,8,0,0,0,79,0,4,14,3,6,3,0,0,0,28,0,3,24,12,0,3,0,0,0,42,0,3,44,13,24,19,3,0,0,104,0,0,3,3,3,3,3,0,0,17,0,21,122,45,32,29,10,3,0,263,0,0,13,11,3,3,0,0,0,41,0,0,45,32,23,16,4,0,0,114,0,16,57,33,36,33,7,0,0,174,0,19,118,40,35,45,21,0,0,278,3,5,13,15,7,3,0,0,0,50,0,0,11,12,10,9,0,0,0,45
POA3003,26,185,804,307,182,82,30,10,0,1623,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,11,3,6,3,0,0,0,33,0,0,11,8,0,0,0,0,0,14,0,0,14,3,5,0,0,0,0,23,0,5,12,4,3,3,0,0,0,29,5,22,57,16,10,4,3,0,0,114,13,57,101,15,7,5,0,0,0,196,0,3,15,7,3,0,0,0,0,25,0,6,14,10,4,7,0,0,0,48,0,7,54,18,12,3,0,0,0,102,0,4,11,9,0,0,0,0,0,18,0,18,127,45,23,9,3,0,0,220,0,7,25,15,7,0,0,0,0,58,0,0,36,15,14,13,4,0,0,78,0,15,50,34,20,14,8,0,0,141,0,17,84,36,30,15,7,0,0,187,3,8,15,11,3,0,0,0,0,36,0,8,20,6,0,0,0,0,0,35
POA3004,17,195,1057,631,337,320,195,36,11,2789,0,0,0,0,3,0,0,0,0,5,0,0,5,4,5,3,0,0,0,11,0,12,33,22,12,4,3,0,0,79,0,3,9,8,3,3,0,0,0,24,0,5,19,4,7,3,3,0,0,40,0,4,34,16,9,12,4,3,0,74,7,24,62,27,25,19,8,0,0,173,18,58,96,17,14,0,0,0,0,205,0,0,23,9,14,3,0,0,0,56,0,7,28,10,8,4,0,0,0,67,0,11,101,46,35,20,9,0,0,226,0,4,32,7,9,12,7,3,0,81,0,20,207,91,41,34,13,0,0,401,0,10,62,23,12,16,6,0,0,131,0,9,44,26,25,16,3,0,0,126,0,10,85,43,34,33,20,0,0,229,0,25,163,60,50,49,17,3,0,382,0,7,28,7,10,6,0,0,0,61,3,9,24,15,4,7,0,0,0,61
POA3005,0,10,53,36,14,12,6,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,11,3,4,11,3,0,0,0,0,0,20,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,7,4,0,0,0,0,16,0,0,0,0,0,0,3,0,0,4,0,0,13,5,4,0,0,0,0,20,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,4,3,0,0,0,0,11,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3
POA3006,74,629,2858,1168,561,360,132,19,3,5799,0,0,7,3,3,0,3,0,0,12,0,0,3,4,4,0,0,0,0,14,3,16,69,28,13,11,3,0,0,139,0,3,35,12,3,0,0,0,0,57,0,8,38,16,7,4,0,0,0,72,0,11,60,22,21,9,3,0,0,136,26,108,216,43,20,20,9,0,0,437,33,172,309,45,13,9,4,0,0,599,0,5,44,9,7,3,0,0,0,79,3,11,65,16,13,5,0,0,0,123,0,30,230,103,37,23,3,0,0,424,0,12,66,27,14,14,4,0,0,135,0,77,492,128,56,48,10,0,0,816,0,33,143,32,11,11,3,0,0,235,0,10,92,61,27,25,4,0,0,216,3,33,170,76,58,39,15,0,0,398,6,40,266,85,45,56,21,0,0,518,7,37,115,42,24,8,3,0,0,233,0,20,72,29,15,7,3,0,0,146
POA3008,32,225,1530,635,402,264,104,14,3,3202,0,0,6,0,4,0,0,0,0,7,0,0,3,6,0,0,0,0,0,9,0,9,30,17,5,3,0,0,0,64,0,0,14,3,0,0,0,0,0,20,0,5,19,5,9,6,0,0,0,45,0,3,19,15,11,9,0,0,0,62,4,45,93,37,21,18,0,0,0,227,24,69,119,24,19,10,8,0,0,268,0,3,26,22,9,4,0,0,0,67,0,5,42,8,10,3,0,0,0,71,0,19,147,61,34,16,3,0,0,282,0,15,42,9,8,8,3,0,0,81,0,37,251,80,31,27,3,3,0,431,0,17,42,15,17,6,0,0,0,101,0,3,36,22,24,14,0,0,0,111,3,11,52,37,25,26,8,0,0,161,0,20,95,41,31,35,15,0,0,235,3,10,17,15,0,3,3,0,0,46,0,8,33,11,4,10,0,0,0,75
POA3010,96,143,34,8,6,14,3,0,0,301,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,24,21,0,0,0,0,0,0,0,45,73,59,9,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,19,3,5,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,31,44,14,3,3,3,0,0,0,105,3,7,4,0,0,0,0,0,0,15,8,5,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,9
POA3011,111,666,2336,1471,826,492,91,8,0,6008,0,0,9,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3,8,6,58,37,28,16,5,0,0,165,0,3,22,13,3,0,0,0,0,38,0,11,23,21,10,5,0,0,0,62,0,12,42,25,15,9,0,0,0,97,41,100,190,66,51,28,6,0,0,481,55,130,193,68,31,14,3,0,0,491,0,3,30,35,20,8,3,0,0,105,5,16,57,47,20,7,0,0,0,154,0,14,119,80,29,9,0,0,0,255,0,3,25,19,5,0,0,0,0,59,0,51,244,142,49,22,3,0,0,516,0,22,109,52,26,13,3,0,0,231,3,9,144,116,78,36,3,0,0,391,3,46,264,177,134,81,5,0,0,718,7,50,336,196,129,79,22,0,0,813,3,18,73,47,18,8,3,0,0,174,0,21,73,34,27,17,0,0,0,180
POA3012,150,680,2507,1882,1127,616,103,11,3,7072,0,0,9,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,7,57,81,61,28,3,0,0,252,0,3,13,12,5,0,0,0,0,37,4,4,37,34,11,5,3,0,0,95,0,10,44,35,21,17,0,0,0,128,47,136,179,101,84,41,12,0,0,589,54,132,180,76,52,22,3,0,0,521,0,10,58,50,38,21,0,0,0,183,9,8,50,49,17,8,0,0,0,148,0,19,140,100,44,13,0,0,0,323,0,14,41,34,14,3,0,0,0,105,0,33,204,174,77,34,5,0,0,523,0,24,125,57,44,27,4,4,0,284,4,11,112,164,97,33,0,0,0,423,8,46,240,215,165,79,3,3,3,761,7,73,407,246,196,138,13,0,0,1081,7,20,60,49,26,7,6,0,0,177,3,19,83,59,40,21,3,3,0,222
