POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3000,8,45,98,36,27,21,24,12,7,282,12,51,76,25,15,13,3,3,4,191,313,1225,1689,583,314,252,145,41,14,4587,3304,11847,13717,3564,1748,1254,709,198,83,36419
POA3002,0,3,0,0,0,6,9,9,14,37,0,0,0,3,0,0,0,3,0,9,15,37,176,88,72,69,68,25,33,589,58,343,1407,719,571,664,546,181,146,4630
POA3003,0,3,6,0,3,9,12,8,5,47,0,6,5,5,0,3,0,3,4,24,26,130,363,176,85,44,33,12,3,870,149,911,2185,837,486,264,160,52,13,5068
POA3004,0,4,9,5,3,12,8,6,13,52,0,0,7,3,4,3,6,3,0,26,40,81,298,195,159,135,124,71,99,1195,165,812,2798,1507,968,949,858,337,243,8642
POA3005,0,0,4,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,10,4,12,54,22,20,13,10,3,0,134,16,57,179,90,67,38,26,5,0,476
POA3006,3,4,17,8,9,22,23,16,6,103,3,11,20,14,11,7,8,5,3,73,115,428,957,385,214,164,119,28,11,2417,657,3204,7595,2723,1428,1146,706,219,56,17729
POA3008,0,6,21,5,5,12,11,12,3,69,0,4,18,3,6,0,0,0,0,34,62,159,475,189,150,97,75,13,8,1227,340,1503,3973,1445,1000,793,426,96,18,9593
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47,5,0,0,0,0,0,0,81,752,656,111,14,17,21,13,0,0,1583
POA3011,6,8,36,46,76,131,176,221,161,873,0,18,33,34,37,72,51,62,45,351,76,230,502,318,222,203,143,150,88,1920,513,2271,6018,3591,2262,1736,968,675,395,18427
POA3012,14,14,46,55,119,189,289,307,176,1212,3,3,31,30,60,77,77,81,34,399,70,162,479,340,252,201,157,148,130,1930,482,2110,6121,4592,3069,2213,1260,893,461,21197
