POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA3000,139,295,274,1246,22,1972,3,0,0,13,0,17,16343,26,63,21,95,16556,60,0,3,5,3,73,95,37,15,39,3,190,1432,269,183,1389,57,3325,363,0,22,0,3,386,209,10,6,21,0,245,256,35,33,166,8,494,125,42,13,35,0,213,41,5,3,8,0,64,2435,7,4,5,12,2457,302,82,62,720,19,1179,515,75,30,173,6,796,1514,3,0,3,9,1534,41,6,3,4,0,55,40,6,7,8,0,50,29,10,9,12,0,57,49,7,0,0,0,55,89,9,10,4,0,113,96,8,11,19,0,133,98,3,5,8,0,110,275,73,56,504,10,918,39,4,0,6,0,46,26,3,4,3,0,37,213,3,0,4,0,226,167,0,0,3,0,173,69,0,3,0,0,80,590,3,11,0,5,608,37,4,5,23,0,68,5914,85,114,99,43,6253,157,3,9,21,4320,4513,29131,657,559,3055,4576,37975
POA3002,33,158,110,889,14,1209,0,0,0,6,0,6,249,10,7,4,0,275,21,0,3,3,0,25,30,17,7,19,0,71,354,161,115,1055,22,1708,16,0,3,0,0,24,27,4,0,17,0,52,77,9,6,99,8,200,53,15,12,30,0,112,16,0,0,4,0,17,56,6,4,0,0,68,127,55,32,596,17,825,123,39,18,94,0,277,17,0,0,0,0,22,17,4,0,7,0,20,16,0,0,0,0,17,7,3,0,11,0,22,13,0,3,0,0,19,33,7,3,5,0,46,33,8,4,13,0,56,22,7,0,4,0,30,120,48,28,404,10,610,5,0,0,0,0,5,4,0,0,0,0,6,23,0,0,7,0,29,23,0,0,3,0,31,3,0,0,0,0,3,39,0,0,0,0,45,13,3,5,13,0,30,364,45,30,55,7,496,5,3,0,16,534,564,1556,349,241,2222,593,4964
POA3003,16,117,106,551,12,805,0,0,0,4,0,4,894,6,22,9,5,941,16,0,0,3,0,23,32,10,9,24,4,71,291,108,95,521,9,1024,62,3,15,0,0,80,33,9,0,9,0,50,37,14,13,67,0,134,38,3,12,19,0,68,6,0,3,4,0,13,282,3,3,0,0,288,85,43,21,307,4,461,151,30,12,75,3,279,254,0,0,0,3,259,15,0,0,6,0,18,15,3,4,3,0,26,22,3,0,10,0,38,15,0,0,0,0,22,36,3,0,0,0,40,33,5,4,14,0,54,29,5,0,4,0,33,77,29,24,202,3,333,9,0,0,9,0,22,7,0,0,0,0,12,43,0,0,0,0,45,25,5,3,3,0,32,7,0,0,0,0,9,74,6,0,0,7,87,10,0,0,9,0,25,656,44,57,39,9,801,16,0,3,7,828,856,2909,261,232,1232,878,5515
POA3004,35,169,167,978,25,1368,3,0,0,3,0,4,1317,11,18,17,8,1378,30,3,4,14,0,50,36,15,13,29,0,93,696,155,151,1274,29,2310,78,0,8,0,3,90,87,3,6,25,0,117,143,28,15,137,3,330,81,16,7,35,3,145,36,6,0,5,0,47,470,8,3,7,0,486,258,45,38,525,12,884,211,43,21,108,3,386,89,0,0,0,0,92,17,3,5,4,0,32,19,5,0,0,0,21,27,12,0,5,0,42,24,0,4,0,0,26,70,0,3,6,0,83,127,11,7,18,0,166,73,5,3,10,0,81,202,43,47,456,7,745,23,0,0,3,0,27,35,3,0,0,0,35,48,3,3,3,0,62,58,3,0,0,0,69,20,0,3,0,0,26,77,0,0,0,3,81,34,4,3,30,0,70,1127,45,50,76,11,1302,30,4,0,24,1123,1177,4814,376,341,2568,1200,9307
POA3005,0,7,7,51,0,71,0,0,0,0,0,0,91,0,3,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,38,6,8,44,0,89,0,0,0,0,0,3,0,0,0,0,0,0,7,0,4,7,0,14,3,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18,4,3,0,19,0,32,20,3,0,3,0,22,14,0,0,0,0,14,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,3,11,0,0,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,59,3,3,3,0,67,4,0,0,0,140,141,260,16,16,95,140,525
POA3006,95,279,263,1318,20,1969,0,3,0,5,0,11,4650,25,44,31,32,4779,52,8,3,3,0,66,92,32,23,44,0,187,1252,261,227,1467,31,3233,232,0,19,0,3,253,122,5,0,29,0,154,197,35,29,181,0,433,115,37,19,50,0,223,41,3,5,6,0,56,1087,4,10,10,12,1130,382,75,69,717,6,1250,439,78,54,165,0,736,498,0,9,7,3,509,30,3,8,7,0,49,31,0,3,14,0,42,45,11,3,12,0,71,63,0,0,3,0,67,136,9,14,0,0,164,95,17,10,19,0,137,123,4,4,6,0,143,323,54,50,520,5,953,57,0,7,0,0,66,48,5,6,0,0,63,174,10,3,4,3,196,117,6,4,3,0,135,44,3,0,0,0,49,212,0,7,9,0,232,30,9,3,29,0,73,2682,62,85,100,22,2952,68,3,0,21,2399,2491,11883,617,564,3227,2519,18808
POA3008,57,119,108,697,27,999,0,0,0,3,0,3,2600,13,22,21,11,2663,27,0,0,5,0,34,51,4,7,20,0,81,528,110,98,718,18,1473,104,0,3,0,0,114,71,3,3,10,0,86,84,15,7,87,0,193,87,21,3,27,0,137,15,0,3,4,0,17,1395,0,3,0,8,1404,120,31,16,328,8,510,224,27,7,68,3,332,326,3,7,0,3,340,22,6,0,0,0,28,20,0,4,5,0,29,15,8,4,6,0,40,29,0,0,0,5,34,50,3,3,0,0,63,44,7,3,6,0,66,48,0,0,3,0,57,147,27,33,248,3,452,40,0,3,0,0,42,15,0,0,0,0,21,56,0,3,4,3,67,37,0,0,4,0,44,30,0,3,0,0,36,136,3,3,0,5,149,14,0,0,16,0,31,1193,42,48,42,16,1331,41,0,0,9,1226,1281,6997,277,231,1625,1307,10437
POA3010,5,65,73,347,0,492,0,0,0,14,0,13,162,3,4,10,0,183,0,0,0,4,0,5,16,0,4,19,0,36,120,63,54,303,3,543,3,0,3,0,0,7,10,3,3,3,0,19,20,12,6,50,0,88,4,3,0,7,0,17,0,3,0,3,0,8,38,0,0,0,0,40,29,21,19,182,3,261,14,7,10,37,0,65,15,0,0,0,0,15,3,0,0,5,0,13,3,0,0,0,0,6,0,0,0,7,0,7,3,0,0,0,0,3,11,4,3,3,0,21,6,0,4,8,0,16,3,0,0,0,0,5,39,28,32,157,0,252,0,0,0,0,0,3,16,0,0,0,0,15,5,0,0,0,0,12,14,0,0,0,0,15,0,0,0,0,0,0,7,0,0,0,0,11,7,3,0,6,0,10,112,10,22,34,0,181,10,0,0,8,69,86,518,134,135,726,77,1593
POA3011,231,575,453,2619,49,3925,3,4,0,20,0,22,1742,32,53,41,13,1876,148,12,5,26,3,199,77,51,26,66,3,218,1213,528,420,2753,46,4967,308,3,25,10,7,356,76,5,17,44,0,141,170,70,57,314,9,619,402,37,17,106,9,567,36,8,6,5,0,55,1166,17,10,11,9,1212,342,203,158,1527,18,2246,406,114,51,305,10,887,66,0,0,3,0,69,22,10,0,4,0,31,196,3,11,15,9,232,88,33,14,50,4,180,57,9,6,3,0,77,120,32,24,11,3,196,110,26,8,39,0,191,34,3,4,17,0,60,298,136,105,935,17,1487,77,3,0,8,0,92,26,7,3,5,0,40,113,7,7,15,3,138,87,0,7,3,4,103,77,10,10,0,4,95,2077,15,34,18,23,2164,28,17,16,77,0,143,2807,162,136,219,33,3363,155,3,5,62,1829,2048,11119,1225,958,6113,2049,21462
POA3012,285,732,525,3329,64,4940,3,11,0,21,0,39,2059,37,44,61,19,2224,245,20,16,48,0,332,91,49,43,82,6,277,1342,607,458,3240,80,5719,416,5,41,9,7,482,52,15,11,53,0,136,195,88,42,362,10,694,477,61,45,134,12,732,49,15,5,17,0,90,1226,17,16,4,8,1276,382,213,138,1680,33,2446,784,163,87,410,24,1470,61,3,0,0,0,67,126,6,5,19,0,156,229,14,15,43,3,298,162,46,23,80,7,313,102,12,8,4,0,126,186,30,31,10,0,253,153,34,17,55,0,260,60,3,0,18,3,91,329,202,129,1136,11,1803,145,8,7,19,4,182,33,11,5,5,0,56,159,5,10,15,3,199,100,3,4,3,0,115,96,15,11,10,4,133,2951,19,54,23,24,3068,40,17,8,41,3,110,3293,261,179,236,56,4025,200,15,12,77,1650,1955,14021,1603,1161,7553,1969,26298
POA3013,120,569,426,2969,50,4132,0,3,0,23,0,19,450,24,28,32,7,549,101,26,10,17,0,159,91,34,23,74,0,223,1001,572,378,2810,43,4805,99,6,20,0,0,128,54,16,4,25,0,103,153,64,36,345,7,607,634,72,40,123,10,875,27,6,0,3,0,38,137,3,17,8,0,163,345,203,111,1476,11,2158,489,128,63,297,3,982,18,0,0,0,0,20,73,21,8,15,0,127,233,17,11,27,0,288,69,24,20,75,0,193,38,5,7,0,0,52,121,38,32,12,0,199,112,27,30,67,0,237,24,9,3,7,0,43,331,156,122,979,9,1594,85,8,4,8,0,114,35,5,3,3,0,47,41,3,3,10,3,62,50,10,4,4,0,67,23,10,3,0,0,43,410,4,14,13,3,442,51,14,9,52,0,128,962,163,122,191,9,1452,34,23,8,37,782,883,5310,1335,890,6517,922,14965
POA3015,117,727,519,3710,66,5137,0,0,0,20,0,22,381,17,39,40,3,478,140,19,8,39,3,215,117,60,23,73,0,268,1217,662,464,3374,69,5792,97,6,19,3,3,121,59,12,8,41,4,124,177,74,45,352,6,654,456,50,32,174,13,728,42,13,7,16,0,78,271,14,8,11,0,310,450,212,158,1683,17,2525,563,141,51,383,17,1152,19,0,0,0,0,19,336,35,14,44,3,439,225,17,8,44,0,292,188,55,19,104,7,378,66,6,3,3,3,88,180,55,33,9,0,279,150,17,16,42,0,230,34,10,6,17,0,60,362,157,156,1083,16,1776,119,14,21,16,6,179,60,23,18,6,0,103,48,4,0,9,0,60,39,10,12,5,0,62,19,6,0,5,0,29,125,3,19,12,0,155,66,15,7,54,0,138,1038,152,130,188,17,1525,56,3,6,70,707,848,5985,1511,1061,7994,918,17472
POA3016,105,616,485,3461,43,4713,0,0,0,10,0,15,198,15,15,34,0,264,172,20,6,44,0,243,100,29,28,82,3,244,1314,586,416,3295,60,5667,62,3,6,4,0,81,49,10,4,33,0,99,165,56,42,275,10,555,373,63,32,194,0,663,22,6,6,8,0,43,130,5,7,7,0,152,380,184,106,1610,22,2300,494,108,44,384,10,1042,5,0,0,3,0,10,89,16,5,12,0,123,136,29,11,22,0,193,217,33,15,124,0,384,28,3,8,4,0,43,88,35,10,10,0,138,129,14,9,72,0,229,36,3,0,10,0,53,379,172,86,1079,15,1738,64,18,8,3,0,91,49,3,8,3,0,68,41,0,0,4,0,55,23,4,4,3,0,34,19,8,0,0,0,35,104,7,11,3,0,122,48,20,6,58,0,132,861,152,113,192,14,1331,36,13,7,56,757,875,4850,1289,880,7628,907,15560
POA3018,107,490,338,2520,45,3513,0,0,0,9,0,13,359,13,25,13,5,411,161,17,17,29,4,219,93,29,19,47,0,190,1069,372,286,2169,46,3944,109,0,24,0,3,139,47,8,5,19,0,76,221,36,25,232,3,518,205,34,13,89,3,343,39,4,5,14,0,62,253,0,7,6,3,274,321,135,83,976,22,1533,474,91,47,273,4,895,7,0,0,0,0,13,33,9,3,8,0,47,77,5,0,30,0,113,503,71,22,186,5,786,52,11,5,4,4,74,71,28,22,5,0,127,112,11,9,23,0,160,39,3,3,0,0,47,332,119,91,638,9,1192,58,7,0,5,0,79,44,9,6,3,0,55,50,12,3,8,0,70,19,0,0,0,0,19,23,3,0,3,0,31,160,0,4,0,3,170,36,9,5,23,0,79,847,135,73,121,21,1207,45,9,5,40,648,749,5018,993,682,5196,803,12689
POA3019,148,74,77,531,27,864,20,0,0,0,0,19,1183,7,9,13,19,1223,48,3,0,8,0,55,5,4,3,3,0,18,298,68,64,468,28,925,264,0,11,4,0,280,17,3,0,6,0,26,33,3,7,37,0,82,44,4,4,13,0,59,4,4,0,0,0,13,530,3,5,6,5,545,32,21,14,191,3,267,85,20,5,36,4,156,19,0,0,0,0,19,3,0,0,0,0,3,40,6,0,8,0,51,61,5,4,3,0,72,28,0,0,0,0,29,14,3,3,0,0,20,39,9,3,0,0,50,3,0,0,0,0,3,32,15,14,122,3,183,56,0,4,5,0,66,3,0,0,0,0,3,51,0,3,4,0,56,69,0,0,0,0,69,63,3,0,0,3,70,2568,13,32,13,39,2663,0,0,0,6,0,6,1803,22,31,21,33,1910,125,4,3,9,538,679,7055,186,179,1092,690,9195
POA3020,783,591,501,3178,137,5198,72,13,5,23,10,116,3297,30,61,33,53,3480,452,48,14,55,17,590,70,35,27,27,3,165,1668,441,327,2458,138,5023,1080,12,51,3,11,1159,69,6,3,16,4,96,259,57,29,236,3,587,1299,99,52,195,28,1670,70,6,5,11,0,95,1693,18,11,9,24,1760,261,135,84,1067,26,1576,1224,140,72,338,49,1825,54,0,4,0,5,63,174,13,12,14,0,218,600,31,26,64,17,738,1732,94,86,233,34,2175,168,16,5,3,9,199,111,23,26,10,8,172,476,29,26,62,10,607,61,0,10,9,3,80,265,102,99,695,16,1172,193,15,0,10,3,217,13,6,0,7,0,19,270,7,15,15,0,305,297,10,3,0,12,324,458,59,10,25,7,557,9468,68,143,50,136,9862,16,8,8,27,0,64,8271,246,187,163,125,8990,674,19,20,106,2510,3329,32302,1481,1224,6485,3294,44783
POA3021,1061,652,410,2592,161,4880,6,7,0,40,0,50,3447,29,46,26,73,3626,1238,71,47,99,21,1467,135,16,14,30,0,198,2056,413,302,2045,172,4993,1793,17,72,22,38,1943,78,0,0,18,3,101,616,59,31,219,17,945,1163,118,53,164,20,1519,146,17,13,20,5,192,2722,24,11,3,37,2802,259,104,67,710,27,1159,1070,178,92,370,34,1744,22,0,3,0,0,25,445,74,21,22,12,572,1367,72,52,73,32,1600,2387,216,116,313,42,3077,244,18,8,4,15,293,128,16,9,3,3,161,583,25,17,40,5,682,104,5,0,3,3,120,238,89,44,449,3,828,704,38,21,30,11,803,16,5,0,0,0,17,408,14,9,11,3,442,294,3,3,10,0,316,464,62,10,27,13,569,11859,70,169,49,216,12369,21,6,3,14,0,42,10164,275,203,170,218,11030,867,38,46,61,3334,4340,41413,1757,1259,5405,4362,54191
POA3022,65,63,44,283,11,460,0,0,0,3,0,8,100,0,0,0,0,105,39,4,4,3,0,49,9,0,0,6,0,18,116,45,27,218,8,414,46,3,6,3,0,53,14,0,3,0,0,15,66,8,0,31,0,105,51,8,0,5,0,69,12,0,0,0,0,18,108,0,0,0,0,109,16,23,6,86,3,141,68,12,3,36,0,125,10,0,0,0,0,9,25,0,0,0,0,24,24,8,0,4,0,34,137,21,3,19,0,185,13,3,0,3,0,21,19,3,0,0,0,25,96,11,4,11,0,121,16,0,0,0,0,18,17,17,6,66,0,100,13,3,0,0,0,22,0,0,0,0,0,3,15,3,0,3,0,22,44,0,0,0,0,46,32,0,3,0,0,37,386,3,5,0,3,402,0,3,0,4,0,7,711,25,26,24,8,795,55,0,0,3,176,233,2075,158,93,554,211,3103
POA3023,1170,1146,797,5102,148,8355,34,5,3,29,0,72,3903,63,84,59,27,4136,777,82,42,190,13,1097,159,60,15,90,0,328,2464,713,576,4044,145,7933,4301,52,138,32,26,4549,105,3,3,33,0,147,428,96,68,415,7,1013,814,167,77,434,21,1502,136,11,8,30,0,184,3807,65,46,21,36,3970,377,172,127,1334,17,2028,1789,441,220,1203,49,3694,153,0,0,0,0,153,318,67,28,47,0,465,1364,160,99,266,17,1908,2477,382,261,1045,30,4198,299,21,15,17,10,359,210,33,30,16,6,290,569,62,41,104,4,782,91,8,13,9,0,119,458,153,102,914,17,1645,560,27,19,45,0,653,77,15,10,5,0,105,780,34,34,18,14,874,681,29,0,5,5,727,692,102,57,70,5,928,6196,82,115,40,81,6505,27,3,14,46,0,92,11909,592,434,424,138,13491,718,26,22,128,4191,5079,42461,3093,2184,11336,4893,63972
POA3024,329,754,567,4965,108,6722,0,0,3,36,0,45,453,11,21,31,4,516,88,21,13,37,3,161,100,51,30,97,0,271,1453,625,510,3998,102,6692,682,13,53,8,0,759,43,5,4,27,3,87,201,60,40,404,11,723,107,46,16,78,7,252,42,14,4,24,0,80,2312,40,3,8,6,2370,302,147,119,1251,22,1844,306,123,72,407,13,923,26,0,0,0,0,26,35,11,8,14,0,61,51,4,3,19,3,78,366,76,69,233,12,751,293,41,13,5,3,355,180,33,28,15,4,269,100,21,9,52,0,182,52,4,10,3,3,67,393,166,129,1012,21,1724,106,11,3,9,0,134,51,6,7,3,0,64,128,10,8,12,0,166,190,6,0,3,4,207,34,3,9,3,0,44,107,6,3,0,0,119,37,9,6,42,0,93,3669,183,180,137,44,4215,172,15,17,113,1207,1522,10577,1446,1137,9184,1502,23849
POA3025,216,357,220,1439,35,2271,0,0,0,3,0,3,467,7,10,10,7,500,181,12,10,33,5,240,45,16,8,20,0,99,529,232,161,1139,28,2089,94,3,13,3,0,114,25,0,0,14,0,39,112,17,17,119,4,266,667,52,20,133,16,892,31,0,0,6,0,39,235,13,4,8,7,263,144,60,47,464,6,723,846,86,42,269,9,1252,9,0,0,0,0,14,962,269,94,92,24,1443,206,9,6,28,3,257,333,25,16,65,7,443,55,9,6,0,3,72,55,20,23,3,0,101,108,11,7,27,3,155,15,0,0,3,0,25,126,47,35,305,9,522,98,15,3,7,0,121,14,3,0,0,3,15,30,0,3,8,0,50,29,3,7,0,0,40,35,3,0,9,3,45,511,3,12,10,10,551,13,0,3,12,0,28,1219,84,54,79,17,1459,96,4,10,53,773,928,6710,902,521,3069,944,12152
POA3026,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,18,18,33,0,0,21,14,73
POA3027,101,108,76,411,9,706,0,0,0,0,0,0,1108,0,18,3,11,1143,19,4,0,6,0,28,17,0,3,0,0,22,347,56,70,341,7,829,263,8,7,10,0,286,11,0,0,0,0,11,55,18,12,42,0,123,29,12,3,13,0,59,3,0,3,0,0,8,1505,4,12,0,4,1531,64,16,12,123,0,217,62,30,18,70,3,187,52,0,0,0,0,56,56,11,0,10,0,86,29,11,0,11,0,50,36,12,15,27,0,83,71,3,0,0,0,74,48,0,9,5,0,65,27,3,4,7,0,43,15,3,0,0,0,15,60,23,24,82,3,198,32,3,0,0,0,37,19,0,0,0,0,22,37,3,0,0,0,46,71,0,0,0,3,74,5,0,0,0,0,5,131,0,3,4,0,144,3,3,0,0,0,11,1349,37,34,47,3,1468,44,3,0,8,303,351,5014,233,189,868,348,6646
POA3028,461,803,562,4347,79,6253,0,3,3,27,0,33,1356,19,41,29,6,1444,332,52,26,72,11,501,114,37,36,76,0,267,1681,642,521,3499,81,6436,790,5,62,19,8,889,59,6,4,31,3,101,235,58,53,319,4,677,653,99,43,226,15,1037,100,15,8,15,3,141,1899,19,13,10,30,1962,431,181,108,1363,20,2105,949,201,109,533,23,1812,39,0,3,3,0,43,447,111,47,33,9,642,457,57,14,58,7,587,1152,147,99,394,11,1797,292,32,19,8,8,362,145,23,27,12,0,200,239,21,22,53,0,338,72,10,7,15,0,105,451,150,126,990,12,1725,266,25,13,29,5,336,33,10,3,5,0,50,130,9,6,10,3,161,118,8,3,8,0,134,43,9,3,4,0,55,814,3,12,3,7,842,41,16,8,37,0,106,3722,211,204,205,47,4382,251,21,21,108,1529,1926,15418,1811,1335,8773,1870,29201
POA3029,1936,2001,1584,10820,202,16545,3,3,0,56,0,72,3711,29,87,84,32,3946,404,69,40,97,7,613,290,98,71,155,3,616,4893,1536,1271,8765,249,16714,3951,47,208,20,25,4248,171,17,18,91,0,301,615,174,134,888,22,1831,662,154,81,332,7,1238,143,24,8,25,3,197,14933,89,45,23,80,15162,783,360,240,3020,52,4458,1763,535,197,1366,47,3907,155,0,6,0,0,161,1106,309,148,112,19,1693,569,63,43,99,11,786,1518,311,148,740,21,2736,1431,79,76,3,32,1623,490,92,71,37,12,708,509,77,58,139,0,783,165,8,8,21,3,200,1025,348,302,2258,39,3968,389,38,28,31,0,486,163,21,14,6,0,205,572,19,26,39,9,663,1131,25,23,15,4,1194,198,29,15,20,3,267,921,18,48,32,20,1043,80,24,25,99,0,233,20926,635,516,509,241,22836,969,44,39,206,5422,6675,58517,4428,3327,21303,6382,93950
POA3030,1262,2761,2031,14528,266,20846,6,7,5,70,0,90,8431,80,157,104,42,8822,565,105,36,165,8,886,516,136,96,240,9,1000,6565,2128,1595,11960,341,22590,2993,78,206,25,37,3344,236,26,23,109,3,398,845,237,171,1214,44,2507,982,242,134,583,6,1950,199,28,11,64,3,316,8769,77,63,35,44,8995,1472,518,354,4530,63,6942,2950,751,377,2159,69,6305,683,3,19,3,0,706,422,147,55,70,7,699,695,112,65,214,8,1096,1234,377,183,737,20,2551,1146,77,37,22,19,1311,738,110,114,32,10,1004,608,72,73,177,6,935,307,15,22,26,4,370,1621,585,435,3232,81,5945,509,75,28,57,3,672,548,23,29,11,10,619,615,37,22,43,3,731,782,33,19,28,3,859,218,32,16,26,0,291,1996,64,72,39,24,2195,198,47,30,109,0,387,15036,787,621,709,151,17295,653,34,42,312,4688,5726,55321,5822,4211,29238,5719,100313
POA3031,142,580,414,2766,57,3960,3,0,0,15,0,17,1594,31,51,49,18,1747,74,20,3,26,0,123,84,42,33,78,5,247,1083,554,355,2839,67,4904,105,3,12,3,3,134,70,7,11,32,0,116,179,67,53,352,3,648,166,27,9,71,4,285,18,8,7,11,0,41,359,14,7,15,3,395,361,218,126,1707,17,2432,443,113,66,300,5,938,61,0,0,0,0,62,62,8,8,17,0,99,33,7,3,7,3,54,97,30,10,45,4,184,39,0,6,3,0,46,124,32,15,8,3,179,78,11,15,43,0,153,40,4,3,17,0,65,297,144,126,1047,20,1636,52,0,0,0,0,56,39,10,9,4,0,57,105,7,8,7,0,127,76,3,6,0,0,94,121,16,8,0,3,141,718,5,18,8,22,774,24,15,10,44,0,91,2747,181,174,192,73,3366,155,5,5,47,1507,1723,8209,1229,908,6425,1756,18531
