POA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
POA3013,0,3,0,14,26,39,86,132,27,325,0,0,3,19,0,0,0,0,0,23,0,7,7,63,12,0,0,0,3,95,0,0,4,20,0,3,0,0,0,23,0,0,0,3,0,3,0,0,0,15,0,0,0,4,0,0,0,0,0,4,0,3,0,50,15,0,3,0,0,72,0,0,0,16,12,26,47,70,37,208,0,0,3,19,3,0,0,0,0,26,0,0,0,12,0,3,0,0,0,17,0,0,0,10,3,9,8,3,0,31,3,0,5,28,13,0,4,0,0,51,0,0,0,0,3,6,13,6,0,28,0,0,0,9,9,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,37,0,0,0,0,0,53,0,0,0,11,7,6,5,0,0,25,0,10,9,258,45,35,5,0,0,367,0,0,0,9,0,0,3,0,3,18,0,0,0,0,0,0,0,0,0,4
POA3015,0,0,0,4,16,39,52,73,16,200,0,3,0,13,7,3,3,0,0,25,9,11,28,129,10,11,3,3,0,219,0,0,3,17,0,0,0,0,0,25,0,3,4,15,3,0,0,0,0,22,0,0,0,7,0,0,0,0,0,7,0,0,3,67,21,8,8,9,5,115,0,4,3,15,22,22,42,66,32,205,0,0,3,17,5,0,0,0,0,22,0,0,3,12,0,0,0,0,0,21,0,3,9,39,34,32,24,13,9,159,0,4,0,56,11,7,4,0,0,85,0,0,0,6,0,13,16,10,3,42,0,0,0,9,4,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,36,0,0,0,5,9,6,6,0,5,35,3,11,25,278,101,33,3,3,4,464,0,0,0,14,4,3,0,0,0,21,0,0,3,11,0,0,0,0,0,22
POA3016,0,0,0,0,14,24,23,16,12,95,0,0,0,3,0,3,0,0,0,10,0,8,3,42,13,6,5,4,0,85,0,0,3,11,5,0,0,0,0,22,0,0,4,11,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,3,0,25,16,14,10,4,0,73,0,4,3,18,11,31,23,33,20,146,0,3,0,9,5,0,0,3,0,24,0,0,0,3,3,0,0,0,0,6,0,0,0,8,13,9,6,0,3,45,0,3,3,17,15,11,5,0,0,52,0,0,0,0,10,25,24,16,3,71,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,18,0,0,0,4,3,3,15,3,3,34,6,28,14,99,49,48,20,3,4,259,0,0,3,4,3,4,7,3,0,17,0,0,3,8,0,0,0,0,0,10
POA3018,0,0,0,7,11,11,17,14,4,72,0,0,0,9,4,3,0,0,0,24,12,11,13,140,18,17,5,4,3,210,0,8,0,14,0,0,3,0,0,29,0,0,0,6,3,0,0,0,0,13,0,0,0,6,0,0,0,0,0,8,0,10,0,39,13,10,4,15,0,93,0,8,0,24,9,36,39,62,21,200,0,3,0,17,3,0,0,0,0,27,0,0,0,9,0,0,0,0,0,11,0,0,0,11,7,3,0,0,0,19,0,0,0,21,5,9,3,0,0,40,0,0,0,7,10,36,118,85,16,276,0,0,0,3,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,8,0,0,0,5,3,6,12,9,3,43,3,16,17,143,46,36,22,6,0,281,0,0,0,0,3,9,3,3,3,25,3,3,4,27,3,0,0,0,0,35
POA3019,0,0,0,0,0,3,4,4,0,11,0,0,7,27,3,8,3,0,0,42,11,38,113,327,20,9,6,0,0,530,0,0,7,22,0,3,4,3,0,46,0,3,3,24,0,0,0,0,0,32,0,4,8,9,4,0,0,0,0,21,0,0,0,6,0,0,4,0,0,10,0,0,0,3,3,0,12,7,0,32,0,0,0,10,0,0,0,0,0,12,0,0,0,8,0,3,0,0,0,15,0,0,0,0,3,0,0,0,0,3,23,35,4,41,3,7,0,0,0,115,0,0,0,3,5,13,7,6,0,32,0,0,4,7,3,3,0,0,0,15,3,44,47,157,17,6,0,0,0,274,0,0,14,16,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,12,25,42,8,3,3,0,0,103,0,0,0,0,0,0,0,0,0,0,3,0,20,51,0,0,0,0,0,80
POA3020,3,6,8,24,42,83,193,250,48,657,0,0,20,99,6,8,3,0,4,143,38,116,303,1143,68,63,52,20,13,1807,3,5,5,68,14,10,3,0,0,106,9,37,28,194,13,3,0,0,0,288,0,0,6,46,15,3,0,3,0,65,0,0,0,16,3,3,11,0,5,44,0,7,8,21,31,76,186,289,116,735,0,4,7,27,3,0,0,0,0,37,0,0,5,38,0,4,0,0,0,53,0,0,0,32,25,16,8,3,0,85,53,58,23,118,15,21,12,0,0,300,0,0,0,13,34,194,530,347,97,1205,0,0,0,16,9,3,4,3,0,36,7,107,143,501,67,23,9,6,0,861,0,7,96,212,3,4,0,0,0,323,0,0,0,9,3,4,11,4,7,32,20,136,133,267,68,29,22,3,0,674,0,0,0,3,0,3,12,6,0,23,7,19,125,370,3,8,3,0,0,538
POA3021,0,0,4,15,44,92,199,234,69,665,0,4,28,83,13,12,3,0,0,142,57,117,652,1931,136,114,87,23,8,3124,3,4,3,52,6,6,3,0,0,78,3,25,22,89,19,3,3,3,0,160,8,22,18,53,21,10,0,0,0,132,0,0,0,15,0,3,13,5,0,41,0,0,4,20,34,120,156,126,42,499,0,0,9,9,3,3,0,0,0,28,0,0,0,6,3,0,0,0,0,17,3,7,18,66,63,54,24,14,3,249,7,26,19,81,18,18,10,3,0,193,3,5,10,26,73,416,726,308,63,1636,0,0,3,25,3,9,6,3,3,47,3,39,95,184,30,9,10,0,0,369,0,4,49,109,9,5,0,0,0,163,0,0,0,3,0,14,37,15,7,72,57,264,268,291,71,57,16,3,0,1024,0,0,0,3,0,6,6,12,3,29,15,29,136,472,25,11,3,3,0,688
POA3022,0,0,0,3,0,3,4,9,13,33,0,0,0,9,0,0,0,0,0,12,0,6,14,73,0,7,5,0,0,107,0,0,0,5,0,0,0,0,0,10,0,0,0,11,0,0,0,0,0,10,0,0,0,6,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,4,10,10,6,33,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,8,0,0,4,9,0,0,0,0,0,12,0,0,0,0,4,18,36,24,8,86,0,0,0,0,3,3,0,0,0,3,0,0,0,5,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,4,18,23,33,9,3,0,0,0,83,0,0,0,0,0,0,0,0,0,5,0,0,6,10,0,0,0,0,0,25
POA3023,0,10,0,21,32,55,64,43,11,229,4,3,20,104,16,25,12,0,0,175,41,165,316,1947,312,177,85,26,4,3078,5,10,22,133,17,14,4,0,0,209,0,6,19,80,23,0,3,3,0,130,17,56,63,139,47,21,13,3,3,357,4,7,0,25,14,4,7,13,3,78,3,7,12,34,77,124,182,105,28,568,0,4,7,31,7,0,0,0,0,48,3,15,12,68,9,9,3,0,0,117,3,3,8,58,46,23,7,3,0,158,6,47,38,204,60,25,17,0,0,403,3,9,25,78,92,328,374,165,27,1095,0,3,9,42,19,14,3,3,0,93,0,19,55,117,14,8,0,0,0,219,0,6,14,70,9,5,0,0,0,104,0,7,3,11,5,10,11,8,3,55,38,299,303,431,120,73,25,3,0,1295,0,0,0,4,6,4,4,11,4,26,30,60,88,417,51,27,14,0,0,680
POA3024,0,0,0,0,3,4,12,3,0,26,0,0,0,18,0,3,4,0,0,30,52,127,94,1422,91,61,35,5,0,1882,0,0,3,37,3,0,3,3,0,49,0,3,0,13,0,0,0,0,0,25,0,0,0,6,5,3,0,0,0,16,0,0,0,12,5,9,10,3,3,34,0,3,0,11,14,29,23,13,3,88,0,6,0,8,0,0,0,0,0,14,0,0,0,9,3,0,0,0,0,14,0,0,0,6,3,0,0,0,0,13,0,15,12,48,23,16,10,0,0,124,0,0,0,12,12,55,58,8,0,153,0,0,6,36,5,4,3,0,0,58,0,6,33,99,42,23,7,3,0,214,0,0,0,13,0,0,0,0,0,13,0,0,0,3,0,8,13,7,0,28,22,140,133,346,86,53,19,5,0,798,0,3,3,6,3,7,9,0,0,39,10,4,9,94,3,8,0,0,0,134
