POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3000,0,27,0,331,10,5,0,10,3,3,0,0,0,6,216,254,5,0,0,0,0,0,0,0,0,3,10,29,947,316,32,477,45,579,27,306,23,670,231,3640
POA3002,3,21,0,203,0,4,0,0,0,0,0,0,0,0,47,51,0,0,0,0,0,0,0,0,0,0,0,8,268,55,4,99,14,82,6,51,9,108,49,749
POA3003,0,3,0,85,3,0,0,0,0,0,0,0,0,0,35,49,0,0,0,0,0,0,0,0,0,0,0,5,278,45,6,93,13,88,5,36,0,69,41,678
POA3004,0,38,0,303,9,0,0,0,0,0,0,3,3,3,111,131,3,0,3,0,0,0,0,0,0,3,0,11,572,64,9,175,22,206,7,86,11,232,118,1510
POA3005,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,21,3,3,11,3,0,0,5,0,7,8,60
POA3006,0,27,0,461,7,0,0,5,0,0,0,0,0,0,197,217,3,0,3,0,0,0,0,0,0,0,0,13,1081,110,24,352,31,393,9,133,17,313,203,2666
POA3008,6,16,0,264,0,4,0,3,0,3,0,0,0,0,92,107,3,0,0,0,0,0,0,3,0,0,3,9,548,68,7,192,32,259,12,78,17,204,100,1518
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA3011,0,0,0,188,6,0,0,4,4,9,0,5,0,7,119,150,0,0,0,0,0,0,0,0,0,3,3,16,809,148,19,362,27,224,8,127,15,300,126,2162
POA3012,0,3,0,165,5,0,0,3,0,3,0,8,0,9,125,158,0,0,0,3,0,0,0,0,4,18,19,52,823,134,21,349,47,259,15,106,18,453,160,2386
POA3013,0,0,0,225,11,0,0,0,0,0,0,0,0,3,82,99,0,0,4,0,0,0,0,0,0,4,7,14,657,54,12,218,36,125,3,49,11,240,98,1510
POA3015,3,0,0,254,12,0,0,0,4,3,0,0,0,9,83,118,4,0,3,3,0,0,0,0,0,5,6,29,663,49,16,213,26,151,8,62,23,304,102,1617
POA3016,0,14,0,200,0,0,0,0,0,3,0,3,0,7,78,95,0,0,0,0,0,0,0,0,0,9,5,23,319,62,10,191,16,170,8,96,20,398,88,1376
POA3018,0,0,0,89,3,0,0,0,0,0,0,3,0,8,68,90,0,0,3,0,0,0,0,0,0,15,17,40,350,34,10,155,24,161,9,101,14,462,85,1411
POA3019,0,0,0,18,0,0,0,0,0,0,0,0,0,0,28,31,0,3,0,0,0,0,0,0,0,3,8,14,143,23,5,57,11,71,0,38,7,176,43,563
POA3020,0,6,0,50,3,3,0,3,3,8,0,5,0,41,113,185,0,0,3,0,0,7,0,3,0,59,52,125,597,145,21,348,30,396,20,232,38,1382,198,3414
POA3021,0,3,0,29,3,0,3,7,0,12,0,13,4,53,145,244,6,0,4,7,0,6,0,3,4,68,58,151,497,147,21,380,38,520,23,312,52,1907,236,4137
POA3022,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,3,3,10,58,8,6,30,3,31,0,6,0,76,12,239
POA3023,0,3,0,121,5,0,0,3,8,13,0,4,7,22,166,232,3,3,0,7,0,0,0,4,5,32,41,93,956,125,32,465,55,534,21,230,47,1208,226,3888
POA3024,0,0,0,33,13,0,0,3,0,3,0,0,0,10,75,103,4,0,0,0,0,3,0,0,0,16,6,41,496,48,19,230,41,230,8,83,11,373,91,1623
POA3025,0,5,0,44,0,0,0,0,0,4,0,0,0,13,55,74,0,0,0,0,0,0,0,0,0,23,13,37,255,24,12,88,9,88,6,44,7,477,81,1090
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA3027,0,0,0,36,0,0,0,0,0,0,0,0,0,0,22,28,0,0,0,0,0,0,0,0,0,0,0,3,204,20,4,59,15,75,3,29,4,58,25,493
POA3028,0,0,0,52,12,0,0,0,4,9,0,3,0,18,102,149,7,0,0,4,0,0,0,0,0,23,17,47,581,75,22,311,44,331,15,158,31,779,134,2477
