POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA3000,12032,3415,403,37,51,15941,729,16671
POA3002,404,1107,485,94,25,2118,54,2173
POA3003,698,970,301,40,9,2023,73,2089
POA3004,804,2474,782,97,31,4190,143,4337
POA3005,46,93,22,3,3,166,3,169
POA3006,2870,4268,862,94,27,8114,216,8328
POA3008,1705,2000,566,73,34,4373,129,4497
POA3010,0,7,3,0,0,12,0,12
POA3011,1842,3993,1823,320,117,8088,362,8451
POA3012,1127,4294,3109,664,272,9464,347,9811
POA3013,518,2421,2029,354,126,5452,140,5591
POA3015,397,2559,2594,529,213,6293,171,6462
POA3016,506,2050,2164,569,221,5509,173,5687
POA3018,457,2105,1736,424,248,4968,167,5129
POA3019,440,1109,846,301,130,2820,166,2991
POA3020,1536,5482,4558,1635,713,13921,788,14707
POA3021,1596,6084,5710,2031,988,16412,942,17351
POA3022,114,402,343,94,54,1017,66,1077
POA3023,595,5048,8403,2703,1228,17973,589,18570
POA3024,207,2499,3141,947,396,7197,205,7400
POA3025,461,1607,1472,409,168,4122,195,4310
POA3026,12,18,3,0,0,37,5,43
POA3027,33,604,978,231,68,1917,41,1961
POA3028,599,3742,3711,1146,625,9824,328,10149
POA3029,814,8756,11907,3620,1803,26905,825,27726
POA3030,1335,10231,13819,3844,1758,30991,885,31877
POA3031,1529,3693,1660,260,74,7215,300,7516
POA3032,1327,4741,3587,840,340,10835,348,11186
POA3033,236,1567,2194,624,317,4939,159,5095
POA3034,285,1362,1525,508,270,3956,147,4109
POA3036,80,473,860,333,215,1966,73,2045
POA3037,434,3714,6579,2471,1449,14646,412,15058
POA3038,272,1924,3358,1713,1117,8385,245,8626
POA3039,709,2249,1696,451,191,5296,192,5482
POA3040,781,3725,3351,999,503,9351,277,9632
POA3041,255,1441,1762,514,289,4261,115,4383
POA3042,403,2113,2359,641,287,5806,220,6021
POA3043,358,2304,2536,796,344,6332,206,6539
POA3044,832,3957,3507,860,450,9609,266,9873
POA3045,0,0,0,0,0,5,0,5
POA3046,1221,4915,3974,1055,535,11696,504,12204
POA3047,757,2305,1846,583,303,5795,439,6236
POA3048,352,1627,1825,705,334,4842,273,5111
POA3049,116,908,1242,502,295,3070,104,3172
POA3050,0,0,0,0,0,0,0,0
POA3051,2205,2500,800,103,29,5644,265,5904
POA3052,409,984,407,89,25,1914,67,1985
POA3053,4823,2133,571,78,35,7639,371,8006
POA3054,633,1680,834,158,49,3354,106,3460
POA3055,1014,2839,1465,305,122,5740,185,5923
POA3056,2170,4905,2117,424,154,9771,347,10121
POA3057,934,2636,1050,194,69,4890,147,5033
POA3058,1559,5415,3569,999,405,11942,375,12321
POA3059,47,662,1979,902,769,4364,87,4458
POA3060,499,1812,1335,436,224,4302,208,4511
POA3061,115,570,504,175,109,1470,78,1552
POA3062,0,0,0,0,0,0,0,0
POA3063,0,18,63,39,39,156,8,165
POA3064,622,5954,9054,3077,1647,20358,599,20954
POA3065,1149,1957,693,109,29,3931,196,4129
POA3066,1114,1787,531,85,22,3545,189,3729
POA3067,747,1831,716,127,31,3444,113,3562
POA3068,1251,3701,1833,383,95,7267,257,7523
POA3070,1290,4458,2678,534,175,9131,241,9379
POA3071,1095,3391,2108,416,191,7204,247,7455
POA3072,1674,5326,3520,927,343,11780,435,12219
POA3073,2217,7992,5589,1509,730,18039,876,18918
POA3074,683,2617,2198,801,408,6711,323,7037
POA3075,577,2675,2614,900,390,7163,309,7469
POA3076,482,3196,4110,1301,705,9798,321,10117
POA3078,451,1937,1465,301,140,4300,126,4422
POA3079,409,2164,2284,611,289,5757,126,5886
POA3081,657,1970,1591,381,121,4724,256,4979
POA3082,331,2683,3777,1572,983,9356,296,9651
POA3083,884,3564,3900,1298,690,10332,345,10673
POA3084,534,3336,3780,991,452,9086,235,9326
POA3085,252,1799,2032,502,250,4842,120,4959
POA3086,0,0,0,4,0,9,9,18
POA3087,210,1200,1308,382,184,3285,91,3379
POA3088,363,2914,4143,1271,705,9402,208,9608
POA3089,77,769,1706,664,487,3709,78,3787
POA3090,4,60,298,145,155,668,15,678
POA3091,7,44,154,109,144,456,13,471
POA3093,34,424,580,175,150,1353,38,1391
POA3094,131,1166,1413,387,181,3267,72,3344
POA3095,207,2021,4210,1561,1016,9022,155,9181
POA3096,6,105,243,127,86,567,14,577
POA3097,0,57,161,109,85,413,14,430
POA3099,31,333,604,340,265,1574,21,1600
POA3101,524,3278,3307,955,400,8472,195,8668
POA3102,122,776,999,244,103,2244,47,2288
POA3103,376,2010,2092,615,287,5377,149,5532
POA3104,274,1919,2955,930,429,6506,152,6662
POA3105,209,1203,1662,477,282,3828,105,3935
POA3106,142,1279,2432,877,580,5302,144,5447
POA3107,162,1388,2179,624,261,4618,150,4768
POA3108,501,3013,2864,872,396,7649,212,7862
POA3109,390,3086,4160,1265,586,9481,285,9768
POA3111,147,1090,1748,678,367,4039,93,4130
POA3113,23,428,1210,556,380,2591,59,2650
POA3114,9,133,469,241,243,1099,22,1126
POA3115,7,142,474,246,269,1141,22,1157
POA3116,81,818,1507,523,344,3266,84,3355
POA3121,2607,6502,2983,530,147,12766,417,13179
POA3122,1659,4420,2569,558,233,9431,275,9706
POA3123,642,2394,1878,398,177,5488,216,5702
POA3124,445,2763,2968,914,391,7478,127,7612
POA3125,658,1966,1780,470,178,5048,168,5215
POA3126,124,850,1144,329,178,2626,60,2690
POA3127,322,2325,2659,695,354,6357,100,6459
POA3128,1262,3100,2122,496,211,7195,260,7459
POA3129,438,2374,2431,580,268,6091,143,6232
POA3130,712,4173,4603,1135,497,11120,289,11414
POA3131,604,3148,3195,739,301,7983,251,8234
POA3132,376,2424,2394,525,235,5951,138,6088
POA3133,232,2181,3507,1022,500,7446,138,7585
POA3134,631,3816,4605,1386,859,11300,295,11592
POA3135,333,2531,3061,807,358,7085,176,7263
POA3136,744,5515,6615,2000,1027,15894,457,16350
POA3137,192,1512,1992,680,427,4806,144,4947
POA3138,248,2006,3214,1074,707,7248,176,7424
POA3139,72,1017,1770,879,716,4452,151,4597
POA3140,279,1815,2287,848,551,5769,175,5951
POA3141,3255,5967,2036,306,127,11690,353,12043
POA3142,510,2137,1781,497,299,5217,220,5437
POA3143,503,1818,1118,208,99,3747,104,3854
POA3144,329,1645,1535,377,172,4058,95,4154
POA3145,942,2895,3123,792,392,8141,220,8359
POA3146,544,3346,3707,950,429,8970,186,9160
POA3147,416,1761,2021,522,218,4937,130,5068
POA3148,243,1072,1263,307,113,3003,96,3098
