POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3766,..,113,113,152,7,153,71,3,75,82,0,82,25,0,25,6,0,6,340,122,460
POA3767,..,89,89,185,9,201,70,0,70,67,0,68,25,0,25,12,0,12,361,96,456
POA3770,..,155,155,354,7,364,173,3,176,211,0,211,97,0,100,41,0,41,871,165,1038
POA3775,..,265,265,447,23,465,214,0,214,233,0,233,103,0,103,38,0,38,1041,282,1323
POA3777,..,1024,1024,1291,78,1369,617,7,627,559,0,560,247,0,247,103,0,103,2817,1110,3932
POA3778,..,17,17,23,6,29,8,0,8,7,0,7,3,0,3,0,0,0,53,24,70
POA3779,..,61,61,72,0,77,16,0,16,19,0,19,0,0,0,0,0,0,106,57,170
POA3781,..,269,269,440,36,471,255,3,259,273,0,273,140,0,140,59,0,59,1164,306,1476
POA3782,..,434,434,848,41,887,432,3,431,537,0,536,218,0,218,91,0,91,2116,476,2591
POA3783,..,108,108,222,13,235,140,3,147,144,0,144,78,0,78,30,0,30,623,120,741
POA3785,..,5,5,11,3,8,6,0,6,0,0,0,0,0,0,0,0,0,14,10,26
POA3786,..,100,100,179,10,195,71,0,71,99,0,102,37,0,37,20,0,20,411,108,516
POA3787,..,56,56,112,3,119,75,0,76,71,0,71,29,0,29,3,0,3,295,61,351
POA3788,..,150,150,231,11,242,105,0,109,100,0,100,36,0,36,14,0,14,481,167,653
POA3789,..,21,21,40,3,42,23,0,23,15,0,15,3,0,3,0,0,0,80,25,105
POA3791,..,103,103,179,3,189,74,0,74,100,0,100,41,0,41,15,0,15,407,115,519
POA3792,..,53,53,125,4,126,65,0,61,60,0,60,34,0,34,11,0,11,290,55,345
POA3793,..,232,232,420,28,453,207,3,211,210,0,210,106,0,106,43,0,42,989,263,1255
POA3795,..,55,55,123,4,124,54,0,54,71,0,71,47,0,47,21,0,21,315,58,370
POA3796,..,557,557,954,43,997,541,6,547,637,0,637,305,0,305,141,0,147,2575,614,3186
POA3797,..,366,366,407,28,434,172,3,169,177,0,177,96,0,96,30,0,30,878,397,1278
POA3799,..,705,705,704,67,771,338,4,337,261,0,261,113,3,120,56,0,56,1481,783,2255
POA3800,..,9,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,9,19
POA3802,..,1085,1085,2200,114,2319,1500,23,1523,1606,10,1620,735,7,745,437,5,437,6484,1247,7727
POA3803,..,603,603,891,63,957,582,11,593,638,6,641,290,7,292,276,4,278,2681,684,3367
POA3804,..,170,170,575,8,582,371,0,371,587,0,587,292,4,296,197,0,197,2016,183,2203
POA3805,..,2240,2240,4065,262,4324,3095,57,3155,4077,17,4092,1882,11,1886,1280,0,1286,14400,2582,16986
POA3806,..,2669,2669,4103,227,4329,2811,37,2846,3720,20,3737,1495,3,1497,652,5,653,12780,2954,15734
POA3807,..,343,343,551,28,581,357,3,360,599,3,599,248,0,248,93,0,95,1848,382,2223
POA3808,..,95,95,259,13,266,160,0,160,199,0,199,119,0,119,39,0,39,781,105,887
POA3809,..,342,342,708,60,766,521,4,529,477,0,476,192,0,192,87,0,87,1984,413,2393
POA3810,..,3221,3221,4470,334,4804,2843,56,2898,2971,14,2989,1294,4,1298,772,4,771,12341,3641,15979
POA3812,..,121,121,258,13,272,113,0,110,144,0,144,66,0,66,38,0,38,621,139,754
POA3813,..,58,58,91,6,94,45,0,45,55,0,55,22,0,24,13,0,13,217,72,291
POA3814,..,146,146,238,11,253,106,0,104,120,0,120,61,0,61,43,0,43,577,156,735
POA3815,..,188,188,317,13,332,150,3,158,171,0,171,89,0,89,50,0,50,782,201,984
POA3816,..,208,208,306,23,331,151,0,151,148,0,148,63,0,63,37,0,37,707,236,942
POA3818,..,1285,1285,1773,109,1881,735,6,740,687,0,687,348,0,351,160,0,158,3700,1413,5108
POA3820,..,1631,1631,2067,114,2179,805,10,817,768,11,776,393,3,397,154,0,157,4184,1776,5961
POA3821,..,171,171,367,16,381,131,0,133,154,0,154,98,0,98,38,0,38,789,186,974
POA3822,..,52,52,98,3,100,49,0,49,51,0,51,33,0,33,25,0,25,257,60,315
POA3823,..,176,176,267,9,276,98,0,102,89,0,89,45,0,45,16,0,16,512,189,705
POA3824,..,474,474,640,34,679,222,3,224,274,0,274,114,0,114,49,0,49,1302,512,1812
POA3825,..,2795,2795,2641,198,2843,1076,11,1086,918,0,921,371,0,371,165,0,161,5172,3005,8174
POA3831,..,133,133,237,11,248,77,0,77,79,0,79,41,0,41,23,0,23,455,142,600
POA3832,..,31,31,34,0,34,10,0,10,10,0,10,6,0,6,0,0,0,59,31,88
POA3833,..,49,49,41,6,47,8,0,8,5,0,5,3,0,3,4,0,4,63,58,123
POA3835,..,35,35,73,3,77,20,0,20,20,0,20,15,0,15,5,0,5,136,33,172
POA3840,..,2245,2245,2082,164,2249,874,20,890,705,5,711,274,0,274,144,0,144,4080,2436,6516
POA3842,..,453,453,639,48,691,266,16,285,203,5,205,77,0,77,36,0,36,1224,526,1751
POA3844,..,3117,3117,3486,249,3737,1525,42,1569,1526,7,1530,617,0,616,230,3,235,7384,3424,10802
POA3847,..,206,206,308,19,331,126,0,124,97,0,97,42,0,42,26,0,26,598,228,824
POA3850,..,1774,1774,1801,143,1945,766,24,792,722,3,728,313,8,324,103,5,106,3714,1948,5660
POA3851,..,554,554,687,45,736,184,4,187,208,0,207,101,0,101,55,0,55,1243,610,1846
POA3852,..,4,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,4,9
POA3854,..,74,74,165,7,174,78,0,78,92,0,92,43,0,43,12,0,12,390,82,481
POA3856,..,67,67,115,8,120,63,0,59,61,0,61,23,0,23,12,0,12,273,80,353
POA3857,..,25,25,59,3,57,21,0,21,22,0,22,11,0,11,3,0,3,112,23,136
POA3858,..,337,337,380,25,400,134,0,134,134,0,133,100,0,100,21,0,21,763,364,1125
POA3859,..,66,66,116,4,125,33,0,33,43,0,43,26,0,26,8,0,8,227,76,296
POA3860,..,786,786,965,46,1008,339,10,350,314,3,321,187,0,187,74,0,74,1879,846,2724
POA3862,..,278,278,431,14,444,155,3,162,173,0,174,73,0,73,29,0,29,860,298,1154
POA3864,..,21,21,33,3,34,13,0,13,13,0,13,3,0,3,3,0,3,56,24,82
POA3865,..,49,49,67,3,70,23,0,23,18,0,18,18,0,18,3,0,3,120,49,168
POA3869,..,131,131,214,5,218,84,0,86,87,4,90,46,0,46,14,0,14,446,140,583
POA3870,..,141,141,180,3,189,68,0,69,55,0,55,30,0,30,11,0,11,347,151,499
POA3871,..,281,281,375,15,390,130,0,136,143,0,143,76,0,80,23,0,23,747,298,1047
POA3873,..,31,31,41,0,42,19,0,19,15,0,15,9,0,9,3,0,3,87,28,117
POA3874,..,78,78,97,8,103,30,0,28,19,0,19,11,0,11,3,0,3,157,85,239
POA3875,..,2022,2022,2533,130,2667,897,23,920,845,3,848,359,3,367,149,4,159,4788,2191,6973
POA3878,..,89,89,215,14,227,32,0,33,43,0,43,19,0,19,9,0,9,316,98,420
POA3880,..,590,590,741,45,782,147,0,144,123,0,123,44,0,44,20,0,20,1074,636,1710
POA3882,..,95,95,190,9,196,39,0,36,48,0,48,31,0,31,11,0,11,318,105,423
POA3885,..,196,196,285,14,299,102,0,102,78,0,78,27,0,27,24,0,24,518,209,728
POA3886,..,40,40,59,3,62,15,0,15,10,0,10,13,0,13,3,0,3,107,42,144
POA3887,..,49,49,43,4,43,18,0,18,19,0,19,3,0,3,3,0,3,79,54,141
POA3888,..,507,507,503,33,531,142,0,146,124,0,124,64,0,64,19,0,19,855,542,1393
POA3889,..,27,27,35,3,36,0,0,0,0,0,0,0,0,0,3,0,3,41,29,68
POA3890,..,58,58,49,3,54,7,0,7,12,0,12,7,0,7,0,0,0,73,63,137
POA3891,..,24,24,19,4,28,0,0,0,0,0,0,0,0,0,0,0,0,30,21,53
POA3892,..,190,190,174,9,185,43,0,48,36,0,36,11,0,11,6,0,6,272,202,470
POA3893,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
POA3895,..,40,40,29,3,34,7,0,7,5,0,5,0,0,0,0,0,0,48,41,88
POA3896,..,57,57,51,3,55,24,0,24,14,0,14,8,0,8,3,0,3,101,61,157
POA3898,..,83,83,93,7,95,25,3,29,29,0,27,13,0,14,4,0,9,159,98,260
POA3900,..,21,21,29,0,25,3,0,3,6,0,6,0,0,0,0,0,0,37,22,60
POA3902,..,31,31,72,5,77,21,0,21,17,0,17,11,0,11,0,0,0,118,38,162
POA3903,..,86,86,128,3,136,18,0,18,27,0,27,14,0,14,5,0,5,204,91,289
POA3904,..,167,167,284,9,291,51,0,51,37,0,37,26,0,26,6,0,6,409,174,585
POA3909,..,979,979,1188,73,1257,369,13,378,300,0,304,134,0,134,39,0,39,2028,1060,3092
POA3910,..,1681,1681,2347,143,2489,1367,22,1382,1502,0,1500,643,0,648,231,0,231,6087,1843,7929
POA3911,..,249,249,367,17,383,201,3,207,186,0,186,91,0,93,48,0,48,894,269,1170
POA3912,..,1030,1030,1592,78,1674,851,3,861,992,3,995,410,0,410,192,0,192,4044,1117,5157
POA3913,..,212,212,396,13,412,189,0,190,210,0,210,91,0,91,46,0,43,927,233,1161
POA3915,..,1240,1240,1198,104,1305,558,5,568,489,0,492,190,0,190,104,0,104,2545,1349,3898
POA3916,..,80,80,143,0,143,40,0,40,43,0,43,19,0,19,7,0,7,246,78,330
POA3918,..,246,246,426,36,455,213,3,212,233,0,230,96,0,96,42,0,42,1009,282,1294
POA3919,..,304,304,379,32,407,190,3,196,173,0,173,67,0,69,34,0,34,847,335,1182
POA3920,..,0,0,40,0,40,22,0,22,13,0,13,3,0,3,4,0,4,80,0,85
POA3921,..,28,28,20,0,17,3,0,3,3,0,3,0,0,0,3,0,3,25,23,55
POA3922,..,1014,1014,1127,61,1188,329,5,333,313,0,310,138,0,138,44,0,44,1946,1084,3032
POA3923,..,75,75,101,4,101,27,0,28,17,0,17,8,0,8,0,0,0,148,81,231
POA3925,..,414,414,475,34,512,166,0,172,169,0,169,56,0,56,17,0,17,882,447,1332
POA3926,..,240,240,436,16,446,195,0,195,178,0,178,70,0,70,23,0,23,894,253,1154
POA3927,..,172,172,229,8,243,75,0,75,81,0,81,35,0,35,7,0,7,427,188,612
POA3928,..,34,34,64,8,67,16,0,16,21,0,21,9,0,9,3,0,3,111,35,151
POA3929,..,99,99,156,3,157,32,0,32,29,0,29,18,0,18,6,0,6,242,104,345
POA3930,..,1053,1053,1939,59,2000,857,0,856,1293,3,1298,567,3,571,179,0,179,4832,1116,5951
POA3931,..,2900,2900,3294,197,3487,1215,24,1240,1284,6,1291,441,3,440,149,0,149,6384,3126,9510
POA3933,..,38,38,102,3,104,56,0,56,67,0,67,33,0,33,23,0,23,279,37,317
POA3934,..,1283,1283,2069,58,2129,968,6,974,1288,3,1294,548,3,554,157,0,156,5034,1352,6385
POA3936,..,1237,1237,1725,94,1827,559,9,568,521,0,518,183,0,180,55,0,61,3044,1352,4389
POA3937,..,103,103,204,3,207,77,0,77,93,0,93,28,0,28,9,0,9,419,106,523
POA3938,..,296,296,472,17,485,149,0,150,123,0,123,50,0,49,15,0,15,806,314,1124
POA3939,..,1952,1952,2076,139,2221,730,15,743,634,7,638,277,0,280,101,0,102,3821,2119,5936
POA3940,..,928,928,714,44,758,208,0,208,143,0,143,69,0,69,26,0,26,1154,980,2132
POA3941,..,1451,1451,1645,102,1753,595,9,607,581,3,580,255,0,255,90,0,90,3167,1566,4737
POA3942,..,299,299,416,14,423,77,0,84,83,0,82,31,0,31,0,0,0,612,315,922
POA3943,..,252,252,304,3,314,60,3,63,30,0,30,8,0,8,3,0,3,410,257,668
POA3944,..,58,58,108,3,112,11,0,11,3,0,3,4,0,4,0,0,0,128,58,185
POA3945,..,88,88,167,3,174,48,0,48,46,0,46,22,0,22,3,0,3,290,92,383
POA3946,..,15,15,38,3,38,8,0,8,10,0,10,4,0,4,0,0,0,57,18,77
POA3950,..,566,566,603,32,631,226,0,224,217,3,221,119,0,119,50,0,50,1206,594,1806
POA3951,..,93,93,131,3,136,42,0,40,48,0,48,34,0,34,12,0,12,264,99,361
POA3953,..,809,809,1049,49,1100,355,12,369,350,3,351,188,0,188,95,0,95,2037,874,2906
POA3954,..,34,34,51,0,53,14,0,14,24,0,24,14,0,14,10,0,10,111,31,139
POA3956,..,333,333,415,28,446,100,3,106,110,0,115,38,0,38,20,0,20,689,371,1055
POA3957,..,13,13,34,0,32,16,0,16,18,0,18,8,0,8,4,0,4,79,16,95
POA3958,..,16,16,41,3,37,10,0,10,17,0,17,9,0,9,0,0,0,74,15,95
POA3959,..,122,122,165,6,170,39,0,39,49,0,49,24,0,24,14,0,14,293,127,425
POA3960,..,379,379,391,19,410,95,0,95,77,0,77,41,0,41,24,0,24,623,401,1023
POA3962,..,142,142,155,7,164,50,0,47,33,0,33,11,0,11,4,0,4,255,154,411
POA3964,..,18,18,28,3,28,3,0,3,7,0,7,5,0,5,0,0,0,38,21,58
POA3965,..,43,43,32,4,35,4,0,4,9,0,9,0,0,0,0,0,0,45,45,94
POA3966,..,74,74,79,3,81,27,0,31,12,0,12,9,4,14,3,0,3,138,79,216
POA3967,..,14,14,24,0,25,6,0,6,3,0,3,3,0,3,0,0,0,38,14,53
POA3971,..,564,564,618,42,666,205,3,203,134,0,134,76,0,76,15,0,15,1053,611,1663
POA3975,..,305,305,737,55,794,846,7,856,1238,6,1244,489,0,489,379,0,379,3692,378,4067
POA3976,..,1180,1180,1625,154,1777,1392,32,1424,1623,16,1636,779,5,788,675,7,676,6087,1389,7481
POA3977,..,4600,4600,7566,539,8105,5673,81,5752,6214,18,6235,2708,3,2711,1770,5,1779,23930,5252,29185
POA3978,..,354,354,926,64,985,706,6,708,750,12,758,328,0,326,156,0,156,2862,432,3293
POA3979,..,17,17,40,0,40,20,0,20,13,0,13,18,0,18,3,0,3,88,17,103
POA3980,..,253,253,352,23,372,174,0,176,209,0,209,90,0,90,33,0,33,866,282,1143
POA3981,..,329,329,495,26,514,285,0,287,270,0,270,137,0,137,65,0,65,1253,355,1608
POA3984,..,674,674,774,65,835,274,0,280,193,0,193,110,0,110,40,0,40,1391,741,2130
POA3987,..,86,86,170,8,178,74,0,75,87,0,87,54,0,54,27,0,27,410,93,505
POA3988,..,80,80,132,3,132,53,0,53,50,0,52,28,0,26,13,0,13,269,84,359
POA3990,..,12,12,21,0,21,3,0,3,4,0,4,3,0,3,0,0,0,29,10,47
POA3991,..,39,39,46,5,51,20,0,25,17,0,17,14,0,14,0,0,0,97,47,138
POA3992,..,103,103,147,14,163,52,0,52,46,0,46,15,0,15,7,0,7,269,122,391
POA3995,..,1463,1463,1380,100,1482,495,5,500,390,0,394,211,0,210,76,0,82,2553,1577,4128
POA3996,..,672,672,877,44,917,211,8,220,228,0,232,118,0,118,28,0,28,1460,726,2181
