POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3496,..,590,590,708,46,757,332,0,329,316,0,317,136,0,136,75,0,82,1558,644,2204
POA3498,..,406,406,617,26,646,254,3,258,286,0,284,178,0,176,72,0,71,1405,437,1841
POA3500,..,3784,3784,3960,345,4305,1666,64,1729,1445,30,1472,699,9,712,333,9,342,8102,4244,12346
POA3501,..,105,105,216,4,215,97,0,97,124,0,124,73,0,73,24,0,24,532,108,637
POA3505,..,420,420,539,31,566,266,7,267,235,0,236,128,0,128,62,0,62,1231,454,1681
POA3506,..,8,8,3,0,5,0,0,0,3,0,3,0,0,0,0,0,0,8,6,16
POA3507,..,19,19,28,0,30,9,0,9,6,0,6,6,0,6,0,0,0,46,17,63
POA3509,..,28,28,44,0,42,13,0,13,12,0,12,7,0,7,0,0,0,67,33,97
POA3512,..,52,52,61,0,60,10,0,10,17,0,17,8,0,8,4,0,4,103,52,153
POA3515,..,93,93,220,18,235,130,0,130,103,0,103,57,0,57,21,0,21,526,105,633
POA3516,..,74,74,94,8,97,31,0,31,37,0,37,15,0,15,3,0,3,179,84,260
POA3517,..,201,201,196,16,212,54,0,54,41,0,41,29,0,29,9,0,9,338,212,553
POA3518,..,214,214,177,27,197,54,0,51,39,0,39,11,0,11,21,0,21,297,239,538
POA3520,..,34,34,27,3,26,11,0,11,5,0,5,0,0,0,3,0,3,38,41,77
POA3521,..,44,44,68,6,73,29,0,29,41,0,41,10,0,10,14,0,14,170,49,223
POA3522,..,23,23,43,0,47,14,0,14,17,0,17,10,0,10,3,0,3,87,25,111
POA3523,..,509,509,604,50,658,170,3,169,121,0,121,37,0,37,29,0,29,963,559,1525
POA3525,..,199,199,213,17,229,51,3,52,33,0,33,26,0,26,8,0,8,336,219,556
POA3527,..,113,113,126,11,138,37,0,37,16,0,16,10,0,10,4,0,4,194,125,322
POA3529,..,8,8,11,0,11,3,0,3,5,0,5,7,0,7,3,0,3,29,8,34
POA3530,..,22,22,17,3,19,7,0,7,8,0,8,0,0,0,0,0,0,29,25,53
POA3531,..,16,16,26,3,28,8,0,8,12,0,12,6,0,6,0,0,0,49,18,72
POA3533,..,103,103,107,13,119,28,0,29,28,0,28,21,0,21,6,0,6,183,112,299
POA3537,..,126,126,178,3,181,44,0,44,30,0,30,18,0,18,14,0,14,274,131,408
POA3540,..,48,48,42,0,48,18,0,18,4,0,4,5,0,5,3,0,3,70,52,122
POA3542,..,18,18,20,0,20,4,0,4,8,0,8,5,0,5,4,0,4,41,18,59
POA3544,..,32,32,34,4,32,10,0,10,4,0,4,8,0,8,4,0,4,60,35,94
POA3546,..,52,52,50,7,53,26,0,26,11,0,11,5,0,5,5,0,5,94,58,149
POA3549,..,273,273,343,31,377,154,7,163,131,6,132,104,7,107,58,3,64,780,325,1109
POA3550,..,5367,5367,5031,604,5638,2032,207,2241,1629,68,1699,736,17,756,336,14,352,9766,6277,16042
POA3551,..,1394,1394,3173,139,3317,1617,35,1648,1941,7,1940,965,3,967,348,0,348,8039,1574,9618
POA3555,..,2458,2458,2548,226,2774,1074,54,1128,887,7,894,349,5,358,148,0,152,5010,2747,7758
POA3556,..,1564,1564,1520,171,1692,699,23,722,574,8,582,279,3,280,142,0,142,3215,1767,4982
POA3557,..,61,61,94,6,101,46,0,46,37,0,37,30,0,30,8,0,8,208,66,274
POA3558,..,154,154,125,7,132,42,0,42,42,0,42,22,0,22,8,0,8,231,159,395
POA3559,..,44,44,81,3,88,25,0,25,29,0,29,15,0,15,7,0,7,156,48,208
POA3561,..,465,465,638,34,667,199,6,204,184,0,188,104,0,104,47,0,47,1175,508,1684
POA3562,..,22,22,33,0,33,9,0,9,14,0,14,4,0,4,3,0,3,66,22,92
