POA_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
POA3000,0,0,0,0,4,3,7,7,71,0,82,0,0,0,0,0,0,0,4,13,0,19,3,3,0,4,0,0,0,6,17,0,21,0,6,0,6,0,0,0,6,10,0,21,4,0,0,4,3,0,3,5,19,0,23,5,8,0,10,0,0,0,12,12,0,22,6,8,0,14,0,0,0,14,16,0,32,5,4,0,14,0,0,0,14,15,0,27,12,8,0,22,0,0,0,22,16,0,37,8,3,0,7,0,0,0,7,7,0,17,8,3,0,14,0,0,0,12,9,0,18,4,0,0,5,0,0,0,5,3,0,9,10,0,0,13,3,0,3,16,3,0,21,11,0,0,11,0,0,0,11,3,0,12,4,0,0,4,0,0,0,4,0,0,3,5,4,0,12,0,0,0,12,6,0,13,7,0,0,7,0,0,0,7,4,0,11,11,4,0,15,0,0,0,15,13,3,26,0,0
POA3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,4,4,0,7,4,0,0,6,0,0,0,6,0,0,6,0,0,0,3,0,0,0,3,3,0,6,3,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,4,0,9,3,0,0,3,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,9,6,5,0,8,0,0,0,8,5,0,12,3,0,0,5,0,0,0,5,3,0,7,0,0
POA3003,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,3,0,0,4,3,0,0,5,0,0,0,5,3,0,9,3,3,0,6,0,0,0,6,0,0,8,0,0,0,3,0,0,0,3,4,0,5,3,0,0,3,0,0,0,3,0,0,4,10,0,0,11,0,0,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,3,0,0
POA3004,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,3,0,3,0,0,0,3,4,0,8,3,4,0,5,0,0,0,5,0,0,10,3,4,0,8,0,0,0,8,6,0,9,3,0,0,3,3,0,7,7,4,0,11,7,7,0,6,0,0,0,6,11,0,18,3,3,0,5,0,0,0,5,4,0,13,3,3,0,5,0,0,0,5,0,0,8,5,0,0,5,0,0,0,5,3,0,8,8,6,0,13,0,0,0,13,7,0,20,0,0,0,0,0,0,0,0,7,0,9,3,0,0,3,0,0,0,3,0,0,3,9,0,0,12,0,0,0,12,0,0,13,4,0,0,4,0,0,0,4,3,0,7,9,3,3,16,0,0,0,20,12,0,29,0,0
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3006,0,0,0,3,0,0,0,6,29,0,31,0,0,0,3,0,0,0,5,8,0,7,0,3,0,6,0,0,0,4,3,0,6,0,0,0,0,0,0,0,4,7,0,10,3,4,0,8,0,0,0,9,3,0,13,3,4,0,11,0,0,0,7,8,0,17,7,5,0,11,0,0,0,11,6,0,19,7,6,3,16,0,0,0,16,6,0,20,5,8,0,15,0,0,0,15,8,0,30,11,6,0,15,0,0,0,15,3,0,19,9,5,0,12,0,0,0,12,6,0,12,12,6,0,21,0,0,0,24,6,0,27,19,4,0,22,0,0,0,24,9,0,31,10,4,0,8,0,0,0,8,0,0,11,0,0,0,4,0,0,0,4,0,0,3,15,0,0,15,0,0,0,17,0,0,18,10,0,0,10,0,0,0,10,0,0,17,11,4,0,16,0,0,0,16,6,0,27,0,0
POA3008,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,3,6,6,0,10,0,3,0,3,0,0,0,5,3,0,9,0,0,0,0,0,0,0,0,4,0,4,0,4,0,5,0,0,0,9,9,0,16,3,3,0,5,0,0,0,5,3,0,9,8,0,0,7,0,0,0,7,7,0,16,8,4,3,17,0,0,0,17,4,0,22,9,0,0,6,0,0,0,6,3,0,11,5,0,0,5,0,0,0,4,3,0,11,3,4,3,5,0,0,0,5,0,0,12,16,3,0,15,0,0,0,15,3,0,16,3,0,0,3,0,0,0,3,3,0,6,6,0,0,3,0,0,0,3,0,0,3,7,0,0,9,0,0,0,9,0,0,8,10,0,0,15,0,0,0,15,0,0,15,6,0,0,6,0,0,0,6,10,0,12,0,0
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3011,0,0,0,0,5,0,5,3,14,0,16,0,0,0,0,0,0,5,3,8,0,11,0,0,0,0,5,3,12,12,23,0,31,0,0,0,3,0,3,3,5,7,0,15,0,6,3,9,0,0,3,13,24,0,42,10,18,3,27,0,3,3,35,29,0,58,4,16,0,21,0,3,4,22,45,0,71,11,14,3,29,0,0,0,33,24,0,58,21,21,0,41,0,0,3,42,40,0,85,13,7,0,19,0,0,3,22,14,0,35,15,6,0,25,0,0,0,25,18,0,39,20,9,0,28,0,0,0,28,9,0,35,21,5,0,29,0,0,0,29,17,0,46,17,0,0,12,0,0,0,12,14,0,26,8,5,0,11,0,0,0,12,3,0,11,8,0,0,9,0,0,0,9,4,0,9,3,0,0,3,0,0,0,3,0,0,9,21,5,0,24,4,0,4,25,22,0,55,0,0
POA3012,3,0,0,3,3,0,5,8,25,0,32,0,0,3,0,3,4,5,4,9,0,15,3,8,3,10,5,0,5,13,28,0,43,0,12,0,9,5,4,10,20,28,0,47,0,15,0,13,0,3,7,21,38,0,58,8,28,0,33,4,7,17,50,42,0,94,12,35,0,45,0,5,5,49,53,0,107,32,29,4,62,0,0,3,62,51,0,109,29,28,3,58,0,3,3,68,48,0,115,31,24,0,57,0,0,0,54,32,0,88,31,19,0,57,3,0,0,55,15,0,68,40,8,0,47,0,0,0,47,17,0,63,30,11,0,41,3,0,5,43,22,0,63,15,7,0,18,0,0,0,20,15,0,32,8,3,0,11,0,0,0,14,3,0,15,9,0,3,11,0,0,0,11,0,0,12,6,0,0,6,0,0,0,6,4,0,12,28,9,0,40,3,3,5,46,41,4,90,7,3
