POA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA3000,3,0,4,3,0,0,7,3,0,5,0,0,0,13,31,3,90,20,21,3,168,16,3,39,6,4,3,70,28,0,63,18,55,3,168,27,4,67,20,9,3,132,67,8,186,46,46,9,362,101,8,515,327,180,52,1177,35,4,94,22,24,10,186,46,14,146,31,13,3,257,125,16,284,38,25,14,499,39,3,57,17,20,3,133,463,54,1003,63,29,32,1643,39,7,147,49,22,12,269,39,19,101,23,19,0,201,195,21,141,23,10,4,399,72,21,148,24,11,8,280,23,10,82,20,14,3,152,15,3,38,28,33,3,128,50,4,123,47,31,32,291,1412,197,3336,826,574,197,6541,5,0,3,0,0,0,8,3,0,5,0,0,0,5,23,3,65,21,16,6,131,3,7,19,0,0,0,30,25,0,30,5,5,3,66,30,3,52,14,11,3,108,88,7,280,74,47,20,516,123,12,685,238
POA3002,0,0,0,0,0,0,5,0,0,3,0,0,0,5,6,0,21,4,7,0,43,0,0,18,0,0,0,15,3,0,10,7,18,6,49,7,3,22,4,3,0,28,9,3,26,9,0,5,44,3,3,30,11,4,0,54,5,0,15,6,10,0,37,12,0,18,4,4,7,42,20,11,71,6,10,4,121,0,0,16,3,4,0,32,85,17,171,30,5,10,312,6,3,22,3,3,4,42,12,7,40,8,3,0,72,49,4,40,4,0,0,98,48,15,77,9,9,3,153,6,3,15,8,3,0,33,5,0,12,0,3,0,23,11,3,20,6,3,6,51,288,66,641,128,95,43,1265,0,0,0,3,0,0,3,0,0,0,0,0,0,4,3,4,25,3,0,0,36,3,0,0,0,3,0,5,3,0,11,0,3,0,18,3,0,5,3,5,0,16,9,3,44,16,8,0,76,6,0,24,9
POA3003,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,21,9,11,3,44,0,0,3,0,0,0,13,4,0,15,5,19,0,44,4,0,11,9,3,0,29,4,0,24,15,8,0,52,16,3,82,46,39,3,189,7,3,23,6,13,3,47,10,3,26,7,5,0,57,22,3,55,8,4,0,101,3,0,16,3,3,0,22,79,17,180,19,6,4,302,10,0,25,10,7,0,46,15,8,37,5,3,3,66,48,6,34,3,0,0,102,27,4,31,6,6,0,67,3,3,19,6,3,0,36,4,0,13,12,6,0,34,3,0,13,13,9,8,44,277,51,627,180,146,24,1308,0,0,0,3,0,0,5,0,0,0,0,0,0,0,3,3,17,3,7,0,28,7,0,6,0,0,0,17,3,0,11,0,3,0,20,3,0,17,3,0,0,22,8,3,53,14,6,0,88,6,3,62,39
POA3004,0,0,4,0,3,0,9,3,0,7,0,0,0,15,24,0,42,12,19,3,100,0,3,13,0,3,0,19,14,3,50,17,54,4,133,14,0,31,17,21,0,83,11,5,30,17,11,11,86,17,3,58,38,33,4,150,5,4,28,9,12,3,66,20,0,39,23,6,3,94,48,10,111,22,13,8,212,13,3,34,12,14,3,80,135,21,296,40,28,18,545,12,4,19,12,10,0,62,22,7,45,12,10,0,102,50,12,41,12,9,0,124,55,9,102,12,6,4,189,5,3,27,14,11,0,53,6,0,15,3,13,0,31,31,6,53,13,16,12,131,493,96,1050,271,291,77,2290,0,0,0,0,0,0,7,0,0,5,0,0,0,7,13,3,32,4,3,4,55,7,0,7,0,3,0,20,0,0,18,6,3,0,31,9,0,31,8,7,0,60,9,0,67,27,17,4,123,6,3,70,38
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,5,0,0,0,0,0,0,0,0,0,5,0,3,0,10,0,0,3,0,0,0,3,0,0,3,0,3,0,7,0,0,4,4,0,0,8,0,0,0,0,3,0,5,0,0,0,0,0,0,3,7,0,3,4,0,0,15,0,0,0,0,0,0,0,4,3,6,3,0,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,4,38,20,19,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,3,0,9,0,0,3,3
POA3006,8,0,8,0,0,0,14,11,0,20,4,6,0,42,45,6,108,28,32,7,218,12,3,35,11,3,0,65,31,6,61,32,86,8,220,13,3,66,5,16,0,111,45,0,96,40,39,4,231,30,3,144,119,94,13,408,22,0,70,25,35,5,157,40,7,105,28,14,3,190,112,25,288,51,25,11,506,22,3,46,25,20,3,120,293,49,594,60,36,24,1047,25,3,88,24,22,4,166,41,20,66,16,26,3,176,100,15,88,20,12,3,242,63,22,122,9,12,10,240,30,3,97,53,52,3,236,19,0,38,13,29,6,97,24,3,89,22,18,25,175,993,171,2222,570,564,123,4646,7,0,3,0,4,0,9,3,0,9,0,0,0,15,25,4,67,12,6,4,118,9,5,22,7,0,0,42,12,3,31,12,3,3,63,32,4,45,17,5,0,111,55,8,173,38,27,9,308,41,3,178,99
POA3008,0,0,4,0,0,0,5,0,0,8,0,0,0,15,23,4,42,13,22,3,114,9,0,24,0,0,0,34,14,3,30,14,48,6,107,21,0,59,8,5,4,97,14,0,42,16,29,3,114,16,3,59,57,36,14,186,10,0,26,22,21,4,84,31,3,80,9,16,0,133,61,13,156,26,19,4,287,9,3,19,5,12,0,59,174,22,574,26,20,10,826,3,0,41,13,11,0,65,25,11,33,17,13,9,114,48,3,33,15,8,4,100,27,10,47,5,4,0,97,6,0,29,4,9,0,56,0,0,17,8,17,0,50,8,4,43,14,17,8,94,504,89,1351,288,306,81,2625,3,0,6,0,0,0,7,0,0,4,0,0,0,7,11,0,24,8,5,4,54,3,0,6,3,0,0,15,7,0,17,0,3,0,32,8,0,24,8,4,5,51,22,3,71,43,14,4,153,12,0,79,49
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,3,21,4,21,0,3,0,56,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,35,5,38,0,11,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,3,0,3,3
POA3011,4,0,12,3,6,3,23,0,0,5,0,3,0,8,28,4,87,47,79,6,250,16,4,31,8,9,4,67,16,0,68,45,144,8,286,21,4,55,17,22,4,125,70,12,136,48,61,10,330,61,3,129,91,86,18,388,39,6,96,52,65,19,273,24,9,90,32,17,0,170,41,24,133,28,18,3,243,3,0,24,9,11,0,56,148,22,310,68,31,11,593,32,3,75,39,34,6,193,57,29,127,42,27,10,291,110,56,166,24,21,9,384,73,30,153,38,34,7,335,22,6,65,27,25,3,150,18,3,39,21,46,0,119,23,8,72,28,41,26,200,790,218,1858,675,779,152,4471,0,0,8,4,0,0,7,0,0,3,0,0,0,3,12,7,63,19,15,0,108,5,3,16,4,4,0,35,3,3,24,8,5,3,52,10,3,37,8,9,0,72,19,6,122,61,55,6,273,27,3,118,57
POA3012,0,0,4,3,3,0,14,0,0,7,5,5,0,21,38,11,122,55,141,14,382,11,3,29,7,15,0,66,15,4,84,60,279,11,453,24,3,51,21,34,6,137,55,13,142,85,82,10,380,37,0,140,91,110,12,399,37,10,105,71,101,11,339,30,10,86,28,22,3,170,54,6,142,42,28,7,290,3,0,29,17,17,4,77,117,29,298,69,46,8,573,35,12,63,35,32,3,189,48,19,117,61,61,3,312,112,53,163,29,26,9,395,55,29,131,44,44,8,305,14,11,53,28,41,3,144,12,4,42,28,54,3,148,22,3,71,46,68,41,256,731,224,1900,829,1207,156,5044,5,0,4,0,0,0,13,0,0,0,0,0,0,0,18,3,70,13,29,3,144,5,0,15,5,4,0,27,3,0,33,16,14,0,68,11,8,40,18,12,0,90,34,8,142,83,60,12,332,21,3,109,77
