POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA3000,0,3,9,6,9,0,0,4,28,0,0,0,0,0,0,0,0,7,0,6,10,10,0,0,0,0,25,0,6,10,10,3,3,0,0,33,12,44,67,12,0,0,3,4,140,11,83,71,17,0,0,0,5,191,857,5305,8076,1143,110,13,15,472,15984,0,6,8,0,0,0,0,0,12,879,5439,8217,1174,110,8,19,476,16331,9,0,0,4,0,0,0,40,62,9,62,105,17,0,0,0,17,221,897,5519,8347,1213,126,14,20,544,16671
POA3002,0,9,38,67,23,7,11,5,155,0,7,42,40,21,0,0,0,104,0,0,53,155,67,8,3,0,285,0,6,93,190,83,15,3,4,394,4,94,52,16,5,0,0,0,165,36,261,281,57,3,0,0,8,651,11,182,424,162,3,0,0,10,802,0,0,0,0,0,0,0,0,0,54,543,762,225,17,0,0,16,1616,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,53,555,899,485,125,20,13,20,2173
POA3003,0,9,31,36,3,4,3,3,92,0,12,110,55,8,0,0,3,187,0,11,103,128,37,12,3,11,304,0,18,212,184,45,16,0,13,489,6,25,54,37,7,0,5,9,144,3,41,118,73,8,0,0,9,248,14,393,540,126,9,0,3,27,1112,0,0,0,0,0,0,0,0,0,20,458,718,235,22,0,6,41,1504,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,23,493,959,453,69,19,13,59,2089
POA3004,0,3,0,4,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,3,3,0,0,0,0,0,7,0,8,29,7,0,0,0,0,44,3,64,100,23,0,0,0,12,198,39,1119,1970,798,31,8,3,91,4059,0,0,0,0,0,0,0,0,4,42,1191,2100,824,32,8,3,105,4298,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,11,42,1197,2112,826,31,13,3,109,4337
POA3005,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,95,62,0,0,0,7,167,0,0,0,0,0,0,0,0,0,0,10,95,62,0,0,0,7,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,95,63,0,0,0,7,169
POA3006,0,0,10,7,0,0,0,0,16,0,3,11,3,0,0,0,0,13,0,3,74,68,0,0,0,0,142,0,3,79,71,0,0,0,3,158,0,0,17,15,0,0,0,0,32,0,13,183,66,7,0,0,3,270,25,2099,4441,1072,44,4,6,145,7835,0,0,0,0,0,0,0,0,0,25,2111,4642,1147,55,4,6,148,8141,0,0,4,4,0,0,0,0,11,0,0,3,0,0,0,0,0,8,28,2117,4740,1224,51,3,6,155,8328
POA3008,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,52,36,5,0,5,108,0,0,11,52,36,5,0,5,105,0,0,0,0,0,0,0,0,0,0,0,67,9,0,0,0,3,82,37,1212,2397,491,50,3,0,81,4281,0,0,3,0,0,0,0,0,3,43,1219,2471,502,57,3,0,84,4371,0,0,3,3,0,0,0,0,5,0,4,6,3,3,0,0,0,18,43,1222,2489,557,86,10,3,92,4497
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,3,3,0,4,0,0,12
POA3011,5,53,1077,1729,439,87,22,111,3519,5,63,247,111,17,3,0,18,468,3,31,359,443,59,5,3,25,934,11,100,605,553,79,7,3,39,1396,22,395,759,104,22,0,9,58,1362,21,201,432,79,3,0,0,17,750,82,603,487,48,0,0,23,41,1295,0,3,10,0,0,0,0,0,12,128,1200,1690,234,25,0,30,116,3422,0,12,24,19,7,0,0,0,63,7,11,10,12,0,0,3,14,51,146,1374,3397,2545,548,97,63,281,8451
POA3012,7,37,1227,3020,869,145,40,107,5446,6,180,586,217,25,4,0,44,1067,0,10,356,734,145,21,5,23,1287,10,184,943,951,167,21,5,63,2348,8,451,632,38,0,0,0,32,1166,0,119,365,28,0,0,0,20,534,0,39,149,4,0,0,0,8,197,0,3,8,3,0,0,0,3,17,14,619,1153,74,3,0,0,59,1922,0,5,9,9,5,0,0,0,32,0,9,23,15,3,0,0,7,57,28,862,3362,4065,1040,170,45,234,9811
