POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA3000,64,54,116,120,108,225,10,9,25,20,23,38,147,136,281,126,123,246,15,18,41,62,59,121,206,201,411,348,382,731,360,478,837,56,44,99,193,212,404,4,3,8,966,1109,2075,4204,5533,9741,1101,1119,2225,83,98,180,206,236,449,12,21,28,5615,7010,12624,355,523,875,335,352,684,0,6,7,692,881,1569,2482,2266,4750,10162,11665,21820
POA3002,21,11,28,19,25,45,0,4,6,18,27,47,38,52,92,12,3,13,0,0,3,26,24,49,33,29,65,7,8,7,4,10,18,4,3,4,8,14,19,0,0,0,24,33,54,63,75,145,54,65,113,9,20,34,48,99,142,5,0,4,182,255,443,0,3,3,14,23,33,0,0,0,14,24,40,263,309,570,576,720,1292
POA3003,23,15,38,56,62,115,7,7,19,0,3,9,65,78,141,36,41,74,6,0,7,3,10,18,46,50,98,17,19,36,40,54,97,15,0,12,25,34,56,0,0,0,99,110,207,236,259,494,118,106,227,7,12,23,56,62,116,3,0,5,419,441,859,29,30,66,44,30,75,0,0,0,76,68,137,608,277,882,1324,1034,2355
POA3004,34,30,64,50,58,103,14,15,28,24,32,55,82,97,180,21,23,41,4,14,19,47,39,86,70,72,144,6,18,23,18,36,57,6,12,15,23,34,58,0,0,0,56,96,157,186,245,427,91,115,205,17,17,38,76,95,169,0,4,6,364,474,841,11,21,28,18,47,63,0,3,4,24,68,92,593,613,1206,1230,1462,2691
POA3005,0,0,0,0,8,9,0,0,0,0,6,6,0,7,11,0,0,0,0,0,0,3,4,4,3,3,7,0,0,0,3,6,11,0,0,0,0,4,8,0,0,0,3,11,13,18,16,38,5,7,15,0,0,0,3,3,4,0,0,0,30,31,57,0,4,4,3,3,5,0,0,0,3,9,13,84,49,134,129,111,240
POA3006,41,51,94,49,48,93,24,16,43,17,26,42,94,88,179,41,60,95,17,17,35,43,49,96,101,129,230,73,90,163,86,99,188,23,19,42,62,83,138,0,0,0,242,295,538,832,1024,1854,333,333,670,38,48,90,167,176,344,4,3,9,1378,1588,2969,95,126,222,105,133,240,0,0,0,200,264,469,1276,1177,2455,3339,3584,6925
POA3008,45,40,86,38,39,79,10,7,14,13,13,23,60,63,123,37,29,67,9,15,18,20,25,49,64,70,130,55,42,92,48,65,108,9,3,15,23,39,63,0,0,0,135,146,280,455,517,968,187,202,383,15,10,29,65,68,137,6,3,8,729,797,1524,54,65,120,40,74,122,0,0,0,100,143,240,658,611,1268,1792,1865,3660
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,742,1309,57,39,94,3,3,6,3,0,5,0,0,0,635,776,1415,0,0,0,0,0,0,0,0,0,0,0,0,47,47,99,683,839,1521
POA3011,149,130,283,347,355,701,75,64,143,26,25,46,446,437,886,196,188,389,52,63,115,30,40,70,281,291,577,82,56,145,98,104,195,34,24,59,70,90,163,6,0,3,286,275,566,692,577,1274,458,350,811,30,50,80,211,270,483,10,5,15,1406,1258,2659,79,89,174,83,119,203,0,0,0,161,218,379,1011,910,1918,3742,3522,7259
POA3012,241,205,444,626,577,1203,203,202,401,29,38,67,859,816,1677,387,343,733,124,147,272,41,42,89,556,539,1091,69,58,131,81,85,169,31,19,48,99,82,181,3,0,4,282,245,530,545,473,1019,325,243,570,28,47,80,168,256,424,3,0,3,1071,1020,2093,64,107,170,75,144,220,6,0,9,145,252,398,1049,936,1978,4198,4018,8219
POA3013,132,132,268,511,517,1028,61,80,140,24,20,42,590,622,1212,193,187,380,122,98,214,45,33,71,356,314,670,25,24,48,23,17,39,14,16,33,51,51,97,0,0,0,117,104,222,176,177,357,95,124,225,20,30,50,109,172,277,0,0,3,408,507,909,21,26,44,39,60,95,0,0,0,53,91,143,417,484,906,2079,2255,4331
POA3015,226,177,405,554,528,1084,163,193,355,47,73,122,770,789,1562,239,224,458,143,144,284,72,72,143,450,436,887,18,16,40,19,17,33,31,24,53,46,53,99,3,3,3,118,116,232,199,198,392,87,96,181,10,24,42,100,182,286,0,3,3,395,505,895,15,23,37,33,71,109,0,0,0,51,92,146,424,446,863,2428,2563,4991
POA3016,131,135,262,548,461,1006,147,133,285,74,68,144,771,663,1429,368,270,643,110,97,213,153,152,304,635,527,1162,22,19,41,7,14,22,25,10,33,24,34,63,0,3,4,83,73,157,264,259,523,24,81,109,21,25,50,67,156,222,0,0,3,385,520,907,16,18,33,31,52,78,0,0,0,45,73,115,475,466,943,2512,2456,4971
POA3018,104,95,200,347,315,657,102,107,213,15,31,48,466,454,920,133,147,278,104,132,236,36,39,71,275,311,590,22,16,34,8,13,24,15,8,29,28,39,71,0,0,0,73,76,149,107,145,254,42,71,110,13,19,28,47,105,159,3,0,3,207,347,555,9,15,27,29,51,75,0,0,0,39,68,106,372,416,784,1530,1765,3298
POA3019,56,54,111,184,144,334,143,135,278,25,31,57,360,311,668,168,178,350,83,98,180,24,23,47,279,302,580,37,31,69,33,39,74,12,9,27,32,32,60,6,0,6,115,115,223,243,202,444,102,72,174,15,16,30,23,34,64,0,3,3,388,325,709,38,67,106,26,74,105,3,3,9,68,146,220,359,388,748,1622,1633,3259
POA3020,289,258,549,860,797,1653,532,589,1117,72,80,151,1464,1461,2922,779,680,1459,357,509,864,74,65,147,1209,1257,2465,161,135,294,134,159,297,86,38,129,96,128,221,13,14,26,489,472,961,739,766,1502,316,291,607,60,63,122,122,157,280,6,7,19,1242,1291,2532,218,243,465,180,311,487,7,4,13,399,561,959,1879,1762,3635,6977,7058,14032
POA3021,337,274,619,1278,1216,2499,489,433,919,78,75,154,1848,1715,3567,1235,1196,2434,251,351,600,100,93,202,1586,1642,3233,226,193,424,112,210,316,108,49,160,119,137,253,8,5,10,571,596,1166,895,880,1774,344,345,685,97,86,177,127,127,254,3,10,21,1467,1441,2912,249,291,542,177,365,540,4,14,18,433,670,1103,2490,2384,4867,8734,8730,17461
POA3022,16,22,39,53,65,117,23,41,66,6,4,10,84,115,197,57,50,107,18,26,46,3,4,3,77,81,160,8,3,13,11,12,19,0,0,0,9,7,19,0,0,0,26,30,55,33,33,66,17,19,40,9,3,7,14,12,26,0,0,0,72,61,141,11,15,26,14,18,29,0,0,0,21,33,55,142,142,279,439,480,924
POA3023,595,600,1199,2239,2080,4319,779,824,1605,333,336,673,3356,3244,6600,1545,1394,2944,533,724,1255,285,283,563,2363,2395,4758,177,136,317,95,147,240,103,73,177,142,182,320,4,5,10,522,543,1063,842,950,1794,213,327,546,71,104,175,189,245,437,4,7,16,1319,1645,2961,141,191,333,159,301,464,7,11,16,308,502,807,2823,2450,5268,11284,11376,22657
POA3024,275,271,547,992,978,1974,274,248,521,78,119,197,1340,1351,2691,593,529,1122,157,171,329,50,56,107,798,760,1555,48,49,95,22,61,77,54,41,92,68,95,157,3,0,0,189,240,427,165,213,382,77,113,189,19,50,62,74,139,210,5,5,10,339,516,860,39,69,104,62,139,197,0,0,3,101,205,308,760,764,1519,3807,4103,7907
