POA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
POA3000,0,0,164,121,12,6,3,0,0,314,0,0,3,0,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,7,7,5,311,524,26,17,10,5,0,914,35,42,750,988,154,111,56,15,5,2151,369,238,8526,8434,894,604,314,86,34,19492,0,0,10,3,0,0,0,0,0,10,431,169,957,2420,601,508,294,80,40,5509,0,0,23,26,0,0,0,0,0,46,0,0,0,11,3,0,0,0,0,13,0,0,43,25,0,0,0,0,0,71,0,0,25,76,8,3,0,0,0,119,0,0,3,46,3,4,0,0,0,60,23,54,6183,2748,250,105,43,14,9,9431,0,0,0,9,3,3,3,0,0,20,0,3,5,12,0,3,0,0,0,28,4,3,83,240,52,27,30,8,5,454,0,0,3,16,3,3,3,0,0,34,3,0,50,113,3,3,0,0,0,179,0,0,24,41,3,7,19,4,0,97
POA3002,0,0,3,3,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,49,11,0,12,4,8,83,13,4,23,147,29,37,30,7,11,305,81,77,224,1112,295,356,268,94,100,2612,0,0,0,0,0,0,0,0,0,0,128,113,278,1215,337,454,360,123,99,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,16,3,0,0,0,0,27,0,0,0,5,0,0,0,0,0,5,0,0,11,29,8,5,3,3,0,65,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,3,0,0,0,3,3,3,19,70,34,38,40,8,3,210,0,0,0,3,0,0,3,0,0,4,0,0,3,15,3,0,3,0,0,22,0,3,0,8,3,3,8,5,3,32
POA3003,0,0,9,10,3,3,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,28,90,4,3,3,0,0,134,4,9,53,142,17,15,18,3,0,265,91,109,563,1327,208,119,76,27,8,2528,0,0,0,0,0,0,0,0,0,0,141,153,343,1166,277,134,81,21,0,2318,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,19,0,0,0,16,0,0,0,0,0,12,0,10,190,154,30,19,0,9,3,407,0,0,0,4,0,4,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,21,57,19,16,10,0,0,124,0,0,0,3,0,0,0,0,0,3,0,0,3,28,0,0,0,0,0,35,0,0,0,8,0,0,0,0,0,9
POA3004,0,0,4,19,4,0,3,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,28,146,14,24,23,5,11,246,12,19,72,244,71,56,52,31,58,612,142,144,597,2161,508,497,407,170,147,4779,0,0,0,4,0,0,0,0,0,4,198,148,418,1496,422,494,455,207,97,3926,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,8,0,0,3,5,0,0,0,0,0,8,0,0,7,28,7,4,5,0,0,45,0,3,0,11,0,5,0,0,0,19,6,29,208,346,72,26,16,4,0,714,0,0,0,3,3,3,0,0,0,12,0,0,0,9,0,6,10,0,0,25,0,8,42,142,75,56,62,9,13,396,0,0,0,7,0,0,0,0,0,11,0,0,7,40,7,7,0,0,0,55,0,0,0,28,7,3,17,9,4,72
POA3005,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,13,5,4,4,23,9,5,5,0,0,51,13,14,41,125,34,19,12,4,0,254,0,0,0,0,0,0,0,0,0,0,21,8,14,58,26,18,7,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
POA3006,0,0,20,55,0,9,3,0,0,84,0,0,0,3,0,0,0,0,0,9,0,0,0,8,0,3,0,0,0,11,12,8,135,426,27,29,24,6,0,665,36,21,284,601,95,72,52,8,8,1182,300,165,2180,4945,673,590,352,103,25,9344,0,0,3,16,0,0,0,0,0,15,398,163,828,2656,544,507,300,112,23,5539,0,0,6,21,0,0,0,0,0,28,0,0,0,17,0,4,0,0,0,22,0,0,0,11,3,0,0,0,0,9,4,0,10,61,3,3,0,0,0,83,0,0,0,34,0,0,0,0,0,40,11,33,1189,953,148,90,33,8,4,2472,0,0,0,13,3,5,0,0,0,23,0,0,0,3,3,3,3,3,0,15,3,9,62,324,76,53,38,15,4,595,0,0,0,25,5,5,3,0,0,36,0,0,28,70,3,4,0,3,0,112,0,0,10,50,15,6,10,4,0,87
POA3008,0,0,19,21,10,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,52,169,19,9,6,0,0,280,43,13,132,306,74,52,34,6,0,656,261,110,1044,2534,493,392,183,45,9,5063,0,0,0,3,0,0,0,0,0,3,277,85,305,1056,433,387,207,50,9,2809,0,0,3,7,0,0,0,0,0,5,0,0,0,9,3,3,0,0,0,17,0,0,4,0,0,0,0,0,0,4,3,0,0,12,3,8,0,0,0,29,0,0,0,11,3,0,0,0,0,11,7,26,784,738,119,62,17,5,0,1755,0,0,0,0,0,0,0,0,0,4,0,3,0,12,8,3,0,0,0,23,0,3,25,93,40,36,29,9,0,233,0,0,0,9,3,0,0,0,0,14,0,0,6,32,3,0,0,0,0,48,0,0,5,27,11,8,3,3,0,50
POA3010,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,25,0,0,36,0,0,0,0,0,0,39,3,5,791,51,13,9,5,0,0,875,0,0,0,0,0,0,0,0,0,0,4,0,921,56,9,16,11,0,0,1012,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,3,0,0,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3
POA3011,3,12,143,353,149,178,75,43,21,977,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,0,0,4,6,11,68,217,48,34,30,23,13,447,64,47,130,366,113,83,52,55,41,943,659,651,1447,4598,1095,817,483,374,253,10370,0,0,3,10,3,0,0,0,0,21,1120,1039,1557,4438,1082,681,287,141,114,10463,8,4,26,180,11,0,0,0,0,226,0,0,3,7,3,6,8,9,0,45,0,0,0,7,8,9,3,0,0,34,0,7,4,42,8,3,0,0,0,66,0,0,0,12,0,9,5,0,3,37,4,3,241,265,68,54,21,22,15,686,0,0,0,10,17,11,29,27,8,95,0,0,0,3,0,6,3,4,3,24,6,9,24,228,86,56,30,8,14,458,0,0,0,9,7,8,0,0,0,21,0,0,0,24,4,0,0,0,0,41,0,0,9,30,7,6,9,7,3,75
POA3012,3,20,126,487,258,238,104,57,16,1303,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,4,14,20,60,292,90,49,45,28,16,611,65,64,93,319,108,84,51,50,40,865,953,1213,1508,5173,1542,1126,666,516,284,12982,0,0,13,22,3,0,0,0,0,37,1748,2082,1931,5041,1492,898,362,216,198,13969,5,11,27,202,4,3,4,0,0,263,0,0,3,20,14,8,20,9,0,67,0,3,0,14,11,8,3,0,0,32,0,0,4,26,5,3,3,0,0,40,0,0,0,16,7,13,12,3,0,49,0,12,136,265,57,54,22,25,9,588,3,0,0,11,8,19,36,30,5,119,0,0,11,9,3,3,6,4,0,42,3,13,19,234,85,69,32,11,14,483,0,6,3,25,14,12,0,0,0,51,0,0,0,16,8,0,0,0,0,29,0,0,3,21,8,11,33,8,8,97
