POA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3000,961,515,136,44,24817
POA3002,526,424,146,82,3793
POA3003,197,126,33,3,4027
POA3004,727,641,249,186,6947
POA3005,23,21,5,0,387
POA3006,877,525,146,34,13781
POA3008,580,310,64,8,7442
POA3010,21,3,0,0,430
POA3011,1002,443,228,116,12638
POA3012,1161,496,259,181,13859
POA3013,834,307,176,120,8245
POA3015,1156,453,207,133,9351
POA3016,1594,876,309,146,8459
POA3018,929,626,351,165,6605
POA3019,355,191,82,31,3647
POA3020,1843,1153,624,293,17659
POA3021,2396,1710,754,215,20170
POA3022,126,83,50,37,1318
POA3023,2595,1375,456,124,27089
POA3024,947,469,158,33,10217
POA3025,435,312,336,161,5002
POA3026,9,8,0,0,34
POA3027,209,68,11,0,3579
POA3028,1730,848,347,127,13160
POA3029,3892,1954,642,158,42554
POA3030,4637,2360,952,393,45865
POA3031,1027,519,206,66,11145
POA3032,1831,817,272,100,16685
POA3033,797,750,490,143,6638
POA3034,646,550,364,125,5147
POA3036,491,370,142,68,2820
POA3037,2245,963,362,195,21118
POA3038,2089,944,279,90,11710
POA3039,1107,576,210,115,7969
POA3040,2171,1026,477,276,14247
POA3041,1053,521,274,161,6491
POA3042,917,641,355,148,7458
POA3043,1036,856,376,97,7804
POA3044,1495,664,418,315,13518
POA3045,10,3,3,0,89
POA3046,1436,839,740,384,15899
POA3047,711,423,288,77,7448
POA3048,611,331,208,33,5565
POA3049,639,329,135,38,4017
POA3050,3,11,3,0,81
POA3051,668,399,189,49,9617
POA3052,299,247,201,250,3973
POA3053,551,397,200,84,10896
POA3054,646,576,174,61,5777
POA3055,813,404,180,102,8439
POA3056,1284,590,234,83,15564
POA3057,535,272,110,36,7671
POA3058,1853,827,399,249,17732
POA3059,974,380,99,19,6556
POA3060,501,268,299,183,5569
POA3061,145,149,52,14,1544
POA3062,0,0,0,0,0
POA3063,36,28,11,4,267
POA3064,2525,979,321,95,28979
POA3065,670,376,177,63,6944
POA3066,437,193,91,47,5635
POA3067,434,262,75,43,5807
POA3068,1540,1009,344,86,12345
POA3070,1674,748,344,174,14750
POA3071,995,441,231,133,10673
POA3072,1689,798,452,222,17239
POA3073,2306,1394,964,609,23951
POA3074,842,568,294,73,7379
POA3075,834,586,317,91,8318
POA3076,1359,679,258,109,13462
POA3078,974,454,171,75,6920
POA3079,1615,992,398,197,9338
POA3081,801,455,212,123,6715
POA3082,2088,857,333,108,13229
POA3083,1663,1182,666,291,15413
POA3084,2162,1545,864,427,14166
POA3085,969,594,355,268,7362
POA3086,0,0,0,0,306
POA3087,589,373,255,62,4421
POA3088,2258,1449,610,207,13738
POA3089,966,476,162,42,5860
POA3090,176,112,30,5,1110
POA3091,152,107,34,11,808
POA3093,348,278,135,57,2107
POA3094,826,604,208,55,4900
POA3095,2999,1726,537,154,14774
POA3096,172,117,44,17,971
