POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA3000,0,0,193,0,3,201,0,0,28,0,0,28,0,0,13,0,0,13,0,0,57,0,0,55,0,0,84,0,0,88,3,0,348,0,3,350,0,0,411,0,7,415,0,0,503,0,7,506,4,0,227,0,3,233,0,0,139,0,0,139,3,0,108,0,6,113,3,0,66,0,0,67,11,3,2177,0,27,2211
POA3002,5,12,14,0,0,27,0,0,3,0,0,3,0,0,6,0,0,8,0,0,4,0,0,6,0,0,12,0,0,10,0,4,40,0,0,45,5,4,31,0,0,37,0,4,50,0,0,58,0,0,37,0,0,36,4,6,38,0,0,48,16,40,38,0,0,87,0,7,10,0,0,17,35,79,281,0,0,388
POA3003,0,8,17,0,0,27,0,5,8,0,0,12,0,0,7,0,0,7,0,3,0,0,0,3,0,3,14,0,0,18,0,11,29,0,0,46,0,9,55,0,0,67,0,16,80,0,0,101,0,14,46,0,0,61,7,30,40,0,0,71,3,18,17,0,0,44,0,9,4,0,0,11,8,131,316,0,0,466
POA3004,0,0,65,0,0,69,0,0,15,0,0,15,0,0,18,0,0,18,0,0,18,0,0,17,0,0,21,0,0,26,0,0,101,0,0,101,0,0,120,0,0,120,0,0,218,0,0,218,0,0,101,0,0,101,0,0,101,0,0,104,0,0,114,0,0,116,0,0,40,0,0,43,3,3,935,0,3,944
POA3005,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,5,0,0,5,0,0,6,0,0,6,0,0,6,0,0,6,0,0,4,0,0,4,0,0,5,0,0,5,0,0,3,0,0,3,0,0,51,0,0,51
POA3006,0,0,124,0,0,129,0,0,19,0,0,19,0,0,23,0,0,24,0,0,37,0,0,34,0,3,34,0,0,35,0,3,152,0,0,158,0,3,199,0,0,206,0,10,396,0,0,410,0,9,247,0,0,260,0,0,169,0,0,170,0,0,142,3,0,146,0,0,45,0,0,47,5,33,1597,4,0,1637
POA3008,0,3,56,0,0,61,0,0,9,0,0,9,0,0,9,0,0,9,0,0,17,0,0,17,0,0,15,0,0,16,0,0,90,0,0,88,0,0,112,0,0,117,0,3,201,0,0,200,0,0,106,0,0,105,0,4,150,0,0,149,0,21,111,0,0,131,0,5,33,0,0,38,0,39,902,0,0,948
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3011,68,17,22,0,0,110,29,7,5,0,0,34,19,3,15,0,0,38,28,5,16,0,0,53,44,10,16,0,0,75,121,47,92,0,0,264,140,68,131,0,0,344,216,96,119,3,3,447,194,62,36,3,0,295,212,74,28,0,0,312,90,29,11,3,0,131,46,11,8,0,0,62,1200,428,510,13,6,2163
POA3012,112,30,7,3,0,162,40,12,0,0,0,53,30,12,4,0,0,44,64,14,10,0,0,93,77,22,20,0,0,128,218,88,67,4,0,372,261,118,87,0,0,473,435,239,63,4,4,744,333,111,16,0,0,468,258,51,9,0,0,316,117,44,9,0,0,170,79,27,10,0,0,120,2036,776,301,9,5,3130
