POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA3000,712,227,158,81,22,7,3949,65,255,118,69,47,25,3,0,574,3320,5590,1067,404,271,126,29,9,10823,1068,1018,275,166,120,70,15,3,2730,308,425,149,87,75,39,14,4,1103,41,39,11,14,4,0,0,0,118,96,73,43,31,22,14,4,0,280,442,542,206,132,95,52,17,7,1497,206,136,28,19,13,4,9,0,416,1771,1671,588,313,257,158,45,17,4822,7219,11614,2995,1326,961,515,136,44,24817
POA3002,153,105,100,85,24,11,709,3,60,36,35,42,28,8,3,211,110,660,261,168,172,142,55,22,1582,15,84,57,57,81,61,27,13,397,19,38,23,30,31,14,3,5,167,0,4,3,3,3,3,0,0,18,0,13,5,8,14,9,5,0,55,22,55,34,46,45,21,5,3,239,3,10,4,0,4,3,4,0,33,57,177,88,73,81,79,29,34,615,225,1267,639,485,526,424,146,82,3793
POA3003,120,80,43,19,8,0,661,3,66,37,25,14,4,3,0,153,288,833,261,99,34,36,0,0,1550,77,171,86,47,32,19,4,0,438,41,97,49,32,18,11,0,0,246,3,8,6,0,3,0,0,0,23,4,15,8,7,5,6,0,0,50,47,114,66,48,26,17,4,0,320,13,15,6,3,0,0,0,0,38,160,354,178,88,48,35,8,4,865,621,1908,752,391,197,126,33,3,4027
POA3004,265,135,123,102,26,12,1194,3,94,72,46,49,23,11,0,302,236,1193,505,229,211,204,64,36,2677,78,209,132,106,110,98,43,23,800,58,144,97,73,53,40,20,9,494,14,8,8,3,7,12,0,0,44,9,14,18,18,26,7,13,0,110,82,168,119,95,81,57,31,11,652,5,21,13,14,8,17,0,3,89,129,306,205,159,137,133,73,103,1237,557,2495,1314,784,727,641,249,186,6947
POA3005,13,3,0,0,3,0,47,0,4,0,5,0,0,0,0,7,10,56,22,7,4,3,0,0,110,6,14,13,12,3,0,0,0,47,0,5,9,3,3,7,0,0,27,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,6,3,5,15,5,3,7,0,0,39,0,0,4,0,0,0,0,0,5,12,56,22,23,12,14,3,0,131,31,161,85,51,23,21,5,0,387
POA3006,531,201,138,104,20,3,2474,22,204,114,52,63,32,4,0,499,874,3049,869,323,280,137,45,15,5584,283,541,267,137,115,76,26,6,1447,155,384,138,91,75,39,17,3,897,10,33,6,0,5,0,0,0,57,35,57,19,22,20,19,7,0,171,201,470,162,118,95,55,26,3,1133,33,62,34,18,18,12,9,3,180,572,968,389,238,168,115,20,11,2470,2112,6648,2365,1082,877,525,146,34,13781
POA3008,263,118,84,30,9,0,1209,8,95,54,39,28,7,0,0,237,463,1753,458,216,163,90,16,0,3163,128,247,147,115,101,53,11,3,810,56,143,74,83,60,29,0,3,446,9,7,4,3,10,0,3,0,36,14,27,18,25,19,7,0,0,112,70,182,96,114,91,35,5,3,597,22,58,21,13,6,10,0,0,131,244,487,194,153,106,82,15,7,1300,983,3493,1237,765,580,310,64,8,7442
POA3010,7,9,12,0,0,0,81,0,8,3,0,0,0,0,0,9,111,49,4,3,0,0,0,0,172,16,0,0,0,0,0,0,0,16,36,0,0,0,0,0,0,0,36,18,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,11,61,0,0,0,0,0,0,0,65,12,0,0,0,0,0,0,0,12,73,3,0,0,0,0,0,0,79,280,99,13,16,21,3,0,0,430
POA3011,508,199,127,39,3,0,1844,10,238,182,150,81,26,3,0,697,504,2166,1150,421,233,87,25,5,4578,221,601,369,226,133,60,19,6,1628,216,402,274,229,167,65,34,15,1399,36,30,22,22,16,9,0,0,138,19,55,55,40,31,12,3,0,221,272,487,352,294,210,84,35,15,1754,17,52,34,12,9,10,6,3,144,339,501,338,239,209,147,145,88,1997,1420,4956,2930,1540,1002,443,228,116,12638
POA3012,522,199,93,20,6,3,1640,15,227,243,124,67,16,0,0,695,438,1963,1357,577,249,72,26,9,4692,188,708,511,327,183,63,26,7,2020,229,626,474,386,287,123,53,32,2210,34,39,24,33,15,3,3,0,154,11,67,59,53,41,13,6,0,250,277,724,552,472,348,147,58,33,2616,15,41,37,24,13,4,0,0,131,259,510,383,271,208,166,140,125,2061,1243,4927,3605,1991,1161,496,259,181,13859
