SA1_7DIGITCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
2100101,0,3,14,85,95,40,34,69,28,345
2100102,3,3,6,34,25,15,9,88,15,197
2100105,3,0,8,65,69,21,17,67,24,266
2100106,3,4,6,102,134,69,46,78,30,452
2100107,8,5,20,86,81,26,20,63,36,319
2100108,4,0,16,139,175,54,46,79,31,525
2100109,4,3,15,91,109,73,54,92,35,454
2100110,0,0,0,87,107,70,49,68,13,389
2100111,0,0,0,68,89,41,35,40,12,286
2100112,0,0,3,83,110,55,33,83,11,380
2100113,0,0,0,68,82,47,29,37,10,279
2100114,5,0,13,105,120,65,44,88,23,453
2100115,0,0,10,87,121,55,59,54,27,404
2100117,3,0,4,154,222,94,53,108,31,666
2100118,0,0,0,58,71,37,22,48,9,234
2100119,0,0,0,112,115,49,43,57,11,388
2100120,0,0,0,97,120,54,47,83,22,429
2100121,0,0,0,132,124,75,62,78,17,490
2100122,0,0,3,227,314,128,114,153,57,986
2100123,0,0,0,157,191,72,74,98,57,650
2100124,0,0,4,88,101,53,35,54,14,344
2100201,0,0,3,114,105,65,46,88,25,441
2100202,4,3,10,53,72,48,34,41,31,277
2100203,0,0,10,80,120,41,32,67,21,361
2100204,7,6,11,67,78,40,30,68,26,304
2100205,5,0,11,105,143,54,38,79,22,439
2100206,0,0,3,99,78,28,33,143,16,396
2100207,0,0,7,81,92,47,47,31,15,298
2100208,9,3,19,92,129,58,51,72,48,456
2100209,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0
2100211,7,4,17,95,128,71,37,64,29,418
2100212,0,0,6,59,60,38,18,34,37,242
2100213,35,4,37,86,73,49,31,114,17,370
2100214,4,0,13,77,116,47,20,64,17,338
2100215,4,0,10,121,118,42,29,57,27,395
2100216,3,0,3,77,99,40,24,50,32,324
2100217,0,3,7,74,64,28,22,47,28,263
2100218,0,0,0,86,88,30,22,30,20,275
2100219,0,0,0,45,51,16,8,40,30,189
2100220,0,0,3,50,74,40,11,27,6,202
2100221,0,0,3,35,59,15,17,47,34,209
2100222,0,3,18,89,124,62,40,62,56,432
2100223,87,6,103,98,113,54,25,183,46,521
2100224,3,3,10,93,106,59,26,81,32,394
2100225,10,3,26,56,76,25,21,37,20,237
2100226,0,0,4,50,50,22,17,34,15,192
2100227,0,0,7,75,102,37,14,29,19,282
2100228,3,4,22,49,69,26,32,33,21,228
2100229,8,0,13,73,66,23,30,65,27,289
2100230,4,3,7,76,74,34,24,47,33,291
2100231,0,0,7,109,106,44,22,39,17,342
2100232,0,0,0,65,63,40,10,45,13,234
2100233,10,0,11,66,86,30,27,49,35,301
2100234,0,0,0,25,40,18,15,36,12,144
2100301,0,0,0,22,31,26,11,36,13,140
2100302,4,3,11,47,58,35,27,64,57,285
2100303,0,0,3,56,66,26,13,46,36,242
2100304,0,0,3,82,77,34,21,77,38,329
2100305,4,3,20,117,169,60,45,99,39,530
2100306,0,3,5,36,76,31,8,29,20,207
2100307,7,0,17,61,77,41,16,59,30,278
2100308,3,0,3,58,92,41,33,77,10,316
2100309,4,0,5,103,154,80,48,105,35,517
2100310,13,9,24,100,109,44,49,97,44,439
2100311,0,0,5,128,160,77,72,65,30,530
2100312,6,0,10,106,136,64,63,86,44,501
2100313,0,0,6,93,118,56,41,63,19,386
2100314,4,4,10,74,118,64,42,72,37,409
2100315,0,0,0,109,121,64,41,73,16,428
2100316,68,4,102,69,109,39,47,188,38,492
2100317,3,3,14,89,103,52,35,54,15,351
2100318,3,0,4,106,127,71,39,58,32,429
2100319,33,0,35,48,81,33,32,116,27,334
2100320,3,0,12,76,96,49,37,67,30,354
2100321,8,0,12,87,106,36,33,55,24,339
2100322,0,0,5,146,166,63,40,51,50,521
2100323,0,3,3,48,83,31,26,42,24,255
2100324,0,0,4,69,79,29,29,51,21,279
2100325,0,0,0,62,71,26,16,71,10,254
2100326,3,0,8,156,170,82,69,94,31,599
2100327,3,0,4,147,161,76,45,117,48,590
2100328,3,0,9,110,107,53,48,88,44,452
2100329,4,3,10,111,158,70,41,100,24,513
2100330,0,0,4,113,140,58,36,57,37,440
2100331,0,0,3,83,121,54,39,88,42,433
2100332,0,0,3,99,123,46,28,49,14,357
2100333,0,0,4,126,174,62,70,123,33,580
2100334,7,5,17,58,109,60,45,79,35,387
2100335,12,6,23,90,115,51,49,89,34,431
2100336,0,0,0,0,0,0,0,0,0,0
2100337,0,0,0,62,104,57,47,54,13,345
2100338,3,0,8,44,33,6,10,43,14,149
2100339,3,3,6,58,58,31,10,35,43,238
2100340,3,3,9,71,116,61,38,82,38,411
2100341,0,0,3,62,73,31,27,48,19,270
2100342,3,0,4,147,172,82,66,76,40,576
2100343,6,3,4,58,71,32,25,56,20,268
2100344,55,3,81,67,109,68,57,178,39,507
2100345,0,0,0,64,72,37,39,39,18,269
2100346,0,0,3,66,90,35,24,43,20,277
2100347,3,0,0,65,82,44,48,60,17,305
2100348,0,0,4,38,64,36,20,39,26,225
2100349,8,3,10,103,108,50,25,110,36,431
2100350,0,0,9,68,85,46,19,58,16,298
2100351,25,18,44,54,57,33,27,93,56,320
2100401,5,0,12,100,124,57,44,120,47,485
2100402,19,17,50,100,124,59,50,152,96,576
2100404,5,3,14,74,89,34,26,58,43,318
2100405,0,0,0,121,123,44,50,113,45,503
2100406,0,0,0,75,74,24,22,62,35,287
2100407,3,0,7,78,104,63,34,60,27,372
2100408,4,0,18,94,124,58,45,88,29,446
2100409,0,0,9,73,93,34,24,62,32,320
2100410,0,0,0,75,86,44,28,64,33,329
2100411,3,3,11,84,109,44,19,57,35,346
2100412,6,0,10,160,182,62,57,131,69,660
2100413,0,0,0,0,0,0,0,0,0,0
2100414,0,0,3,81,86,44,22,52,17,295
2100415,3,3,6,52,78,25,25,74,26,287
2100416,22,4,37,89,105,42,30,109,30,410
2100417,7,0,7,102,134,65,52,83,44,468
2100418,6,0,6,38,61,22,15,50,18,208
2100419,0,0,3,115,144,63,38,96,33,491
2100420,4,0,16,97,128,47,44,120,37,473
2100421,6,3,11,87,115,45,37,67,19,372
2100422,3,4,9,138,169,69,50,108,41,571
2100423,0,0,3,51,66,35,22,48,33,247
2100424,3,3,16,78,129,30,32,104,46,418
2100425,14,9,21,84,105,35,44,120,71,464
2100426,0,0,7,70,96,35,22,63,15,304
2100427,0,3,8,63,79,42,23,79,28,317
2100428,9,3,16,54,85,39,25,88,33,332
2100429,3,3,10,58,81,36,33,36,31,277
2100430,6,0,10,86,95,37,25,77,74,407
2100431,3,0,3,62,93,31,46,85,40,361
2100432,21,0,28,84,77,36,29,126,39,387
2100433,0,5,7,58,58,22,33,77,38,284
2100434,7,7,15,88,104,34,44,121,49,445
2100435,10,4,35,43,62,27,23,75,44,287
2100436,0,0,8,87,98,52,44,105,25,406
2100437,3,0,10,65,84,33,35,75,24,318
