SA1_7DIGITCODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
2100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,10,3,0,0,0,8,4,3,5,0,15,5,3,0,0,14,7,7,0,0,14,3,3,4,0,8,3,8,0,0,12,6,4,4,0,16,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,43,43,23,3,113
2100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,0,3,4,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,5,3,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,25,15,5,0,43
2100105,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,3,3,0,0,7,6,0,0,0,4,0,4,3,0,4,3,4,0,0,8,3,0,0,0,3,0,0,0,0,0,4,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,3,0,10,0,0,0,0,3,25,16,19,0,69
2100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,7,5,0,4,0,6,10,3,5,0,19,4,3,0,0,14,6,3,4,0,12,4,5,0,0,11,0,3,0,0,4,3,3,4,0,12,9,10,3,0,17,4,9,0,0,11,0,3,0,0,7,0,6,0,0,6,3,3,0,0,3,9,5,4,0,16,5,0,0,0,3,56,58,33,3,151
2100107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,3,9,0,0,0,5,3,3,5,0,11,3,4,5,0,12,0,4,4,0,11,3,3,0,0,3,3,0,0,0,9,6,4,0,0,11,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,3,0,0,3,3,0,4,0,7,0,0,0,0,3,36,25,30,0,86
2100108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,9,0,11,9,0,5,0,12,7,7,4,0,14,0,3,8,0,14,3,11,3,0,17,3,15,3,0,19,4,7,0,0,11,9,20,0,0,24,4,9,0,0,15,0,3,0,0,6,3,3,0,0,3,0,0,0,0,7,3,10,4,0,23,0,0,0,0,4,60,83,45,0,185
2100109,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,6,3,0,4,0,9,6,3,3,0,14,3,4,4,0,17,8,9,5,0,13,8,7,0,0,15,0,4,0,0,8,0,6,0,0,14,3,7,0,0,9,0,8,0,0,3,3,3,0,0,4,0,0,0,0,3,0,3,0,0,3,0,7,3,0,12,0,0,0,0,0,43,54,41,3,139
2100110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,7,0,0,0,6,0,0,0,0,4,4,0,6,0,12,0,9,0,0,7,8,7,0,0,10,3,14,0,0,15,3,11,0,0,11,3,16,0,0,21,0,7,0,0,7,3,4,0,0,13,0,16,0,0,17,0,0,0,0,0,43,86,6,0,141
2100111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,4,0,0,0,4,4,3,0,0,4,0,0,3,0,7,3,4,0,0,6,0,0,0,0,8,4,12,5,0,17,0,9,0,0,13,0,8,0,0,8,0,3,0,0,3,0,4,0,0,4,0,3,0,0,4,0,0,0,0,0,32,52,17,0,96
2100112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,5,0,6,5,0,3,0,11,7,0,0,0,13,3,3,0,0,9,3,5,0,0,13,13,9,3,0,20,6,12,0,0,20,6,5,0,0,8,5,0,0,0,4,3,10,0,0,13,3,5,0,0,6,0,0,0,0,0,58,58,13,0,131
2100113,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,8,4,0,0,0,3,3,0,0,0,5,0,7,0,0,4,0,0,0,0,3,3,3,0,0,9,3,14,0,0,18,0,6,0,0,9,0,5,0,0,9,0,0,0,0,0,3,4,0,0,3,0,11,0,0,9,0,0,0,0,3,37,59,5,3,102
2100114,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,12,0,0,0,15,8,0,6,0,12,11,3,9,0,21,6,6,5,0,18,3,6,0,0,11,10,5,3,0,16,7,6,0,0,19,3,7,0,0,11,0,3,0,0,3,0,0,0,0,0,0,6,0,0,9,0,9,3,0,13,0,0,0,0,0,58,61,26,0,145
2100115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,10,4,4,0,16,3,4,0,0,11,5,4,0,0,13,3,10,3,0,20,0,10,0,0,10,3,4,0,0,10,8,15,0,0,30,6,14,0,0,15,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,3,51,79,20,0,152
2100117,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,4,13,0,5,0,12,5,0,0,0,6,5,3,3,0,9,10,4,3,0,18,10,3,5,0,13,9,4,0,0,17,4,13,4,0,23,13,18,0,0,32,7,12,0,0,22,3,17,0,0,20,17,31,0,0,48,3,8,0,0,18,0,3,0,0,3,96,117,25,0,247
2100118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,3,0,0,6,0,8,0,0,5,6,14,0,0,19,4,3,0,0,13,5,6,0,0,8,0,0,0,0,0,0,11,0,0,11,0,7,0,0,7,0,0,0,0,0,23,55,8,0,81
2100119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,0,3,3,4,0,0,9,3,5,0,0,10,0,3,0,0,3,0,4,0,0,5,8,21,0,0,23,0,16,0,0,16,0,8,0,0,13,0,8,0,0,6,4,11,0,0,14,4,9,0,0,17,0,0,0,0,0,38,93,0,0,135
2100120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,6,0,7,0,0,6,0,10,0,8,6,0,13,4,0,8,0,13,3,10,3,0,20,4,4,0,0,7,0,3,0,0,7,8,23,3,0,30,0,9,0,0,7,0,0,0,0,3,0,3,0,0,7,3,8,0,0,12,5,5,3,0,13,0,0,0,0,3,30,84,40,3,157
