SA1_7DIGITCODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
2100101,4,4,5,16,15,33,6,3,11,3,0,3,22,18,40,4,14,20,5,8,13,3,0,3,19,16,33,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,5,9,6,5,12,0,3,4,0,0,5,0,6,5,0,0,0,11,11,25,0,0,0,0,0,3,0,0,0,0,0,3,13,10,24,68,72,139
2100102,0,0,3,6,0,6,6,0,7,0,0,0,9,0,9,3,0,6,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,3,0,3,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,16,22,28,23,55
2100105,3,0,3,5,6,13,0,0,0,0,0,0,3,11,11,4,8,11,0,0,3,0,0,3,11,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,10,19,0,3,0,0,0,3,0,0,7,0,0,0,10,19,31,0,0,3,0,0,3,0,0,0,3,4,3,13,16,28,40,53,95
2100106,0,3,6,25,20,44,3,7,9,0,0,4,30,28,50,15,21,36,10,3,7,0,0,3,22,23,50,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,6,0,4,6,4,13,3,3,3,0,0,0,4,8,9,0,0,0,9,14,29,0,0,0,3,4,6,0,0,0,3,4,6,17,16,35,85,92,176
2100107,0,4,4,3,9,14,7,0,7,0,0,0,13,12,21,10,6,16,3,0,3,4,4,4,17,12,22,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,5,4,7,3,3,6,6,3,6,4,0,4,3,3,4,0,0,0,17,11,25,3,0,3,0,0,0,0,0,0,4,0,4,10,20,31,62,53,116
2100108,5,3,5,22,30,52,10,7,18,0,0,4,34,39,74,24,22,45,4,8,15,0,4,3,31,38,64,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,8,12,23,0,3,3,0,3,3,0,5,6,0,0,0,9,27,36,0,0,0,0,0,0,0,0,0,0,0,0,17,9,24,98,118,218
2100109,6,3,14,20,20,47,3,3,7,0,0,3,26,28,52,8,11,22,3,4,6,3,8,9,13,27,37,0,0,0,0,3,3,3,0,5,0,7,3,0,0,0,5,9,18,3,4,10,8,3,6,0,0,0,0,3,3,0,0,0,9,13,25,0,0,0,0,0,3,0,0,0,0,3,4,15,23,40,83,105,186
2100110,0,6,5,10,13,19,6,9,18,6,4,8,27,26,50,9,13,20,18,10,26,6,4,11,30,28,54,0,5,5,0,0,0,3,0,3,0,4,0,0,0,0,4,6,6,3,10,14,0,0,0,0,0,3,0,0,0,0,0,0,10,7,17,0,0,0,0,0,0,0,0,0,0,0,0,9,15,22,77,86,165
2100111,3,3,7,18,5,20,12,3,13,3,3,10,30,15,44,7,8,12,10,8,13,5,0,5,20,18,31,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,3,9,10,9,12,0,0,0,0,0,3,0,0,3,0,0,0,7,8,17,0,3,3,0,0,0,0,0,0,3,3,5,10,6,21,76,51,132
2100112,0,3,4,9,11,26,12,7,17,0,0,0,20,15,41,9,6,19,8,5,20,7,0,9,27,20,47,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,3,7,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0,7,5,11,0,0,5,0,3,3,0,0,0,3,3,7,7,10,15,65,63,130
