SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
2100101,0,0,0,0,0,0,0,0,0,10,8,0,19,0,0,0,19,0,0,23
2100102,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,5
2100105,0,0,0,0,0,0,0,0,0,9,6,0,10,0,0,0,13,5,0,19
2100106,0,0,0,0,0,0,0,0,0,9,7,3,21,3,0,3,28,11,0,33
2100107,0,0,0,0,0,0,0,0,0,15,8,0,26,0,0,0,26,6,0,30
2100108,0,0,0,0,0,0,0,0,0,11,15,0,27,0,0,0,32,13,0,45
2100109,0,0,0,0,0,0,0,0,0,11,4,0,23,3,0,3,21,14,0,41
2100110,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,6
2100111,0,0,0,0,0,0,0,0,0,7,4,0,9,0,0,0,8,3,0,17
2100112,0,0,0,0,0,0,0,0,0,4,10,0,10,0,0,0,9,3,0,13
2100113,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,6,4,0,5
2100114,0,0,0,0,0,0,0,0,0,13,6,0,18,0,0,0,19,3,0,26
2100115,0,0,0,0,0,0,0,0,0,7,9,0,12,0,0,0,10,3,0,20
2100117,0,0,0,0,0,0,0,0,0,11,10,0,20,0,0,3,19,8,0,25
2100118,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6,0,0,8
2100119,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
2100120,0,0,0,0,0,0,0,0,0,9,15,0,28,3,0,4,33,5,0,40
2100121,0,0,0,0,0,0,0,0,0,7,6,0,17,0,0,0,16,7,0,18
2100122,0,0,0,0,0,0,0,0,0,12,15,0,35,0,3,4,36,10,0,45
2100123,0,0,0,0,0,0,0,0,0,19,16,0,36,0,0,0,36,5,0,46
2100124,0,0,0,0,0,0,0,0,0,9,7,0,10,0,0,0,14,3,0,17
2100201,0,0,0,0,0,0,0,0,0,9,12,3,22,0,0,0,23,3,0,28
2100202,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,3,9,0,0,8
2100203,0,0,0,0,0,0,0,0,0,8,5,0,11,0,0,0,13,11,0,23
2100204,0,0,0,0,0,0,0,0,0,8,3,0,14,0,0,0,10,7,0,16
2100205,0,3,0,0,0,3,0,0,6,12,9,0,18,0,0,3,24,8,0,28
2100206,0,0,0,0,0,0,0,0,0,5,4,0,8,0,0,0,8,3,0,7
2100207,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,4,0,10
2100208,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,9,0,15
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,0,0,0,0,0,0,0,0,0,6,8,0,19,3,0,3,24,3,0,25
2100212,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,5,3,0,11
2100213,0,0,0,0,0,0,0,0,0,11,7,0,14,0,0,0,14,8,0,23
2100214,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,11,9,0,19
2100215,0,0,0,0,0,0,0,0,0,4,5,0,11,0,0,0,13,10,0,23
2100216,0,0,0,0,0,0,0,0,0,3,7,0,13,0,3,3,11,12,0,26
2100217,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,5
2100218,0,0,0,0,0,0,0,0,0,8,3,0,9,0,0,0,9,3,0,9
2100219,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,3,0,6
2100220,0,0,0,0,0,0,0,0,0,6,3,0,10,0,0,0,10,3,0,10
2100221,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,3,0,8
2100222,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,10,0,0,8
2100223,0,0,0,0,0,0,0,0,0,5,3,0,12,0,0,0,12,3,0,14
2100224,0,0,0,0,0,0,0,0,0,11,7,0,11,0,0,0,13,5,0,22
2100225,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,7
2100226,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,8,0,0,10
2100227,0,0,0,0,0,0,0,0,0,5,4,0,9,0,0,0,8,7,0,15
2100228,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,6,3,0,12
2100229,0,0,0,0,0,0,0,0,0,8,4,0,8,0,0,0,8,4,0,16
2100230,0,0,0,0,0,0,0,0,0,5,7,3,15,0,0,0,15,12,0,25
2100231,0,0,0,0,0,0,0,0,0,3,10,0,14,0,0,0,14,3,0,15
2100232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3
2100233,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,4,3,0,11
2100234,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,3,0,5
2100301,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0,0,6,6,0,10
2100302,0,0,0,0,0,0,0,0,0,4,6,0,10,0,0,0,10,13,0,18
2100303,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,8,0,10
2100304,0,0,0,0,0,0,0,0,0,8,6,0,19,0,0,0,19,6,0,30
2100305,0,0,0,0,0,0,0,0,0,9,9,0,18,0,0,0,18,18,0,38
2100306,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,8,4,0,6
2100307,0,0,0,0,0,0,0,0,0,8,3,0,8,0,0,0,8,7,0,15
2100308,0,0,0,0,0,0,0,0,0,10,3,0,12,0,0,0,12,10,0,21
2100309,0,0,0,0,0,0,0,0,0,5,8,0,19,0,0,0,14,14,0,34
2100310,0,0,0,0,0,0,0,0,0,3,6,0,8,0,4,3,17,24,0,35
2100311,0,0,0,0,0,0,0,0,0,5,8,0,10,0,0,0,10,0,0,9
2100312,0,0,0,0,0,0,0,0,0,7,7,0,10,0,0,0,10,7,0,18
2100313,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,7,3,0,11
2100314,0,0,0,0,0,0,0,0,0,3,9,0,11,0,0,0,11,7,0,20
2100315,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,5,0,11
2100316,0,0,0,0,0,3,0,0,3,4,7,0,10,4,0,4,12,17,0,28
2100317,0,0,0,0,0,0,0,0,0,0,4,0,9,0,3,3,12,6,0,16
2100318,0,0,0,0,0,0,0,0,0,6,3,0,9,0,0,0,14,12,0,23
2100319,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,8,12,0,21
2100320,0,0,0,0,0,0,0,0,0,6,11,3,16,0,0,0,16,8,0,27
2100321,0,0,0,0,0,0,0,0,0,7,4,0,8,0,3,3,12,8,0,12
2100322,0,4,0,0,0,4,0,0,4,5,5,3,19,0,0,0,21,8,0,26
2100323,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,11,7,0,14
2100324,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,11,7,0,19
2100325,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,11,0,0,9
2100326,0,0,0,0,0,0,0,0,0,6,3,0,8,0,0,0,13,7,0,20
2100327,0,0,0,0,0,0,0,0,0,5,6,0,15,0,4,3,16,14,0,26
2100328,0,0,0,0,0,0,0,0,0,8,8,0,19,0,0,0,19,14,0,36
2100329,0,0,0,0,0,0,0,0,0,10,5,0,16,0,0,3,13,4,0,21
2100330,0,0,0,0,0,0,0,0,0,11,10,0,19,0,8,8,23,11,0,36
2100331,0,0,0,0,0,0,0,0,0,5,3,0,17,0,3,3,17,15,0,33
2100332,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,14
2100333,0,0,0,0,0,0,0,0,0,4,9,0,21,0,0,0,21,16,0,32
2100334,0,0,0,0,0,0,0,0,0,3,8,0,12,0,0,0,13,14,0,29
2100335,0,0,0,0,0,0,0,0,0,7,3,0,7,3,0,4,14,13,0,25
2100336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100337,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,9
2100338,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,4,4,0,15
2100339,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,3,7,8,0,13
2100340,0,0,0,0,0,0,0,0,0,6,5,0,17,0,3,3,15,17,0,31
2100341,0,0,0,0,0,0,0,0,0,7,3,0,16,0,0,0,16,10,0,21
2100342,0,0,0,0,0,0,0,0,0,4,8,0,9,0,0,0,12,4,0,13
2100343,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,8,7,0,21
2100344,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,4,0,6
2100345,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,4,0,0,6
2100346,0,0,0,0,0,0,0,0,0,3,8,0,14,0,0,0,14,6,0,21
2100347,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
2100348,0,0,0,0,0,0,0,0,0,0,4,0,10,3,0,5,11,17,0,28
2100349,0,0,0,0,0,0,0,0,0,3,10,0,13,0,0,0,13,15,0,32
2100350,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,12,4,0,20
2100351,0,0,0,0,0,0,0,0,0,3,5,0,7,0,3,4,11,10,0,25
2100401,0,0,0,0,0,0,0,0,0,3,3,0,11,0,3,3,18,13,0,30
2100402,0,0,0,0,0,0,0,0,3,5,3,0,14,0,0,0,12,22,0,35
2100404,0,0,0,0,0,0,0,0,0,3,6,0,8,0,0,0,8,8,0,17
2100405,0,3,0,0,0,3,0,0,4,10,10,0,17,3,4,9,27,32,0,63
2100406,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,6,3,0,9
2100407,0,0,0,0,0,0,0,0,0,3,6,0,9,0,0,0,9,12,0,18
2100408,0,0,0,0,0,0,0,0,0,3,6,0,11,0,3,3,19,9,0,25
2100409,0,0,0,0,0,0,0,0,0,3,9,0,11,0,0,0,8,11,0,25
2100410,0,0,0,0,0,0,0,0,4,9,3,0,11,0,3,3,10,13,0,22
2100411,0,0,0,0,0,0,0,0,0,7,7,0,15,0,0,0,18,5,0,18
2100412,0,0,0,0,0,0,0,0,0,7,6,3,16,3,0,3,19,13,0,33
2100413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100414,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,9,4,0,17
2100415,0,0,0,0,0,0,0,0,0,4,3,0,8,0,3,4,9,7,0,20
2100416,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,7,5,0,13
2100417,0,0,0,0,0,0,0,0,0,8,15,3,21,0,0,0,23,8,0,31
2100418,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,13,9,0,20
2100419,0,0,0,0,0,0,0,0,0,4,11,3,13,0,3,3,20,13,0,36
2100420,0,0,0,0,0,0,0,0,0,6,6,0,16,0,0,0,12,3,0,18
2100421,0,0,0,0,0,0,0,0,0,3,8,0,7,0,3,3,12,7,0,18
2100422,0,0,0,0,0,0,0,0,0,12,9,0,16,0,0,3,14,9,0,25
2100423,0,0,0,0,0,0,0,0,0,4,4,0,11,0,0,0,11,3,0,15
2100424,0,0,0,0,0,0,0,0,0,3,8,0,16,0,6,3,18,18,0,37
2100425,0,0,0,0,0,0,0,0,0,12,10,3,20,3,0,3,20,21,0,43
2100426,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,15,0,21
2100427,0,0,0,0,0,0,0,0,0,3,5,0,6,0,3,3,12,8,0,19
2100428,0,0,0,0,0,0,0,0,3,6,5,3,16,0,0,0,16,14,0,29
2100429,0,0,0,0,0,0,0,0,0,3,9,0,7,0,0,0,7,12,0,15
2100430,0,0,0,0,0,0,0,0,0,10,3,0,18,3,0,0,15,11,0,26
2100431,0,0,0,0,0,0,0,0,0,5,8,0,13,0,0,4,19,14,0,34
2100432,0,0,0,0,0,0,0,0,0,5,3,3,11,0,0,0,13,15,0,29
2100433,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,11,9,0,22
2100434,0,0,0,0,0,0,0,0,0,9,14,0,22,0,0,7,21,9,0,36
2100435,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,3,0,10
2100436,0,0,0,0,0,0,0,0,0,6,11,0,20,0,3,3,28,12,0,35
2100437,0,0,0,0,0,0,0,0,0,8,8,0,19,0,0,0,18,13,0,31
2100438,0,0,0,0,0,0,0,0,3,11,13,0,28,0,5,8,37,37,0,70
2100439,0,0,0,0,0,0,0,0,0,7,10,3,19,3,0,3,23,24,0,44
2100440,0,0,0,0,0,0,0,0,3,8,10,0,10,0,4,4,13,19,0,29
2100441,0,4,0,0,0,4,0,0,4,4,12,0,16,3,4,6,25,21,3,50
2100442,0,0,0,0,0,0,0,0,0,6,6,0,7,0,3,3,10,4,0,17
2100443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100444,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,6,10,0,19
2100445,0,0,0,0,0,0,0,0,3,9,5,0,15,3,3,9,22,21,3,45
2100446,0,0,0,0,0,0,0,0,3,3,3,0,10,0,0,0,6,10,0,27
2100447,0,0,0,0,0,0,0,0,0,7,9,0,17,0,0,0,19,16,0,36
2100448,0,0,0,0,0,0,0,0,0,3,7,0,13,0,0,0,11,19,0,28
2100449,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,5,6,0,13
2100451,0,0,0,0,0,0,0,0,0,4,8,0,10,0,0,0,14,0,0,15
2100452,0,0,0,0,0,0,0,0,0,12,13,0,25,0,0,0,25,13,0,38
2100453,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,4,5,0,10
2100454,0,0,0,0,0,0,0,0,0,10,16,0,34,3,3,3,40,21,0,64
2100455,0,0,0,0,0,0,0,0,0,7,9,0,17,0,0,0,17,8,0,20
2100456,0,0,0,0,0,0,0,0,0,6,9,0,17,0,0,0,14,3,0,20
2100501,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,11,4,0,13
2100502,0,0,0,0,0,0,0,0,0,8,9,0,14,0,0,0,14,10,0,26
2100504,0,0,0,0,0,0,0,0,0,5,12,0,19,0,0,0,19,0,0,19
2100505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100506,0,0,0,0,0,0,0,0,0,8,10,0,16,0,0,0,15,0,0,19
2100507,0,0,0,0,0,0,0,0,0,7,3,0,10,0,0,0,10,11,0,23
2100508,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,8,0,0,11
2100509,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3
2100510,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,8
2100511,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
2100512,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,3,0,3
2100513,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,9,3,0,10
2100514,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,7
2100515,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,6,0,10
2100516,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,9,0,0,10
2100517,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,10,7,0,12
2100518,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,11,5,0,16
2100519,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,4,8,0,13
2100601,0,0,0,0,0,0,3,3,3,4,9,3,14,3,8,11,24,33,3,62
2100602,0,0,0,0,0,0,0,0,0,15,4,0,19,0,0,0,19,6,0,26
2100603,0,0,0,0,0,0,0,0,0,5,4,0,14,0,0,0,14,6,0,24
2100604,0,0,0,0,0,0,0,0,0,5,5,0,11,0,0,0,8,5,0,12
2100605,0,0,0,0,0,0,0,0,0,23,15,3,38,0,0,0,39,16,0,54
2100606,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,3,0,0,10
2100607,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,6,3,0,9
2100608,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
2100610,0,0,0,0,0,0,0,0,0,5,3,0,8,0,0,0,7,7,0,15
2100611,0,0,0,0,0,0,0,0,0,7,8,0,10,0,0,0,10,6,0,18
2100612,0,0,0,0,0,0,0,0,0,4,17,4,25,4,3,10,31,17,0,48
2100613,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,10,9,0,19
2100614,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,9,5,0,11
2100615,0,0,0,0,0,0,0,0,0,6,10,3,16,3,3,3,23,3,0,27
2100616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100617,0,0,0,0,0,0,0,0,0,8,14,0,22,0,0,0,23,5,0,31
2100701,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,3,0,10
2100702,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,8,0,0,6
2100703,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,3,0,9
2100704,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,8,6,0,13
2100705,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,9,6,0,11
2100706,0,0,0,0,0,0,0,0,0,8,4,3,14,0,0,0,15,6,0,19
2100707,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,8,5,0,11
2100708,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,9,6,0,14
2100709,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,3,0,0,3
2100801,0,0,0,0,0,0,0,0,6,3,3,0,11,3,4,6,19,32,0,47
2100804,0,0,0,0,0,0,0,0,0,6,3,0,8,0,0,3,11,18,0,27
2100805,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,4,15,0,26
2100806,0,0,0,0,0,0,0,0,0,3,12,0,17,0,3,5,21,29,0,52
2100807,0,0,0,0,0,0,0,0,0,3,3,0,5,0,3,3,8,7,0,18
2100808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100809,0,0,0,0,0,0,0,0,0,3,8,0,9,0,0,0,10,13,0,20
2100810,0,0,0,0,0,0,0,0,0,7,9,0,11,0,3,8,19,5,0,23
2100811,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,5,7,0,19
2100812,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,13,8,0,19
2100813,0,0,0,0,0,0,0,0,0,3,11,3,13,0,0,0,15,4,0,22
2100814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100815,0,0,0,0,0,0,0,0,0,4,9,0,10,3,0,4,13,21,0,36
