SOSR_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
SOSR201,156,478,477,507,1091,1265,558,1155,86,5765,179,83,58,53,285,653,389,1247,25,2970,1825,3099,3510,4426,30502,27776,15613,18368,940,106063,264,304,347,442,3605,4028,1888,2571,121,13563,2953,4465,5774,8815,20948,43685,17436,30020,1952,136047,712,1693,1734,1845,10108,12496,6281,8710,296,43872,1901,15191,9647,8156,17260,15381,8484,13333,1001,90357,1296,15781,11032,6390,8220,7334,4556,8917,1009,64538,1993,3363,4572,6204,13663,17122,9580,15039,1106,72641,500,1358,1127,1336,6497,8274,3349,4890,227,27558,939,1034,1292,1775,8994,16949,6142,10538,362,48027,276,946,826,961,2673,3987,2242,5259,159,17324,1729,5241,4389,5432,16575,33120,13131,24008,687,104315,765,4206,4807,4137,7282,6784,2890,4309,482,35667,1795,2186,1934,2510,13447,13519,7418,6556,442,49802,1031,8374,3984,4097,10211,10098,5359,9475,496,53136,1435,3929,4453,6848,11101,10847,5574,8188,548,52919,567,4535,2105,2247,3317,4072,1818,3302,245,22205,621,2589,2672,2773,8300,8998,4409,6599,445,37410,1384,4059,3743,3627,11464,12848,4391,8091,10891,60503
SOSR203,21,43,28,25,64,93,35,84,6,402,6,0,0,0,15,26,21,89,0,161,103,125,118,146,1056,1332,609,684,34,4197,21,12,12,22,192,154,94,114,10,638,155,187,210,329,909,1852,797,1262,67,5772,27,55,52,57,244,276,168,203,10,1100,100,630,346,339,689,595,363,531,39,3644,69,797,274,244,262,211,123,258,37,2264,103,105,134,186,329,503,354,601,34,2343,10,54,26,31,119,115,57,91,0,503,21,22,28,30,173,280,142,191,5,899,7,29,19,27,60,84,48,125,4,405,55,126,105,125,360,561,291,476,20,2130,25,185,137,97,166,157,65,95,17,948,96,113,72,103,547,619,299,269,19,2135,63,240,154,192,539,473,279,426,17,2380,82,174,213,351,443,426,234,315,27,2261,13,191,72,65,91,82,56,94,7,665,24,103,68,90,287,350,141,220,18,1299,48,120,94,111,285,368,128,242,336,1729
SOSR211,33,94,72,119,214,189,120,240,14,1086,34,18,14,25,60,84,163,449,3,856,182,212,221,299,2075,2015,1325,1212,75,7623,39,21,9,51,252,278,134,200,7,989,236,236,314,603,1657,3119,1361,1957,136,9616,43,87,95,84,479,447,329,395,18,1977,162,1000,510,572,1300,875,633,755,70,5889,95,1215,388,372,422,285,259,415,54,3515,146,206,216,355,782,950,656,1260,82,4660,27,77,40,56,315,221,185,178,3,1098,42,42,30,54,348,396,217,252,6,1400,19,38,19,27,108,136,112,231,8,701,64,180,136,180,523,777,391,538,15,2817,53,226,170,190,366,279,124,192,26,1645,185,174,157,197,1079,1182,685,571,31,4260,86,362,216,276,711,545,400,571,29,3185,146,280,310,611,859,730,354,524,26,3830,41,201,95,108,161,135,68,131,16,952,76,160,118,174,573,578,343,450,32,2496,94,201,116,186,571,606,230,387,550,2941
SOSR212,54,97,98,167,252,345,178,372,26,1580,30,5,3,6,67,49,59,191,6,411,127,104,109,185,1198,1126,872,785,30,4541,62,36,29,44,384,356,193,222,13,1336,137,155,176,317,897,1956,765,1238,70,5709,35,50,42,57,308,336,255,314,13,1399,100,672,299,336,805,545,358,516,37,3676,76,723,263,221,306,225,144,305,33,2288,102,138,128,188,488,618,445,847,37,2996,17,36,21,22,135,125,58,66,3,484,18,25,16,34,131,195,112,151,4,686,9,29,15,22,72,74,56,142,6,429,32,80,60,101,303,405,218,362,11,1578,27,144,101,117,221,217,92,131,15,1072,101,84,66,120,599,567,328,248,7,2122,44,164,109,142,412,315,242,336,18,1781,70,125,158,266,495,518,238,252,26,2146,12,143,39,59,91,72,48,60,3,528,34,97,79,83,391,455,178,295,19,1638,65,129,73,104,348,367,148,246,380,1849
SOSR213,70,154,123,184,288,367,219,529,44,1973,53,21,11,9,71,80,87,295,8,624,180,189,214,356,1646,1679,1175,1210,64,6708,71,33,49,46,431,372,235,263,11,1513,267,263,292,538,1483,2965,1353,2111,114,9392,61,78,68,94,438,491,344,460,14,2054,145,865,407,445,1000,807,551,717,65,5015,105,1083,320,292,400,336,194,442,40,3217,152,168,219,285,512,696,530,1136,69,3773,13,57,36,38,154,142,92,127,10,665,18,24,29,40,195,277,126,205,9,917,18,30,14,30,88,119,68,188,3,566,61,167,128,166,389,649,306,543,19,2429,59,251,166,198,291,234,117,178,15,1503,180,122,102,150,902,979,486,500,32,3451,64,238,179,234,528,536,317,549,26,2668,121,177,218,419,552,559,267,362,24,2700,28,168,48,62,138,125,72,105,8,755,41,144,105,155,504,608,264,470,20,2302,99,204,117,160,441,537,186,434,555,2729
SOSR214,56,89,119,124,187,269,125,305,27,1308,29,6,5,6,22,46,67,144,10,325,131,129,124,290,1028,1001,668,572,34,3977,15,16,13,21,132,174,76,102,8,549,152,171,205,342,725,1425,582,1078,77,4758,37,46,54,54,194,228,154,188,8,963,99,457,193,262,486,375,298,321,29,2523,62,472,162,146,219,163,102,250,33,1610,84,95,137,130,280,371,252,491,29,1868,11,21,19,16,62,73,34,45,3,281,13,11,10,14,52,87,56,63,0,316,11,14,18,13,51,47,44,86,6,279,28,96,58,94,149,217,125,232,3,1000,31,112,75,101,135,126,58,96,19,747,121,79,57,102,512,573,256,230,18,1946,21,118,89,122,233,213,149,227,6,1188,48,129,94,197,230,262,96,150,18,1233,22,72,30,43,77,72,31,66,7,431,27,85,43,68,242,322,161,248,18,1213,65,107,78,84,249,278,117,203,286,1462
SOSR215,133,208,164,248,460,598,322,701,53,2900,37,11,16,17,71,57,60,225,6,506,199,180,204,318,1373,1414,994,919,80,5681,64,28,28,42,280,304,174,199,14,1134,301,322,342,559,1211,2683,1110,1742,117,8391,47,74,64,76,283,385,265,317,7,1520,110,688,281,319,671,588,409,579,53,3709,80,579,269,266,283,291,175,547,58,2557,142,178,198,223,471,659,454,1016,59,3401,20,40,22,37,109,98,69,97,3,487,19,29,25,30,101,146,61,112,3,517,16,36,41,14,72,98,71,139,3,494,47,149,106,149,238,421,212,425,14,1762,43,201,150,164,204,241,119,185,26,1329,172,109,98,132,735,751,406,324,28,2750,58,211,177,197,373,345,234,422,15,2036,85,170,187,313,362,347,176,197,20,1860,26,120,57,65,170,144,67,106,7,776,62,136,89,128,386,553,259,440,24,2083,130,177,134,141,442,541,213,364,504,2648
SOSR221,51,80,57,89,120,238,103,305,16,1055,11,4,0,0,28,37,35,86,0,199,55,60,44,63,318,355,247,254,16,1403,10,10,11,15,97,85,49,54,3,339,93,86,104,187,352,710,268,498,33,2322,11,20,19,32,89,98,57,88,0,411,33,177,70,97,171,163,99,181,18,1006,30,180,53,54,52,58,34,132,7,601,32,42,49,67,133,161,101,279,16,889,5,11,4,3,34,16,19,14,3,115,6,9,6,5,24,32,16,25,0,119,6,6,4,14,19,30,20,29,0,124,15,35,35,50,61,93,50,94,3,438,7,71,53,44,55,69,27,44,8,381,62,22,30,45,194,190,103,90,9,748,20,52,47,62,112,94,68,130,6,590,29,71,55,64,96,103,31,62,6,521,11,39,22,24,44,29,20,25,0,211,10,38,32,35,112,145,73,127,8,582,54,47,41,48,127,158,48,103,124,739
SOSR222,28,39,49,69,88,173,77,258,19,803,18,3,3,0,9,21,25,50,0,124,38,43,43,43,210,234,152,190,15,956,11,8,4,5,41,52,29,30,0,190,66,58,67,109,233,429,190,305,27,1478,9,13,12,13,45,67,48,60,0,264,10,107,59,57,96,83,53,111,16,605,22,113,43,64,56,67,43,160,8,569,14,32,48,47,71,112,77,214,11,629,0,4,0,0,16,16,13,15,4,66,0,8,0,8,10,17,7,13,0,60,3,11,6,4,10,16,10,30,0,93,12,27,23,38,43,56,27,58,0,275,4,39,26,33,46,45,30,36,4,269,30,19,21,27,140,158,70,51,6,520,16,32,28,25,66,58,51,55,12,341,28,24,36,37,59,73,21,43,8,321,10,23,5,17,46,26,15,17,0,161,11,24,20,25,62,87,37,63,6,341,24,25,28,28,76,87,36,69,82,456
SOSR231,792,1473,1167,1631,1630,3663,1919,12246,495,25009,111,30,40,32,100,172,201,629,29,1345,314,408,386,555,2187,2598,1658,2236,119,10472,111,61,78,97,497,531,310,447,28,2159,599,728,783,1205,2323,5085,1907,4208,293,17138,94,166,144,166,518,773,434,887,28,3201,171,1172,463,486,938,942,536,1090,97,5900,100,1144,366,302,292,317,191,570,71,3357,294,346,353,492,805,1201,733,2087,119,6421,43,59,50,54,175,204,108,179,9,879,34,45,49,75,184,307,148,274,7,1121,36,69,48,62,111,196,117,316,6,960,110,315,250,369,497,876,442,1079,36,3977,86,343,249,245,309,398,154,367,44,2194,314,161,172,245,1256,1523,843,904,59,5484,109,466,300,325,625,582,357,708,47,3522,170,298,321,507,592,663,277,478,39,3361,54,272,112,130,237,248,107,354,22,1533,108,267,197,279,666,1059,443,910,60,3986,259,439,299,329,674,1096,405,1102,1136,5746
