SOSR_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SOSR201,128,145,50,323,315,304,620,944,3797,23,4764,86,298,39,423,138,142,276,695,1118,12,1822,144,919,88,1152,411,447,856,2007,2895,29,4930,216,1200,89,1501,290,368,660,2161,3129,16,5306,315,1972,183,2467,422,485,905,3374,4822,41,8239,1018,4219,337,5578,436,694,1124,6698,6480,36,13217,2105,4383,347,6837,318,398,710,7550,6840,64,14449,3864,4652,351,8875,278,282,567,9435,6882,55,16374,5583,4362,371,10323,263,232,491,10816,6846,62,17722,5400,3044,316,8755,216,169,382,9139,4456,55,13650,5038,2038,246,7322,125,94,214,7538,3185,27,10751,4145,1437,208,5784,86,72,159,5943,2339,17,8308,6738,1853,296,8886,128,64,191,9078,2802,20,11894,2753,724,137,3609,41,27,73,3684,1327,12,5017,1349,316,59,1730,23,8,32,1766,422,7,2188,1783,339,68,2195,39,15,58,2256,348,3,2604,1513,323,68,1905,21,7,26,1930,614,7,2553,5255,3061,512,8825,338,269,605,9432,5674,396,15502,431,332
SOSR203,3,0,3,10,5,6,12,19,81,0,106,0,16,0,20,5,3,8,31,40,0,68,3,40,9,49,18,15,36,83,138,3,222,10,51,4,68,21,20,37,104,170,0,276,16,126,10,151,40,27,66,220,301,0,517,43,272,32,343,44,50,97,441,420,3,868,105,251,12,364,23,19,47,413,433,5,851,165,251,24,445,14,22,30,479,390,0,870,265,237,23,525,20,10,31,551,326,4,879,233,147,17,402,16,0,17,422,182,5,605,221,98,12,327,3,3,5,332,109,0,443,192,59,11,255,3,0,3,260,61,3,322,241,54,14,306,0,3,3,306,74,3,385,94,14,0,109,0,0,0,109,25,0,133,30,5,0,41,0,0,0,41,15,0,51,40,13,0,53,0,0,0,54,16,0,66,34,6,0,38,3,0,4,43,10,0,57,191,163,19,379,14,15,26,410,248,10,669,18,20
SOSR211,7,6,5,21,16,11,28,48,165,0,215,0,17,0,15,4,6,17,28,77,0,104,7,58,9,79,47,32,77,154,234,3,389,11,109,18,133,47,38,87,226,401,0,621,21,213,25,263,64,80,148,405,624,3,1029,85,531,57,676,80,134,214,888,899,10,1797,218,546,52,817,46,65,105,922,897,10,1829,398,552,35,987,25,34,61,1049,699,4,1753,533,428,40,996,26,38,68,1065,513,11,1587,480,273,38,785,11,4,21,809,336,3,1152,407,135,20,562,9,7,17,575,181,3,767,312,86,8,408,7,11,13,428,90,3,521,372,107,18,497,3,0,6,508,120,0,622,127,35,4,164,3,0,3,167,36,0,203,40,16,0,57,3,0,3,59,15,0,70,48,8,3,58,3,0,6,60,22,0,86,38,7,0,43,0,4,3,52,29,0,77,402,280,36,726,38,42,82,801,422,32,1253,28,34
SOSR212,4,3,4,14,7,7,17,26,63,0,95,0,16,3,18,3,3,11,23,33,0,57,3,35,8,52,20,16,38,90,142,0,227,10,70,3,83,11,28,43,127,214,3,338,18,108,10,139,49,47,88,225,355,0,585,53,320,32,406,32,64,96,505,494,4,1006,145,347,23,515,14,36,53,562,444,3,1012,267,326,29,617,10,16,29,653,351,4,1007,305,240,27,568,16,15,36,604,270,3,875,274,169,18,462,7,3,9,472,165,4,637,235,62,23,315,3,8,9,328,101,5,427,183,53,9,253,3,0,3,255,52,0,308,241,75,8,321,3,0,3,329,56,0,384,103,22,3,127,0,0,0,124,31,0,158,36,3,0,43,0,0,0,45,3,0,46,43,3,0,46,4,0,4,49,16,0,57,23,8,0,28,0,0,0,28,10,0,44,238,174,28,438,19,16,32,477,218,22,714,18,19
SOSR213,4,8,0,10,8,8,16,29,103,0,134,0,21,3,26,11,12,18,46,49,0,101,10,65,4,83,39,29,64,148,188,4,333,10,101,7,125,38,37,75,201,321,0,520,29,226,15,271,50,53,106,371,481,3,859,79,498,38,617,58,83,143,757,669,6,1431,185,463,36,677,34,49,76,759,645,4,1412,291,470,30,795,23,26,53,845,501,6,1359,371,377,43,794,17,21,38,832,455,5,1289,390,206,27,620,9,10,14,636,226,3,869,297,128,24,443,6,0,12,450,127,0,581,235,77,10,322,3,3,7,332,96,3,431,302,82,14,399,12,3,11,412,109,0,519,105,27,3,138,0,0,3,136,37,0,180,34,7,3,42,0,0,0,42,13,0,50,44,15,0,59,3,3,3,62,13,3,79,40,9,0,51,0,0,3,55,17,0,70,314,279,36,623,35,12,43,670,355,11,1035,20,22
SOSR214,0,0,0,4,0,0,3,7,49,0,53,3,15,0,22,7,0,5,29,31,0,63,3,34,9,48,21,18,32,79,96,0,177,9,64,5,83,16,24,35,120,180,0,297,15,137,9,162,31,28,59,220,273,3,496,62,288,18,368,36,40,82,443,367,10,819,106,263,17,391,25,21,48,433,398,5,833,175,227,22,422,8,4,14,433,334,3,773,224,164,26,411,15,3,20,430,233,4,662,161,103,13,278,4,0,10,281,116,0,403,141,64,8,217,0,0,0,220,76,0,297,111,33,8,158,4,0,4,162,47,3,214,139,35,8,183,3,0,3,190,44,0,231,57,6,5,64,0,0,0,64,13,0,78,15,4,0,21,0,0,0,21,6,0,28,16,4,4,27,4,0,4,31,19,0,45,9,0,3,15,0,0,0,14,10,0,26,185,160,18,371,13,12,25,393,224,14,633,6,12
SOSR215,0,6,0,10,6,7,20,23,77,0,104,4,14,0,23,12,0,13,31,43,0,75,11,79,5,94,24,22,45,135,140,0,280,13,87,11,117,30,29,58,169,244,3,413,25,187,13,228,32,46,79,308,370,3,684,72,416,24,509,27,56,84,597,537,5,1139,140,392,38,571,22,22,36,607,495,4,1104,232,349,31,607,13,17,28,642,423,10,1069,275,286,28,587,10,14,16,605,371,3,981,291,149,25,464,6,3,13,477,216,8,690,210,104,16,326,4,10,11,336,110,0,450,182,57,11,248,3,3,4,251,77,0,327,207,69,9,285,0,3,4,293,78,0,369,71,19,4,92,0,0,0,92,24,0,115,35,7,3,43,0,0,0,43,4,0,46,34,11,0,46,0,0,0,49,10,0,59,17,9,3,31,0,0,0,26,17,0,45,283,259,31,568,26,8,39,609,323,18,951,15,31
SOSR221,0,0,3,5,3,0,3,9,19,0,27,0,0,0,3,3,0,3,4,9,0,15,0,7,8,16,3,8,16,29,33,0,61,6,39,3,44,4,12,14,59,64,0,123,0,70,3,76,6,10,16,96,101,0,195,27,105,9,130,9,10,18,156,128,0,280,32,84,6,127,9,7,14,146,124,0,266,58,84,5,148,7,0,5,155,124,3,287,65,65,8,141,0,3,3,145,92,0,240,61,38,3,105,4,4,7,115,59,0,171,50,26,3,82,0,0,0,82,44,0,118,36,12,5,42,0,0,0,42,18,0,63,40,16,5,57,0,0,3,58,10,0,71,9,0,0,14,0,0,0,14,4,0,18,9,0,0,9,0,0,0,9,3,0,9,5,0,0,4,0,0,0,4,11,0,13,5,0,0,5,0,0,0,5,4,0,13,62,69,7,146,4,0,4,146,82,6,236,8,5
SOSR222,0,0,0,0,3,0,3,3,18,0,27,0,3,0,3,3,0,3,11,3,0,8,3,5,0,9,5,3,9,19,24,3,49,0,21,0,21,3,3,4,23,26,0,54,10,34,0,43,4,4,6,51,58,0,113,15,76,4,88,6,8,20,110,95,0,202,22,62,4,94,3,6,10,102,87,0,191,29,58,3,90,3,5,4,100,73,0,170,53,28,0,84,0,3,6,90,65,0,160,40,12,3,54,4,0,6,61,29,0,91,37,13,6,56,3,0,3,62,10,0,74,27,9,0,37,0,0,0,36,4,3,47,32,5,0,38,0,0,0,38,6,0,43,10,5,0,14,0,0,0,14,3,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,6,0,0,7,0,0,0,4,0,0,0,4,3,0,11,46,39,3,85,11,3,13,99,58,3,162,3,5
SOSR231,24,7,7,31,6,7,14,45,137,3,184,13,26,5,38,9,13,19,59,60,0,117,14,79,7,101,15,17,39,143,183,6,331,21,106,15,139,20,21,44,178,229,0,412,49,199,19,263,24,44,63,329,378,5,713,109,362,26,501,43,53,99,603,469,6,1080,200,378,25,603,23,26,50,648,525,9,1186,280,315,48,641,18,16,40,682,487,12,1180,354,275,36,676,9,22,38,708,419,11,1134,332,200,24,557,9,8,15,575,288,9,870,234,129,26,382,3,3,3,390,169,3,562,205,84,9,300,3,3,6,309,102,0,412,315,92,19,433,0,3,3,441,126,5,565,128,44,6,173,0,0,0,177,72,3,247,61,11,9,76,0,0,0,76,23,0,96,50,12,0,70,3,0,3,72,23,0,94,67,17,8,98,0,0,0,99,39,3,141,408,288,48,743,30,19,44,790,404,26,1221,32,26
