SOSR_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
SOSR201,915,1912,1536,1366,2353,1402,801,10291,272,559,456,341,576,358,197,2754,41,38,29,42,59,39,29,268,68,61,47,46,58,34,25,340,1298,2570,2069,1793,3044,1835,1049,13650,93,163,125,99,152,103,65,794,41,109,65,48,58,31,17,368,135,267,188,143,219,139,79,1165,1431,2843,2263,1933,3262,1965,1126,14815,538,870,667,537,703,424,258,4001,52,59,27,24,33,19,11,221,2025,3763,2957,2497,3990,2409,1398,19036,2774,6357,5371,4278,7349,4598,2718,33442,4712,9811,7026,5041,6818,3511,1755,38669,602,385,255,190,264,173,117,1975,205,312,252,176,262,183,99,1498,8290,16860,12916,9678,14698,8464,4690,75594,485,970,623,460,701,387,182,3806,836,1700,1053,643,730,385,188,5539,1324,2670,1671,1105,1425,774,371,9346,9615,19527,14589,10788,16120,9231,5062,84934,13369,12529,6965,4637,6162,3180,1893,48728,262,299,203,155,116,54,35,1126,23242,32359,21752,15576,22397,12469,6987,134795,3690,8270,6910,5641,9701,6000,3524,43733
SOSR203,43,74,63,47,98,49,25,405,9,25,34,21,21,12,9,120,7,0,0,0,5,0,0,14,0,5,0,0,3,0,0,13,63,111,97,71,129,59,29,552,3,12,8,10,14,0,0,53,0,6,3,0,3,0,0,12,6,18,14,14,16,0,0,62,65,126,112,78,141,59,30,617,36,53,37,40,35,12,6,224,3,5,6,0,0,0,0,15,99,186,158,120,178,70,38,857,92,251,205,207,335,148,69,1312,311,473,371,254,362,141,58,1970,41,31,21,11,20,4,7,137,5,9,13,8,5,4,3,42,446,770,609,481,726,297,136,3457,26,69,36,26,38,6,5,207,56,91,57,27,35,12,3,281,77,163,96,59,70,21,8,487,528,928,708,533,797,319,144,3950,861,793,381,278,333,116,51,2814,18,18,10,7,5,3,3,67,1403,1742,1091,815,1141,435,199,6829,134,329,271,254,434,200,93,1713
SOSR211,96,180,142,111,209,79,37,859,16,59,32,29,46,17,3,202,5,4,0,3,6,3,0,19,5,3,4,4,4,0,0,23,120,253,185,155,262,99,40,1107,14,32,28,21,13,3,3,104,6,22,15,14,15,0,3,73,19,52,42,30,25,4,7,177,144,305,222,179,291,105,44,1288,69,128,98,60,76,27,13,474,3,7,6,5,3,0,0,19,211,440,330,246,365,134,58,1783,179,485,430,362,656,249,89,2461,667,1253,836,504,727,191,63,4245,114,83,42,37,37,12,4,328,13,18,21,12,23,0,9,96,971,1844,1329,916,1446,456,168,7125,72,177,100,61,74,16,4,503,158,278,139,80,91,24,3,776,228,451,236,139,172,37,12,1275,1206,2295,1568,1051,1616,493,173,8400,2236,1933,954,556,570,152,63,6462,29,29,10,5,5,0,0,86,3473,4253,2533,1609,2190,645,237,14946,276,663,575,480,865,332,126,3316
SOSR212,53,98,104,80,157,47,7,545,13,30,24,16,30,4,0,123,0,0,3,4,5,3,0,15,4,5,5,3,0,0,0,21,72,136,131,104,187,55,15,697,6,9,10,7,9,0,0,41,3,11,3,4,3,0,0,30,11,20,10,13,13,3,3,68,80,153,142,113,199,57,16,768,43,70,42,30,35,11,5,242,3,6,0,5,3,0,0,20,124,233,187,151,244,67,21,1025,136,275,253,258,430,135,46,1539,342,713,472,340,467,113,43,2487,53,33,25,18,32,0,7,165,5,30,15,10,17,3,0,73,540,1052,758,623,940,260,94,4261,38,82,53,33,35,11,0,254,77,137,67,48,52,14,0,395,114,226,118,79,85,21,3,644,658,1271,877,698,1027,277,101,4907,1169,942,435,289,308,74,23,3252,19,21,10,11,11,3,0,71,1842,2237,1328,1000,1341,357,126,8231,190,376,350,337,580,179,58,2082
SOSR213,46,121,121,105,173,46,16,630,36,75,58,34,47,8,3,259,9,4,3,3,4,3,0,19,3,0,3,3,3,0,0,19,86,205,181,147,228,64,19,926,16,21,19,21,25,4,0,111,5,12,4,3,3,0,0,27,22,30,26,25,32,4,0,138,111,233,204,173,257,67,20,1067,63,103,70,58,61,14,3,380,10,8,0,0,4,0,0,24,185,344,278,238,314,83,26,1463,151,395,363,306,529,180,47,1975,550,1060,676,490,703,175,54,3709,54,64,25,21,39,5,3,215,13,25,21,14,18,7,0,94,772,1533,1091,835,1290,371,106,5995,30,100,65,30,47,17,3,290,86,204,119,57,64,18,3,551,116,301,180,91,107,37,3,841,888,1837,1272,923,1403,411,107,6837,1620,1321,648,418,456,109,27,4595,29,31,16,11,5,7,0,99,2533,3186,1933,1358,1865,524,133,11533,191,517,482,418,704,235,70,2607
SOSR214,24,77,73,75,132,33,4,416,11,13,22,20,31,11,3,110,0,0,5,3,4,0,0,18,0,3,3,3,0,0,0,15,36,97,104,99,168,50,6,562,4,9,5,5,3,0,5,38,0,5,6,3,3,0,0,19,4,16,15,7,12,0,5,59,43,116,116,112,178,50,8,619,34,60,56,36,34,11,3,234,3,5,3,3,0,0,0,15,76,184,173,145,215,58,15,871,69,206,192,187,272,92,21,1044,255,558,389,280,369,98,16,1964,46,32,18,14,26,4,0,143,4,13,5,4,6,0,0,41,376,810,607,486,673,199,39,3197,15,69,30,19,26,3,0,166,39,83,41,32,22,4,0,227,55,149,70,50,53,9,0,396,425,957,679,541,727,211,46,3586,845,709,322,249,241,61,12,2439,6,15,11,9,7,0,0,47,1276,1681,1007,804,978,273,54,6076,90,286,263,262,402,132,25,1468
SOSR215,68,130,90,105,151,56,11,602,13,60,51,33,57,14,4,224,3,8,7,6,12,0,0,39,3,8,5,4,4,0,0,27,92,195,151,146,217,67,14,893,4,11,11,7,21,0,0,58,0,9,7,3,3,0,0,29,4,28,15,15,25,0,0,89,93,221,171,158,246,69,14,981,29,75,49,35,55,14,10,269,0,3,3,3,0,0,0,9,126,295,225,199,296,86,22,1259,98,278,281,236,395,106,39,1430,431,941,602,396,547,122,31,3067,37,42,23,18,26,4,0,148,11,10,14,6,19,3,4,69,572,1271,921,655,984,233,75,4714,7,62,46,28,47,11,3,212,52,120,66,29,51,5,3,328,59,183,108,59,95,20,3,536,636,1458,1028,715,1082,255,81,5252,1089,1033,512,319,349,82,25,3410,11,19,16,12,7,3,0,63,1735,2502,1557,1045,1439,341,100,8722,163,404,372,335,540,162,49,2030
SOSR221,9,21,27,17,39,7,4,132,0,3,13,11,13,3,0,50,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,4,17,28,38,32,58,8,3,194,0,3,0,0,6,0,0,12,0,0,0,0,0,0,0,3,0,3,6,0,6,0,0,11,16,31,42,37,65,10,5,202,13,23,21,14,12,3,0,93,0,0,0,0,3,0,0,10,30,62,71,47,77,16,5,302,21,78,57,49,92,16,9,322,87,204,158,104,128,36,8,726,12,10,10,6,10,0,0,47,3,4,0,3,3,0,0,19,122,298,232,167,236,49,15,1114,6,25,10,11,6,0,0,64,14,37,21,13,7,3,0,89,21,65,28,21,12,7,0,150,139,363,260,190,250,57,13,1264,249,238,133,73,89,23,3,812,4,8,0,0,0,0,0,23,400,604,398,260,339,77,19,2098,33,101,82,68,140,21,8,452
SOSR222,8,25,22,13,27,9,3,106,6,13,9,6,15,3,0,53,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,37,36,16,46,13,3,165,0,5,0,0,6,3,0,16,0,0,0,0,0,0,0,0,0,5,0,0,6,3,0,16,11,38,34,19,53,14,3,181,11,16,7,9,5,0,0,53,0,0,0,0,0,0,0,0,22,53,43,29,57,15,3,230,21,47,40,42,55,12,3,221,55,137,83,66,66,15,3,425,0,6,5,6,0,0,0,19,0,3,3,0,0,0,0,11,74,194,128,109,127,35,6,673,3,17,17,8,9,0,0,54,0,17,10,5,11,3,0,51,7,30,29,16,20,3,3,104,80,226,156,127,140,41,5,775,161,170,64,54,58,16,0,529,0,4,3,0,4,0,0,12,246,404,224,183,201,51,8,1315,28,77,61,55,83,20,7,328
SOSR231,74,174,201,165,286,64,31,984,31,70,69,49,64,23,12,322,3,3,8,3,4,6,3,27,0,3,0,0,4,0,0,10,109,252,274,218,366,92,43,1348,5,5,14,3,15,0,0,45,9,8,7,8,7,0,0,33,15,14,25,5,17,0,0,80,118,267,297,227,387,88,41,1429,57,107,84,68,82,19,6,427,6,13,16,6,5,0,0,38,183,385,396,299,469,112,45,1897,130,351,301,233,364,109,55,1534,369,710,544,389,543,155,44,2758,59,32,27,17,25,6,3,173,16,23,15,17,24,3,3,99,573,1107,890,656,951,270,109,4566,12,70,57,37,34,9,3,215,63,133,62,51,42,7,3,360,71,202,117,87,79,18,5,575,649,1311,1010,741,1027,290,112,5142,989,953,495,304,377,97,28,3246,21,23,10,13,17,3,0,82,1657,2286,1521,1059,1419,393,142,8470,204,518,507,392,651,167,87,2527
