SOSR_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOSR201,262130,507545,243094,201608,273979,192635,107672,157451,34140,1980273
SOSR203,7180,15071,10048,9099,8422,7532,4230,7482,1065,70130
SOSR211,11809,22261,17623,15220,15454,12887,8569,13599,1936,119360
SOSR212,8073,13331,11018,8903,9795,8462,4900,8957,1167,74610
SOSR213,11630,19203,16769,13626,12768,11354,7074,12660,1785,106877
SOSR214,6125,8597,8681,6988,6239,5526,3561,7532,927,54179
SOSR215,10679,14075,15162,10783,10264,8512,6587,11466,1586,89120
SOSR221,3033,3781,4236,2888,2692,2184,1888,3197,422,24320
SOSR222,2140,2319,2677,1914,1717,1384,1299,2281,276,16005
SOSR231,46932,29621,29124,18031,21702,14545,13209,22505,3548,199216
SOSR279,0,4,7,0,0,0,0,3,0,23
SOSR299,178,405,297,277,182,134,200,307,57,2033
