SOSR_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
SOSR201,678,115,172,9,976,24,3,24,999,58,3,1067,358,61,7,418,843,27,5,31,881,51,24,956,52922,6560,799,895,61178,1284,268,1557,62734,3205,92,66035,715,152,10,21,898,237,18,251,1149,108,3,1266,1112,225,17,42,1390,153,76,224,1617,146,0,1760,1827,376,23,62,2285,386,95,481,2766,254,6,3026,54748,6938,822,957,63466,1671,361,2037,65498,3462,94,69058,12351,2257,214,398,15225,614,166,777,16004,4224,63,20285,90,21,0,58,164,3,0,4,173,17,170,360,67195,9214,1040,1408,78856,2289,526,2820,81677,7702,333,89703,14859,1704,165,116,16850,441,90,534,17383,1186,20,18588,15528,2443,186,145,18305,361,81,439,18743,1068,23,19828,411,92,144,10,657,16,3,16,676,51,0,724,187,24,4,278,494,15,3,23,514,47,12,567,30983,4259,502,550,36299,842,173,1010,37315,2347,52,39715,424,83,8,14,519,152,11,161,686,68,7,759,580,160,10,12,767,79,52,130
SOSR203,40,3,7,0,49,0,0,0,55,3,0,58,10,4,0,10,28,0,0,0,28,0,0,28,1906,190,31,29,2156,34,0,34,2192,106,0,2298,10,4,0,0,16,3,0,3,24,3,0,23,35,5,0,0,36,3,0,6,44,6,0,47,44,10,0,0,55,12,0,9,66,11,0,72,1953,198,31,29,2211,42,0,46,2256,118,0,2372,371,50,4,7,435,15,4,23,458,118,3,577,5,0,0,0,11,0,0,0,11,0,6,9,2329,252,35,35,2656,60,4,71,2719,235,5,2964,366,43,3,3,411,4,0,4,418,27,0,442,455,72,3,4,529,8,0,9,536,36,0,572,27,0,7,5,39,0,0,0,39,0,0,37,3,0,0,5,15,0,0,0,15,0,0,15,843,119,16,17,994,6,0,12,1004,61,3,1071,9,3,0,0,13,10,0,10,25,0,0,23,15,4,0,0,20,3,3,5
SOSR211,54,15,12,0,83,4,3,4,91,5,0,94,21,0,0,29,52,0,0,0,52,3,0,55,3383,371,60,54,3875,45,24,69,3938,209,5,4154,46,4,0,0,46,13,3,15,63,4,0,69,56,8,3,3,67,0,3,3,69,6,0,73,93,11,3,3,115,9,5,22,135,11,0,144,3477,383,61,64,3982,59,32,87,4071,216,5,4301,589,96,26,23,738,31,10,46,781,243,3,1025,4,0,0,0,3,0,0,0,3,0,6,16,4072,478,86,86,4727,91,43,131,4857,462,17,5333,537,67,3,11,607,7,0,9,618,34,0,652,546,74,9,7,640,16,0,16,650,42,0,692,18,7,5,0,32,0,0,0,32,0,0,33,4,3,0,8,17,0,0,0,17,0,0,15,1106,148,17,17,1293,25,0,21,1315,79,3,1392,8,0,0,0,6,10,0,8,16,3,0,17,15,0,0,0,21,0,3,3
SOSR212,45,10,9,0,68,4,0,4,69,3,0,74,20,0,0,15,34,0,0,0,35,3,0,41,2387,254,62,33,2741,61,7,66,2806,141,0,2941,28,3,3,0,29,10,0,12,38,3,0,45,37,3,0,0,49,7,3,7,55,5,0,59,61,8,3,0,79,14,3,14,96,10,0,102,2456,261,63,31,2815,77,8,84,2900,148,0,3048,363,74,14,11,454,30,5,33,487,220,0,710,3,0,0,0,3,0,0,0,3,0,6,9,2816,333,75,43,3272,103,13,119,3391,362,8,3766,320,35,7,5,364,14,4,16,378,22,0,400,395,50,12,0,456,10,0,10,463,27,0,489,14,0,7,0,15,0,0,0,18,0,0,22,13,3,0,0,14,0,0,0,14,0,0,16,736,90,22,7,854,23,4,23,874,50,0,928,9,3,0,0,11,4,0,4,19,0,0,14,10,4,0,0,11,0,3,3
SOSR213,73,10,14,0,94,3,0,0,99,8,0,103,22,3,0,22,52,0,0,0,53,0,0,58,3403,361,64,62,3896,55,11,67,3961,156,6,4122,33,6,0,0,42,9,0,9,54,3,0,54,48,13,0,3,62,9,0,8,70,11,0,85,84,19,3,3,110,15,0,16,121,14,0,133,3492,383,65,63,4005,73,15,84,4087,170,6,4258,559,77,13,11,655,17,3,13,670,134,0,806,8,0,0,0,11,0,0,0,11,0,14,26,4053,456,79,74,4668,84,18,101,4767,300,23,5089,416,46,9,5,476,7,0,8,490,30,3,519,600,92,11,7,709,14,3,15,721,27,0,747,15,0,4,0,26,0,0,0,26,0,0,25,9,0,0,10,19,0,0,0,19,3,0,25,1039,141,30,22,1234,16,3,26,1258,56,3,1315,13,0,0,0,15,0,0,0,14,0,0,16,25,0,0,0,23,0,0,0
SOSR214,20,3,8,3,40,0,0,0,40,5,0,48,8,0,0,18,32,0,0,0,32,0,0,32,1589,238,46,40,1910,27,3,33,1938,104,9,2054,22,0,0,0,21,4,0,4,27,3,0,30,20,8,0,0,28,0,4,6,28,7,0,37,40,9,0,0,48,9,4,15,57,4,0,63,1629,241,46,44,1954,33,7,42,2003,114,9,2120,260,51,17,14,338,26,4,25,366,78,3,447,7,3,0,0,9,0,0,0,9,0,5,16,1894,292,59,50,2303,56,14,75,2376,195,16,2579,200,16,3,7,232,7,0,7,234,19,0,253,254,43,9,4,306,4,0,7,312,14,0,326,5,0,7,0,11,0,0,0,11,0,0,16,3,0,0,3,3,0,0,0,3,0,0,8,465,61,10,14,559,5,0,12,567,39,0,606,4,0,0,0,3,0,0,0,5,0,0,8,8,0,0,0,8,0,0,0
SOSR215,67,6,18,0,95,0,0,0,95,3,0,98,17,3,0,39,61,0,0,0,57,3,0,62,2678,311,79,66,3133,57,8,63,3196,145,6,3348,23,8,0,0,27,3,0,3,36,0,0,36,31,0,0,0,35,5,0,5,40,3,0,41,53,8,3,0,61,6,0,6,72,8,0,80,2729,319,86,64,3197,61,8,68,3269,151,6,3426,511,68,21,23,621,13,7,19,645,150,3,794,5,0,0,0,5,0,0,0,6,0,6,16,3247,386,100,91,3831,78,10,87,3914,299,20,4238,333,34,4,0,374,9,3,9,386,21,0,410,400,63,11,6,485,3,0,5,492,12,0,504,14,7,3,0,29,0,0,0,29,3,0,29,9,0,0,9,15,0,0,0,15,0,0,15,757,109,26,16,904,9,0,13,918,40,0,958,9,0,0,0,9,5,0,5,11,0,0,11,6,0,0,0,5,0,0,0
SOSR221,16,3,6,0,20,0,0,0,20,6,0,27,4,6,0,10,19,0,0,0,19,0,0,19,759,98,32,14,899,10,0,11,907,47,3,953,4,0,0,0,11,0,0,0,12,0,0,10,9,0,0,0,9,0,0,0,9,0,0,9,19,3,0,0,22,0,0,0,21,0,0,20,775,101,32,18,915,12,3,10,930,49,3,977,127,23,5,3,163,3,0,4,164,44,0,214,3,0,0,0,3,0,0,0,3,0,3,7,902,125,37,15,1079,15,3,16,1095,93,3,1197,72,13,4,0,95,0,0,0,95,3,0,95,124,10,3,0,139,3,0,3,141,10,0,151,5,0,3,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,204,29,13,0,246,3,0,3,248,8,0,254,4,0,0,0,4,0,0,0,4,0,0,8,3,0,0,0,4,0,0,0
SOSR222,10,0,0,0,20,0,0,0,20,0,0,20,3,0,0,4,5,0,0,0,5,0,0,5,494,81,22,3,598,4,0,6,602,31,0,636,7,0,0,0,3,0,0,0,3,0,0,6,8,0,0,3,13,0,0,0,9,3,0,17,11,0,0,3,16,0,0,0,17,3,0,25,508,79,22,10,612,3,0,3,620,35,0,657,83,18,3,3,101,6,0,10,111,23,0,136,3,0,0,0,3,0,0,0,3,0,3,3,593,96,23,10,723,7,3,13,729,61,3,798,73,10,3,0,81,0,0,0,81,3,0,87,71,11,0,0,84,0,3,3,88,4,0,93,0,0,3,0,5,0,0,0,5,0,0,5,4,0,0,0,6,0,0,0,6,0,0,6,140,21,6,3,175,0,3,3,176,9,0,188,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
SOSR231,113,23,43,3,181,0,0,0,181,15,0,199,70,10,4,123,203,0,0,0,208,12,3,220,7784,908,174,211,9078,81,13,92,9173,359,17,9552,58,13,0,0,71,10,0,10,84,7,0,95,97,7,7,0,117,7,3,8,125,12,0,132,158,18,4,0,181,15,3,17,205,23,0,224,7939,929,185,213,9266,97,17,113,9379,374,17,9772,1139,188,42,52,1423,31,7,40,1460,313,5,1776,20,3,0,3,27,0,0,0,24,0,28,52,9096,1120,228,270,10715,129,23,153,10869,689,49,11605,1083,89,18,6,1197,8,4,12,1213,70,0,1278,1189,152,24,20,1382,11,3,15,1395,77,3,1483,42,7,23,0,75,0,0,0,72,3,0,76,17,5,0,22,43,0,0,0,43,3,3,50,2333,246,64,49,2697,26,9,28,2724,151,7,2883,19,4,0,0,19,0,0,0,25,5,0,23,26,5,0,0,29,0,0,0
