SOSR_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SOSR201,51481,8114,807,388,56498,9544,126834,57355,19981,2474,1093,67023,11693,159623,123369,78155,11973,4771,97218,27040,342522,94823,92161,20014,7849,61307,20396,296548,80282,82852,18581,7189,58560,17899,265362,57670,63079,16214,7026,52507,14632,211120,29556,39600,16000,8159,43212,13067,149599,12799,17522,8442,5200,28324,10448,82732,3889,4432,2065,1517,14646,5115,31661,511228,405890,96570,43198,479287,129820,1665995,54341,11987,1412,544,45963,8858,123105,58993,30418,5527,3312,47640,10614,156508,90426,97835,35924,41500,62586,24910,353181,40651,90796,57890,61477,35897,17884,304594,33995,94104,58984,41201,35483,16465,280226,27087,72291,45768,31901,36257,14746,228049,14434,39656,34190,28433,36268,14945,167930,9803,18836,15236,13450,31411,13713,102445,5376,6534,3584,2487,26124,9487,53590,335118,462443,258509,224315,357624,131616,1769632,105825,20102,2220,931,102464,18405,249943,116351,50400,8004,4405,114665,22304,316127,213803,175985,47893,46269,159803,51946,695698,135482,182951,77899,69328,97203,38281,601145,114273,176948,77568,48385,94039,34360,545587,84754,135365,61984,38930,88760,29371,439174,43992,79257,50190,36591,79483,28013,317529,22598,36358,23681,18654,59732,24156,185177,9265,10963,5650,4009
SOSR203,2022,303,53,26,2162,432,4990,2334,945,122,48,2133,423,6002,3948,2803,530,226,2364,770,10640,2931,3153,786,295,1691,625,9472,2730,3099,742,304,1896,710,9480,2166,2680,789,344,2081,637,8701,1146,1724,743,430,1923,694,6667,480,732,415,299,1240,581,3744,163,234,109,87,680,324,1596,17922,15666,4296,2051,16164,5193,61294,2277,536,67,24,1661,398,4969,2242,1457,318,213,1278,417,5934,2465,3448,1429,1699,1295,704,11039,1116,3098,2189,2265,818,597,10084,1203,3518,2272,1536,1188,683,10403,1136,3034,2020,1362,1504,714,9767,535,1587,1555,1552,1722,770,7721,362,783,771,697,1595,819,5024,251,338,214,150,1427,623,2996,11578,17805,10832,9506,12481,5726,67932,4299,844,123,50,3817,829,9959,4573,2399,446,260,3413,843,11931,6416,6253,1951,1926,3660,1482,21680,4048,6245,2979,2560,2505,1226,19552,3928,6617,3017,1838,3086,1392,19884,3304,5711,2806,1706,3588,1352,18465,1680,3315,2299,1982,3645,1469,14388,842,1519,1188,996,2832,1394,8763,415,572,320,238
SOSR211,3599,628,68,39,3822,843,8994,3745,1739,239,109,3371,779,9981,6291,5254,1037,459,3967,1464,18467,4863,5462,1408,636,2968,1196,16545,4529,5045,1218,590,3384,1275,16043,3733,4523,1295,618,3597,1249,15011,1901,2938,1334,860,3327,1283,11647,722,1159,606,499,1968,967,5919,206,251,140,119,918,419,2053,29599,26995,7359,3920,27322,9474,104666,3821,958,146,92,2829,827,8670,3310,2721,662,562,2111,754,10117,3471,6091,2835,3859,2212,1387,19862,1779,5452,3763,3892,1701,1165,17743,1986,6058,3603,2587,2152,1207,17586,1727,5321,3598,2554,2578,1328,17108,833,2643,2564,2693,2936,1434,13112,543,1133,1015,1083,2359,1369,7502,315,475,230,230,1869,776,3895,17784,30851,18420,17563,20737,10237,115597,7417,1587,214,127,6651,1673,17664,7055,4460,904,675,5479,1527,20098,9765,11344,3878,4317,6174,2858,38326,6642,10917,5172,4530,4671,2356,34284,6517,11100,4823,3180,5536,2480,33634,5462,9844,4895,3170,6172,2579,32117,2733,5588,3893,3559,6268,2713,24759,1274,2287,1629,1586,4322,2334,13422,528,728,375,346
SOSR212,2413,367,39,19,2339,531,5699,1933,847,125,53,1973,496,5431,3597,2905,565,269,2607,950,10891,2970,3135,803,352,1931,791,9983,2969,3347,752,300,2286,934,10588,2454,2858,753,370,2392,938,9766,1224,1817,838,479,2176,950,7481,516,749,392,327,1326,725,4035,149,191,90,64,700,314,1507,18216,16214,4362,2237,17723,6635,65381,2305,607,77,38,1877,534,5441,1744,1411,344,292,1241,430,5468,2002,3447,1593,2115,1444,896,11499,1082,3350,2278,2275,1074,757,10828,1198,3980,2543,1676,1317,834,11557,1121,3355,2202,1473,1665,925,10739,522,1555,1697,1593,1865,1147,8380,375,761,688,725,1717,1064,5321,260,289,168,136,1238,641,2739,10611,18765,11602,10325,13437,7238,71969,4724,975,115,54,4212,1067,11145,3677,2259,473,348,3216,931,10899,5600,6355,2162,2391,4048,1842,22389,4049,6488,3086,2630,3010,1549,20807,4168,7325,3297,1978,3602,1770,22142,3574,6211,2952,1848,4054,1865,20504,1741,3373,2539,2067,4036,2096,15863,890,1508,1079,1048,3043,1789,9362,402,486,262,200
SOSR213,3324,483,46,32,3082,763,7722,2608,1109,171,78,2415,582,6968,4849,4025,760,385,2928,1104,14067,4388,4878,1258,555,2245,1140,14460,4335,4894,1254,498,2946,1210,15136,3745,4733,1371,605,3415,1278,15150,1997,3289,1535,977,3545,1451,12792,862,1422,830,598,2288,1198,7194,269,309,187,152,1164,571,2649,26377,25136,7412,3884,24032,9294,96130,3342,775,96,62,2255,736,7258,2186,1735,467,427,1402,558,6773,2609,4641,2235,3191,1563,1019,15262,1520,4728,3478,3848,1165,997,15728,1786,5948,3721,2459,1725,1165,16799,1682,5248,3654,2552,2407,1360,16904,915,2791,3008,2795,3145,1611,14263,631,1375,1255,1332,2773,1686,9051,350,523,311,288,2369,1012,4849,15017,27759,18223,16942,18802,10144,106887,6661,1258,142,97,5335,1497,14987,4796,2839,645,506,3811,1141,13737,7460,8672,2998,3583,4495,2125,29330,5906,9608,4730,4403,3411,2137,30191,6123,10839,4971,2959,4673,2373,31934,5431,9981,5030,3152,5830,2638,32056,2914,6074,4545,3765,6691,3065,27053,1490,2800,2080,1928,5065,2884,16238,618,825,496,438
SOSR214,1763,269,27,23,1660,515,4253,1311,578,90,50,1219,351,3596,2070,1812,369,221,1396,802,6673,2002,2350,624,320,1138,765,7206,2337,2778,664,292,1550,920,8544,2175,2649,795,434,2088,909,9042,1309,2103,1142,729,2279,1134,8690,562,906,516,431,1650,959,5023,197,223,134,123,769,428,1869,13718,13665,4364,2613,13750,6792,54907,1723,353,64,28,1166,457,3795,1006,800,227,251,635,248,3164,1012,2030,1066,1575,701,545,6928,677,2431,1692,1863,634,599,7888,997,3369,1985,1280,923,705,9259,1025,3076,1967,1485,1452,877,9885,578,1901,2000,1905,2107,1287,9777,406,844,766,896,1828,1289,6026,253,339,210,163,1478,813,3261,7672,15145,9970,9459,10911,6828,59991,3487,621,84,47,2829,973,8049,2315,1376,316,303,1849,605,6762,3078,3840,1432,1804,2095,1348,13599,2679,4784,2318,2188,1768,1367,15094,3331,6153,2657,1569,2475,1624,17803,3197,5730,2761,1915,3541,1793,18934,1887,4002,3144,2635,4387,2417,18475,968,1750,1286,1327,3474,2249,11053,448,564,343,284
SOSR215,2619,415,33,20,2269,800,6155,1999,842,122,51,1735,513,5253,3596,3015,625,315,2160,908,10613,3427,4029,1103,489,1779,948,11785,3603,4340,1175,539,2568,1216,13448,3525,4349,1381,665,3216,1425,14555,2015,3299,1767,1147,3464,1582,13263,799,1393,818,660,2277,1309,7255,248,358,169,168,1227,571,2740,21827,22026,7203,4044,20698,9259,85067,2552,607,89,32,1677,717,5665,1610,1293,345,330,945,411,4929,1858,3427,1865,2585,1017,823,11573,1200,3853,2866,3106,781,942,12757,1598,5158,3231,2130,1338,1089,14549,1594,4767,3364,2440,2131,1408,15700,881,2822,2937,2924,2751,1642,13961,573,1238,1143,1335,2621,1589,8507,332,481,284,271,2423,1018,4820,12203,23655,16126,15157,15689,9641,92460,5171,1017,126,52,3946,1511,11821,3606,2131,472,374,2685,919,10185,5450,6442,2484,2896,3181,1731,22188,4635,7885,3968,3596,2564,1889,24539,5198,9500,4405,2673,3905,2310,27995,5125,9110,4750,3101,5345,2831,30257,2892,6118,4702,4072,6213,3222,27228,1371,2629,1963,1994,4903,2899,15760,584,841,458,440
SOSR221,731,121,12,6,578,228,1673,469,209,34,17,412,110,1249,818,750,213,90,494,231,2596,877,1086,323,162,503,284,3227,1075,1352,370,199,757,385,4133,1001,1522,494,279,1025,498,4821,638,1033,621,427,1064,586,4362,216,366,253,209,625,348,2023,60,68,56,47,244,158,633,5882,6511,2380,1432,5702,2821,24722,720,177,28,4,434,186,1546,373,332,76,90,207,74,1161,373,822,459,682,211,218,2769,272,1057,809,888,211,266,3503,412,1509,1012,678,382,343,4336,453,1396,1081,836,606,452,4824,233,816,842,929,774,548,4146,152,321,298,340,618,379,2111,85,79,53,57,457,241,972,3067,6521,4660,4519,3901,2704,25366,1449,291,38,11,1009,411,3218,839,547,112,109,623,180,2410,1191,1575,675,766,710,445,5364,1145,2142,1134,1055,713,549,6731,1480,2859,1382,883,1136,725,8472,1458,2917,1568,1117,1637,948,9647,870,1854,1463,1354,1837,1133,8504,368,690,553,548,1244,728,4133,145,148,114,103
SOSR222,496,83,6,3,396,171,1150,297,125,17,11,274,97,816,540,491,117,52,361,175,1726,555,719,196,113,297,173,2050,702,852,242,141,485,306,2737,724,972,346,169,702,303,3228,375,617,327,290,708,338,2638,129,193,119,124,284,186,1043,46,50,16,27,137,70,344,3853,4098,1391,920,3640,1817,15723,448,109,8,3,286,145,1012,248,155,48,57,150,86,751,264,483,277,439,166,162,1788,186,662,522,522,147,206,2236,300,959,591,468,241,265,2826,297,977,695,543,364,286,3161,140,433,472,549,453,293,2340,69,146,143,211,268,220,1052,40,69,46,34,231,82,502,1997,3998,2797,2827,2314,1745,15679,943,194,18,8,683,315,2156,552,277,71,66,422,182,1563,797,977,392,483,528,338,3521,741,1379,714,630,445,376,4284,1003,1816,832,610,725,578,5565,1021,1949,1039,717,1074,587,6392,513,1051,796,834,1155,628,4978,194,339,259,342,554,409,2095,79,119,60,58
SOSR231,6222,1139,116,49,4681,1982,14188,3909,1541,246,120,3452,1112,10371,5398,4677,1212,563,3431,2630,17911,6223,7706,2464,1200,3240,3062,23893,8633,10855,3151,1556,5460,3620,33275,8176,10992,3828,2158,6842,3704,35706,4298,6544,3543,2966,6557,3500,27407,1349,1972,1231,1176,2873,1809,10409,319,394,215,201,864,507,2499,44521,45817,16015,9983,37400,21911,175653,6113,1377,172,79,3421,1702,12860,3245,2093,524,418,1747,781,8809,2650,4817,2781,4108,1539,1453,17334,1824,6978,5761,6469,1181,1887,24097,2787,11158,8100,6097,2285,2729,33153,2603,9917,8174,6543,3152,2990,33382,1238,4480,5260,5929,3331,2704,22945,559,1286,1395,1887,1833,1505,8465,319,363,265,284,1011,523,2766,21339,42470,32434,31811,19492,16262,163808,12330,2510,289,130,8103,3675,27043,7154,3631,768,536,5197,1889,19177,8046,9492,3991,4670,4967,4076,35251,8044,14684,8224,7669,4425,4950,47992,11419,22014,11253,7650,7744,6347,66424,10778,20910,12005,8707,9997,6692,69088,5542,11030,8802,8891,9884,6208,50347,1909,3255,2628,3063,4702,3310,18869,633,761,480,483
