SOSR_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SOSR201,77,552,116885,117513,2837,9296,130770,142901,104230,54986,148838,308060,172285,33284,65237,270810,158583,24391,60222,243195,130606,14466,47065,192140,96911,6161,29473,132537,51882,1712,17136,70733,13631,351,9464,23448,731040,145208,625084,1501335,243,937,111781,112959,8230,13907,117584,139721,138256,57138,125670,321066,177698,32207,73219,283124,159277,22847,79309,261432,124715,12125,71897,208736,86159,4484,58489,149135,36787,1012,48828,86622,6134,188,28120,34443,737489,144845,714898,1597231,323,1485,228661,230474,11062,23206,248355,282617,242488,112123,274511,629118,349986,65492,138455,553934,317856,47237,139535,504624,255319,26593,118961,400876,183068,10643,87963,281675,88670,2727,65960,157355,19767,536,37583,57886,1468534,290050,1339978,3098564
SOSR203,4,28,4226,4261,104,615,4494,5210,3087,2144,4278,9504,5024,1211,2375,8608,4975,872,2721,8570,4992,559,2264,7813,4043,252,1455,5751,2250,63,845,3162,663,16,489,1164,25140,5765,23141,54042,12,77,4073,4157,223,843,3986,5057,3932,2201,3887,10015,5329,1106,2922,9360,5243,892,3437,9570,4901,500,3387,8789,3704,185,2825,6714,1760,40,2411,4214,325,4,1513,1844,25427,5855,28438,59726,14,107,8300,8418,332,1459,8481,10271,7011,4346,8166,19524,10355,2316,5293,17963,10219,1767,6160,18139,9894,1060,5652,16602,7742,442,4275,12464,4017,105,3255,7380,990,18,2005,3010,50564,11623,51581,113763
SOSR211,3,82,7897,7987,223,1349,6920,8488,5601,3924,6776,16302,8526,2186,4165,14870,8344,1623,4458,14431,8478,982,3839,13297,6871,441,2546,9857,3459,146,1322,4932,811,26,631,1466,42313,10753,38556,91620,17,202,7266,7489,451,1876,6367,8696,7250,3985,6737,17969,8914,2149,5333,16392,8589,1614,5923,16130,8546,852,5845,15240,6169,349,4781,11291,2540,83,3540,6157,404,15,2010,2422,42868,11121,47800,101792,22,289,15166,15475,673,3219,13288,17179,12848,7907,13511,34272,17442,4332,9493,31262,16937,3243,10382,30556,17023,1835,9681,28536,13034,787,7323,21150,5996,227,4866,11091,1213,38,2646,3888,85179,21877,86360,193415
SOSR212,3,55,5162,5220,136,722,3810,4674,3321,2240,3954,9520,5184,1290,2448,8927,5725,955,2753,9427,5582,614,2329,8525,4404,297,1495,6195,2338,95,843,3274,653,19,405,1077,27348,6302,23194,56836,10,109,4766,4886,306,1049,3361,4712,4173,2229,3853,10257,5656,1235,3043,9929,5998,976,3578,10551,5500,597,3355,9452,3981,219,2808,7010,1782,70,2453,4302,306,10,1369,1686,27716,6488,28576,62780,16,170,9920,10102,448,1772,7174,9389,7494,4477,7801,19775,10841,2523,5496,18857,11723,1929,6324,19978,11075,1215,5688,17979,8387,509,4302,13203,4117,163,3294,7572,965,37,1768,2763,55057,12792,51764,119616
SOSR213,5,60,6973,7039,168,1007,4851,6023,4456,3030,4889,12378,7651,1995,3303,12952,8096,1565,3816,13480,8549,1105,3584,13242,7437,463,2611,10516,4193,159,1506,5853,1119,20,705,1852,41676,9403,32251,83330,5,161,6405,6574,287,1429,4097,5817,5822,3127,4791,13744,8247,2012,4229,14493,8594,1606,5148,15351,8708,964,5093,14767,6952,356,4558,11870,3157,97,4169,7424,542,21,2386,2946,42321,9776,40878,92974,14,223,13380,13613,452,2439,8955,11843,10277,6158,9683,26120,15902,4005,7529,27440,16687,3170,8968,28832,17258,2071,8674,28004,14395,816,7174,22386,7349,257,5672,13281,1661,41,3091,4791,83994,19184,73134,176307
SOSR214,3,34,3745,3779,77,425,2578,3074,1904,1445,2296,5648,3489,1037,1756,6287,4284,898,2315,7497,4835,652,2302,7797,4797,402,1861,7059,2785,126,1111,4023,729,13,566,1315,22902,5036,18535,46478,3,98,3233,3336,165,634,1946,2746,2498,1480,2227,6199,3990,1076,2138,7211,4563,888,2936,8385,4941,626,3002,8566,4636,320,3107,8065,2003,75,2785,4862,375,12,1575,1966,23176,5206,22937,51326,7,131,6972,7114,235,1059,4526,5822,4406,2929,4520,11846,7484,2113,3898,13498,8845,1783,5253,15879,9779,1275,5303,16364,9437,720,4965,15120,4788,201,3894,8882,1104,30,2142,3276,46083,10244,41476,97799
SOSR215,0,47,5595,5635,104,685,3686,4474,3352,2437,3563,9349,6096,1789,2643,10527,6704,1612,3569,11884,7751,1074,3712,12537,7378,580,2929,10888,4014,136,1646,5797,990,35,784,1815,36392,8397,28123,72913,7,106,4986,5107,227,1000,2991,4223,4485,2562,3376,10420,6565,1878,3190,11628,7297,1573,4272,13139,8000,964,4601,13560,6827,449,4343,11616,2903,99,3830,6830,492,16,2210,2720,36805,8648,33790,79241,11,155,10582,10742,333,1684,6678,8692,7838,4997,6938,19771,12657,3667,5827,22155,14002,3192,7837,25029,15751,2042,8312,26100,14205,1023,7271,22503,6918,236,5476,12626,1484,53,2993,4529,73197,17048,61913,152157
SOSR221,0,6,1507,1513,20,150,900,1072,787,588,873,2253,1606,532,720,2861,2071,505,1076,3650,2374,408,1315,4099,2341,220,1037,3592,1086,43,529,1660,227,4,212,441,10511,2460,8169,21144,0,10,1383,1392,43,257,687,991,1058,611,817,2491,1829,557,782,3172,2241,508,1138,3891,2489,386,1219,4096,2090,152,1182,3426,742,27,937,1707,103,5,459,561,10600,2523,8606,21725,0,18,2889,2910,67,412,1587,2064,1847,1203,1687,4741,3439,1091,1500,6033,4309,1009,2213,7540,4862,793,2532,8194,4426,368,2223,7020,1831,76,1463,3367,326,11,666,1005,21112,4987,16771,42867
SOSR222,0,4,1015,1016,14,97,518,630,467,330,608,1405,1008,309,465,1784,1298,356,709,2365,1616,267,893,2778,1400,135,656,2192,582,21,284,891,125,4,129,259,6510,1530,5281,13314,0,8,871,881,28,139,421,591,647,348,517,1514,1141,342,488,1969,1438,373,684,2498,1657,235,816,2709,1190,93,658,1943,413,20,453,888,63,9,248,317,6584,1582,5158,13321,0,16,1878,1897,45,243,939,1223,1112,683,1128,2919,2147,651,953,3750,2738,732,1396,4860,3276,501,1710,5480,2590,235,1316,4140,1000,45,736,1784,186,15,380,574,13090,3110,10433,26637
SOSR231,8,60,12462,12532,150,798,7391,8333,5170,3148,6023,14340,12658,3211,4298,20174,18856,3765,6284,28907,20979,2893,6949,30818,16378,1328,5272,22974,6163,290,2389,8842,1164,35,872,2070,81527,15530,51938,148993,16,143,11146,11295,342,1201,5741,7290,7236,3439,4573,15245,14801,3496,3518,21809,20839,3927,5050,29810,20864,2546,5570,28976,13826,925,4570,19325,4004,141,3055,7198,499,22,1651,2172,82419,15832,44875,143133,19,200,23610,23828,489,1997,13131,15624,12403,6588,10597,29586,27462,6707,7813,41986,39695,7684,11336,58722,41843,5435,12519,59797,30197,2258,9843,42294,10166,431,5440,16045,1666,63,2520,4245,163945,31362,96816,292125
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
