SOSR_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SOSR201,0,0,33,481,619,826,647,526,113,3241,215,1543,2813,12256,4409,3274,2186,796,221,27709,59,111,490,2232,218,232,140,22,8,3522,157,697,1105,2232,245,108,62,11,4,4621,10,65,201,1486,1584,1972,1827,743,169,8052,37,106,314,2304,2201,1323,785,339,71,7473,267,1119,1000,2744,1249,759,543,127,41,7865,210,829,3085,12103,8185,6949,2427,836,354,34974,11,56,66,465,363,282,268,154,66,1734,11,67,236,919,335,179,73,16,3,1845,1005,4171,7660,28360,12302,9785,7727,4734,1896,77642,7004,11230,15341,41250,16713,14066,11089,7370,3324,127389,137494,252600,286454,639075,265362,211120,149599,82732,31661,2056095,68,517,1539,3021,741,340,162,52,14,6447,116319,195147,183032,335360,155673,117549,78160,42867,26330,1250452,59,217,341,2145,325,148,30,8,0,3283,4,23,228,1415,912,759,376,254,44,4013,36,136,629,3050,1396,1111,535,209,88,7188,81,227,422,1994,570,375,159,61,40,3936,20,42,98,1174,756,676,609,189,65,3635
SOSR203,0,0,0,10,36,44,53,51,4,198,3,7,44,91,17,15,14,4,0,195,0,3,4,9,0,0,0,0,0,19,5,77,57,35,3,0,0,0,0,184,0,3,4,20,51,87,71,42,7,284,0,3,3,18,18,8,3,3,0,65,3,20,18,69,32,17,18,0,0,182,0,10,29,70,34,25,6,0,0,177,0,3,3,23,18,15,21,13,3,88,0,6,4,35,11,7,3,0,0,66,24,95,159,347,144,180,183,168,87,1387,243,449,615,1276,755,659,548,392,191,5130,5029,9312,10993,20117,9480,8701,6667,3744,1596,75635,4,26,60,82,28,8,5,0,0,218,4361,7662,9138,15985,7817,7030,4906,2905,1848,61648,0,3,0,25,3,0,0,0,0,37,0,0,9,45,61,39,27,17,3,200,0,0,0,15,7,9,3,0,0,26,7,11,13,53,18,12,3,0,0,111,0,0,0,4,3,3,3,0,0,21
SOSR211,0,0,0,3,19,25,27,26,8,106,3,32,23,142,45,32,25,5,3,305,0,0,5,50,0,3,0,0,0,59,10,91,89,53,6,0,0,0,0,252,0,0,0,29,21,21,18,3,0,92,0,0,0,16,22,8,3,3,0,53,3,35,25,69,33,38,44,3,3,255,10,12,17,80,34,20,8,0,0,181,0,3,4,20,16,19,19,14,7,95,0,3,6,24,6,5,0,0,0,58,27,233,356,695,316,255,204,125,40,2254,596,993,1173,2530,1262,1193,1044,613,241,9648,9977,18430,18978,35007,16043,15011,11647,5919,2053,133073,0,6,5,15,3,0,0,0,0,32,8803,15481,16101,29440,13903,13401,9632,5449,2952,115164,0,11,3,67,6,4,0,0,0,93,0,0,4,28,19,13,13,0,0,77,0,7,0,16,3,3,0,0,0,27,0,8,11,62,17,14,16,0,0,121,0,5,8,21,17,9,12,4,0,77
SOSR212,0,0,0,0,3,16,13,0,3,34,9,24,12,101,43,17,11,0,0,219,4,0,25,128,0,0,0,0,0,157,4,13,12,34,0,0,3,0,0,64,0,0,0,6,8,12,13,7,0,41,0,5,9,54,81,40,22,13,0,229,3,10,17,29,13,13,6,3,0,107,5,0,11,47,18,27,7,0,0,109,0,0,4,5,7,6,7,6,4,45,0,6,3,17,9,0,0,0,0,36,18,122,164,423,216,149,102,80,24,1299,332,642,748,1683,912,911,762,499,212,6702,5702,11176,11134,20877,10588,9766,7481,4035,1507,82267,0,43,131,160,43,4,5,3,0,392,4983,9377,9134,16887,8952,8328,5927,3647,1814,69054,0,10,0,31,4,3,3,0,0,51,0,0,0,3,3,0,0,0,0,10,0,0,11,14,4,3,0,0,0,26,0,4,8,27,19,6,8,0,4,76,0,0,0,3,9,0,5,0,0,15
SOSR213,0,0,0,4,7,16,24,22,4,84,4,15,17,83,18,17,18,6,4,178,0,0,10,44,3,0,0,0,0,51,3,22,11,18,3,0,0,0,0,57,0,0,0,7,4,11,8,4,0,30,0,4,3,7,11,4,4,0,0,33,11,35,25,82,48,39,54,11,3,300,0,5,9,48,31,11,5,0,0,104,0,8,3,18,17,15,30,12,7,109,0,5,13,40,12,12,9,3,0,82,13,76,77,290,148,185,193,121,56,1162,434,839,915,2092,1200,1282,1270,796,334,9158,8283,16369,14689,28523,15136,15150,12792,7194,2649,120784,0,4,11,12,5,3,0,0,0,36,7280,14170,12417,25434,13488,13115,10159,6230,3443,105732,0,0,3,18,9,0,0,0,0,25,0,0,4,14,3,13,3,3,3,38,0,0,0,14,3,0,3,0,0,24,4,16,6,65,23,23,7,8,7,161,0,0,0,11,7,11,3,3,0,37
SOSR214,0,0,0,0,9,11,9,13,0,42,3,4,3,40,5,9,3,5,3,80,0,0,12,55,0,0,0,0,0,64,3,7,12,17,4,0,0,0,0,41,0,0,0,3,9,0,6,3,0,27,0,0,0,11,9,0,0,0,0,25,0,11,11,35,21,16,23,6,0,122,0,4,10,37,16,0,0,0,0,70,0,0,0,9,10,18,16,8,3,64,0,0,0,0,3,3,0,0,0,16,9,16,37,122,88,84,103,85,24,565,231,441,476,1088,791,888,910,588,267,5692,4058,8283,7857,13878,8544,9042,8690,5023,1869,67240,0,0,0,0,0,0,0,0,0,0,3450,7223,6109,11886,7371,7629,7090,4260,2368,57384,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,3,13,5,3,0,0,0,20,0,0,3,24,20,17,5,3,0,85,0,0,0,7,5,0,3,0,0,19
SOSR215,0,0,0,0,8,14,20,10,7,63,0,0,5,48,15,10,14,4,0,102,0,3,10,48,0,0,0,0,0,66,3,32,21,31,5,0,3,0,0,96,0,0,0,3,3,8,6,0,0,20,0,0,4,15,10,8,5,5,0,44,3,12,8,35,30,47,43,8,3,197,0,11,10,38,25,23,3,0,0,104,0,0,3,15,26,28,21,17,3,108,0,3,4,18,7,6,8,0,0,47,8,33,31,181,144,141,205,133,52,926,337,760,775,1820,1309,1502,1325,875,357,9050,6537,13764,11414,22394,13448,14555,13263,7255,2740,105368,0,0,3,0,0,0,0,0,0,6,5778,11876,9417,19704,11414,12010,10027,6063,3495,89777,0,6,0,17,0,0,0,0,0,24,0,0,0,0,4,0,0,0,0,9,0,0,9,27,9,3,0,0,0,56,3,7,3,41,17,22,7,3,3,103,0,0,0,13,7,7,10,3,0,39
SOSR221,0,0,0,0,3,10,5,9,0,22,0,0,0,4,0,8,3,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,6,9,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,3,0,9,3,4,4,8,14,12,20,5,0,74,0,3,0,7,0,0,0,0,0,8,0,3,0,9,0,6,9,6,0,37,0,0,0,0,0,3,3,0,0,4,5,7,3,50,33,45,49,38,11,231,103,228,187,504,385,523,491,231,108,2753,1650,3825,2922,5822,4133,4821,4362,2023,633,30195,0,0,0,0,0,0,0,0,0,0,1442,3251,2477,5223,3410,3579,2847,1510,686,24426,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,12,5,0,0,32,0,0,0,3,4,0,3,0,0,11
SOSR222,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,9,7,0,30,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,7,3,0,15,0,0,0,0,0,0,0,0,0,3,0,8,4,31,17,30,37,23,10,172,60,195,164,359,303,340,269,105,47,1843,1060,2420,1961,3774,2737,3228,2638,1043,344,19200,0,0,0,0,0,0,0,0,0,0,899,2123,1548,3185,2179,2401,1652,754,381,15127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,4,4,3,0,0,0,14,0,0,0,0,4,0,4,0,0,6
SOSR231,0,0,0,3,38,56,45,34,4,176,0,15,3,103,32,26,23,7,0,211,0,3,9,51,0,3,0,0,0,75,9,26,17,41,6,8,4,0,0,105,0,0,0,21,28,39,32,19,0,143,0,0,3,30,39,12,18,3,0,107,8,28,32,65,56,64,80,18,4,363,3,8,27,128,64,28,8,0,0,261,0,0,0,24,23,51,47,13,0,164,0,4,8,25,33,21,7,5,0,100,9,56,107,380,290,365,390,211,69,1874,698,1710,1679,3617,3268,3641,2942,1254,349,19145,10584,27624,24555,41804,33275,35706,27407,10409,2499,213864,0,3,0,0,0,0,0,0,0,3,9282,23984,19278,33512,26060,25294,16059,5764,1970,161197,0,0,0,14,3,0,0,0,0,19,0,0,0,11,3,5,4,6,0,30,0,3,7,22,3,3,0,0,0,45,3,14,17,94,45,49,21,9,0,246,0,0,0,16,12,11,6,0,0,50
