SOSR_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR201,1111,2270,7402,15033,3941,32945,1603,14902,1325,80544,8653,26902,27225,34370,22600,38580,7958,20506,3419,190212,56234,160977,71215,51119,66281,41039,23471,33687,9030,513039,77278,137077,53905,37109,62315,28764,23337,27195,7592,454577,70199,98084,47399,36454,64624,27942,26913,30721,6683,409017,38322,63080,29322,22545,42948,17873,20019,23634,3965,261707,9036,17028,5991,4623,10302,4913,4083,5939,1429,63358,1112,1881,535,310,858,503,257,782,484,6727,185,254,98,46,111,66,37,83,215,1087,262130,507545,243094,201608,273979,192635,107672,157451,34140,1980273
SOSR203,46,60,424,673,144,1614,87,816,61,3919,358,852,1376,1598,683,1505,333,1049,93,7852,1437,4342,2856,1938,1718,1329,825,1328,223,15990,1885,3904,2057,1558,1907,1050,820,1258,247,14684,1919,3113,1825,1843,2064,1015,1095,1460,213,14539,1218,2275,1293,1254,1532,820,874,1227,143,10644,278,475,197,224,339,179,180,282,52,2213,40,49,23,10,24,12,13,49,22,240,10,8,5,0,4,4,0,3,11,48,7180,15071,10048,9099,8422,7532,4230,7482,1065,70130
SOSR211,112,104,907,1106,276,2850,148,1576,128,7202,611,1288,2663,2507,1158,2260,566,1823,223,13107,2403,6280,5139,3275,3228,2295,1735,2636,376,27376,2979,5761,3464,2814,3477,1788,1903,2308,421,24910,3054,4562,2994,2949,3779,1895,2104,2664,400,24401,2121,3516,2023,2190,2964,1424,1677,2116,249,18284,444,683,399,353,527,338,402,410,105,3661,73,62,28,17,37,20,29,56,36,362,9,7,10,9,8,8,0,9,10,65,11809,22261,17623,15220,15454,12887,8569,13599,1936,119360
SOSR212,86,67,559,680,186,2076,77,988,86,4807,344,778,1497,1191,712,1264,318,1067,112,7287,1414,3597,3090,1785,1838,1308,869,1839,237,15976,2056,3296,2166,1729,2129,1174,1005,1482,236,15268,2227,2885,2073,1816,2645,1396,1283,1764,239,16333,1485,2220,1352,1407,1911,974,1088,1424,169,12038,392,443,257,266,340,251,239,351,64,2592,55,34,16,15,27,20,17,35,28,250,16,5,3,4,9,4,3,7,11,55,8073,13331,11018,8903,9795,8462,4900,8957,1167,74610
SOSR213,100,71,865,1031,228,2577,119,1572,119,6682,454,857,2238,1603,800,1524,358,1355,148,9334,1959,4934,4364,2560,2188,1772,1166,2241,326,21512,2994,4865,3397,2606,2793,1815,1496,2148,365,22474,3120,4187,3151,3187,3447,1865,1892,2605,358,23812,2271,3476,2334,2195,2730,1458,1640,2118,285,18509,591,718,364,411,535,301,379,534,119,3948,131,77,46,20,50,40,26,66,45,514,16,15,8,8,4,3,6,14,20,84,11630,19203,16769,13626,12768,11354,7074,12660,1785,106877
SOSR214,63,35,485,463,106,1250,42,776,59,3285,215,340,1118,736,300,671,181,782,64,4402,884,1745,2079,1164,929,712,550,1279,157,9514,1421,2190,1712,1318,1304,828,665,1223,150,10811,1684,2069,1728,1715,1798,1021,988,1663,199,12863,1367,1731,1256,1318,1419,783,900,1449,176,10393,393,425,270,249,349,224,214,309,72,2494,83,39,28,24,34,34,9,46,44,337,21,8,13,4,10,3,0,8,4,71,6125,8597,8681,6988,6239,5526,3561,7532,927,54179
SOSR215,72,42,739,768,128,1645,66,1166,88,4705,367,537,1803,1240,555,1002,353,1141,126,7119,1485,2942,3744,1941,1762,1246,1001,1863,256,16247,2611,3533,3124,1937,2249,1324,1276,1971,299,18327,2862,3291,2995,2547,2691,1626,1808,2487,327,20624,2313,2928,2259,1920,2245,1267,1633,2217,287,17073,772,716,449,394,580,366,412,546,125,4345,177,76,43,27,45,28,23,66,61,547,25,11,9,14,8,12,14,11,21,125,10679,14075,15162,10783,10264,8512,6587,11466,1586,89120
SOSR221,13,19,211,178,29,431,21,327,21,1248,89,128,419,269,107,230,85,296,19,1644,359,669,923,441,396,268,272,454,44,3823,655,883,881,515,589,339,364,566,81,4881,862,926,915,784,778,442,551,734,94,6088,725,916,736,573,615,358,489,646,105,5166,272,211,128,106,162,107,88,150,40,1265,50,19,17,5,8,7,13,25,17,162,13,10,4,0,3,3,3,0,4,40,3033,3781,4236,2888,2692,2184,1888,3197,422,24320
SOSR222,19,13,127,123,28,244,23,217,5,805,58,79,264,196,75,126,52,217,21,1095,263,387,531,304,238,202,201,354,32,2514,464,526,539,346,368,220,243,355,37,3094,553,579,610,512,499,285,357,501,72,3971,559,586,482,358,428,247,336,508,66,3579,185,126,102,61,76,52,74,108,18,808,43,13,16,7,5,0,3,16,13,115,4,4,4,3,3,0,0,3,3,28,2140,2319,2677,1914,1717,1384,1299,2281,276,16005
SOSR231,381,160,1915,1644,407,3588,243,2748,237,11331,1060,1061,3510,2194,1056,1755,712,2252,257,13855,4097,4404,5047,2505,2650,1538,1595,3165,363,25363,8202,6453,5616,2991,4528,1935,2446,3351,604,36129,12066,8163,6853,4535,6684,2825,3920,4993,820,50857,11914,7308,5019,3470,4929,2246,3406,4548,711,43557,6860,1879,1037,614,1280,581,807,1204,366,14633,2039,176,93,49,138,54,67,193,146,2963,309,26,26,13,28,16,16,45,45,520,46932,29621,29124,18031,21702,14545,13209,22505,3548,199216
