SOSR_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SOSR201,75283,92602,167889,135738,169125,304866,1333,1352,2684,25780,29845,55630,777,791,1561,460345,516420,976761,2832,3604,6439,93019,97869,190891,4097,5223,9322,4285,4635,8922,6038,7697,13732,7428,7621,15049,7882,9118,16998,18554,21608,40161,29129,34658,63788,2309,3242,5555,3347,3936,7285,39628,53934,93563,50270,58189,108464,1708,2004,3716,894495,1030875,1925372,68366,58604,126973,97290,86991,184279,19940,21525,41468,89,106,189,26829,21390,48220,6675,7924,14601,33591,29420,63010,666868,623686,1290558,6589,5349,11944,2587,3881,6473,676053,632923,1308975,191077,187159,378238,2056095,2140106,4196198
SOSR203,786,995,1779,6749,8716,15462,0,0,0,1390,1608,2997,87,74,160,18807,21863,40672,115,157,271,1398,1429,2826,181,245,432,96,107,197,589,785,1372,48,41,94,168,246,412,482,551,1030,2049,2466,4518,164,222,384,77,111,188,3176,4487,7669,1917,2306,4216,53,88,142,37553,45495,83049,899,596,1490,1313,1022,2339,38,38,78,10,3,10,348,300,650,213,253,474,577,563,1133,26888,25074,51964,299,216,515,133,157,287,27319,25441,52759,7153,7322,14467,75635,81462,157104
SOSR211,1155,1520,2674,14553,18013,32567,4,5,10,1903,2196,4096,251,219,471,31257,35880,67137,460,639,1100,966,970,1932,419,571,992,344,392,738,765,875,1647,156,158,311,337,400,738,1215,1445,2658,2899,3566,6464,342,478,819,241,312,552,6598,8959,15557,3040,3496,6544,73,79,156,65819,78660,144482,1208,1127,2333,1099,961,2057,47,58,104,20,19,41,612,556,1167,315,497,816,949,1073,2020,49114,45775,94891,477,393,865,153,275,428,49743,46448,96188,13055,12810,25869,133073,142654,275731
SOSR212,653,901,1552,8508,10706,19214,0,5,9,703,791,1496,141,158,303,20951,23887,44833,231,270,500,883,884,1770,218,329,545,191,248,445,503,650,1150,60,39,105,227,253,474,742,896,1635,2461,3038,5499,185,301,483,173,230,395,3426,4751,8179,1628,1945,3574,40,56,103,41278,49437,90717,561,511,1072,2445,2110,4553,30,35,65,25,16,41,520,452,976,139,225,367,691,693,1387,27777,25310,53088,237,184,419,96,128,221,28107,25625,53729,8495,8682,17179,82267,87993,170256
SOSR213,739,1019,1759,15148,19071,34219,0,0,0,1569,1797,3361,295,306,600,27576,31160,58738,291,428,718,741,726,1465,392,512,906,164,207,372,1218,1456,2677,34,22,53,378,470,851,867,1032,1902,3592,4345,7941,368,534,901,158,215,373,6064,8708,14776,2447,2987,5432,67,77,144,61371,74053,135426,479,402,885,585,400,990,43,43,84,14,24,39,254,218,469,208,356,567,480,600,1077,44580,41142,85726,390,310,697,154,245,397,45120,41697,86823,11958,12019,23970,120784,130231,251012
SOSR214,430,619,1048,8808,10920,19729,3,0,4,628,774,1409,119,117,237,15011,16888,31899,148,191,340,417,382,795,218,298,513,67,84,148,515,658,1173,15,15,30,132,173,305,443,555,996,2219,2525,4746,236,324,561,81,117,196,3709,5169,8873,1128,1332,2459,26,42,68,33924,40550,74479,256,220,480,307,253,559,28,34,70,7,7,12,168,141,307,168,263,431,342,409,750,24173,22148,46327,202,171,373,78,125,204,24454,22447,46903,7491,7100,14595,67240,71633,138874
SOSR215,721,1037,1759,14393,17520,31916,3,0,6,1136,1312,2445,142,138,286,22243,24799,47042,182,227,411,578,557,1135,237,313,553,132,166,298,654,796,1457,29,29,61,287,332,614,681,794,1474,3249,3813,7070,250,350,598,205,243,440,5820,7877,13696,2053,2364,4423,65,77,140,52340,61707,114044,293,273,561,324,276,598,50,54,102,6,10,14,133,117,254,268,426,697,410,556,965,40117,36458,76580,287,279,558,152,282,439,40554,37021,77576,10679,10695,21372,105368,111612,216976
SOSR221,201,273,469,4138,4772,8911,0,0,0,344,390,735,3,7,11,5615,6031,11643,61,87,149,153,143,301,114,130,243,37,36,70,211,270,482,12,12,22,53,64,119,164,194,360,1039,1023,2061,45,80,124,67,82,156,1756,2219,3976,581,645,1222,27,24,51,14432,16201,30636,51,47,101,52,41,97,13,14,26,0,9,6,12,8,13,72,115,184,79,131,208,11884,10416,22306,96,80,177,49,67,113,12029,10567,22592,3334,3157,6491,30195,30425,60620
SOSR222,109,170,280,2738,3070,5812,0,0,0,154,182,335,0,0,3,3609,3824,7429,27,37,63,95,84,175,21,32,60,12,20,34,188,212,401,4,4,8,57,36,95,79,106,186,623,672,1296,31,44,69,29,57,87,1100,1356,2455,294,331,622,17,20,36,9079,10090,19169,22,17,42,22,24,51,8,6,21,3,9,8,23,15,36,53,86,140,80,106,181,7577,6498,14072,65,32,95,31,51,74,7673,6573,14245,2198,2020,4216,19200,19003,38204
SOSR231,1098,1474,2574,27793,29793,57587,14,10,27,2357,2544,4899,69,73,142,45368,44657,90022,401,471,873,1727,1470,3199,489,572,1059,229,242,470,1847,1942,3795,56,43,95,540,533,1074,1342,1469,2809,6976,6564,13540,356,418,772,419,498,915,13908,14789,28704,4573,4759,9335,148,178,323,108616,111018,219635,481,432,912,687,575,1265,99,123,227,23,19,38,371,278,650,423,650,1073,817,944,1763,74784,63933,138714,584,477,1058,276,373,646,75640,64779,140424,26422,20843,47258,213864,200186,414055
