SOSR_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
SOSR201,1250438,..,..,..,..,1250438,..,2105,30,2136,15,2154,..,32522,5060,37586,396,37978,..,110,3,113,3,113,..,27443,7970,35407,216,35629,..,62120,20401,82518,455,82973,..,6459,2279,8737,43,8787,..,96026,30649,126667,719,127384,..,6843,953,7798,97,7894,..,2476,69,2541,34,2578,..,7755,300,8053,74,8131,..,6830,187,7015,84,7098,..,42690,7806,50500,442,50940,..,5106,249,5359,44,5402,..,24363,886,25246,181,25431,..,26275,2321,28595,304,28900,..,17325,749,18078,132,18210,..,12056,777,12834,127,12955,..,15195,979,16171,118,16289,..,100315,5966,106282,908,107190,..,39694,5449,45144,619,45759,..,3628,587,4220,35,4254,..,5011,1861,6874,60,6932,..,11358,1891,13249,153,13408,..,6061,508,6567,72,6644,..,6608,1613,8221,86,8310,..,5163,591,5752,52,5798,..,6154,1203,7357,51,7408,..,4480,464,4946,79,5028,..,6104,1226,7329,73,7400,..,6183,166,6346,51,6400,..,6750,473,7229,45,7278,..,8193,214,8408,64,8476,..,2792
SOSR203,61063,..,..,..,..,61063,..,64,0,64,0,64,..,290,58,346,8,354,..,12,0,12,0,12,..,148,36,186,0,188,..,602,147,751,3,752,..,54,22,78,0,78,..,812,209,1015,3,1024,..,752,132,885,13,894,..,141,3,145,3,142,..,119,3,122,0,123,..,251,3,255,3,260,..,273,30,302,5,310,..,58,3,59,0,59,..,273,4,282,3,278,..,346,23,370,3,375,..,119,6,120,0,120,..,132,10,143,0,143,..,169,7,175,3,180,..,1096,56,1150,10,1158,..,734,94,831,21,848,..,75,3,81,0,81,..,43,20,64,0,64,..,367,68,436,8,444,..,33,5,38,0,38,..,170,29,205,0,207,..,130,21,154,0,150,..,91,16,104,0,100,..,13,0,13,0,13,..,285,51,339,4,345,..,111,0,108,0,108,..,73,0,76,0,76,..,130,0,131,0,131,..,59
SOSR211,113119,..,..,..,..,113119,..,92,3,93,0,93,..,372,39,413,7,422,..,28,0,31,0,27,..,149,44,190,0,194,..,565,195,766,9,771,..,68,15,81,0,80,..,787,252,1033,5,1039,..,183,33,215,0,215,..,114,3,112,0,115,..,141,3,150,0,150,..,216,3,221,0,225,..,263,35,299,4,298,..,141,7,147,0,147,..,440,23,466,0,465,..,592,65,660,8,672,..,219,12,229,4,237,..,186,16,199,3,205,..,264,59,322,3,322,..,1838,180,2017,20,2040,..,406,23,435,12,444,..,72,11,79,0,86,..,69,19,87,0,87,..,107,21,123,0,123,..,351,26,372,4,381,..,60,17,81,0,81,..,91,13,112,0,110,..,73,10,79,0,79,..,275,26,304,4,303,..,174,40,208,7,220,..,228,7,236,4,239,..,68,4,74,3,77,..,284,13,294,0,294,..,64
SOSR212,67461,..,..,..,..,67461,..,104,0,103,0,104,..,594,164,755,10,768,..,21,0,19,4,24,..,109,63,171,0,171,..,307,235,540,4,544,..,15,16,29,0,29,..,430,311,740,4,745,..,83,9,98,0,97,..,60,0,58,0,60,..,84,4,89,0,89,..,127,0,127,3,128,..,299,43,339,3,347,..,62,0,62,0,62,..,157,4,158,0,159,..,462,80,541,9,554,..,162,7,169,0,169,..,95,10,97,3,99,..,149,11,154,0,154,..,1082,106,1191,13,1207,..,864,101,965,11,981,..,62,22,83,0,83,..,41,73,112,0,112,..,86,8,93,3,98,..,69,0,76,0,75,..,53,21,77,0,78,..,65,3,71,0,71,..,21,0,20,0,20,..,129,13,149,3,150,..,37,3,37,0,37,..,92,4,94,0,94,..,30,3,37,0,37,..,138,6,138,0,140,..,65
SOSR213,106441,..,..,..,..,106441,..,95,0,101,0,101,..,169,24,187,4,195,..,14,0,14,4,16,..,86,26,113,0,113,..,248,101,352,7,356,..,20,10,33,0,33,..,358,139,498,11,503,..,139,11,154,0,154,..,221,0,224,0,226,..,130,7,137,0,137,..,289,6,295,3,305,..,252,22,275,9,280,..,33,0,36,0,36,..,142,9,154,3,157,..,256,24,282,7,287,..,97,9,112,0,108,..,50,0,54,0,54,..,107,9,119,0,123,..,692,57,749,9,758,..,774,101,871,20,894,..,58,12,69,0,69,..,18,11,25,0,25,..,38,8,48,0,48,..,131,12,142,3,144,..,35,5,36,0,36,..,90,6,100,0,96,..,30,3,35,0,35,..,28,0,32,0,32,..,67,9,80,3,81,..,129,5,139,0,139,..,59,13,70,0,74,..,177,4,181,0,181,..,45
SOSR214,58337,..,..,..,..,58337,..,47,0,48,0,48,..,120,25,148,0,148,..,8,0,8,0,8,..,59,23,75,0,75,..,171,150,318,7,325,..,65,21,86,0,86,..,291,191,479,7,484,..,49,0,57,0,58,..,83,0,83,0,84,..,58,3,58,4,62,..,160,3,166,3,170,..,147,23,172,5,175,..,12,0,12,0,12,..,73,3,74,0,79,..,158,21,175,0,178,..,41,5,42,0,45,..,35,6,42,0,42,..,43,0,50,0,50,..,366,33,401,3,405,..,457,49,509,19,525,..,30,9,36,0,36,..,20,6,23,0,23,..,26,3,34,0,34,..,82,4,94,0,92,..,9,3,9,0,9,..,31,8,35,0,37,..,16,0,16,0,16,..,11,0,11,0,9,..,21,0,21,0,19,..,63,0,65,0,65,..,15,0,23,0,23,..,67,5,69,0,69,..,19
SOSR215,93213,..,..,..,..,93213,..,53,0,53,3,52,..,84,9,91,0,97,..,22,0,21,0,19,..,59,36,93,3,98,..,162,86,245,6,252,..,17,6,23,0,23,..,245,126,366,8,378,..,78,11,90,0,90,..,159,0,164,0,162,..,116,4,125,8,130,..,248,5,253,0,259,..,177,21,196,0,197,..,33,0,34,0,34,..,85,0,87,0,87,..,126,11,137,0,140,..,46,0,49,0,49,..,20,3,26,0,28,..,70,4,69,0,69,..,382,18,396,0,403,..,662,76,735,20,757,..,43,6,47,0,47,..,16,7,25,0,25,..,49,3,52,0,50,..,77,6,81,0,86,..,22,0,23,0,23,..,64,3,74,0,70,..,23,3,21,0,21,..,13,3,19,0,19,..,32,7,42,0,42,..,80,0,78,0,78,..,19,0,21,0,21,..,78,8,87,3,90,..,38
SOSR221,26922,..,..,..,..,26922,..,14,0,14,0,14,..,24,3,28,0,28,..,5,0,5,0,5,..,11,0,14,0,14,..,23,8,28,0,28,..,0,0,0,0,0,..,39,8,44,0,46,..,29,3,38,0,38,..,42,4,44,0,40,..,37,0,37,0,37,..,67,0,72,0,75,..,57,9,67,0,65,..,4,0,4,0,4,..,12,0,12,0,12,..,15,3,22,0,22,..,3,0,3,0,3,..,4,0,4,0,4,..,10,0,10,0,10,..,46,3,44,0,44,..,128,5,137,5,143,..,6,4,12,0,12,..,0,0,0,0,0,..,10,3,13,0,13,..,40,3,42,3,43,..,7,0,7,0,7,..,12,0,8,0,8,..,9,0,5,0,10,..,3,0,3,0,3,..,16,3,18,0,18,..,13,0,16,0,16,..,10,0,10,0,10,..,8,0,8,0,8,..,3
SOSR222,16972,..,..,..,..,16972,..,7,0,7,0,7,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,6,0,6,..,33,11,42,0,42,..,3,0,3,0,3,..,36,18,54,0,54,..,12,3,16,0,16,..,28,0,28,0,29,..,22,0,19,0,19,..,39,0,42,0,40,..,29,9,34,0,34,..,0,0,0,0,0,..,3,0,3,0,3,..,16,0,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,6,0,6,..,30,3,27,0,27,..,79,5,82,0,82,..,7,0,12,0,12,..,12,3,11,0,11,..,7,0,7,0,7,..,14,0,14,0,14,..,0,0,0,0,0,..,8,0,6,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,3,3,4,0,10,..,22,0,20,0,20,..,0,0,0,0,0,..,15,0,15,0,15,..,3
SOSR231,184983,..,..,..,..,184983,..,137,0,134,0,140,..,183,22,207,7,215,..,14,0,21,0,21,..,75,23,100,0,100,..,296,124,420,6,427,..,10,3,15,0,15,..,386,153,536,6,546,..,255,22,275,0,278,..,360,15,374,3,378,..,199,14,206,0,206,..,518,8,527,3,537,..,535,61,596,5,599,..,27,0,32,0,32,..,187,6,195,0,199,..,321,53,375,8,378,..,105,8,112,3,117,..,29,0,35,0,32,..,53,3,55,0,55,..,738,64,799,11,813,..,1826,127,1951,36,1990,..,82,10,96,3,95,..,11,5,19,0,19,..,220,26,243,4,246,..,387,11,403,8,402,..,25,0,25,0,25,..,129,9,140,0,140,..,81,13,85,0,85,..,61,7,64,0,66,..,125,17,140,0,142,..,149,10,154,0,155,..,76,0,74,0,74,..,127,10,140,4,139,..,36
SOSR279,18,..,..,..,..,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
