SOSR_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR201,713,18959,93128,61898,55990,40556,15872,5067,2171,294352,207,7030,67560,49570,41561,27756,9277,2470,1083,206516,174,2736,49286,46738,38460,24597,7100,1910,853,171858,79,1137,27891,35270,28772,17826,4702,1262,557,117486,148,985,35957,58800,45838,25911,7001,1913,844,177385,238,754,11175,38178,38229,20624,7286,2345,1092,119921,20217,23788,53910,41334,37572,31704,28718,23442,17656,278332,249943,316127,695698,601145,545587,439174,317529,185177,85254,3435626
SOSR203,17,722,2787,2149,2090,1685,641,233,121,10446,9,238,2105,1608,1417,1064,290,77,40,6842,11,101,1428,1434,1310,885,188,58,17,5433,3,42,752,1064,978,662,139,27,22,3684,6,17,781,1424,1366,866,182,43,24,4704,9,33,239,698,776,486,162,62,24,2492,916,876,1495,1337,1480,1384,1456,1276,1049,11269,9959,11931,21680,19552,19884,18465,14388,8763,4593,129222
SOSR211,46,1284,5067,3877,3774,3009,1040,313,148,18563,20,489,3378,2972,2729,1872,512,124,54,12149,3,156,2010,2389,2159,1523,331,71,23,8673,3,57,1089,1551,1582,1037,181,45,26,5571,6,45,1076,1763,1788,1198,230,72,26,6210,26,52,294,749,837,588,212,95,36,2888,1829,1647,3035,2548,2572,2643,2591,2069,1367,20295,17664,20098,38326,34284,33634,32117,24759,13422,5952,220263
SOSR212,24,773,2899,2283,2540,1991,707,211,95,11525,9,295,1938,1765,1683,1185,317,79,28,7299,0,125,1175,1415,1466,1027,200,45,21,5471,0,50,637,961,1072,755,110,34,11,3626,3,53,651,1192,1287,909,186,51,28,4361,13,31,257,508,662,447,150,71,23,2167,1189,1000,1915,1651,1881,1925,1899,1490,919,13855,11145,10899,22389,20807,22142,20504,15863,9362,4248,137351
SOSR213,47,977,3852,3208,3431,2927,1081,400,184,16117,9,316,2647,2478,2386,1727,551,132,56,10308,7,167,1723,2030,2178,1521,344,92,34,8095,4,48,913,1472,1500,1111,231,66,26,5367,4,47,959,1891,1953,1276,292,92,36,6558,23,35,331,828,987,698,256,104,59,3326,1592,1210,2211,2260,2510,2730,2957,2504,1722,19701,14987,13737,29330,30191,31934,32056,27053,16238,7501,203020
SOSR214,32,426,1559,1569,1980,1503,724,265,141,8195,11,165,1037,1106,1273,973,325,83,30,4997,0,68,695,943,1018,851,201,76,25,3878,0,24,372,656,761,453,112,40,12,2432,0,15,394,753,855,576,166,51,14,2829,5,13,139,329,368,324,129,81,35,1426,1038,598,1351,1381,1622,1819,2175,1827,1133,12937,8049,6762,13599,15094,17803,18934,18475,11053,5132,114902
SOSR215,45,776,2896,2765,3098,2677,1101,380,184,13918,7,250,1910,2006,1948,1627,505,152,56,8467,3,89,1182,1664,1681,1375,345,90,55,6481,4,41,627,1097,1224,850,200,56,30,4124,4,32,626,1323,1429,1042,248,84,34,4829,5,28,190,513,697,515,239,109,47,2351,1525,889,1787,1947,2343,2803,2997,2430,1630,18351,11821,10185,22188,24539,27995,30257,27228,15760,7560,177528
SOSR221,7,162,648,720,881,785,301,110,46,3667,3,58,442,467,585,457,142,32,7,2189,0,33,292,384,494,369,92,10,11,1677,0,3,146,284,301,241,54,10,4,1050,0,8,139,337,374,282,62,24,0,1232,10,7,48,142,177,167,57,28,8,638,412,210,470,570,755,967,1015,650,421,5461,3218,2410,5364,6731,8472,9647,8504,4133,1603,50085
SOSR222,11,111,449,475,589,576,191,41,23,2462,0,39,268,332,381,303,96,21,8,1450,0,13,153,249,325,268,49,11,14,1090,0,10,87,166,224,174,41,9,0,708,0,4,81,182,266,182,33,12,3,760,0,6,20,62,111,126,44,23,13,406,326,169,334,403,565,601,578,308,163,3445,2156,1563,3521,4284,5565,6392,4978,2095,847,31400
SOSR231,115,1404,4536,5131,6900,6079,2496,635,179,27467,32,532,2836,3654,4803,4066,1403,304,59,17682,11,231,1894,3068,4275,3288,952,250,65,14040,8,65,991,2063,2808,2186,632,145,48,8948,9,61,1070,2792,3890,2835,863,241,47,11798,45,81,469,1606,2579,2083,939,311,68,8176,3822,2003,4201,5171,6637,6884,5822,2734,895,38163,27043,19177,35251,47992,66424,69088,50347,18869,5266,339459
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,25
SOSR299,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
