SOSR_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOSR201,1630,9243,7756,7914,14710,12995,6395,8589,787,70016,2689,9448,7897,7498,17414,17874,5833,10158,18524,97352,59484,231310,205760,212936,382559,403468,184434,263038,37293,1980273
SOSR203,68,374,250,312,484,471,216,274,34,2466,109,296,185,242,404,451,162,282,562,2688,2737,9810,7826,8386,12698,12628,6292,8492,1264,70130
SOSR211,148,590,402,544,921,767,479,535,57,4432,176,478,272,357,789,780,273,458,941,4539,4777,15370,12146,14825,23725,20650,11313,14402,2155,119360
SOSR212,70,403,267,285,653,588,246,369,37,2922,120,274,194,206,483,482,176,284,652,2871,2833,9300,7381,9098,14868,13337,7060,9352,1380,74610
SOSR213,105,588,426,500,905,774,359,589,45,4284,183,453,284,316,592,672,235,507,977,4214,4422,14210,11540,13249,19170,18457,9725,14041,2062,106877
SOSR214,68,302,200,211,377,423,219,306,34,2144,119,264,187,204,365,355,153,239,499,2383,2517,7186,6003,7022,9351,9232,4915,6833,1112,54179
SOSR215,142,497,319,366,657,707,344,519,31,3593,222,437,294,301,597,669,254,446,866,4084,4141,11578,9748,11169,15025,15346,8161,11990,1975,89120
SOSR221,32,129,99,112,163,191,87,150,6,965,77,107,86,80,159,196,56,122,223,1104,1224,3262,2764,3099,3932,4058,2033,3445,506,24320
SOSR222,22,78,52,57,102,111,45,67,4,547,35,75,61,62,105,109,43,88,150,729,765,2067,1742,1924,2540,2685,1437,2461,372,16005
SOSR231,217,888,670,734,1089,1402,567,1137,97,6790,482,981,707,728,998,1460,498,1339,2026,9210,8622,25102,21079,23359,26795,33143,16075,40191,4861,199216
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
SOSR299,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
