SOSR_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOSR201,8645,1477,29369,1273,411,4642,2870,3508,632,13335,1918,976,6293,1866,1253,262,12568,4678,1785,14833,5961,4054,928,32245,1057,337,3918,2570,3190,589,11666,12020,4006,33089,9228,6014,1495,65844,1994,926,7996,5104,5336,1047,22404,6081,3901,14981,7023,6204,944,39140,22111,14728,43639,12760,9297,1921,104449,19046,12172,61295,30311,29781,5441,158053,1314,759,5117,2378,2398,369,12337,1639,840,5290,5785,9571,901,24023,2313,677,7335,4013,4070,3310,21713,87672,45377,262094,121674,120357,24356,661531,549,156,1709,926,1502,251,5092,564,131,1311,329,814,81,3231,8180,2109,27631,15771,36908,3545,94143,2243,576,5412,2090,3846,393,14562,3221,1029,15767,12566,72099,3491,108175,5062,1336,16183,7889,11911,1479,43867,8259,2193,36389,21149,29076,4591,101660,4385,820,19809,15497,19098,2883,62490,4963,1337,15611,11694,18692,2833,55131,5624,1908,15729,5345,4634,829,34068,12022,3989,34423,12244,7228,1855,71764,2458,721,8523,4908,6992,1036,24630,31944,8183,81940,19556,12676,3567,157856,4126,1532,15129,9201,12654,1952,44586,11833,6452,27691,14910,15333,1960,78169,36705
SOSR203,587,74,1189,13,3,58,57,100,9,240,17,22,80,47,36,11,212,32,55,286,194,207,23,792,3,10,78,72,135,17,305,145,70,540,243,257,30,1282,20,19,124,167,257,34,620,111,123,510,369,393,43,1546,567,545,1839,606,514,70,4147,532,569,2688,1365,1893,240,7290,17,16,102,62,97,11,313,27,30,123,223,475,29,902,20,12,121,90,159,122,530,1667,1576,7693,4645,6564,866,23011,11,10,69,57,135,27,305,7,3,17,18,72,9,123,152,52,601,480,1870,129,3284,52,14,152,119,278,31,646,49,22,375,418,3480,147,4493,33,23,184,137,386,47,812,129,79,1034,857,1685,179,3965,73,24,487,427,1108,113,2240,68,19,252,273,781,82,1479,41,41,206,115,134,16,553,101,95,601,351,301,42,1491,10,18,154,123,265,28,599,387,153,1426,564,534,67,3128,49,30,239,264,534,64,1186,222,212,929,719,924,103,3104,1096
SOSR211,1094,115,1923,13,7,88,124,312,35,584,14,33,149,70,133,9,411,47,40,319,235,379,48,1065,11,7,77,94,226,22,451,124,98,713,340,432,43,1751,29,41,166,208,487,69,1000,175,207,774,667,800,77,2701,761,930,2820,899,1012,122,6538,877,999,3960,2565,3472,383,12258,24,21,139,111,214,31,542,24,38,136,344,829,51,1429,34,15,158,158,272,171,806,2315,2576,11011,7323,12455,1520,37204,25,14,156,118,426,46,793,27,17,133,67,427,11,685,163,87,863,779,3643,237,5769,41,35,168,163,475,27,905,46,49,410,567,6173,247,7497,42,11,171,223,845,47,1342,146,88,1030,1013,3196,323,5802,83,41,535,603,1968,182,3406,69,35,332,468,1703,207,2814,53,49,348,234,465,38,1181,120,89,675,530,544,72,2031,24,12,175,174,491,46,927,355,204,1818,758,861,97,4094,51,56,296,371,1019,110,1902,367,359,1427,1439,2002,185,5774,1273
SOSR212,599,74,1084,3,7,71,107,191,29,403,10,12,61,47,65,8,209,11,14,118,163,183,22,513,0,9,39,84,147,23,308,51,44,379,217,256,32,982,11,19,120,145,317,53,670,77,125,477,555,538,79,1855,366,593,1732,556,637,86,3979,433,541,2354,1646,2071,284,7328,4,8,52,63,107,17,250,10,15,65,220,592,38,947,20,11,74,91,178,126,497,1104,1478,6396,4889,7582,1117,22571,34,10,190,193,476,73,977,9,3,32,39,221,7,318,101,45,481,441,2133,157,3350,78,42,250,218,641,32,1252,19,22,186,296,3642,151,4319,24,5,130,132,601,59,952,54,46,500,588,2012,233,3429,42,18,281,390,1161,135,2027,23,24,241,335,1099,119,1847,21,22,135,103,222,27,532,29,29,261,350,261,35,972,8,12,84,123,329,41,587,145,108,977,473,521,70,2301,23,28,181,240,665,76,1211,163,194,797,950,1141,119,3365,565
SOSR213,1083,108,1806,6,0,65,90,192,19,382,10,18,104,81,75,10,295,22,27,201,236,265,25,777,9,9,66,108,246,31,472,116,76,600,371,413,42,1630,17,30,134,204,441,74,898,146,181,758,712,815,76,2696,580,839,2677,909,923,123,6045,604,780,3188,2306,3279,445,10603,23,19,105,113,170,20,448,28,25,138,360,826,56,1437,26,21,128,167,256,156,761,1717,2142,9428,7150,11511,1517,33474,39,9,239,280,763,114,1448,12,3,54,53,335,22,482,110,70,667,652,3431,231,5156,59,34,201,205,789,51,1346,34,30,403,536,6121,221,7347,33,18,273,251,808,76,1460,83,56,779,927,2808,306,4954,34,28,378,575,1919,184,3116,38,19,206,324,1464,147,2202,30,27,219,165,257,36,727,69,56,434,450,367,56,1438,21,9,133,178,480,57,878,314,157,1482,739,855,104,3659,30,51,240,343,936,116,1713,320,290,1342,1381,1801,154,5294,904
SOSR214,571,100,1038,6,6,35,66,108,10,235,11,9,38,26,48,6,137,10,3,74,97,136,22,346,3,7,29,38,118,22,213,55,39,269,174,205,25,775,7,8,73,91,193,48,419,78,86,320,310,401,49,1243,287,413,1199,419,438,76,2834,250,356,1382,1208,1610,258,5062,24,11,75,70,98,11,296,15,4,69,140,411,30,674,12,16,81,90,163,104,473,834,1029,4302,3531,5772,981,16450,21,9,143,144,494,82,899,6,3,37,21,154,9,232,77,38,369,419,1913,181,2990,13,15,63,56,293,20,453,17,18,162,207,3021,139,3567,18,10,103,101,385,45,671,28,32,324,394,1443,179,2397,29,19,221,326,1001,156,1754,23,27,111,202,729,94,1184,13,15,83,59,138,12,322,24,17,162,162,181,29,572,5,13,58,75,223,34,409,134,79,644,328,378,44,1617,10,12,116,149,449,83,822,169,146,535,683,999,107,2638,441
SOSR215,840,165,1775,12,9,65,133,187,39,442,13,26,70,54,59,8,230,10,15,141,180,195,19,565,8,7,62,73,198,29,379,114,71,506,276,342,57,1360,17,26,115,192,348,51,747,122,133,498,554,571,80,1957,486,721,2137,721,704,129,4898,393,552,2180,1930,2591,391,8039,25,29,126,103,149,28,462,23,31,115,258,629,36,1095,27,26,125,130,234,178,719,1364,1785,7304,6040,9229,1574,27300,36,39,273,302,1085,155,1882,13,3,27,32,296,26,399,77,55,513,546,2943,240,4380,45,18,160,135,598,32,992,25,21,293,450,5433,270,6500,29,11,139,191,710,67,1153,54,65,580,688,2254,319,3961,58,53,489,639,1581,259,3082,31,22,177,364,1337,185,2113,36,30,170,106,214,26,579,38,38,269,294,264,35,940,13,14,112,134,395,46,709,269,135,1133,546,632,116,2830,34,40,211,294,816,115,1501,235,213,862,1096,1386,147,3942,758
SOSR221,223,48,438,3,3,19,21,61,13,125,3,4,20,12,21,4,69,3,14,23,33,45,10,127,0,3,8,20,45,8,90,19,16,120,73,111,12,360,3,7,28,46,87,19,193,44,39,139,160,192,25,593,141,190,555,212,221,29,1346,87,146,629,542,715,109,2233,8,10,42,30,63,11,160,5,12,20,67,166,20,290,5,3,29,38,72,45,199,366,481,1944,1618,2627,466,7505,12,15,91,106,431,67,725,3,3,8,17,97,5,134,22,8,110,150,760,75,1126,5,3,33,39,181,17,284,0,11,79,108,1491,78,1767,3,5,36,37,212,19,312,10,15,149,211,649,88,1122,21,15,95,114,411,75,735,9,9,48,61,368,50,550,7,4,37,23,64,8,141,9,14,46,59,70,9,208,0,3,26,36,107,10,179,64,26,262,149,199,25,723,7,11,54,82,222,33,416,76,70,206,310,433,52,1137,210
SOSR222,187,28,387,0,3,10,21,37,7,87,0,3,10,13,15,0,40,3,0,15,26,27,3,75,0,0,13,19,33,3,69,16,12,90,40,51,13,229,0,0,34,28,63,19,153,21,22,89,88,98,10,329,96,122,348,143,127,23,855,64,96,357,312,462,69,1362,3,3,29,31,29,9,102,3,0,17,29,92,7,148,3,0,28,18,51,32,133,231,300,1241,1029,1659,289,4756,6,5,67,64,315,40,496,0,0,10,6,59,4,87,9,7,64,97,493,44,715,0,6,18,20,92,12,149,0,8,47,69,940,40,1106,4,3,26,28,110,20,196,13,14,75,105,364,40,610,16,13,104,133,380,43,694,9,3,35,51,272,36,411,3,4,21,20,38,0,84,4,0,34,45,31,3,124,0,0,16,31,70,13,135,29,26,185,87,102,17,452,3,5,51,48,170,28,306,46,34,157,190,257,23,700,136
SOSR231,1132,220,2302,19,23,147,248,396,71,915,27,32,153,100,108,19,448,45,40,309,299,288,49,1036,21,16,128,180,314,61,714,272,197,1377,720,773,152,3490,39,59,301,358,576,113,1442,289,306,1011,1118,1015,133,3870,1006,1328,3912,1516,1415,225,9397,932,1222,4721,3601,4106,752,15339,58,37,261,215,307,54,926,54,41,255,408,1069,98,1914,60,63,327,387,517,349,1702,3280,3871,16484,13097,17272,3532,57535,394,375,2977,3723,9300,1609,18384,27,14,138,104,719,35,1034,227,131,1261,1272,5565,489,8948,82,51,317,302,1131,65,1952,75,74,692,1048,10863,617,13370,78,54,459,453,1451,146,2643,131,110,1065,1128,3402,538,6369,88,67,566,733,1959,318,3723,76,72,399,704,2661,354,4260,63,57,298,232,372,53,1064,150,103,594,523,441,80,1885,38,30,242,310,667,97,1381,633,353,2957,1282,1393,260,6879,70,84,463,566,1337,196,2717,506,482,1696,2165,2686,274,7814,1468
