SOSR_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOSR201,40767,14601,85254,846346,868337,355081,267514,836910,261440,3435626
SOSR203,2108,940,4593,29503,33471,15125,11555,28644,10921,129222
SOSR211,2788,1193,5952,47385,57847,25776,21480,48062,19717,220263
SOSR212,1940,960,4248,28823,34977,15966,12555,31158,13868,137351
SOSR213,3537,1587,7501,41393,52897,25637,20830,42831,19433,203020
SOSR214,2246,1244,5132,21387,28814,14341,12074,24660,13622,114902
SOSR215,3651,1591,7560,34028,45682,23329,19199,36384,18900,177528
SOSR221,699,399,1603,8949,13028,7041,5952,9598,5520,50085
SOSR222,370,153,847,5849,8103,4190,3747,5953,3567,31400
SOSR231,1874,1031,5266,65857,88290,48448,41792,56898,38177,339459
SOSR279,0,0,0,7,3,3,0,11,3,25
SOSR299,22,12,38,1281,954,324,278,1969,2020,6825
