SOSR_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
SOSR201,5218,12542,2055,1259,1656,1324,887,1154,337,26421,10589,29181,6326,1607,3832,2904,2471,2684,951,60551,26532,36080,64129,4070,8496,6674,15192,13604,2309,177076,10819,6488,41740,1100,2092,1712,3206,6181,839,74172,1925,1502,4832,486,684,602,959,1702,190,12887,2641,24108,1434,5070,1024,926,833,1095,343,37472,3235,15292,987,1775,929,682,739,733,195,24565,44437,47512,6907,6831,21332,15377,8657,7459,2267,160786,9128,23421,2687,11674,5596,3221,2647,3095,964,62420,3896,14129,3922,2210,2325,2924,1292,1866,350,32911,3858,778,13058,2447,1324,1841,2775,2768,253,29098,93,78,166,77,58,84,165,254,52,1030,1984,2508,1635,1085,1041,711,1313,921,430,11622,1963,1756,4127,987,953,1193,2370,2347,2979,18685,126323,215358,154002,40677,51351,40172,43505,45861,12453,729701,3590,11995,2572,2276,4011,1999,175,828,329,27774,2300,7359,994,1105,3115,1051,152,688,258,17014,2200,5650,1681,1147,2217,1216,627,1420,208,16366,1062,4712,1377,446,1243,921,46,204,78,10089,719,1288,1079,531,987,567,85,504,81,5839
SOSR203,123,342,82,47,41,38,17,56,9,743,174,428,160,28,62,52,54,57,12,1030,759,970,2631,204,195,247,630,659,79,6379,416,202,2136,93,91,91,187,402,48,3666,97,82,209,21,24,41,60,76,7,622,95,997,78,246,45,35,35,60,18,1614,149,795,54,100,38,27,38,27,9,1234,1032,958,212,184,471,389,232,215,48,3747,181,512,109,589,141,96,84,132,21,1871,75,336,91,59,53,71,38,63,3,789,127,28,518,87,38,62,99,140,8,1107,7,7,4,0,3,3,8,7,0,36,48,76,54,42,24,19,45,38,18,362,52,54,170,53,31,40,131,154,104,787,3342,5782,6514,1760,1260,1216,1657,2086,378,23993,69,290,104,80,79,72,0,20,7,725,18,78,20,24,58,18,5,4,3,222,38,107,44,29,65,33,18,71,3,415,25,113,63,31,46,50,0,13,0,342,23,47,42,23,33,27,9,22,5,234
SOSR211,139,321,90,50,47,29,35,56,15,775,250,709,301,61,135,84,84,106,31,1769,1194,1121,5209,320,396,397,1329,1068,153,11200,730,150,3527,108,109,135,381,586,62,5797,250,165,393,50,69,63,164,215,20,1400,151,1470,99,473,63,41,39,64,21,2421,279,1394,80,186,67,70,76,65,19,2227,1530,1404,346,275,762,598,441,370,83,5811,293,717,131,961,197,120,146,247,42,2859,97,347,147,71,51,103,73,105,18,1022,191,34,833,155,83,112,217,249,18,1888,4,8,10,0,3,3,12,12,0,63,101,104,96,84,51,21,99,61,23,629,122,70,304,96,56,94,221,195,178,1324,5337,8012,11580,2883,2099,1879,3317,3411,670,39185,93,290,116,76,118,47,3,27,7,785,35,113,33,24,100,24,6,10,7,351,56,105,95,44,89,38,48,101,11,582,19,76,63,23,43,41,0,8,3,278,53,97,78,47,82,50,3,57,0,467
SOSR212,108,205,31,25,20,23,16,32,7,473,84,227,141,24,48,43,11,32,9,626,864,746,3650,158,256,241,806,688,78,7484,526,85,1928,58,64,69,232,415,45,3421,202,138,261,42,39,52,100,171,11,1020,88,937,50,230,29,24,46,32,16,1444,160,799,62,95,35,17,30,45,6,1254,979,877,167,144,409,346,219,202,45,3387,150,399,61,559,89,78,63,143,25,1576,58,174,72,49,30,54,29,55,3,521,160,27,555,71,34,82,133,168,9,1228,7,7,8,0,0,4,7,16,0,40,55,44,57,44,33,25,48,43,8,358,94,48,195,36,35,56,140,161,122,882,3523,4714,7231,1539,1125,1114,1891,2194,381,23714,61,197,68,36,84,29,0,18,5,491,21,34,13,11,43,11,0,7,3,150,32,61,56,25,51,32,28,60,3,347,15,45,39,8,27,15,0,6,0,151,38,56,56,25,50,24,9,49,3,309
SOSR213,121,298,66,43,44,28,38,37,10,685,178,376,180,24,54,47,36,60,14,977,1259,1040,5392,296,345,357,1224,1098,162,11166,880,144,3302,118,96,140,405,706,83,5876,363,233,474,64,67,89,201,282,25,1794,149,1070,73,352,38,30,43,64,11,1837,244,1256,98,156,55,40,61,48,21,1981,1360,1136,242,235,496,466,253,243,41,4473,260,572,128,789,146,96,95,155,29,2269,90,275,110,50,34,77,42,72,6,760,180,36,801,115,53,109,174,256,17,1735,7,6,3,0,0,0,7,13,3,41,78,88,91,78,32,23,70,51,29,535,141,50,303,67,40,77,186,243,174,1281,5304,6586,11260,2388,1501,1586,2830,3324,631,35409,73,303,96,68,90,36,4,32,8,717,18,55,24,14,60,18,3,16,3,206,45,86,76,32,71,55,24,86,6,489,28,82,71,18,45,47,3,12,0,296,65,101,75,56,95,55,15,65,3,523
SOSR214,78,156,40,17,11,12,16,29,7,367,60,138,71,15,26,19,12,27,3,369,668,437,2638,158,197,189,635,665,84,5685,447,80,1566,54,51,70,201,281,38,2784,202,112,273,37,42,54,98,172,19,1008,64,432,35,151,17,10,16,31,4,775,131,543,37,68,36,14,24,32,5,893,577,409,118,109,199,227,118,136,28,1918,111,311,57,438,64,40,38,91,17,1167,48,139,58,29,10,28,11,47,8,389,121,20,443,65,20,61,87,149,12,970,0,3,0,4,0,0,6,12,0,26,44,40,41,47,12,9,40,50,8,289,108,48,200,44,29,55,133,163,87,868,2658,2861,5588,1244,714,790,1444,1883,323,17500,46,130,58,35,60,18,0,10,0,355,14,23,5,9,41,7,0,13,4,115,32,47,43,14,34,22,15,54,3,250,14,40,30,9,27,12,0,10,3,149,38,66,61,36,49,34,5,53,3,338
SOSR215,135,236,43,40,29,22,11,49,12,579,98,225,114,21,50,32,36,42,17,628,1155,761,4707,225,296,292,1258,999,150,9841,771,133,2903,75,61,95,335,529,69,4979,431,234,540,45,71,71,222,330,34,1969,93,631,60,252,41,26,40,66,7,1222,212,932,83,151,57,31,71,49,15,1598,991,625,197,163,361,359,174,198,48,3118,217,476,82,513,116,84,56,137,23,1709,80,216,110,62,30,55,37,68,14,673,245,30,716,78,39,99,154,224,22,1608,4,3,5,3,0,3,3,12,3,43,73,66,65,49,24,23,60,45,24,424,166,70,372,69,55,72,218,292,161,1464,4680,4636,9992,1751,1229,1266,2673,3047,592,29863,61,221,97,67,84,20,3,34,5,594,25,44,7,13,50,14,0,12,3,177,47,62,57,40,61,46,18,77,5,409,12,68,51,9,33,26,0,12,0,214,82,126,113,57,101,77,11,92,9,665
SOSR221,29,63,16,0,7,3,0,7,0,132,27,50,19,5,10,11,7,11,6,145,341,208,1398,72,84,106,390,315,45,2958,219,29,797,23,17,22,100,150,13,1381,163,63,145,18,21,17,64,103,9,605,19,161,13,60,5,14,5,11,0,297,78,247,24,27,15,7,12,22,10,438,212,145,53,35,70,92,47,52,8,720,51,112,28,181,25,18,11,29,7,463,21,62,22,5,6,8,17,22,0,158,64,7,165,14,7,13,30,72,0,364,3,0,0,0,3,0,0,3,0,7,25,21,21,24,6,3,13,9,4,134,50,24,103,17,16,29,73,70,44,433,1298,1181,2812,487,303,343,775,884,159,8232,15,57,17,20,19,9,0,7,0,146,3,10,4,3,19,8,0,0,0,49,16,15,27,7,22,14,7,23,3,135,9,9,17,5,7,4,3,0,0,62,26,39,34,17,31,19,6,39,3,216
SOSR222,28,37,13,4,9,3,3,12,3,114,14,31,19,8,3,4,4,10,3,88,238,116,816,46,45,45,226,193,28,1754,131,18,478,12,14,8,69,118,10,870,127,42,98,14,11,18,51,89,3,459,16,96,19,53,8,5,4,7,0,210,39,169,12,28,12,6,4,18,0,291,129,96,54,22,45,53,42,34,3,486,41,78,23,104,18,13,8,35,0,319,10,23,11,6,3,9,5,5,3,87,44,3,129,13,13,11,20,31,3,261,0,0,0,0,0,0,0,0,0,6,13,8,13,12,10,4,7,8,0,76,44,11,64,12,13,9,49,59,37,285,883,737,1740,333,196,179,515,611,93,5291,23,43,19,5,10,5,0,7,0,114,3,9,0,3,15,0,0,7,0,33,11,17,13,9,11,11,5,15,0,93,3,12,10,5,7,0,0,0,0,36,25,20,24,17,20,8,5,32,0,148
SOSR231,471,575,105,57,62,38,52,95,27,1487,301,439,159,40,68,49,37,58,19,1160,4367,1734,9646,463,567,544,2715,1977,380,22401,2289,256,5213,145,122,180,697,1096,127,10116,5349,552,1055,129,162,226,629,1155,103,9375,334,1431,116,435,59,47,44,92,24,2582,584,1435,161,205,81,56,115,115,31,2793,2461,1435,320,280,575,515,366,351,101,6396,674,865,163,891,175,86,126,207,43,3233,184,370,221,72,71,70,54,125,9,1170,459,45,755,96,57,117,223,336,24,2114,20,8,11,3,5,3,8,14,8,75,273,129,163,112,52,47,132,87,36,1014,897,133,770,101,74,156,464,522,323,3440,18660,9411,18854,3022,2130,2139,5657,6229,1253,67354,342,551,181,132,220,72,6,60,21,1580,101,125,26,23,127,25,4,26,7,454,187,170,141,65,142,94,61,127,18,1010,83,134,91,29,72,42,8,12,3,475,962,354,342,187,414,201,50,479,39,3028
