SOSR_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOSR201,5223,5826,4117,959,1561,373,18058,1215,1128,1121,201,478,32,4176,2299,2214,2101,478,1055,107,8250,1899,2165,1922,492,964,85,7537,2858,3575,3127,860,1554,150,12124,4038,5727,4230,1342,2128,233,17696,5507,9515,5484,1834,2591,272,25199,6936,12887,5910,2400,2825,352,31310,7606,16284,5625,2317,2493,369,34703,8751,18835,5794,2283,2338,413,38420,7153,15761,3921,1498,1390,314,30047,12796,28201,8724,2300,2346,556,54919,5517,11687,2588,825,720,165,21501,5155,10781,2510,663,584,162,19850,8005,16564,4332,1090,1005,257,31254,11085,25089,6994,1433,1312,357,46263,4192,10276,2873,578,552,143,18621,3337,9727,2675,611,515,126,16994,4511,8443,4540,1088,1636,366,20581,108070,214681,78587,23264,28044,4845,457493
SOSR203,165,153,104,33,41,6,503,79,29,37,6,29,0,186,136,107,84,32,63,4,426,108,94,75,31,43,5,358,177,218,172,54,102,9,738,273,307,197,90,129,13,1000,338,478,233,124,123,19,1311,437,722,229,135,122,21,1667,421,765,199,113,109,20,1627,442,880,224,93,76,12,1724,293,583,132,41,58,7,1108,400,863,239,58,59,16,1634,165,321,48,13,14,3,568,106,238,61,6,10,3,421,188,407,107,21,23,0,749,189,436,116,15,24,8,783,75,138,30,12,5,0,261,42,89,20,9,3,0,164,168,264,122,32,61,9,665,4208,7101,2443,930,1076,139,15892
SOSR211,254,196,135,39,64,13,698,147,71,70,21,38,11,354,278,157,140,50,98,10,737,231,166,136,54,102,6,697,403,372,264,125,190,13,1364,633,729,360,221,264,25,2227,781,1244,457,295,279,32,3090,1061,1814,473,332,319,37,4039,945,1717,408,239,195,31,3539,959,1807,442,210,149,18,3583,490,1147,234,93,67,15,2052,619,1254,363,112,70,13,2434,195,418,90,34,16,10,763,98,222,65,10,11,3,407,226,538,135,37,22,10,971,246,446,141,32,29,6,897,89,141,45,12,4,0,295,45,114,35,7,10,8,211,302,400,210,89,97,24,1114,7994,12958,4197,2013,2038,276,29471
SOSR212,189,147,81,24,40,4,480,72,54,27,9,26,0,193,158,93,84,24,47,7,409,130,109,65,39,54,6,399,285,254,176,108,107,9,934,373,516,266,158,153,15,1486,534,773,309,195,167,15,1992,611,977,358,196,143,19,2306,556,908,239,132,111,23,1966,520,1015,273,142,93,25,2059,258,623,167,52,44,8,1153,397,814,253,59,51,9,1586,118,280,64,19,18,4,502,61,171,55,7,7,3,295,168,356,117,19,16,3,681,144,315,117,21,14,4,616,49,101,40,3,4,0,200,36,59,28,4,3,0,132,202,294,118,43,47,14,715,4849,7856,2846,1244,1152,163,18111
SOSR213,307,172,146,38,54,9,720,121,67,53,16,41,0,300,285,147,147,54,78,6,720,240,184,139,58,80,3,713,451,431,285,141,175,16,1491,630,790,370,217,210,26,2251,754,1104,415,241,222,24,2759,847,1472,502,229,207,16,3280,701,1408,341,189,154,26,2814,716,1405,382,163,129,11,2806,378,958,210,81,43,14,1685,560,1309,351,72,60,19,2374,199,490,91,30,15,4,834,111,271,65,17,18,0,480,292,586,169,33,27,3,1100,257,596,160,33,28,6,1073,96,153,43,4,11,0,304,53,118,18,8,12,0,209,314,374,223,59,92,18,1083,7313,12043,4110,1678,1650,203,26991
SOSR214,164,66,62,22,34,6,351,82,32,26,6,24,0,176,153,90,72,33,52,0,402,124,86,74,36,37,0,363,317,255,125,75,100,3,872,400,421,203,123,117,6,1276,405,587,253,126,129,13,1506,406,733,225,153,103,12,1635,346,654,192,100,75,9,1374,336,685,187,77,47,12,1345,190,469,119,31,21,7,835,275,569,161,36,38,4,1084,90,247,41,16,7,0,394,58,134,23,3,3,0,224,162,270,79,19,21,3,551,137,249,82,8,22,3,503,48,70,35,6,4,0,167,46,39,24,3,3,0,119,191,219,111,38,49,5,609,3923,5880,2082,905,900,90,13778
SOSR215,258,133,99,31,33,13,563,144,78,51,16,44,5,338,298,163,116,68,88,4,738,311,184,121,72,98,8,795,507,485,261,161,175,8,1602,669,755,325,211,180,15,2155,650,1002,334,235,159,20,2397,719,1265,384,220,179,22,2785,580,1119,322,142,103,8,2276,572,1253,304,128,90,6,2352,395,808,171,64,59,9,1501,523,1097,263,72,52,7,2018,195,395,73,30,27,0,723,120,245,62,18,5,0,447,259,506,130,31,31,6,960,270,461,135,33,17,3,917,87,140,49,10,3,0,285,55,82,40,5,5,0,192,378,404,204,85,87,11,1174,6983,10583,3435,1622,1422,158,24208
SOSR221,93,45,28,7,14,0,188,59,21,18,5,12,0,120,127,57,47,26,34,7,299,103,79,49,24,22,3,281,193,158,68,57,58,5,539,219,220,95,60,61,6,655,222,290,123,57,58,3,754,219,346,102,33,46,7,753,149,320,81,43,25,0,623,198,355,83,32,14,0,694,129,229,44,15,7,0,425,149,264,75,14,16,3,520,43,96,20,8,0,0,173,35,56,18,9,3,0,112,77,136,40,12,3,0,263,83,114,33,5,4,0,240,24,24,11,3,3,0,64,16,23,6,0,3,0,50,123,141,52,22,27,5,359,2263,2971,988,440,409,40,7110
SOSR222,59,21,19,5,11,4,120,29,16,14,8,9,0,76,103,43,40,14,26,6,228,87,48,27,20,15,0,195,132,111,50,36,35,0,365,125,176,84,47,37,3,474,148,184,72,38,33,6,485,142,215,72,42,33,3,501,118,192,37,21,19,3,384,95,193,55,21,14,0,377,64,127,14,13,5,0,215,75,162,53,13,19,0,314,24,50,14,3,0,0,94,18,30,4,3,0,0,59,43,71,25,5,3,0,155,30,67,15,3,0,0,112,11,21,10,0,0,0,45,15,14,8,3,0,0,35,74,75,38,11,17,0,221,1386,1816,657,309,269,28,4461
SOSR231,1043,781,519,82,119,16,2560,267,122,120,23,44,3,582,599,308,300,74,93,10,1387,490,316,268,68,86,3,1235,877,693,508,142,166,11,2398,1104,1037,614,192,216,6,3165,1200,1443,730,250,206,14,3839,1290,1773,822,223,180,23,4309,1086,1706,621,172,152,16,3749,1098,1960,620,165,143,19,4001,774,1407,364,93,60,11,2701,1300,2279,750,130,127,11,4601,428,813,248,34,37,3,1564,338,592,202,38,17,3,1193,721,1333,410,58,55,7,2591,921,1700,564,85,96,7,3374,367,628,219,33,32,4,1282,331,570,218,35,31,5,1184,998,1055,696,128,157,24,3050,15226,20507,8780,2025,2020,219,48780
