SOSR_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SOSR201,28067,3756,371,190,32379,829,185,1016,33394,1880,45,35318,60767,6999,641,512,68923,797,183,980,69905,1553,71,71529,14980,1449,1413,142,17984,196,30,224,18207,315,12,18531,899,131,17,713,1758,38,4,50,1806,85,66,1961,104705,12334,2439,1558,121046,1859,404,2264,123304,3839,194,127336,1853,325,21,40,2244,366,23,396,2638,172,4,2808,3438,515,26,41,4022,307,105,407,4428,139,11,4583,5284,837,48,90,6259,672,133,803,7068,309,15,7390,109995,13170,2488,1651,127308,2535,536,3063,130370,4146,210,134728,58432,9488,1366,1539,70822,2833,547,3384,74206,9248,211,83665,320,76,6,294,702,22,3,22,725,67,614,1409,168745,22740,3858,3479,198830,5387,1084,6469,205300,13459,1034,219800,36626,4900,356,258,42142,1081,268,1349,43488,2503,46,46039,68339,7385,633,602,76956,1001,193,1201,78152,2032,82,80273,2567,348,494,29,3440,37,7,41,3479,115,3,3595,740,127,14,716,1597,36,10,43,1646,105,70,1815,108278,12759,1489,1609,124131,2155,474,2636
SOSR203,661,103,17,3,785,16,11,23,811,63,3,874,2509,261,28,15,2810,35,7,41,2856,47,0,2904,609,52,56,5,724,8,0,8,734,14,0,749,26,0,0,23,53,0,0,0,53,3,5,57,3811,417,97,49,4370,61,13,78,4450,132,4,4584,41,5,0,4,51,3,0,3,56,4,0,59,122,18,0,0,140,5,3,6,142,4,0,146,160,26,0,4,191,5,3,7,198,9,0,203,3967,439,97,55,4558,70,18,90,4645,142,4,4792,1763,286,68,49,2162,87,17,104,2267,283,7,2553,6,0,3,5,21,0,0,0,21,0,22,42,5743,722,166,106,6740,152,40,195,6930,418,30,7380,926,144,16,0,1088,36,6,49,1139,68,0,1207,2683,239,24,12,2956,35,6,46,3000,57,6,3060,118,11,42,0,176,0,0,0,176,4,0,181,28,4,0,13,40,0,3,3,46,3,0,47,3755,406,78,31,4269,73,19,94
SOSR211,1313,196,16,5,1530,31,9,45,1577,116,0,1691,4401,501,58,31,4992,48,15,65,5058,123,3,5182,1035,114,115,7,1276,7,3,15,1286,14,0,1305,61,3,0,38,107,3,0,3,104,3,0,111,6811,814,193,90,7905,96,29,124,8030,252,8,8293,74,7,0,4,92,24,0,25,123,11,0,131,199,29,3,4,235,15,8,23,259,15,0,271,277,40,3,4,323,44,9,52,376,21,0,402,7087,858,191,98,8229,137,34,175,8407,278,8,8692,3610,524,102,72,4310,216,45,257,4572,514,14,5096,23,3,0,8,32,0,0,4,32,0,30,58,10722,1381,297,177,12578,352,87,435,13010,791,45,13846,1894,263,28,14,2199,50,17,65,2259,141,0,2406,4576,525,75,51,5226,55,12,72,5295,169,3,5468,191,36,28,7,255,3,0,5,263,14,0,277,36,3,0,49,92,3,0,3,95,7,3,105,6699,831,125,119,7766,109,31,147
SOSR212,778,117,11,4,917,14,13,29,942,69,0,1009,2509,278,35,27,2846,35,4,45,2894,68,3,2959,590,55,44,6,693,17,3,20,709,13,0,726,26,5,0,33,64,0,0,0,63,0,0,68,3905,459,93,66,4520,71,22,94,4609,146,8,4762,46,4,0,0,47,7,3,11,63,6,0,68,83,10,3,3,102,10,0,10,107,3,0,115,128,15,3,3,146,20,3,23,172,12,0,188,4040,467,97,66,4669,96,25,117,4784,161,8,4950,1910,296,51,53,2300,132,35,165,2467,450,8,2923,15,0,0,8,23,3,0,3,26,10,29,62,5962,764,143,129,6995,223,60,281,7277,611,36,7933,1252,172,12,8,1447,27,10,40,1490,93,0,1581,2846,291,41,32,3206,33,3,39,3245,101,8,3351,124,16,16,3,163,5,4,12,169,5,0,177,28,9,0,24,59,0,0,0,60,3,0,65,4243,486,71,71,4873,72,19,87
SOSR213,936,153,18,8,1114,23,12,31,1141,80,0,1222,4096,397,85,34,4614,52,9,68,4674,91,0,4773,836,89,102,11,1043,7,0,7,1047,12,0,1058,52,4,3,36,95,0,0,0,102,7,8,107,5921,645,204,93,6861,80,22,103,6962,192,8,7165,19,11,3,3,30,3,0,6,40,5,0,44,161,12,3,0,170,16,0,18,190,12,0,197,179,22,7,4,203,21,3,23,226,20,0,247,6098,665,209,95,7065,100,24,128,7193,210,9,7409,3150,390,95,84,3720,134,36,167,3888,325,8,4219,14,0,0,8,27,0,0,0,27,9,34,66,9264,1054,301,184,10809,232,61,295,11103,541,51,11694,1648,251,33,19,1942,30,13,40,1979,132,0,2114,4717,503,59,44,5319,63,16,81,5397,159,3,5563,165,23,37,3,231,3,3,4,233,5,0,244,25,5,0,31,66,0,0,0,63,5,6,75,6551,775,131,95,7553,93,27,123
SOSR214,443,91,8,0,542,12,5,17,562,41,0,603,1825,228,52,13,2121,22,3,23,2144,48,7,2201,411,41,49,9,501,0,0,0,505,5,0,509,34,0,0,9,48,0,0,0,48,0,3,47,2707,362,107,34,3213,31,4,41,3256,93,5,3355,10,6,5,0,15,7,0,7,25,3,0,31,67,10,3,0,73,0,5,3,83,6,0,84,77,14,3,0,92,11,5,12,109,12,0,120,2787,372,113,34,3311,43,9,54,3364,101,5,3474,1440,255,57,48,1796,86,12,96,1886,170,4,2064,7,3,0,3,18,0,0,0,18,3,18,39,4236,625,168,88,5116,135,22,151,5272,277,24,5574,796,120,6,6,932,13,11,22,957,72,3,1028,2192,277,58,19,2544,44,3,45,2592,79,0,2676,91,13,23,0,128,0,0,0,124,4,0,129,19,0,0,18,35,0,0,0,35,0,0,43,3099,410,84,43,3641,58,14,73
SOSR215,774,120,15,11,909,13,4,22,930,76,0,1003,3246,352,63,22,3679,32,7,38,3721,79,6,3807,679,73,81,10,845,9,3,11,855,16,3,867,60,3,0,31,94,0,0,0,94,6,0,100,4753,546,159,72,5530,55,16,71,5596,171,13,5782,35,3,0,0,42,5,0,5,46,6,0,48,113,19,0,3,129,13,6,13,148,7,0,149,145,22,0,4,168,12,6,17,194,5,0,197,4893,571,159,76,5701,71,20,91,5793,179,13,5983,2659,352,86,67,3165,106,16,124,3283,276,4,3567,10,3,0,6,17,0,0,0,17,0,15,36,7567,922,241,150,8882,179,33,210,9095,460,34,9589,1410,227,36,15,1687,25,11,37,1721,120,3,1841,3801,451,61,43,4359,48,3,53,4417,127,9,4554,140,28,49,3,221,3,3,4,228,9,0,239,58,10,0,41,122,0,0,0,122,13,0,128,5417,715,150,110,6386,81,16,98
SOSR221,206,40,0,0,250,3,3,8,258,22,0,277,765,82,16,3,864,7,4,8,875,15,0,894,206,16,10,0,240,0,0,0,237,3,0,245,15,3,0,6,26,0,0,0,26,0,0,26,1186,145,30,14,1381,10,8,19,1398,43,0,1441,6,0,0,0,6,3,0,3,8,3,0,12,25,4,0,0,24,0,0,0,24,3,0,26,31,4,0,0,32,3,0,3,36,9,0,41,1212,148,31,14,1414,14,8,21,1428,53,0,1486,664,113,18,19,819,37,3,40,859,70,0,925,3,0,0,3,3,0,0,0,3,0,0,8,1879,267,55,40,2233,52,11,59,2295,120,4,2413,357,68,0,0,430,9,3,11,446,32,0,475,1060,140,26,8,1228,7,4,8,1242,39,0,1278,60,7,4,0,76,0,0,0,72,3,0,77,15,5,0,17,31,0,0,0,31,3,0,32,1490,218,30,27,1763,16,9,25
SOSR222,110,16,0,3,135,0,0,0,133,11,0,143,503,50,6,8,562,6,3,12,575,11,0,587,117,3,15,5,141,3,0,3,146,7,0,153,17,0,0,12,26,0,0,0,26,3,0,33,744,70,26,28,866,13,3,16,879,35,0,911,3,0,0,0,3,3,0,3,8,3,0,6,15,0,0,0,14,3,0,3,20,3,0,20,18,3,0,0,17,4,0,4,24,3,0,32,755,78,22,28,885,15,3,17,905,40,0,941,411,47,8,18,484,21,7,30,512,38,3,556,3,0,0,0,3,0,0,0,3,0,3,7,1173,117,32,44,1374,41,9,44,1420,79,8,1505,262,41,0,0,311,3,3,3,319,11,0,328,629,71,12,9,720,0,3,3,724,37,0,767,31,6,5,0,41,0,0,0,43,3,0,46,9,0,0,0,11,0,0,0,11,0,0,14,934,117,25,8,1087,4,7,12
SOSR231,1767,199,33,10,2004,23,9,30,2035,104,0,2139,5748,578,81,61,6468,49,15,66,6531,118,6,6656,1112,116,140,14,1382,11,0,11,1389,24,0,1417,104,7,0,57,169,0,4,4,171,8,3,183,8718,898,264,144,10025,87,21,109,10128,253,10,10391,45,3,0,0,47,13,0,13,55,10,0,68,152,14,3,3,169,14,3,22,190,4,0,190,195,14,3,3,214,28,3,32,246,12,0,259,8916,914,263,143,10238,110,22,135,10375,266,10,10654,4176,544,120,147,4991,108,17,119,5108,403,13,5533,43,3,3,9,59,0,0,0,59,0,32,93,13139,1463,387,298,15279,219,38,256,15541,675,56,16270,3681,414,45,24,4165,26,20,45,4209,209,6,4427,8293,931,117,75,9420,53,9,66,9487,234,16,9736,302,55,108,7,466,3,0,3,469,19,0,489,113,6,0,104,226,0,0,0,229,13,3,245,12387,1406,268,208,14275,84,33,120
