SOSR_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR201,157,36,38,123,14,243,12,129,71,2550,30,3414,43,27,8,59,3,107,6,206,42,721,5,1227,38,73,6,76,11,193,9,533,65,1184,18,2209,17,20,0,22,3,194,0,497,52,686,10,1508,69,165,12,164,14,467,19,1085,111,2856,28,4991,116,352,22,331,30,1503,45,2066,235,2435,51,7175,270,772,47,724,68,3395,88,2573,357,3765,94,12160,488,1267,94,1926,174,7256,157,3393,522,4173,125,19576,1284,2202,148,5368,397,11689,298,3632,632,5443,149,31246,2780,2302,221,9470,762,11566,430,2701,545,4531,133,35444,3505,1769,256,11210,921,11105,411,2146,411,3511,108,35353,5282,1601,289,12491,1095,9939,348,1637,393,3033,98,36205,16136,2829,541,26758,2948,17629,701,2458,666,4256,168,75082,15595,1843,451,24671,2756,6391,632,1381,336,2047,82,56176,13125,1107,309,15609,2130,3287,357,779,165,1212,49,38123,9950,552,220,7271,1390,8157,184,622,267,743,36,29396,26634,1670,540,28340,3189,9936,563,1275
SOSR203,8,0,0,13,0,4,0,0,0,31,0,55,0,0,4,0,0,0,0,4,3,20,0,39,4,3,0,3,0,3,0,13,3,25,0,47,0,3,0,3,0,3,0,10,0,13,0,37,3,9,0,7,0,17,3,32,4,79,0,148,3,11,0,4,3,34,0,52,5,85,3,204,13,23,3,30,0,104,4,72,8,157,4,422,13,28,0,76,3,179,7,124,17,164,0,617,39,60,4,196,22,367,8,147,26,196,3,1064,61,86,13,399,33,382,19,105,17,136,3,1261,102,86,5,513,49,346,18,69,17,94,0,1308,157,72,14,558,64,326,12,51,21,84,4,1366,483,107,25,1208,109,534,37,68,23,101,8,2712,451,51,24,901,140,171,15,38,10,43,7,1852,376,29,19,583,81,75,8,16,0,25,0,1216,270,11,11,219,38,132,6,16,7,12,0,713,488,35,13,659,63,203,16,18
SOSR211,12,0,3,10,0,8,3,3,3,72,0,106,4,3,0,0,0,3,0,5,0,25,0,41,0,3,0,4,0,3,0,16,6,33,0,65,0,3,0,0,0,3,3,13,0,24,0,43,3,5,0,11,0,18,0,43,3,154,3,239,3,17,0,19,0,64,3,96,5,118,3,332,16,35,0,51,3,158,10,142,16,271,4,694,30,77,0,161,18,440,14,230,28,298,12,1312,77,125,14,455,45,800,30,224,51,358,10,2181,198,180,22,949,64,860,37,179,40,238,8,2776,254,152,21,1035,96,754,37,131,49,166,3,2689,371,110,20,1086,118,618,27,90,28,103,4,2576,1103,169,39,2008,242,742,76,113,32,154,9,4692,980,89,29,1402,200,282,39,36,14,54,5,3123,678,44,23,760,113,114,26,14,8,27,0,1807,403,22,9,267,45,191,15,11,7,13,0,989,662,43,14,614,65,201,18,28
SOSR212,5,0,0,7,0,3,0,3,0,59,0,83,3,0,0,0,0,3,0,4,0,12,3,28,0,0,0,8,0,0,0,13,3,47,7,76,3,0,0,0,0,3,0,11,0,20,0,43,6,0,0,0,0,16,0,31,4,121,0,185,3,13,0,3,0,35,5,59,14,100,3,235,16,16,0,25,4,92,4,69,10,198,0,440,21,44,0,90,3,238,3,122,26,194,0,746,34,86,9,269,18,414,17,124,34,201,9,1218,124,68,7,542,48,410,21,112,22,123,7,1487,153,91,10,628,60,396,26,80,13,106,4,1566,240,61,10,696,67,334,19,50,12,80,5,1575,729,101,25,1314,154,417,40,57,23,91,5,2961,600,56,20,987,112,162,33,41,7,29,4,2032,442,24,8,508,74,76,16,21,9,14,0,1190,296,8,4,203,27,133,3,6,3,13,0,700,473,29,16,504,43,143,18,31
SOSR213,9,0,6,7,0,3,0,6,0,34,0,71,9,3,0,3,0,3,0,5,0,10,0,40,0,5,0,7,0,0,3,12,3,21,0,60,0,0,0,0,0,4,0,10,0,12,0,35,4,12,0,13,0,11,0,45,4,97,0,186,4,19,0,14,3,30,8,72,10,80,5,241,22,41,7,34,4,112,12,112,13,204,3,551,21,66,4,143,19,348,13,179,38,235,9,1066,76,138,19,473,45,667,22,211,45,232,5,1921,143,160,16,859,78,662,33,140,39,189,6,2330,210,105,25,1042,87,601,29,113,34,122,12,2377,339,110,18,1064,80,548,35,69,28,84,10,2391,859,168,51,1976,201,713,50,99,29,116,7,4275,790,103,39,1439,155,238,48,56,15,52,7,2940,583,32,25,733,107,113,21,22,11,23,0,1673,382,18,15,296,40,224,5,13,6,5,0,1013,614,34,11,720,75,220,24,29
SOSR214,3,0,0,3,0,3,0,0,3,17,0,34,5,0,0,0,0,5,0,3,0,6,0,23,0,0,0,7,0,3,0,6,0,16,0,36,0,0,0,0,0,0,0,3,0,9,0,19,3,3,0,4,0,10,3,13,8,57,0,102,5,10,0,14,0,32,0,38,8,51,0,159,13,24,0,24,0,61,0,69,7,118,0,328,34,41,3,89,10,169,9,93,16,116,3,590,52,90,8,245,28,301,18,140,31,168,6,1085,93,94,7,445,51,318,22,86,24,125,7,1270,108,74,14,515,40,322,23,58,24,80,9,1261,183,52,3,516,46,230,16,36,11,49,3,1149,441,86,19,851,88,324,31,32,12,76,9,1972,383,37,15,610,77,114,24,21,4,30,3,1313,273,18,10,305,42,44,16,11,0,12,0,733,167,7,5,128,23,100,5,6,6,0,0,443,258,20,10,279,30,75,20,10
SOSR215,8,0,3,4,0,6,0,3,3,42,0,68,6,3,0,0,0,6,0,3,0,17,0,33,3,0,0,7,0,4,0,21,3,33,0,71,0,0,0,0,0,3,0,18,3,15,0,42,15,3,0,5,0,9,0,30,3,94,3,165,8,27,4,12,3,43,4,64,9,78,3,251,19,28,4,48,7,101,4,99,19,171,3,506,21,85,10,141,12,301,9,140,27,183,6,942,84,137,15,435,41,558,24,172,41,248,14,1769,182,132,26,696,69,541,37,127,51,169,0,2032,178,104,15,859,69,472,32,94,38,123,3,1985,274,94,25,873,89,383,31,66,19,98,10,1969,729,150,54,1554,199,574,52,82,26,80,9,3511,668,81,34,1040,141,209,39,28,10,34,7,2299,441,34,18,492,74,85,25,22,3,21,3,1207,280,18,13,224,33,133,8,13,11,13,3,748,433,47,12,454,52,159,17,27
SOSR221,3,0,3,3,0,0,0,0,0,6,0,13,0,0,0,0,0,3,0,4,0,5,0,17,0,0,0,0,0,0,0,8,3,8,0,19,0,0,0,0,0,3,0,3,0,3,0,6,0,9,0,7,0,5,0,8,0,30,0,65,0,8,0,3,0,5,0,15,3,24,0,55,10,9,0,14,0,34,0,31,3,63,0,164,13,26,3,51,3,91,4,52,7,76,3,321,22,48,3,113,5,148,13,59,13,63,3,486,59,40,6,227,26,146,4,40,6,53,3,597,59,35,5,230,30,127,8,20,13,36,3,574,62,33,3,262,23,86,10,22,3,23,0,533,189,32,9,383,49,153,12,13,14,16,0,883,165,16,10,279,44,47,10,13,8,8,4,603,101,10,7,131,13,21,3,3,0,3,0,303,71,7,0,44,9,28,0,4,3,3,0,180,89,4,4,116,19,35,13,8
SOSR222,0,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,4,0,7,0,0,0,14,0,30,4,0,0,3,0,12,0,11,5,15,0,57,6,8,0,9,0,18,3,19,0,39,0,101,9,23,0,26,0,64,4,25,4,38,0,199,28,13,0,90,4,97,0,39,7,37,0,327,28,20,6,128,23,91,5,28,10,35,0,378,37,29,3,149,13,82,3,16,3,19,0,365,53,17,6,146,15,55,6,4,3,13,0,331,134,22,11,227,31,96,15,20,0,19,4,589,123,10,3,156,16,36,5,8,6,11,3,376,97,5,6,79,14,9,3,4,0,5,3,216,44,3,0,29,7,25,3,0,0,0,0,108,57,0,3,64,10,13,0,6
SOSR231,77,8,11,44,0,35,0,17,9,72,11,282,22,5,4,22,0,29,0,6,10,38,7,146,35,13,0,45,3,31,3,16,4,65,3,217,9,0,0,12,0,12,3,31,3,36,0,109,60,21,6,60,5,49,3,67,9,148,0,432,59,49,3,94,9,136,10,109,12,140,7,627,143,78,12,192,23,220,25,196,27,255,18,1180,189,177,23,414,45,490,23,253,51,333,10,2005,358,277,33,998,98,957,58,282,67,383,25,3529,501,274,51,1496,124,925,60,258,73,310,32,4093,502,194,38,1516,110,828,54,146,55,234,23,3692,668,210,46,1748,143,686,54,132,34,191,17,3927,1639,304,87,2970,305,1073,123,195,77,243,22,7040,1482,199,66,2247,234,426,64,99,34,99,13,4966,1123,114,44,1218,121,212,37,45,21,57,9,2997,746,47,20,559,78,361,14,29,22,32,5,1922,1543,124,63,1595,136,466,61,59
