SOSR_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOSR201,134539,522407,537778,157345,78986,1431057,46785,1477840
SOSR203,4684,22139,21806,6070,2814,57511,2292,59805
SOSR211,6333,36164,38428,11588,5441,97952,3991,101942
SOSR212,3894,21889,23565,7105,3444,59893,2565,62461
SOSR213,5756,33450,35953,10710,4949,90823,4021,94837
SOSR214,3470,20124,19004,5855,2739,51197,2626,53821
SOSR215,4202,28425,30749,10107,5241,78722,3826,82548
SOSR221,819,7448,9076,3143,1798,22284,1084,23363
SOSR222,463,4359,5541,2153,1147,13662,726,14393
SOSR231,1896,26273,54396,29062,24733,136358,5342,141696
SOSR279,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0
