SOSR_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
SOSR201,473,413,389,382,240,1924,81874,19916,2623,3454,923,923,1126,1121,1067,1030,2290,34461,611,48,28,4,8,5,4,6,5,90,810,90988,7158,6107,1395,1409,1548,1518,1451,1279,4304,117143,152,7,5,0,0,0,0,3,0,148,323,149866,10034,7800,1713,1688,1807,1736,1641,1386,5937,183605,55664,897,681,140,109,95,85,122,63,1432,59289,56508,971,875,220,228,196,178,192,132,1606,61101,20221,1349,2040,493,474,502,471,526,449,1351,27884,689,13,19,3,3,3,3,3,9,76,830,77428,2337,2938,721,714,697,657,715,588,3034,89814,204,7,6,0,0,0,0,0,0,125,352,133291,3241,3622,859,821,790,748,845,652,4592,149453,27351,447,352,36,36,41,39,34,17,1005,29358,33762,327,351,65,45,55,49,40,24,1111,35819,23707,988,962,188,161,152,130,97,79,1258,27708,551,9,5,0,0,0,0,0,0,103,668,58016,1323,1318,245,200,200,181,133,105,2478,64197,217,0,0,0,0,0
SOSR203,0,10,3,3,5,31,1164,163,33,35,11,10,14,9,15,16,25,331,9,0,0,0,0,0,0,0,0,0,11,1188,89,70,10,12,20,19,17,23,57,1501,5,0,0,0,0,0,0,0,0,0,9,3329,158,127,16,23,29,22,27,23,112,3854,2364,20,24,5,3,0,0,0,0,63,2487,1177,6,7,0,0,0,3,7,0,32,1229,339,14,13,5,3,9,4,8,3,10,418,22,0,0,0,0,0,0,0,0,4,25,1542,19,26,4,3,13,5,9,8,46,1673,11,0,0,0,0,0,0,0,0,4,12,3914,39,46,11,7,12,6,12,11,113,4170,1240,12,8,0,0,0,0,0,0,52,1315,931,3,5,0,0,0,0,0,0,43,979,460,6,5,0,0,0,3,3,0,37,511,28,0,0,0,0,0,0,0,0,0,25,1413,5,9,0,0,0,3,3,0,77,1521,10,0,0,0,0,0
SOSR211,3,13,0,11,3,24,1241,110,21,45,16,11,34,21,23,12,34,324,11,3,0,0,0,0,0,0,0,0,19,1096,136,127,19,20,39,24,34,21,63,1582,7,0,0,0,0,0,0,0,0,0,11,3682,214,211,31,31,55,38,40,27,158,4474,3151,31,21,3,6,3,0,8,0,119,3342,849,16,16,6,3,3,6,0,11,29,938,147,13,40,6,4,9,9,9,12,21,268,10,0,0,0,0,0,0,0,0,0,14,1011,27,54,13,4,15,16,11,20,52,1221,18,0,0,0,0,0,0,0,0,10,26,4177,60,76,17,12,13,16,19,20,178,4586,1490,29,9,3,0,0,0,0,0,65,1600,532,5,4,0,0,0,0,4,0,27,567,133,9,15,0,0,3,3,0,0,12,181,5,0,0,0,0,0,0,0,0,0,5,673,15,15,0,3,3,3,3,3,36,757,9,0,0,0,0,0
SOSR212,13,11,6,3,14,25,767,116,36,46,16,23,13,13,10,16,20,308,8,0,0,0,0,0,0,0,0,0,11,711,105,87,19,32,18,16,16,30,48,1088,3,0,0,0,0,0,0,0,0,0,7,2349,182,140,30,36,27,24,22,33,116,2966,1932,39,20,5,3,4,3,3,0,63,2079,660,11,10,0,0,0,0,0,6,38,732,145,24,17,4,11,14,3,3,11,24,256,8,0,0,0,0,0,0,0,0,8,17,813,31,28,4,14,16,4,5,16,66,1003,9,0,0,0,0,0,0,0,0,4,13,2758,70,47,11,12,22,9,5,16,138,3092,946,21,5,3,0,0,0,0,0,37,1017,530,3,3,0,0,0,0,0,0,17,561,215,9,7,0,0,3,3,0,0,25,263,5,0,0,0,0,0,0,0,0,0,10,751,13,12,0,0,3,3,4,0,43,823,13,0,0,0,0,0
SOSR213,9,0,3,8,3,28,860,60,8,23,7,9,3,6,12,3,11,147,3,0,0,0,0,0,0,0,0,3,9,770,54,74,15,18,5,8,15,13,38,1016,9,0,0,0,0,0,0,0,0,5,16,3842,166,147,24,31,28,11,27,16,141,4435,4071,52,45,13,13,7,3,12,0,131,4355,867,7,11,0,3,0,0,0,3,28,923,117,5,7,4,3,3,4,4,6,6,157,9,0,0,0,0,0,0,0,0,0,9,994,18,20,4,6,6,4,4,11,36,1095,14,0,0,0,0,0,0,0,0,5,20,5078,71,63,20,21,16,10,17,9,172,5474,2272,31,17,4,0,4,0,3,0,83,2409,736,0,3,0,0,3,0,0,0,32,784,181,3,0,4,0,0,0,0,0,13,210,20,0,0,0,0,0,0,0,0,3,25,937,4,3,3,3,3,0,0,3,52,1011,30,0,0,0,0,0
SOSR214,3,3,0,4,0,16,380,23,5,6,0,3,3,0,0,3,18,63,5,0,0,0,0,0,0,0,0,0,5,348,23,19,3,6,6,4,4,3,31,442,8,0,0,0,0,0,0,0,0,25,33,2103,72,68,11,16,11,7,11,4,135,2436,2511,45,23,3,6,8,0,3,3,108,2710,484,3,12,0,3,0,0,4,0,21,525,43,4,4,3,0,0,3,0,3,6,66,11,0,0,0,0,0,0,0,0,3,11,537,8,13,3,3,0,3,6,3,25,601,9,0,0,0,0,0,0,0,0,14,20,3054,45,40,11,8,6,3,8,4,149,3328,1414,16,13,0,3,0,0,0,0,50,1497,382,0,0,0,0,0,0,0,0,13,396,77,0,0,0,0,0,0,0,0,3,86,9,0,0,0,0,0,0,0,0,0,10,463,3,0,0,0,0,0,0,0,21,489,12,0,0,0,0,0
SOSR215,0,6,3,0,3,20,649,61,9,21,0,0,8,3,4,7,13,123,10,0,3,0,0,0,0,0,0,0,16,625,44,49,6,0,12,5,4,8,35,787,6,0,0,0,0,0,0,0,0,3,12,3602,156,103,13,14,19,13,13,7,161,4092,3979,41,36,3,4,14,3,5,0,158,4248,758,16,5,0,0,0,4,3,0,28,812,73,3,11,0,0,0,3,5,0,17,113,13,0,0,0,0,0,0,0,0,0,16,843,20,14,0,0,0,5,6,0,44,934,14,0,0,0,0,0,0,0,0,3,17,4838,60,48,4,5,16,13,14,0,205,5204,2045,18,9,4,0,0,0,3,0,120,2212,543,3,0,3,0,0,0,0,0,24,581,89,3,0,0,0,0,0,0,0,8,105,15,0,0,0,0,0,0,0,0,0,15,643,3,7,0,0,0,3,0,0,35,698,12,3,0,0,0,0
SOSR221,3,0,0,0,0,4,196,11,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,186,6,6,3,3,0,0,0,3,4,211,5,0,0,0,0,0,0,0,0,0,5,1284,48,28,4,6,0,0,0,5,57,1442,1467,18,12,0,0,0,0,0,0,46,1540,195,3,0,0,3,0,0,0,0,10,214,20,0,0,0,0,0,0,0,0,0,24,7,0,0,0,0,0,0,0,0,0,7,220,3,4,0,3,0,0,0,0,7,243,5,0,0,0,0,0,0,0,0,0,6,1693,15,17,0,3,0,0,0,0,56,1787,595,7,4,0,0,0,0,0,0,32,634,124,0,0,0,0,0,0,0,0,8,130,19,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,3,142,0,0,0,0,0,0,0,0,12,154,3,0,0,0,0,0
SOSR222,0,0,0,0,0,5,92,3,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,94,4,3,0,0,0,0,0,0,5,109,3,0,0,0,0,0,0,0,0,0,3,772,16,18,3,0,5,0,0,0,30,848,729,7,6,0,0,0,0,0,0,22,768,112,0,0,0,0,0,0,0,0,0,116,15,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,3,0,0,0,130,4,0,0,0,0,0,0,0,0,3,9,862,9,6,0,0,0,3,0,3,26,908,290,0,0,0,0,0,0,0,0,9,306,65,0,0,0,0,0,0,0,0,5,70,9,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,3,73,0,0,0,0,0,0,0,0,5,79,3,0,0,0,0,0
SOSR231,6,4,12,12,5,89,1730,99,15,17,0,10,6,4,3,8,22,181,16,0,3,0,0,0,0,0,0,3,24,1596,85,64,9,11,13,12,13,14,110,1936,14,0,0,0,0,0,0,0,0,99,118,8160,340,212,32,24,31,28,28,20,468,9356,6887,84,51,4,7,8,5,5,3,287,7337,1775,7,9,6,4,0,3,4,6,71,1882,195,5,8,0,4,6,0,4,0,13,233,34,0,0,0,0,0,0,0,0,0,33,2004,16,16,6,7,6,5,7,6,90,2148,26,0,0,0,0,0,0,0,0,45,76,8921,93,64,6,14,17,8,19,7,420,9567,2336,28,12,3,0,3,0,4,0,92,2480,1016,3,0,0,0,0,0,0,0,43,1061,258,3,3,3,0,0,0,0,0,19,287,10,0,0,0,0,0,0,0,0,3,12,1278,9,7,0,0,0,0,0,0,62,1363,7,0,0,0,0,0
