SOSR_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOSR201,..,3073,105198,173721,160506,132288,98099,52399,13724,739012,..,9692,54021,31854,22464,12784,4971,1197,258,137242,..,332,1336,4426,9219,7037,2908,1846,1236,28344,367948,..,..,..,..,..,..,..,..,367948,..,114484,..,..,..,..,..,..,..,114484,..,66393,52832,17099,10842,4203,563,21,0,151944,..,16072,14051,4148,3714,3936,2907,1810,1021,47658,..,9741,12294,3605,2558,1623,574,159,50,30616,..,31871,42786,10954,6825,5215,3055,1122,324,102156,..,8762,25538,24997,27061,25062,19468,12172,6830,149887,4413,6128,8402,4954,3910,2708,2216,1367,549,34643,372364,266548,316461,275762,247103,194847,134760,72099,23988,1903927,..,8683,139517,179532,161280,126404,87134,37118,6201,745880,..,14627,55875,30374,20840,10430,3509,680,121,136449,..,2782,14246,31240,41261,22654,9733,7853,4662,134417,349484,..,..,..,..,..,..,..,..,349484,..,116500,..,..,..,..,..,..,..,116500,..,47737,37302,8878,6032,3208,609,27,4,103801,..,13548,10007,3093,4353,8685,7822,6587,3816,57903,..,8938,8195,1826,1275,849,361,147,81,21678
SOSR203,..,106,3108,5055,5026,5039,4071,2261,663,25338,..,645,2119,1178,823,509,225,58,10,5563,..,19,75,245,424,265,113,71,55,1259,13320,..,..,..,..,..,..,..,..,13320,..,3557,..,..,..,..,..,..,..,3557,..,2586,1463,645,413,182,25,0,0,5313,..,460,278,110,105,95,71,65,17,1209,..,306,279,87,72,38,17,4,3,805,..,1457,1224,282,249,174,141,46,11,3579,..,334,956,1002,1456,1519,1088,660,404,7421,249,343,370,220,156,147,86,50,29,1655,13569,9815,9870,8823,8725,7961,5841,3215,1191,69019,..,238,3954,5366,5293,4944,3734,1768,331,25628,..,918,2174,1074,842,461,160,32,3,5652,..,259,932,1610,1777,880,346,310,204,6312,12614,..,..,..,..,..,..,..,..,12614,..,3730,..,..,..,..,..,..,..,3730,..,1725,931,269,183,118,18,0,0,3246,..,385,203,77,126,250,216,141,81,1471,..,263,158,40,45,25,5,3,0,540
SOSR211,..,240,5668,8613,8438,8566,6941,3486,811,42768,..,1419,3851,2094,1534,894,369,118,26,10298,..,49,187,502,822,442,175,102,65,2346,26303,..,..,..,..,..,..,..,..,26303,..,5913,..,..,..,..,..,..,..,5913,..,5072,2328,967,578,240,40,3,0,9225,..,751,498,194,214,252,157,92,52,2214,..,510,446,211,167,98,40,6,5,1493,..,1915,1515,469,476,400,258,95,23,5147,..,601,1816,1821,2198,2408,1872,1019,485,12227,506,733,686,421,309,267,206,113,38,3275,26808,17207,16983,15289,14737,13562,10065,5043,1506,121195,..,484,7333,9028,8690,8649,6209,2553,404,43351,..,2058,3899,2038,1508,754,305,64,11,10641,..,673,2329,3245,3083,1442,595,422,270,12073,25034,..,..,..,..,..,..,..,..,25034,..,5909,..,..,..,..,..,..,..,5909,..,3324,1367,383,311,174,44,0,0,5609,..,688,299,95,273,453,405,248,137,2599,..,464,231,74,56,43,14,3,0,895
SOSR212,..,145,3351,5229,5778,5638,4434,2351,659,27591,..,780,2216,1246,902,560,262,82,18,6052,..,28,113,281,458,263,98,67,32,1347,15504,..,..,..,..,..,..,..,..,15504,..,3801,..,..,..,..,..,..,..,3801,..,3353,1391,577,338,140,23,4,0,5826,..,432,276,110,133,127,84,54,36,1261,..,285,260,121,100,54,14,8,3,848,..,738,858,293,265,268,143,38,10,2612,..,336,1049,1067,1450,1478,1130,667,320,7501,354,355,403,260,214,173,168,91,30,2045,15862,10255,9921,9184,9643,8699,6363,3364,1106,74389,..,321,4214,5715,6061,5566,4009,1794,309,27980,..,1153,2190,1173,913,531,187,54,7,6219,..,345,1223,1884,1888,789,326,248,157,6869,14840,..,..,..,..,..,..,..,..,14840,..,3972,..,..,..,..,..,..,..,3972,..,2233,824,220,181,110,18,0,0,3578,..,395,176,61,169,228,244,161,104,1531,..,268,126,37,34,27,3,3,5,496
SOSR213,..,176,4503,7750,8170,8625,7488,4217,1123,42060,..,1058,2984,1896,1492,1030,410,131,22,9023,..,39,139,437,655,368,155,90,64,1952,22924,..,..,..,..,..,..,..,..,22924,..,5288,..,..,..,..,..,..,..,5288,..,4448,1880,733,505,195,44,0,0,7797,..,511,313,131,175,201,144,83,57,1607,..,323,297,141,130,53,29,8,3,981,..,732,861,363,356,340,238,90,14,2999,..,491,1401,1503,1996,2431,2006,1230,570,11621,414,599,529,347,300,292,234,134,31,2873,23335,13665,12907,13293,13779,13534,10746,5989,1881,109130,..,309,5882,8341,8692,8784,6994,3171,543,42719,..,1575,3072,1917,1508,890,311,84,15,9378,..,506,1641,2610,2619,1090,480,400,284,9624,21609,..,..,..,..,..,..,..,..,21609,..,5317,..,..,..,..,..,..,..,5317,..,2861,1079,360,272,197,32,3,0,4798,..,347,178,76,177,325,279,243,104,1729,..,317,176,42,49,37,12,13,8,645
SOSR214,..,79,1924,3538,4322,4888,4845,2807,733,23136,..,459,1431,989,851,601,353,106,10,4799,..,25,65,211,391,233,101,60,32,1121,11447,..,..,..,..,..,..,..,..,11447,..,2703,..,..,..,..,..,..,..,2703,..,2380,960,450,325,147,26,0,0,4282,..,256,145,83,78,101,82,49,24,811,..,199,149,68,58,54,18,3,0,544,..,481,362,172,235,261,190,74,26,1797,..,272,611,777,1243,1512,1451,928,485,7274,193,298,249,167,161,187,217,126,31,1632,11644,7153,5896,6450,7656,7982,7277,4146,1350,59551,..,168,2525,4044,4620,4996,4684,2020,379,23428,..,725,1456,1025,835,571,277,59,11,4961,..,266,802,1317,1484,601,296,263,157,5192,10757,..,..,..,..,..,..,..,..,10757,..,2625,..,..,..,..,..,..,..,2625,..,1427,507,205,162,118,26,0,0,2442,..,171,81,46,91,182,185,160,80,995,..,176,92,25,22,28,9,4,5,354
SOSR215,..,114,3382,6149,6786,7810,7442,4037,1004,36725,..,720,2399,1736,1539,1016,515,117,26,8068,..,23,95,328,594,347,154,98,82,1718,18850,..,..,..,..,..,..,..,..,18850,..,4195,..,..,..,..,..,..,..,4195,..,3695,1619,711,474,233,29,3,0,6765,..,379,198,94,162,200,153,81,48,1318,..,221,210,108,105,68,36,19,4,772,..,408,518,247,346,379,270,96,16,2278,..,354,923,1161,1886,2485,2289,1355,632,11073,273,430,391,254,286,322,320,149,36,2463,19127,10545,9735,10783,12172,12859,11212,5945,1851,94224,..,253,4530,6634,7368,8065,6886,2915,496,37150,..,1093,2523,1808,1505,896,390,79,11,8305,..,283,1180,1957,2104,915,367,387,251,7446,17758,..,..,..,..,..,..,..,..,17758,..,4239,..,..,..,..,..,..,..,4239,..,2288,927,279,235,175,40,3,0,3944,..,291,120,51,134,313,269,219,139,1541,..,227,129,52,57,42,19,11,6,541
SOSR221,..,22,796,1622,2087,2399,2360,1095,226,10610,..,153,584,523,484,387,199,32,3,2366,..,8,19,82,137,91,31,28,11,413,5059,..,..,..,..,..,..,..,..,5059,..,1095,..,..,..,..,..,..,..,1095,..,997,385,201,128,61,13,0,0,1786,..,91,56,24,36,59,46,27,19,359,..,64,54,35,32,30,12,5,0,220,..,78,116,54,107,128,99,41,11,626,..,77,249,321,640,947,838,427,168,3663,80,106,110,79,108,119,126,40,11,781,5141,2688,2364,2939,3761,4221,3714,1699,455,26980,..,48,1071,1843,2264,2508,2110,751,105,10697,..,267,603,543,485,368,134,18,5,2426,..,59,282,482,520,211,133,87,80,1855,4705,..,..,..,..,..,..,..,..,4705,..,1151,..,..,..,..,..,..,..,1151,..,615,234,90,71,39,14,0,0,1065,..,59,20,8,33,77,79,62,36,374,..,53,32,14,12,9,3,0,0,120
SOSR222,..,14,474,1021,1309,1628,1419,589,125,6581,..,100,321,293,344,253,118,23,4,1460,..,3,19,62,104,94,38,24,12,351,3141,..,..,..,..,..,..,..,..,3141,..,733,..,..,..,..,..,..,..,733,..,606,284,133,93,36,3,0,0,1162,..,60,29,17,23,39,38,19,17,236,..,23,31,14,20,17,4,3,0,116,..,49,85,38,69,91,53,17,4,398,..,58,164,206,409,612,513,217,96,2285,61,72,80,49,62,76,56,24,5,491,3201,1723,1488,1835,2428,2851,2250,915,264,16948,..,32,659,1151,1457,1668,1211,422,64,6660,..,152,339,332,357,220,79,15,9,1505,..,41,171,297,300,152,65,55,45,1124,3010,..,..,..,..,..,..,..,..,3010,..,734,..,..,..,..,..,..,..,734,..,363,167,50,39,19,5,0,0,650,..,31,19,4,23,55,33,45,30,235,..,28,15,11,13,6,9,0,0,78
SOSR231,..,174,5226,12767,19005,21149,16516,6216,1167,82214,..,838,3097,3105,3615,2725,1186,241,30,14841,..,39,99,460,921,686,309,182,127,2821,35019,..,..,..,..,..,..,..,..,35019,..,9564,..,..,..,..,..,..,..,9564,..,8353,3586,1446,994,444,46,0,0,14871,..,597,295,181,299,413,378,263,147,2578,..,420,350,222,267,197,123,34,10,1619,..,380,532,325,483,664,497,166,20,3062,..,500,1157,1671,3315,4547,3917,1745,565,17418,476,907,727,541,599,695,627,211,62,4843,35494,21775,15067,20712,29508,31520,23596,9058,2129,188852,..,376,7306,14916,21035,21014,13939,4028,500,83124,..,1329,3364,3376,3726,2390,810,114,21,15130,..,248,1019,1840,2249,1136,633,515,371,8009,33184,..,..,..,..,..,..,..,..,33184,..,10038,..,..,..,..,..,..,..,10038,..,5054,2162,613,417,236,46,0,0,8522,..,452,188,74,189,446,538,454,344,2693,..,515,258,106,114,92,54,16,12,1161
