SOSR_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOSR201,7711,46836,212646,206625,176886,105794,18780,1352,240,776867,27880,44717,46696,29279,27228,28100,16912,2828,338,223984,1219,2022,4945,4365,3959,4063,1497,224,35,22323,1047,2811,6165,4384,3698,2333,769,215,88,21512,37856,96395,270451,244656,211767,140286,37966,4617,699,1044686,2439,7129,12546,9077,8361,5905,516,31,15,46031,9556,8220,4430,1946,1784,2287,809,88,7,29130,11998,15348,16975,11028,10144,8200,1330,122,21,75156,49850,111746,287426,255677,221911,148484,39293,4738,716,1119843,71503,38705,33008,24249,29148,51038,100967,71188,27474,447271,5481,9170,22087,16628,14301,11599,9337,6807,3470,98880,126834,159623,342522,296548,265362,211120,149599,82732,31661,1665995,2860,36260,147731,102631,102873,56697,7133,346,101,456627,37265,52631,77460,95315,86842,58562,16366,1414,175,426019,1439,2731,13292,9041,4670,4506,1317,133,39,37165,1131,2203,4107,2940,2863,1660,572,219,83,15783,42691,93822,242586,209920,197250,121420,25394,2113,396,935589,1579,4685,8979,5937,5084,2641,123,23,8,29062,10153,8190,7431,6704,5174,3177,444,60,17,41349,11729,12878,16412,12641,10259,5817,570,85,31,70411
SOSR203,392,2062,6630,6411,5987,3932,581,55,5,26055,1246,1623,1394,904,929,1223,630,99,12,8063,65,107,208,178,192,223,58,10,0,1039,44,103,197,139,116,81,24,13,4,714,1745,3895,8433,7629,7230,5459,1287,169,26,35868,121,349,454,323,343,266,7,0,0,1870,308,255,138,73,75,107,22,5,0,973,431,600,583,397,422,368,35,6,0,2841,2170,4500,9020,8026,7649,5823,1318,176,23,38704,2579,1157,996,945,1257,2378,4868,3211,1371,18763,236,347,631,508,581,490,478,360,200,3824,4990,6002,10640,9472,9480,8701,6667,3744,1596,61294,151,1476,4021,2811,3388,2009,194,11,7,14051,1843,2221,2917,3802,3617,2853,645,46,6,17958,105,166,533,347,218,262,67,7,0,1698,83,91,94,93,83,70,23,9,6,552,2176,3956,7558,7052,7314,5186,926,70,25,34262,99,187,251,169,193,110,4,6,3,1008,362,244,232,231,152,125,20,3,0,1364,457,432,480,393,343,231,23,7,0,2376
SOSR211,1013,4133,11778,10851,10056,6777,980,70,21,45683,2122,2149,2105,1653,1606,2012,1047,149,6,12840,101,163,330,313,315,417,135,14,0,1804,104,194,268,217,209,152,48,21,3,1223,3339,6638,14482,13036,12190,9355,2212,252,30,61541,351,705,838,595,499,374,27,3,0,3381,550,366,215,142,130,170,43,3,0,1622,899,1077,1056,736,622,543,64,3,0,5007,4240,7714,15540,13774,12819,9895,2280,258,30,66550,4280,1625,1700,1756,2234,4129,8496,5116,1753,31084,477,641,1225,1015,998,985,875,549,275,7037,8994,9981,18467,16545,16043,15011,11647,5919,2053,104666,431,2572,6281,5008,6004,3744,342,14,13,24406,3158,3428,5466,6133,5671,4612,953,67,15,29505,169,308,971,565,394,448,109,9,0,2971,101,159,174,173,144,127,38,13,3,933,3856,6465,12890,11873,12209,8935,1444,109,29,57814,207,418,487,370,345,188,5,0,3,2024,604,415,465,432,304,218,29,0,0,2481,817,832,951,802,651,408,37,4,3,4502
SOSR212,650,2512,6874,6542,6796,4652,736,46,9,28819,1471,1000,1196,942,938,1154,706,97,14,7516,75,99,190,193,208,271,84,12,4,1140,75,87,169,145,140,92,35,10,8,760,2277,3697,8433,7823,8084,6165,1566,162,39,38243,232,389,544,349,326,239,14,4,0,2093,383,170,106,80,65,107,28,4,0,941,615,554,647,427,390,349,39,8,0,3040,2899,4248,9079,8247,8477,6516,1605,171,34,41278,2477,760,1005,1068,1346,2496,5201,3425,1280,19062,327,423,810,667,767,749,676,435,193,5040,5699,5431,10891,9983,10588,9766,7481,4035,1507,65381,279,1669,3841,3132,4003,2575,278,17,0,15802,2100,1684,3040,3924,3874,2929,652,51,7,18257,78,148,556,293,270,283,58,8,5,1691,66,89,116,106,103,85,42,9,5,618,2525,3594,7547,7451,8247,5872,1033,86,17,36368,141,236,260,221,186,101,4,0,0,1149,397,167,233,244,183,146,12,4,0,1383,539,406,490,461,364,252,19,4,0,2540
SOSR213,924,3271,9328,9646,9627,6905,985,101,10,40796,2130,1319,1422,1430,1500,2011,1166,205,18,11198,108,116,271,276,366,497,149,24,6,1808,81,157,250,204,211,156,59,25,10,1150,3237,4858,11275,11551,11711,9576,2361,347,42,54954,245,550,555,512,477,419,20,0,4,2790,409,159,132,104,87,151,50,3,0,1095,652,716,691,613,560,575,77,4,4,3888,3892,5573,11959,12162,12274,10151,2430,351,48,58840,3447,912,1193,1361,1896,4013,9337,6131,2245,30540,387,483,910,929,965,986,1020,705,358,6741,7722,6968,14067,14460,15136,15150,12792,7194,2649,96130,387,2028,4779,4235,5441,3336,367,22,7,20601,2792,2186,4522,6117,6067,4933,1057,107,18,27799,148,157,798,437,442,504,115,16,3,2615,121,108,146,135,157,165,53,23,8,907,3447,4479,10243,10925,12100,8931,1592,159,37,51919,184,260,269,280,288,170,3,3,0,1461,439,205,323,353,243,223,25,0,3,1805,620,470,591,628,533,389,31,7,4,3265
SOSR214,516,1665,4013,4457,5052,3711,632,65,19,20128,993,616,771,731,926,1300,670,121,14,6139,81,65,142,163,210,288,100,19,3,1064,72,84,114,110,103,106,34,17,5,645,1659,2430,5042,5456,6286,5406,1435,226,43,27979,145,228,275,239,251,231,7,0,0,1379,156,79,75,48,59,89,26,0,0,534,298,315,347,288,310,320,37,3,0,1909,1953,2744,5391,5747,6598,5719,1476,225,43,29888,2074,638,839,997,1333,2674,6459,4245,1563,20824,224,216,445,458,614,644,759,555,267,4190,4253,3596,6673,7206,8544,9042,8690,5023,1869,54907,206,805,1991,2083,3017,1826,240,13,5,10203,1283,1008,2034,2932,3239,2788,695,75,20,14080,78,108,371,258,243,297,91,6,0,1454,59,48,73,82,79,83,28,16,9,464,1627,1969,4471,5354,6578,4994,1059,115,34,26199,95,130,145,148,163,86,7,0,3,780,190,93,139,146,144,112,20,5,0,852,284,222,283,299,313,200,30,3,3,1630
SOSR215,768,2625,7024,7810,8214,6136,1169,97,35,33879,1407,941,1076,1169,1523,2160,1220,228,29,9756,75,91,245,318,351,498,169,30,5,1783,97,135,207,200,193,174,56,29,12,1105,2347,3788,8552,9499,10287,8967,2618,380,88,46524,180,314,434,372,390,382,20,3,3,2098,240,89,78,65,96,127,44,4,4,742,416,403,514,439,481,511,66,9,3,2837,2760,4196,9066,9933,10763,9485,2678,385,91,49365,3086,682,837,1105,1735,3989,9530,6101,2288,29340,311,379,714,745,947,1090,1049,771,360,6362,6155,5253,10613,11785,13448,14555,13263,7255,2740,85067,251,1452,3399,3400,4637,3061,385,33,11,16637,1927,1640,3531,4870,5137,4374,1145,83,21,22731,89,146,641,420,381,523,141,18,4,2355,87,90,131,142,188,152,53,24,6,871,2358,3326,7690,8833,10346,8104,1727,165,37,42594,111,144,191,200,236,161,7,3,3,1054,283,121,204,229,221,205,32,5,0,1294,396,269,393,427,449,362,38,12,3,2347
SOSR221,216,609,1722,2007,2391,1858,310,39,15,9173,357,215,256,363,479,685,362,57,10,2770,25,30,51,80,135,163,59,8,0,548,23,25,37,60,68,47,23,11,3,292,617,881,2066,2507,3061,2752,757,114,24,12780,59,101,103,106,128,137,7,0,0,628,61,27,16,30,32,55,17,0,0,233,115,127,115,129,159,190,21,0,0,865,737,1007,2183,2641,3226,2941,778,119,24,13643,850,152,225,361,620,1482,3193,1697,502,9093,90,89,187,229,285,393,395,204,105,1979,1673,1249,2596,3227,4133,4821,4362,2023,633,24722,58,345,755,868,1288,860,116,3,3,4293,529,363,806,1369,1566,1350,339,24,5,6351,26,38,157,102,134,162,42,6,0,675,22,22,42,35,39,40,16,9,5,219,632,767,1762,2373,3026,2406,517,42,17,11537,35,49,63,56,75,68,4,0,0,350,69,30,58,67,61,63,7,0,0,352,102,76,123,121,134,132,10,0,0,701
SOSR222,169,407,1057,1310,1570,1342,242,33,3,6128,236,135,203,210,311,455,244,35,3,1820,16,17,38,48,80,114,28,7,0,350,11,28,42,30,46,33,9,7,5,218,427,587,1344,1594,2005,1942,533,74,14,8518,32,50,78,63,93,99,0,0,0,413,33,16,13,16,20,30,7,0,0,135,67,67,87,85,110,133,7,0,0,546,489,650,1430,1682,2112,2076,538,74,14,9063,571,86,152,221,379,913,1878,866,288,5352,82,73,144,150,239,239,218,105,46,1305,1150,816,1726,2050,2737,3228,2638,1043,344,15723,65,240,495,601,899,619,67,7,9,3001,284,239,551,808,930,897,181,17,3,3914,22,21,98,64,99,94,20,7,0,413,12,11,34,20,33,27,5,9,0,156,381,508,1176,1492,1964,1641,277,35,16,7484,19,31,40,29,54,31,0,0,0,202,48,15,29,42,42,44,0,0,0,224,66,43,66,76,93,72,0,0,0,423
SOSR231,2169,5448,11207,15765,21410,17203,5055,994,162,79411,3194,1764,1696,2135,3419,5216,3275,824,149,21672,161,178,378,515,833,1186,537,113,28,3922,250,260,344,406,565,470,277,142,35,2749,5774,7645,13626,18833,26225,24072,9145,2068,375,107756,310,453,526,486,666,711,49,5,0,3208,490,137,119,96,163,294,95,10,0,1413,803,591,647,582,829,1007,142,11,0,4618,6574,8231,14275,19415,27060,25075,9285,2080,376,112378,6706,1437,2356,2760,3743,7929,15813,7261,1816,49817,903,694,1281,1719,2468,2700,2306,1071,309,13458,14188,10371,17911,23893,33275,35706,27407,10409,2499,175653,676,2739,5387,6843,11112,7935,1751,299,50,36785,4412,3035,5149,9417,12174,10044,3111,451,63,47859,213,248,951,736,932,1138,410,64,14,4699,246,199,246,306,416,372,223,87,18,2104,5555,6209,11737,17297,24636,19491,5490,899,146,91453,158,274,295,287,392,313,10,4,0,1741,545,237,274,365,377,373,33,0,8,2215,706,512,570,656,767,686,41,7,7,3949
