SOSR_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOSR201,70572,13413,85254,694787,220944,21928,937661,2248801,249160,3435626
SOSR203,3660,881,4593,24734,10399,1038,36173,82729,10322,129222
SOSR211,4778,1097,5952,45047,18373,2128,65547,136070,18645,220263
SOSR212,3309,889,4248,27033,10537,1191,38761,85659,12931,137351
SOSR213,5946,1474,7501,39914,16471,1932,58319,126565,18138,203020
SOSR214,3915,1151,5132,19701,8641,921,29264,73092,12548,114902
SOSR215,6001,1452,7560,32567,13872,1592,48025,112039,17460,177528
SOSR221,1209,373,1603,8697,3697,413,12805,32142,5133,50085
SOSR222,675,148,847,5417,2347,288,8056,20034,3306,31400
SOSR231,4166,927,5266,63286,27798,2505,93589,210194,35677,339459
SOSR279,0,0,0,5,0,0,5,18,3,25
SOSR299,25,13,38,649,290,14,960,3900,1969,6825
