SOSR_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR201,..,30909,32347,6859,4618,4583,2740,1099,365,83515,..,8951,23578,21321,21773,31918,37224,33119,19199,197080,4198,6943,7541,3679,2985,3534,3349,2607,1207,36030,353681,259617,328598,286799,264423,212263,152477,89232,35645,1982743,..,11759,244715,353259,321785,258696,185232,89520,19923,1484891,..,24317,109897,62226,43304,23215,8475,1879,378,273691,..,3111,15579,35667,50476,29689,12639,9700,5899,162765,717432,..,..,..,..,..,..,..,..,717432,..,230984,..,..,..,..,..,..,..,230984,..,114132,90133,25981,16875,7408,1167,44,4,255746,..,29623,24060,7233,8065,12614,10731,8396,4831,105559,..,18680,20492,5431,3833,2472,940,304,136,52292,..,62773,75133,17814,11443,9797,5798,2220,684,185664,..,17716,49110,46315,48838,56983,56690,45288,26028,346970,8614,13071,15941,8631,6896,6236,5562,3976,1751,70669,726041,526161,645061,562558,511523,407113,287239,161333,59641,3886665
SOSR203,..,1343,769,133,196,197,104,47,13,2814,..,360,894,799,1109,1922,2126,1905,1221,10328,218,397,280,136,144,194,182,103,55,1719,12832,9614,10295,9495,9720,8982,6895,4316,1900,74057,..,346,7063,10421,10321,9982,7805,4038,992,50964,..,1558,4292,2250,1668,966,384,86,11,11214,..,282,1007,1851,2204,1137,461,386,252,7575,25935,..,..,..,..,..,..,..,..,25935,..,7284,..,..,..,..,..,..,..,7284,..,4309,2394,911,600,297,47,3,0,8559,..,842,484,187,231,345,291,205,100,2686,..,567,436,126,118,59,21,9,5,1339,..,2801,1993,419,448,373,250,97,20,6389,..,694,1846,1805,2562,3438,3215,2565,1624,17747,466,742,650,354,299,345,276,157,79,3371,26409,19424,20173,18323,18445,16949,12732,7532,3090,143070
SOSR211,..,1999,1042,291,391,418,222,83,22,4465,..,572,1469,1231,1811,3315,3497,2779,1578,16251,509,829,511,229,246,338,306,189,93,3264,25544,17011,18482,16624,16378,15582,11600,6347,2518,130085,..,720,13000,17639,17131,17213,13153,6037,1218,86118,..,3480,7756,4127,3042,1642,676,188,31,20941,..,722,2514,3749,3907,1889,770,532,331,14414,51335,..,..,..,..,..,..,..,..,51335,..,11826,..,..,..,..,..,..,..,11826,..,8402,3691,1351,889,414,79,5,0,14829,..,1440,797,290,484,699,565,336,192,4811,..,974,677,286,230,139,63,15,3,2386,..,3913,2558,757,862,811,477,182,44,9614,..,1180,3281,3056,4010,5720,5368,3795,2064,28480,1016,1563,1196,649,554,605,513,306,129,6534,52351,34220,35461,31913,31111,29143,21670,11392,4024,251286
SOSR212,..,597,641,160,192,223,115,48,11,1989,..,317,864,685,1112,1984,2092,1992,1092,10133,300,436,330,164,172,226,213,128,66,2037,15142,10032,10583,10094,10720,9681,7221,4428,1750,79661,..,471,7564,10940,11836,11200,8445,4145,970,55573,..,1925,4407,2419,1815,1089,451,137,25,12279,..,373,1342,2168,2350,1052,429,314,191,8219,30351,..,..,..,..,..,..,..,..,30351,..,7776,..,..,..,..,..,..,..,7776,..,5583,2211,800,520,245,41,7,0,9406,..,824,447,172,304,356,331,221,133,2786,..,549,384,157,136,81,18,10,3,1344,..,1329,1500,449,461,487,261,87,28,4598,..,657,1911,1754,2558,3463,3223,2657,1413,17637,662,794,728,425,387,401,381,214,90,4081,31005,20288,20501,19278,20367,18380,13584,7787,2853,154047
SOSR213,..,709,623,216,310,348,221,82,21,2531,..,447,1102,931,1726,3099,3534,3437,1964,16235,442,580,459,218,235,380,389,237,104,3036,22051,12976,14198,14710,15587,15141,12252,7657,3051,117626,..,490,10380,16092,16862,17411,14490,7387,1669,84776,..,2635,6058,3812,2996,1922,722,214,32,18399,..,543,1780,3044,3279,1458,632,498,350,11576,44526,..,..,..,..,..,..,..,..,44526,..,10603,..,..,..,..,..,..,..,10603,..,7306,2954,1091,781,391,80,3,0,12603,..,859,491,203,353,525,426,319,163,3334,..,636,470,180,179,90,40,18,11,1631,..,1437,1490,578,665,693,457,172,40,5532,..,942,2503,2430,3714,5528,5539,4665,2537,27853,857,1183,983,568,534,668,621,372,137,5913,45384,26642,27105,28008,29364,28673,23003,13649,4936,226754
SOSR214,..,317,270,108,204,218,179,71,29,1387,..,193,477,448,973,1855,2411,2292,1308,9940,191,281,206,108,168,237,279,155,57,1674,10946,6359,6404,7314,8554,8801,8336,5019,2019,63760,..,248,4451,7583,8943,9883,9534,4825,1113,46567,..,1186,2882,2020,1687,1176,623,168,25,9756,..,292,866,1526,1874,833,400,327,190,6309,22205,..,..,..,..,..,..,..,..,22205,..,5332,..,..,..,..,..,..,..,5332,..,3808,1467,650,489,266,49,0,0,6729,..,428,226,123,167,281,272,203,108,1799,..,376,243,95,82,73,24,9,4,904,..,798,633,278,435,483,362,142,49,3183,..,465,1087,1218,2210,3366,3863,3213,1792,17218,384,579,451,273,329,420,492,282,90,3308,22593,13513,12297,13769,16212,16786,15613,9165,3371,123311
SOSR215,..,385,356,147,297,374,238,87,19,1911,..,266,662,698,1448,2771,3407,3125,1791,14175,286,426,278,174,250,379,369,205,94,2457,18042,9752,10700,11799,13390,13936,11985,7030,2813,99453,..,362,7909,12783,14152,15881,14324,6954,1499,73876,..,1811,4921,3545,3041,1913,905,197,40,16368,..,310,1276,2286,2695,1266,515,482,330,9160,36604,..,..,..,..,..,..,..,..,36604,..,8435,..,..,..,..,..,..,..,8435,..,5978,2551,993,712,406,73,3,0,10709,..,672,318,142,292,515,425,295,190,2855,..,456,336,155,161,112,56,28,11,1313,..,791,873,393,649,757,505,182,41,4190,..,614,1585,1859,3331,5257,5699,4483,2420,25249,560,862,667,421,531,704,690,352,135,4919,37168,20294,20437,22578,25560,26798,23195,12975,4667,193678
SOSR221,..,79,87,45,109,122,97,24,10,569,..,55,148,135,405,771,862,759,334,3467,69,135,65,44,89,149,118,72,24,764,4766,2516,2558,3220,3975,4246,3547,1782,587,27194,..,65,1868,3468,4353,4904,4471,1845,332,21305,..,421,1188,1065,969,756,327,51,12,4797,..,65,309,568,651,300,163,121,95,2274,9763,..,..,..,..,..,..,..,..,9763,..,2242,..,..,..,..,..,..,..,2242,..,1614,622,288,192,100,26,0,0,2847,..,153,76,35,66,134,121,91,55,734,..,112,89,48,45,33,12,5,0,341,..,158,201,92,218,247,193,63,17,1195,..,132,397,459,1042,1711,1698,1188,503,7136,147,234,178,123,197,274,244,113,36,1543,9903,5206,4919,6151,7734,8469,7257,3483,1042,54172
SOSR222,..,53,67,25,70,81,51,19,3,372,..,33,78,106,238,500,497,331,176,1964,44,90,41,38,54,85,63,28,18,459,3054,1559,1556,2008,2554,2794,2007,920,334,16790,..,42,1135,2170,2769,3300,2625,1006,183,13236,..,254,662,626,699,479,200,35,15,2964,..,40,194,353,405,239,107,78,57,1470,6154,..,..,..,..,..,..,..,..,6154,..,1467,..,..,..,..,..,..,..,1467,..,974,451,180,133,56,13,0,0,1807,..,89,49,24,42,90,77,68,43,476,..,50,40,20,27,29,9,7,0,197,..,106,145,63,137,172,103,37,5,770,..,92,237,312,650,1116,1011,553,274,4249,108,162,123,88,116,163,117,55,24,952,6257,3276,3043,3840,4979,5640,4256,1833,602,33738
SOSR231,..,297,367,217,499,625,416,117,26,2565,..,274,583,674,1591,3039,2885,1948,897,11888,467,862,503,319,437,730,613,197,91,4225,33656,19451,15750,22134,30255,29706,19937,7401,2266,180542,..,544,12530,27677,40040,42159,30459,10248,1672,165336,..,2163,6458,6490,7339,5114,2001,352,55,29968,..,283,1115,2294,3174,1828,940,703,492,10830,68204,..,..,..,..,..,..,..,..,68204,..,19608,..,..,..,..,..,..,..,19608,..,13408,5749,2057,1412,672,88,3,0,23397,..,1053,482,253,494,863,916,717,496,5274,..,935,605,323,379,291,174,49,20,2781,..,678,905,543,980,1284,912,276,52,5630,..,775,1739,2340,4905,7584,6801,3696,1462,29304,940,1773,1231,856,1040,1423,1236,410,150,9065,69146,41228,30819,42842,59761,61220,43532,16453,4393,369392
