SOSR_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR201,1665995,1769632,3435626,776867,456627,1233494,223984,426019,649999,43831,52947,96783,75156,70411,145571,1119843,1006001,2125846,447271,660386,1107654,6.7,7,6.8,67.2,56.8,61.9,62.7,52.9,57.6,114480,114061,228537,32213,57799,90018,297807,356097,653905,143672,181553,325230,286141,136877,423020,9968,16827,26793,21417,33299,54715,317520,187003,504523,1561466,1632986,3194450,311766,324761,636531,1017526,1073172,2090698,778360,810395,1588758
SOSR203,61294,67932,129222,26055,14051,40106,8063,17958,26022,1753,2247,4002,2841,2376,5211,38704,36638,75345,18763,27051,45814,7.3,6.5,6.9,63.1,53.9,58.3,58.5,50.4,54.3,2269,2182,4452,979,1994,2971,7403,10215,17620,4866,6936,11798,14455,7871,22327,516,887,1404,836,1281,2117,15808,10038,25843,57098,61373,118467,11555,12568,24118,37738,40883,78621,27937,30371,58304
SOSR211,104666,115597,220263,45683,24406,70089,12840,29505,42339,3023,3908,6929,5007,4502,9509,66550,62318,128867,31084,45656,76734,7.5,7.2,7.4,63.6,53.9,58.5,58.8,50,54.2,2700,2945,5641,1653,3280,4931,9337,14603,23947,7554,10993,18545,26806,15056,41862,1014,1988,2998,1512,2459,3974,29335,19505,48839,99710,106450,206163,20176,22331,42511,63098,67037,130129,50529,55811,106341
SOSR212,65381,71969,137351,28819,15802,44625,7516,18257,25777,1908,2308,4211,3040,2540,5573,41278,38904,80186,19062,27586,46647,7.4,6.5,7,63.1,54.1,58.4,58.5,50.5,54.3,1235,1337,2569,824,1809,2632,5103,8264,13368,4383,6930,11311,16790,8762,25555,577,1143,1719,903,1385,2284,18270,11286,29556,62310,66640,128946,11140,12103,23245,42064,44818,86886,28054,30794,58846
SOSR213,96130,106887,203020,40796,20601,61396,11198,27799,38993,2964,3524,6486,3888,3265,7156,58840,55188,114026,30540,44281,74827,6.6,5.9,6.3,61.2,51.6,56.2,57.2,48.6,52.6,1882,2183,4072,1340,2759,4093,7671,12720,20386,6923,10928,17850,26822,13489,40307,798,1645,2442,1397,2364,3760,29011,17500,46508,92628,99400,192027,16287,18347,34628,60945,65212,126156,42748,47708,90457
SOSR214,54907,59991,114902,20128,10203,30329,6139,14080,20218,1710,1916,3627,1909,1630,3544,29888,27829,57723,20824,27368,48200,6.4,5.9,6.1,54.4,46.4,50.2,51,43.7,47.1,952,1125,2073,698,1389,2089,3595,6228,9822,3448,5732,9180,14620,6893,21513,482,1001,1484,848,1324,2169,15950,9217,25173,51192,54962,106147,8769,9554,18322,35154,37385,72534,21871,24510,46386
SOSR215,85067,92460,177528,33879,16637,50515,9756,22731,32489,2884,3231,6116,2837,2347,5192,49365,44943,94308,29340,40706,70044,5.7,5.2,5.5,58,48.6,53.1,54.7,46.1,50.2,1548,1869,3416,1100,2467,3568,6109,10493,16598,5581,9544,15125,23851,10787,34631,679,1485,2163,1330,2087,3415,25856,14359,40215,82476,86795,169266,12771,14263,27040,56414,58850,115269,34145,37713,71864
SOSR221,24722,25366,50085,9173,4293,13464,2770,6351,9123,840,890,1727,865,701,1566,13643,12236,25887,9093,11106,20199,6.3,5.7,6,55.2,48.2,51.7,51.7,45.5,48.5,427,511,941,338,676,1016,1501,2799,4301,1608,2686,4296,7284,3128,10415,202,460,662,373,626,994,7860,4213,12070,23878,24055,47934,3370,3430,6806,16885,16916,33797,9156,9536,18697
SOSR222,15723,15679,31400,6128,3001,9126,1820,3914,5734,569,570,1142,546,423,974,9063,7910,16973,5352,6477,11830,6,5.3,5.7,57.6,50.4,54.1,54.2,47.7,51,255,320,571,201,415,622,964,1769,2732,915,1596,2511,4490,1910,6399,125,271,398,233,369,601,4849,2548,7398,15199,14979,30178,1967,2033,4004,11027,10814,21837,5341,5502,10840
SOSR231,175653,163808,339459,79411,36785,116196,21672,47859,69533,6670,6808,13480,4618,3949,8566,112378,95403,207778,49817,56075,105890,4.1,4.1,4.1,64,58.2,61.2,61.3,55.8,58.7,3332,4189,7528,2168,5034,7201,12940,21858,34798,12284,18487,30773,48998,18325,67324,1261,2635,3894,2421,3737,6154,52678,24699,77376,170988,161640,332625,19687,19760,39452,129532,120272,249801,53635,54198,107831
SOSR279,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
SOSR299,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
