SOSR_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR201,341,1396,78,73968,7401,1492,519,8796,869,6007,434,2216,743,4926,23533,56952,641,110,402,975,151,494,93,149,226,684,1560,5488,103530,20189,4110,154385,16921,109554,4795,29494,6179,50175,26358,525687
SOSR203,8,10,0,1521,261,48,9,341,31,178,11,75,19,155,723,1852,16,0,5,30,3,20,3,9,13,30,52,183,2742,663,151,5744,647,3090,183,915,206,1469,815,16625
SOSR211,10,29,0,1697,465,89,23,535,61,311,26,110,36,229,1211,3096,35,7,18,44,13,35,5,5,15,56,79,316,5291,1168,247,9395,1081,5596,360,1488,354,2427,1359,28765
SOSR212,7,15,0,1288,337,48,13,347,29,187,24,74,21,148,831,2069,32,3,16,34,0,23,3,3,11,33,61,215,3520,651,133,6156,647,3097,246,908,220,1599,945,18130
SOSR213,10,20,3,1776,443,104,17,636,43,246,28,102,29,186,1317,3150,43,3,22,58,6,18,9,0,9,32,76,286,4551,1102,271,9526,957,4775,333,1310,319,1772,1467,26375
SOSR214,3,9,3,725,281,48,17,346,27,146,22,48,23,119,593,1671,23,3,13,21,3,14,3,3,9,23,36,148,2328,610,141,4399,466,2275,211,689,189,1089,674,13063
SOSR215,7,20,0,1223,393,83,37,549,53,288,28,71,28,178,1122,2827,31,0,24,48,7,23,3,3,9,38,49,241,3769,1026,289,7446,855,3904,316,1078,310,1641,1236,21878
SOSR221,0,0,3,298,104,28,15,148,9,86,7,51,4,52,304,804,7,0,4,15,0,10,0,4,3,16,11,80,968,294,67,2034,226,1019,98,353,96,492,345,5988
SOSR222,0,7,0,165,87,21,5,99,9,48,8,23,5,43,206,550,4,0,0,9,3,3,0,0,0,10,11,34,718,188,46,1233,146,653,60,217,59,306,232,3862
SOSR231,25,65,14,4143,1404,267,91,1729,124,656,86,258,80,392,2479,7575,135,24,66,150,29,73,13,15,31,67,116,713,10688,2380,660,17102,1581,7654,681,2221,635,3167,2812,49588
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
