SOSR_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SOSR201,23424,712,211,923,24351,3868,99,28315,150473,18804,1634,1141,172053,4395,992,5386,177433,10500,207,188146,238158,28810,2502,2114,271580,3887,846,4740,276315,9021,303,285641,20110,2252,2650,215,25221,311,55,360,25579,690,26,26295,3006,513,53,2960,6539,185,41,229,6763,449,227,7443,411746,50380,6836,6429,475392,8780,1930,10708,486097,20666,758,507523,6359,1233,109,174,7886,1688,142,1830,9711,775,25,10519,12440,1952,109,277,14787,1290,543,1833,16615,914,29,17558,18806,3190,222,459,22669,2974,683,3657,26326,1692,60,28076,430550,53570,7054,6884,498057,11753,2613,14370,512427,22358,820,535599,148762,25337,2988,4274,181363,7114,1705,8828,190188,34550,634,225374,926,221,17,787,1951,44,12,51,2006,225,1873,4105,580242,79128,10062,11942,681371,18913,4330,23245,704621,57135,3325,765078
SOSR203,531,9,0,13,540,74,0,621,4013,537,71,26,4644,112,29,145,4793,290,10,5093,9237,924,92,52,10309,129,23,154,10460,319,8,10793,857,79,132,13,1085,10,0,10,1092,31,0,1126,99,18,0,71,188,0,3,4,194,7,3,203,14206,1550,299,167,16225,256,53,313,16536,650,24,17203,160,31,3,3,198,38,0,38,232,10,0,246,394,44,3,3,449,35,12,41,488,17,3,515,551,80,8,5,643,71,12,82,726,30,3,763,14761,1629,303,174,16872,321,67,392,17258,680,24,17970,4338,666,118,132,5255,204,54,267,5519,958,15,6488,38,0,3,13,59,0,0,0,59,7,52,109,19138,2296,429,320,22184,529,123,652,22832,1643,92,24566
SOSR211,535,13,8,21,555,63,3,624,7727,980,109,59,8870,165,58,223,9094,529,16,9638,15275,1770,240,146,17437,194,56,251,17690,610,19,18316,1418,188,178,20,1803,17,6,29,1827,39,0,1870,169,12,0,162,351,15,0,15,365,28,3,397,24589,2950,534,385,28462,389,125,513,28979,1211,35,30221,316,44,4,17,374,99,9,109,481,51,0,527,648,84,9,18,760,38,38,79,842,73,3,916,964,128,11,29,1135,141,50,190,1321,121,3,1446,25551,3080,539,418,29589,537,169,703,30299,1331,38,31672,8389,1288,233,226,10134,509,117,631,10767,1950,52,12773,40,3,0,13,61,4,3,9,64,6,94,166,33984,4375,772,658,39788,1049,291,1345,41134,3286,185,44602
SOSR212,321,10,6,16,337,51,3,397,4996,618,58,42,5714,138,41,176,5899,363,3,6259,9762,985,167,103,11016,144,24,164,11181,369,13,11558,851,94,94,10,1051,28,11,33,1087,33,0,1116,108,22,0,97,222,4,0,4,228,9,4,244,15713,1721,324,249,18008,317,70,388,18390,769,13,19174,204,22,7,0,231,60,9,69,301,35,3,342,346,50,9,3,402,53,12,63,464,32,0,492,547,68,15,3,635,115,18,130,769,61,3,835,16259,1790,339,251,18642,434,85,522,19156,832,20,20010,4544,736,118,136,5533,313,88,397,5935,1583,25,7539,33,0,0,18,58,4,0,4,65,8,68,146,20840,2521,459,410,24231,751,175,925,25159,2427,115,27693
SOSR213,464,11,0,16,477,50,0,518,6645,848,119,57,7664,131,30,161,7829,435,18,8286,15550,1623,230,148,17558,222,49,270,17823,525,3,18355,1201,137,195,16,1551,17,5,26,1579,45,0,1619,139,21,3,157,316,4,0,11,327,20,20,361,23536,2628,545,380,27096,375,88,459,27556,1025,39,28624,200,59,9,3,270,41,3,40,305,30,0,337,558,62,9,4,637,53,19,69,700,42,4,747,756,122,16,4,898,92,19,110,1013,72,4,1087,24291,2748,567,391,27996,466,102,571,28566,1098,45,29710,7406,935,197,196,8733,299,68,365,9103,1166,9,10281,39,10,0,30,78,0,0,0,78,16,101,186,31734,3688,768,608,36808,768,175,938,37748,2276,154,40178
SOSR214,187,7,0,6,198,17,0,216,3332,462,36,30,3864,62,33,92,3957,258,4,4217,7166,935,196,72,8366,122,16,141,8511,291,18,8814,603,66,113,11,788,0,0,7,790,23,0,818,84,4,0,76,169,0,0,0,171,8,3,180,11178,1466,347,194,13186,191,50,238,13423,579,31,14037,91,12,6,10,117,43,0,47,161,21,0,180,237,36,9,0,282,11,12,29,306,24,3,336,332,46,9,10,400,55,14,74,471,45,3,519,11514,1511,354,201,13583,248,68,314,13895,625,32,14552,3385,592,134,116,4224,211,34,241,4466,622,16,5102,27,9,0,4,44,0,0,0,44,11,46,107,14919,2109,492,324,17851,453,96,553,18404,1262,92,19757
SOSR215,333,0,0,4,338,46,0,385,5495,716,127,52,6397,107,27,137,6535,410,10,6951,12191,1514,233,125,14073,153,17,175,14246,468,34,14743,1013,136,185,18,1362,15,3,17,1384,42,4,1429,186,27,6,169,390,3,0,3,389,31,0,418,18893,2401,557,367,22218,274,55,332,22544,948,46,23541,163,18,4,5,193,46,3,44,236,25,0,266,389,37,9,3,430,34,12,47,477,27,0,505,547,58,10,6,627,75,14,90,718,53,0,767,19441,2457,568,382,22840,355,69,423,23263,996,51,24307,6323,866,213,213,7612,235,52,282,7893,1066,23,8985,54,7,0,19,81,3,0,3,86,0,61,147,25821,3325,784,609,30541,589,115,706,31242,2062,142,33447
SOSR221,79,0,0,0,84,10,0,94,1436,214,12,10,1677,20,7,33,1711,107,8,1825,3375,449,88,29,3940,37,11,47,3987,151,0,4140,317,36,30,3,386,3,0,3,387,14,0,403,38,18,0,54,113,0,0,0,113,4,0,113,5171,718,137,92,6107,66,15,77,6190,277,11,6481,35,13,0,7,49,16,7,22,64,11,0,82,104,15,3,5,132,13,0,13,144,9,0,151,140,30,3,9,180,27,7,29,211,21,0,230,5303,746,140,104,6292,86,20,106,6401,301,11,6711,1605,301,59,72,2038,77,12,89,2127,317,6,2452,19,3,0,5,30,0,0,0,30,7,11,44,6931,1048,198,176,8355,166,30,194,8546,625,31,9205
SOSR222,39,0,0,0,46,3,0,49,1058,142,28,6,1233,10,3,15,1248,59,0,1309,2006,278,48,22,2354,17,8,23,2374,114,0,2491,187,16,34,8,244,3,0,3,246,13,0,255,39,0,0,23,62,0,0,0,62,9,0,72,3287,436,111,50,3890,29,16,46,3932,191,0,4123,22,7,0,0,26,14,0,14,37,14,0,54,65,3,3,3,79,4,0,5,79,6,0,93,89,10,3,3,104,15,0,17,119,22,0,142,3376,444,115,57,3992,51,13,66,4054,212,0,4273,1024,159,31,44,1259,44,8,53,1307,187,5,1496,14,0,0,0,14,0,0,0,14,0,16,26,4410,609,140,98,5257,93,18,116,5373,405,24,5796
SOSR231,1013,11,5,10,1030,95,5,1130,15490,1582,224,117,17410,144,49,189,17599,822,29,18449,28146,3287,435,325,32194,242,55,298,32490,963,43,33499,1795,241,389,27,2462,24,0,24,2481,81,6,2569,410,37,10,464,929,3,4,11,937,44,17,1000,45847,5149,1062,932,52994,406,105,513,53507,1908,99,55510,275,47,7,6,337,65,0,65,403,52,0,459,722,93,19,11,841,75,15,91,931,40,3,968,998,148,19,16,1178,136,15,159,1337,96,3,1431,46840,5293,1085,949,54171,547,123,670,54840,2003,100,56943,11851,1664,366,472,14358,295,67,361,14717,1898,50,16664,186,18,21,37,256,4,0,4,256,7,152,421,58879,6974,1468,1458,68786,845,188,1038,69821,3912,298,74032
