SOSR_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR201,106,42,21,43,11,126,0,126,50,8473,107,9104,28,80,14,32,0,60,11,350,57,2875,46,3539,15,112,3,33,4,99,9,775,55,1723,26,2857,11,14,0,11,0,109,3,642,48,870,6,1726,58,377,31,91,4,319,39,1382,141,12493,181,15122,65,433,20,185,13,926,45,2207,210,4032,66,8195,238,1296,94,469,39,2312,120,3072,293,30823,498,39253,360,1649,83,1178,87,4337,131,3625,399,11850,180,23882,1092,2601,139,3544,200,5765,223,3294,466,12850,198,30375,3529,2263,202,6141,369,4677,258,2385,361,8470,189,28846,3963,1121,128,5403,306,4122,172,1375,253,2743,62,19660,6830,1095,190,5303,442,3425,201,1079,217,3008,77,21864,22432,1581,428,9280,997,5435,327,1548,347,3888,111,46376,18412,817,300,6327,790,1987,188,814,156,1820,51,31666,12500,443,197,3182,515,878,98,359,64,1024,30,19288,8173,199,124,1188,303,1977,44,343,82,703,18,13161,15004,971,298,4309,589,2598,151,1167
SOSR203,6,3,0,0,0,3,0,0,0,170,0,182,0,3,0,0,0,3,0,6,0,83,0,98,0,8,0,0,0,3,0,28,4,63,3,103,0,0,0,0,0,0,0,13,0,40,0,53,3,24,4,3,0,10,4,67,3,621,3,742,3,27,0,12,0,31,3,88,3,200,0,371,6,55,4,31,3,91,5,177,19,1673,37,2099,18,77,4,60,3,183,10,212,13,661,6,1252,37,110,4,171,12,229,9,171,23,689,13,1472,154,126,7,301,22,170,8,127,17,427,8,1370,162,50,7,265,16,135,11,46,5,125,0,833,261,48,11,273,19,130,11,43,3,120,0,926,859,70,18,437,39,151,15,59,7,149,8,1806,592,28,14,300,31,50,12,32,8,43,3,1114,325,8,5,101,14,31,4,15,0,31,0,543,184,9,4,33,12,36,0,6,7,20,0,315,247,25,8,141,13,62,3,30
SOSR211,4,3,3,0,0,7,0,9,3,223,3,263,3,4,0,3,0,3,0,21,3,133,0,173,0,4,0,4,0,7,0,34,3,92,3,153,0,0,0,0,0,3,0,15,3,50,0,79,8,26,3,10,0,19,0,114,10,853,8,1058,3,30,0,20,0,51,6,164,21,350,3,654,17,97,6,46,0,164,8,303,33,3081,42,3805,33,141,9,121,7,343,15,343,40,1131,11,2197,104,198,8,363,27,434,25,308,42,1196,17,2717,370,167,12,655,37,374,19,214,36,716,6,2626,392,71,9,535,33,289,18,89,20,198,3,1668,590,75,24,425,44,233,23,70,17,179,3,1680,1481,118,30,741,95,301,29,88,22,216,11,3128,869,46,28,397,66,76,17,30,6,80,7,1618,505,16,13,187,20,29,5,16,3,37,0,828,211,6,11,44,5,57,4,14,3,14,0,380,266,30,10,176,16,66,11,30
SOSR212,6,0,0,6,0,5,0,0,0,190,4,211,3,5,0,4,0,3,0,15,0,75,7,112,0,3,0,3,0,8,0,20,3,47,0,86,0,0,0,0,0,0,0,23,0,37,0,60,9,9,6,8,0,8,0,57,3,591,21,716,3,20,3,10,0,47,7,96,5,229,6,424,17,48,3,37,3,98,9,185,21,1920,37,2392,23,69,4,69,7,191,3,193,32,726,11,1324,75,115,3,214,18,260,6,164,28,793,7,1694,262,84,6,398,24,195,19,110,26,461,13,1596,234,54,7,300,10,162,13,57,12,90,0,936,374,61,16,292,30,123,9,46,13,126,4,1087,952,51,16,461,52,196,28,52,33,143,3,1983,600,37,16,313,33,76,12,20,3,60,6,1174,325,15,4,109,16,16,5,11,0,19,0,526,148,11,3,34,8,51,0,3,3,8,0,281,205,29,8,110,7,53,5,22
SOSR213,10,3,0,3,0,3,0,3,3,292,0,323,6,6,0,0,0,0,0,12,4,140,3,177,0,3,0,7,0,3,0,42,4,96,0,164,0,0,0,0,0,10,0,27,7,54,0,102,12,25,0,7,0,14,9,106,13,1038,25,1262,0,27,3,13,0,55,3,159,11,382,7,667,19,82,9,59,0,142,10,313,33,3312,62,4040,50,121,7,136,10,244,12,342,39,1374,29,2368,107,206,19,342,18,342,29,303,39,1416,22,2849,340,178,23,547,28,266,25,188,28,798,16,2443,336,100,14,433,29,227,17,108,29,180,7,1479,474,75,17,448,42,182,18,61,26,262,6,1613,1268,111,37,672,71,305,34,79,32,274,20,2911,803,49,20,416,50,94,21,40,12,94,6,1618,469,28,13,169,32,35,5,15,0,41,3,803,197,7,10,54,16,78,7,14,9,35,0,411,306,31,15,189,11,82,13,37
SOSR214,7,3,3,0,0,3,0,5,0,152,7,188,4,3,0,0,0,0,0,14,0,102,3,135,3,3,0,3,0,7,0,28,0,57,0,104,0,0,0,0,0,7,0,13,0,43,0,58,6,25,0,6,0,15,0,85,10,705,12,872,12,24,0,12,0,29,3,115,9,250,0,448,19,59,6,32,3,74,9,210,30,2389,42,2876,26,72,9,76,7,163,12,214,21,921,21,1537,71,140,11,191,11,206,21,216,32,881,18,1793,169,118,12,295,39,165,17,125,27,548,10,1525,166,37,13,270,17,116,15,47,18,125,3,829,255,53,15,236,16,92,9,34,16,151,3,869,508,66,19,365,40,135,15,47,10,165,11,1372,362,39,16,180,25,39,11,22,6,50,0,735,216,10,6,90,14,25,6,9,0,32,0,408,71,6,4,29,5,20,0,8,0,18,0,158,132,10,4,71,8,29,3,15
SOSR215,12,9,0,9,3,3,0,7,3,229,7,281,12,10,0,4,4,3,0,15,3,177,5,232,8,16,0,4,0,4,0,46,0,91,3,163,0,0,0,0,0,5,0,36,4,60,0,104,18,42,5,9,0,17,3,119,13,991,20,1231,8,31,4,18,4,55,4,167,15,346,8,661,31,95,18,44,0,111,19,315,43,3330,62,4059,52,153,8,113,4,269,13,338,45,1228,23,2240,122,215,20,337,20,318,39,284,39,1299,28,2718,338,177,26,482,33,261,25,188,38,755,27,2357,259,88,19,380,27,208,13,95,32,166,4,1301,404,92,27,347,40,177,24,68,17,216,7,1420,1037,95,34,569,76,252,27,73,39,232,18,2451,614,49,23,325,53,90,14,36,3,95,5,1301,322,24,17,151,25,30,10,16,0,47,0,634,165,6,8,44,15,52,3,15,3,19,0,342,213,25,14,130,13,58,6,32
SOSR221,4,0,0,6,0,3,0,0,0,66,3,83,0,4,3,3,0,3,0,4,0,53,0,66,0,3,0,6,0,3,0,5,0,23,0,44,0,0,0,3,0,0,0,7,0,28,3,42,9,11,0,12,0,8,3,52,3,318,3,412,0,24,0,4,0,19,0,70,7,130,3,256,21,39,8,16,4,60,0,129,17,1085,20,1393,19,34,0,30,3,71,6,108,14,366,9,664,32,50,8,105,15,111,18,92,16,365,4,816,82,58,10,156,12,89,8,44,9,232,4,705,73,20,4,109,10,59,7,28,8,41,3,375,91,27,3,110,9,57,5,16,3,59,3,380,243,32,5,163,23,58,12,18,7,69,8,645,164,14,7,100,8,26,6,6,5,16,0,356,100,6,4,40,8,12,0,4,0,9,0,175,44,0,0,9,0,23,0,3,0,6,0,94,42,6,5,36,11,8,0,9
SOSR222,0,3,3,0,0,0,0,0,0,52,3,59,0,0,0,0,0,3,0,4,0,29,0,44,0,0,0,0,0,0,0,6,0,25,0,39,0,0,0,0,0,0,0,14,0,16,0,30,6,7,0,0,0,0,0,23,3,193,7,246,0,14,0,4,0,7,0,44,5,65,0,142,9,19,3,12,0,28,8,60,3,593,11,750,16,33,4,25,0,44,0,72,19,177,0,393,39,50,7,65,7,74,3,43,6,197,3,495,64,26,3,92,0,64,3,34,7,120,3,420,48,8,3,77,4,51,0,14,0,36,0,255,82,10,3,65,10,37,3,14,0,42,0,270,187,14,8,97,10,43,8,16,6,32,0,422,105,10,8,48,6,9,0,7,0,16,0,212,40,5,3,22,3,8,0,3,0,10,0,92,16,0,0,10,0,10,0,4,3,3,0,50,30,0,7,19,3,10,3,9
SOSR231,132,30,22,61,7,42,6,25,12,542,16,890,91,47,12,40,8,37,0,54,4,353,12,650,31,24,4,35,5,23,3,100,14,209,7,454,13,12,0,5,3,24,3,43,3,123,6,224,160,100,28,126,6,86,6,231,40,1653,32,2469,71,72,7,95,11,134,7,335,44,591,18,1388,264,312,40,238,22,305,33,592,102,4342,76,6318,327,372,41,423,36,529,53,641,103,1694,40,4253,567,535,78,785,48,683,53,541,87,1792,56,5236,767,455,72,1144,76,582,72,363,66,1139,48,4788,517,188,23,792,57,422,41,206,36,292,11,2570,956,245,46,852,65,392,37,146,52,362,28,3186,2030,312,103,1370,153,565,71,216,64,450,46,5367,1282,159,43,819,117,196,38,83,19,190,19,2959,831,87,37,422,59,95,30,35,14,108,8,1734,418,37,17,138,28,173,7,34,19,67,9,941,846,179,62,555,65,221,28,82
