SOSR_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOSR201,..,86340,18809,105148,949,106101,..,9498,680,10180,79,10258,..,45820,2302,48117,357,48480,..,45576,5225,50798,531,51328,..,33529,1940,35474,262,35737,..,19923,1950,21876,211,22088,..,28135,2434,30569,208,30772,..,182480,14528,197010,1648,198662,..,83232,14308,97540,1281,98825,..,8667,1482,10152,87,10233,..,10518,4095,14616,128,14744,..,22580,4498,27075,291,27359,..,13047,1114,14160,180,14347,..,12356,3035,15393,148,15544,..,11713,1650,13366,123,13488,..,13716,2962,16677,131,16806,..,9428,801,10236,181,10417,..,12436,2640,15081,151,15233,..,14680,406,15093,130,15219,..,14639,1062,15702,106,15811,..,19356,546,19899,192,20094,..,6237,376,6616,55,6668,..,54914,2396,57309,483,57797,..,28659,3582,32237,313,32552,..,22216,2252,24465,219,24682,..,8100,1890,9994,83,10077,..,23872,5587,29460,302,29760,..,68803,31162,99965,766,100731,..,164529,43781,208311,4004,212313,..,1162936,245677,1408615,14457,1423074,..,10185,2632,12821,221714,234537,2538591,1173117,248316,1421435,236170,4196198
SOSR203,..,524,89,614,6,622,..,101,12,112,0,112,..,463,13,473,5,473,..,625,67,687,4,699,..,205,12,221,0,221,..,199,21,227,0,227,..,297,11,312,5,315,..,1892,137,2033,15,2051,..,1531,266,1797,34,1833,..,179,12,191,0,191,..,103,29,136,0,136,..,733,184,920,12,930,..,64,4,67,0,67,..,331,78,408,3,407,..,336,67,409,3,411,..,164,41,211,0,211,..,22,0,22,0,22,..,548,144,692,11,702,..,290,10,292,0,292,..,182,4,186,0,189,..,359,9,365,4,366,..,143,3,148,3,149,..,968,23,993,11,1000,..,363,78,446,11,454,..,173,10,181,0,181,..,164,43,209,3,211,..,202,53,250,3,254,..,363,146,509,4,516,..,3251,1120,4372,94,4465,..,16893,3413,20303,277,20579,..,435,50,484,8947,9433,127090,17330,3459,20787,9221,157104
SOSR211,..,499,85,581,4,593,..,251,26,273,0,280,..,850,61,917,6,917,..,1076,158,1239,16,1253,..,445,27,476,4,474,..,342,36,376,9,382,..,497,137,631,4,636,..,3461,448,3908,40,3951,..,792,66,857,18,877,..,194,24,213,3,218,..,140,36,172,0,172,..,209,34,248,4,252,..,725,50,775,15,790,..,120,31,150,0,150,..,222,32,259,0,255,..,156,19,177,0,175,..,556,39,593,12,608,..,370,61,434,11,442,..,589,14,604,6,613,..,196,7,211,4,212,..,758,22,780,3,790,..,168,8,172,3,172,..,1714,56,1764,21,1784,..,647,76,722,7,726,..,193,18,209,0,208,..,221,49,266,9,275,..,222,38,251,0,255,..,383,162,552,14,563,..,4543,1458,6004,142,6139,..,19424,3542,22961,345,23310,..,803,67,870,17103,17975,234443,20223,3611,23836,17452,275731
SOSR212,..,598,96,701,7,705,..,122,0,124,0,128,..,330,12,339,0,345,..,868,158,1018,17,1043,..,326,25,349,0,345,..,179,12,193,3,197,..,264,26,290,4,297,..,2084,231,2313,35,2346,..,1753,270,2022,29,2052,..,145,32,176,0,183,..,95,97,188,0,193,..,163,23,184,3,182,..,162,4,162,0,164,..,103,38,140,0,140,..,133,13,147,0,148,..,51,7,54,0,54,..,282,23,303,3,300,..,64,8,74,0,73,..,287,15,293,0,294,..,80,9,82,0,85,..,368,16,382,0,381,..,156,51,210,0,216,..,882,92,972,9,979,..,198,29,229,0,233,..,143,23,165,0,165,..,188,50,235,3,238,..,600,236,834,9,836,..,207,138,345,3,350,..,3129,1188,4317,81,4401,..,14080,3659,17740,230,17969,..,435,72,513,11839,12345,139940,14516,3735,18245,12072,170256
SOSR213,..,485,68,553,12,564,..,70,3,77,0,77,..,254,17,274,3,276,..,452,58,509,8,514,..,205,17,218,0,221,..,96,3,104,0,106,..,198,21,216,0,219,..,1279,118,1402,15,1412,..,1640,279,1918,42,1960,..,143,15,159,0,155,..,44,15,62,0,62,..,79,14,95,0,92,..,295,23,318,3,325,..,59,9,70,0,70,..,199,30,223,3,226,..,74,8,79,0,79,..,53,3,56,0,56,..,146,30,173,3,174,..,400,22,417,0,424,..,144,18,158,0,159,..,484,21,504,0,504,..,108,19,127,0,128,..,1134,72,1206,3,1210,..,295,34,327,3,331,..,99,17,122,0,122,..,140,30,170,6,174,..,81,22,105,0,105,..,239,94,329,7,336,..,1835,452,2289,65,2353,..,11288,1770,13063,213,13279,..,655,61,710,15890,16597,221137,11940,1829,13770,16104,251012
SOSR214,..,279,42,324,11,336,..,26,3,24,0,24,..,135,10,148,0,143,..,279,40,316,0,316,..,67,7,78,0,77,..,72,9,79,0,80,..,76,8,83,0,83,..,644,74,724,3,728,..,906,113,1017,26,1045,..,79,8,85,0,85,..,44,4,46,0,46,..,64,3,69,0,69,..,174,13,182,0,184,..,11,3,14,0,14,..,82,9,86,0,94,..,39,3,38,0,38,..,21,0,21,0,24,..,42,0,42,0,45,..,165,3,162,4,168,..,52,5,62,0,62,..,171,5,177,0,181,..,41,6,42,0,44,..,433,15,444,3,450,..,170,14,189,0,189,..,74,8,83,3,80,..,90,22,108,0,110,..,43,9,54,0,54,..,70,21,91,0,95,..,846,194,1038,40,1074,..,5746,984,6729,125,6855,..,335,32,362,10588,10952,121061,6075,1022,7095,10719,138874
SOSR215,..,373,47,417,5,425,..,52,0,55,0,55,..,162,4,163,6,168,..,216,38,253,5,254,..,88,10,97,0,96,..,44,9,48,0,50,..,131,8,141,3,139,..,689,63,754,8,766,..,1315,182,1497,34,1535,..,105,19,120,0,120,..,38,15,49,3,51,..,85,7,92,0,97,..,161,9,166,0,167,..,31,0,32,0,32,..,153,17,175,6,179,..,63,12,78,0,78,..,27,5,40,0,40,..,71,8,74,0,75,..,220,8,225,0,225,..,70,3,69,3,72,..,259,8,267,3,277,..,95,8,98,0,99,..,641,23,661,15,679,..,294,19,315,3,318,..,45,21,67,4,66,..,158,43,202,3,204,..,130,36,164,0,164,..,179,147,322,6,324,..,1537,347,1888,50,1939,..,8332,1355,9682,186,9869,..,525,35,562,14714,15282,191830,8855,1386,10247,14899,216976
SOSR221,..,107,19,126,3,122,..,4,0,4,0,4,..,14,0,14,0,14,..,28,5,34,0,34,..,5,0,5,0,5,..,8,0,8,0,8,..,17,0,17,0,17,..,71,5,79,0,79,..,217,14,234,5,238,..,25,4,26,0,26,..,8,0,4,0,4,..,23,10,28,0,28,..,68,3,72,3,76,..,5,0,10,0,10,..,28,3,26,0,28,..,14,3,18,3,17,..,8,0,11,0,11,..,29,3,32,0,32,..,46,0,44,3,48,..,27,0,27,0,33,..,42,0,41,0,39,..,19,0,19,0,19,..,129,4,137,3,137,..,88,3,92,4,98,..,11,0,11,0,11,..,55,7,67,0,67,..,19,11,32,0,32,..,19,4,21,0,21,..,329,45,376,10,380,..,1762,173,1936,41,1980,..,144,9,157,4462,4619,54026,1909,182,2093,4505,60620
SOSR222,..,65,5,69,0,69,..,0,0,0,0,0,..,7,0,7,0,9,..,29,0,31,0,31,..,3,0,3,0,3,..,5,0,5,0,5,..,7,0,7,0,7,..,51,3,51,0,48,..,147,12,157,0,157,..,15,3,23,0,23,..,12,9,21,0,21,..,7,0,7,0,7,..,20,0,20,0,20,..,0,0,0,0,0,..,12,3,12,0,13,..,13,0,13,0,13,..,3,0,3,0,3,..,14,4,14,0,16,..,56,7,65,0,64,..,3,0,6,0,9,..,38,0,37,0,42,..,12,3,18,0,18,..,109,13,129,4,129,..,64,8,74,0,74,..,3,0,3,0,3,..,29,9,34,0,34,..,9,0,9,0,9,..,13,3,18,0,22,..,203,36,247,8,253,..,1162,182,1348,20,1365,..,130,0,131,3028,3155,33676,1293,191,1481,3044,38204
SOSR231,..,987,130,1115,17,1131,..,56,4,58,0,58,..,356,15,378,0,377,..,561,108,670,8,677,..,205,13,213,8,220,..,58,3,64,0,61,..,110,7,116,0,116,..,1348,146,1497,15,1511,..,3302,306,3607,68,3671,..,206,21,222,5,226,..,39,6,50,0,50,..,400,54,449,10,460,..,714,29,741,10,750,..,38,0,38,0,38,..,301,22,318,3,323,..,158,25,179,0,182,..,111,4,122,0,121,..,229,25,251,0,258,..,387,20,409,3,407,..,139,5,144,4,149,..,344,17,358,6,368,..,102,12,111,0,111,..,968,53,1022,13,1029,..,419,38,455,11,466,..,112,8,128,0,128,..,219,38,260,0,260,..,278,46,319,6,328,..,262,110,378,4,379,..,2411,400,2810,81,2890,..,16914,1944,18858,302,19154,..,927,70,994,33101,34097,360793,17839,2015,19857,33406,414055
