SOSR_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOSR201,1056,1061,2116,129548,122875,252418,6897,6548,13443,137494,130480,267976,1033,1049,2079,125132,119126,244260,6155,5666,11817,132314,125843,258159,1049,937,1988,114005,108244,222243,5226,4970,10204,120285,114148,234434,1013,991,2001,119969,116402,236377,5851,5717,11569,126834,123105,249943,1059,1047,2105,149665,146806,296474,8897,8653,17547,159623,156508,316127,893,883,1776,158689,163564,322252,10564,10820,21385,170144,175269,345414,753,693,1441,161220,167043,328266,10404,10175,20581,172375,177914,350286,599,616,1211,144011,145931,289944,8480,7867,16350,153093,154414,307505,645,652,1297,135207,142246,277449,7610,7283,14889,143460,150176,293633,654,625,1279,130773,140077,270857,7203,6998,14199,138640,147698,286330,445,567,1010,119445,125558,245002,6833,6406,13239,126724,132531,259255,384,393,782,107453,115455,222908,6154,6179,12341,113997,122033,236031,311,350,660,91470,100151,191624,5344,5523,10868,97127,106021,203144,453,606,1054,246762,301862,548625,16772,21500,38274,263986,323970,587952,10344,10445,20790,1933362,2015349,3948714,112390,114305,226692,2056095,2140106,4196198
SOSR203,106,106,218,4655,4375,9027,270,255,523,5029,4732,9762,87,91,179,4391,4210,8601,245,229,477,4721,4534,9259,91,84,174,4275,3978,8253,224,205,423,4590,4263,8858,92,101,189,4655,4622,9280,248,242,492,4990,4969,9959,76,79,155,5572,5494,11064,355,361,711,6002,5934,11931,45,57,104,5086,5259,10341,340,344,687,5469,5664,11132,38,60,103,4829,5037,9866,301,280,575,5171,5377,10547,47,48,92,4359,4616,8974,229,225,453,4631,4892,9519,33,46,80,4526,4873,9399,283,272,547,4845,5191,10030,45,40,83,4479,4832,9307,322,273,593,4839,5140,9979,45,39,83,4344,4927,9271,259,296,557,4642,5263,9907,24,32,63,4270,4790,9057,257,269,526,4550,5097,9645,37,32,70,3879,4380,8262,234,267,496,4148,4676,8823,28,48,78,11078,14450,25530,898,1241,2138,12010,15739,27744,795,865,1664,70397,75843,146239,4450,4754,9205,75635,81462,157104
SOSR211,324,347,670,9047,8614,17660,611,589,1197,9977,9558,19530,320,299,625,8778,8465,17246,553,545,1102,9656,9312,18970,273,256,535,7976,7489,15464,524,453,973,8773,8193,16968,256,282,538,8250,7871,16124,495,514,1003,8994,8670,17664,227,243,471,9097,9236,18340,658,636,1293,9981,10117,20098,173,209,386,8618,9288,17907,593,608,1200,9387,10107,19491,129,154,281,8352,8976,17331,602,621,1221,9085,9748,18836,103,130,232,7682,8243,15918,501,518,1025,8283,8888,17174,105,129,229,7637,8253,15893,516,471,990,8259,8854,17114,97,137,240,7487,8228,15714,489,518,1004,8070,8889,16960,85,105,190,7397,8095,15498,489,500,989,7969,8705,16676,78,87,167,7092,8225,15314,498,523,1014,7661,8831,16496,55,62,116,6829,7686,14506,469,525,996,7350,8275,15623,88,105,196,18102,22602,40696,1435,1804,3241,19627,24508,44134,2307,2559,4862,122336,131271,253610,8435,8825,17255,133073,142654,275731
SOSR212,309,293,602,5036,4796,9826,360,343,709,5702,5430,11137,314,275,593,5111,4878,9991,321,289,611,5748,5447,11192,257,254,511,4837,4637,9475,336,261,593,5431,5148,10573,245,230,475,5119,4870,9981,338,348,686,5699,5441,11145,209,201,406,4839,4898,9742,385,366,752,5431,5468,10899,156,186,347,5115,5246,10361,399,401,807,5675,5840,11512,107,152,255,4751,5140,9892,370,366,729,5219,5659,10874,111,138,252,4394,4846,9236,292,325,619,4790,5310,10107,109,141,242,4722,5040,9764,363,331,691,5187,5514,10704,102,127,227,4896,5297,10194,376,344,720,5372,5769,11140,77,114,193,4763,5321,10093,368,352,719,5215,5786,11001,66,91,159,4700,5202,9902,349,368,709,5115,5659,10775,58,57,121,4216,4659,8876,373,364,731,4646,5080,9732,82,106,189,11775,14673,26449,1175,1657,2828,13026,16440,29463,2192,2365,4555,74272,79518,153784,5797,6110,11907,82267,87993,170256
SOSR213,287,317,606,7531,7033,14561,469,470,944,8283,7823,16108,291,289,581,7720,7353,15070,481,453,934,8492,8091,16585,260,257,522,7175,6754,13932,434,415,850,7876,7426,15305,216,212,428,7091,6637,13729,419,410,830,7722,7258,14987,199,166,368,6295,6148,12446,470,455,922,6968,6773,13737,143,147,285,6395,6856,13255,456,445,901,6989,7443,14435,107,111,219,6540,7275,13816,427,425,851,7070,7817,14889,95,117,215,6381,6987,13368,426,413,832,6906,7507,14415,97,121,212,6981,7673,14661,475,428,906,7554,8220,15779,80,131,216,7025,7837,14857,488,484,978,7600,8454,16051,91,112,197,6991,7751,14741,458,482,944,7541,8348,15885,69,95,166,7148,8023,15169,510,524,1031,7723,8640,16366,57,78,129,6913,7638,14556,450,552,1002,7424,8265,15685,81,126,207,20716,25785,46504,1832,2250,4076,22629,28161,50792,2081,2265,4347,110906,119766,230666,7802,8201,15999,120784,130231,251012
SOSR214,151,130,272,3652,3324,6975,253,253,505,4058,3702,7760,134,133,267,3768,3628,7399,249,251,503,4152,4013,8166,125,117,245,3725,3549,7276,272,262,536,4124,3930,8056,103,121,227,3902,3424,7321,252,252,506,4253,3795,8049,80,76,158,3302,2884,6186,216,204,418,3596,3164,6762,75,84,151,2979,3019,5994,221,212,429,3267,3311,6577,52,60,114,3113,3296,6414,240,258,496,3406,3616,7022,47,50,93,3136,3361,6494,221,235,451,3397,3636,7033,48,53,98,3498,3917,7414,258,283,541,3804,4254,8057,56,66,127,3823,4186,8014,287,268,553,4173,4521,8689,49,47,94,4000,4375,8379,324,319,636,4370,4739,9109,50,51,100,4139,4422,8564,330,309,635,4515,4783,9294,44,36,84,4145,4686,8827,342,387,731,4529,5106,9640,63,99,158,14180,17253,31441,1347,1716,3061,15590,19070,34660,1076,1111,2183,61367,65324,126690,4804,5203,10009,67240,71633,138874
SOSR215,216,169,390,5921,5603,11525,397,401,796,6537,6175,12710,194,195,394,6460,6115,12575,462,450,912,7117,6762,13879,160,153,317,6071,5661,11725,416,396,814,6642,6212,12855,144,149,293,5645,5154,10797,368,370,738,6155,5665,11821,104,109,216,4760,4471,9233,389,345,734,5253,4929,10185,95,129,222,4865,5046,9913,361,358,724,5324,5535,10864,77,75,154,4834,5578,10412,376,381,758,5290,6033,11323,56,83,137,5174,5542,10717,320,358,682,5552,5979,11535,61,68,131,5733,6275,12014,429,427,859,6233,6774,13006,68,78,145,5988,6570,12560,431,409,837,6494,7053,13543,90,85,175,6356,6914,13273,507,488,998,6954,7491,14448,73,76,145,6604,7188,13798,492,541,1030,7167,7799,14969,62,63,128,6733,7252,13991,586,580,1165,7383,7899,15287,109,119,227,21254,24871,46120,1899,2302,4195,23260,27291,50543,1528,1552,3079,96410,102246,198660,7429,7811,15242,105368,111612,216976
SOSR221,42,42,82,1501,1396,2901,111,99,211,1650,1535,3187,47,45,91,1810,1610,3422,152,117,263,2014,1771,3783,50,34,87,1650,1605,3262,109,115,215,1814,1755,3570,46,41,86,1530,1412,2938,103,93,193,1673,1546,3218,29,23,48,1135,1066,2195,91,70,164,1249,1161,2410,14,22,37,1110,1192,2302,123,97,217,1246,1304,2552,11,19,32,1250,1348,2600,83,93,178,1349,1463,2810,10,23,33,1305,1527,2832,104,99,210,1425,1650,3071,19,13,36,1661,1702,3365,128,136,255,1806,1848,3652,24,27,49,1840,1972,3814,147,145,292,2008,2144,4152,18,23,42,1954,2031,3977,155,144,299,2128,2193,4321,20,17,43,2143,2203,4347,199,168,369,2370,2385,4754,13,7,18,2240,2226,4468,205,205,408,2453,2437,4893,21,25,52,6348,6512,12863,641,693,1337,7016,7229,14251,369,363,732,27481,27797,55279,2344,2264,4610,30195,30425,60620
SOSR222,44,28,76,940,870,1812,74,59,133,1060,961,2021,39,44,81,1126,1016,2147,107,103,209,1272,1164,2437,24,40,66,1012,1066,2078,106,87,197,1146,1194,2339,23,39,64,1026,890,1917,98,85,180,1150,1012,2156,16,12,31,717,673,1391,78,71,145,816,751,1563,22,19,39,729,743,1469,71,83,155,822,847,1667,15,17,28,816,856,1676,72,70,147,911,948,1850,9,15,28,830,948,1776,76,106,174,917,1063,1982,11,11,25,1034,1067,2100,79,90,175,1130,1172,2301,7,15,26,1147,1199,2341,129,113,243,1281,1319,2606,18,16,34,1320,1380,2699,113,111,225,1455,1507,2959,11,16,28,1480,1514,2993,121,126,238,1616,1648,3263,13,14,24,1476,1407,2878,125,101,223,1612,1514,3128,27,19,44,3680,3559,7243,313,318,634,4021,3896,7920,295,298,593,17337,17174,34517,1564,1527,3092,19200,19003,38204
SOSR231,209,220,428,9600,9061,18662,772,780,1560,10584,10062,20650,266,242,510,12213,11348,23563,999,942,1939,13481,12526,26009,245,316,564,12846,12447,25296,1045,1028,2075,14141,13789,27936,244,234,482,12920,11700,24620,1026,923,1945,14188,12860,27043,179,125,300,9434,8006,17443,752,676,1433,10371,8809,19177,149,115,263,7885,7240,15125,660,570,1231,8691,7927,16619,137,108,251,8420,8597,17019,656,700,1357,9218,9407,18626,121,112,232,9585,9638,19223,773,762,1535,10487,10508,20990,158,126,285,12288,12525,24811,964,943,1905,13408,13589,26999,175,152,331,14573,14809,29382,1194,1153,2350,15946,16115,32063,166,130,298,15855,15672,31522,1300,1227,2533,17326,17036,34357,137,127,259,16705,15941,32653,1371,1310,2679,18211,17379,35594,92,103,198,16011,14736,30743,1391,1168,2560,17495,16001,33494,184,120,305,36714,31100,67810,3411,2957,6367,40309,34174,74487,2485,2226,4709,195058,182813,377878,16321,15151,31473,213864,200186,414055
