SOSR_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOSR201,78401,70128,148525,11279,13205,24481,297,112,408,22861,27936,50799,2633,1321,3946,663195,518882,1182076,31064,45279,76344,9881,196,10074,6578,736,7311,20796,8734,29531,6439,3383,9828,29640,31276,60916,883055,721186,1604242,10852,9416,20268,12,13,21,7813,8006,15818,14248,10578,24832,1970,3555,5530,2091,921,3010,36994,32488,69480,11,4,14,1150,1612,2766,687,655,1347,559,1038,1596,205,192,394,2607,3498,6109,8011,5620,13626,47612,41604,89219,8562,8798,17367,292,338,637,475,289,766,9330,9431,18762,33860,47037,80899,61343,108641,169986,9471,7692,17167,1044686,935589,1980273
SOSR203,1007,552,1559,494,567,1064,16,10,28,12,14,19,94,72,165,25421,22185,47609,1522,2007,3523,292,7,299,178,14,197,565,165,734,193,95,284,1005,1112,2124,30804,26798,57603,57,45,100,0,0,0,65,63,128,264,168,434,33,25,57,58,14,71,474,311,786,0,0,0,0,0,0,26,30,62,17,54,75,15,5,23,64,98,157,259,156,413,798,559,1357,174,150,326,11,4,19,18,5,26,204,164,369,954,1319,2278,2752,5112,7864,351,305,662,35868,34262,70130
SOSR211,926,807,1735,429,529,954,28,12,37,13,23,34,119,101,225,45693,39061,84755,2921,3358,6287,707,27,725,327,40,369,668,151,822,330,158,485,1599,1560,3156,53758,45828,99578,87,72,160,0,0,0,52,53,105,260,185,438,33,47,76,33,11,46,462,367,828,3,0,3,0,0,0,31,19,45,41,61,102,21,8,32,90,92,182,425,239,667,983,700,1681,166,173,342,13,11,24,27,4,29,206,193,395,1387,2130,3518,4592,8453,13039,621,521,1146,61541,57814,119360
SOSR212,510,495,1003,188,158,346,7,3,11,10,10,18,75,66,136,28567,24929,53501,2039,2388,4429,345,8,350,180,24,208,386,108,491,246,93,338,1089,1036,2118,33645,29315,62961,64,54,111,0,0,0,21,23,38,140,117,256,24,36,54,18,5,19,257,225,483,0,0,0,0,0,0,22,23,42,13,32,45,6,6,15,47,52,101,239,128,367,546,410,954,63,76,131,0,8,9,11,8,17,71,88,158,724,1329,2058,2842,4878,7723,415,348,758,38243,36368,74610
SOSR213,744,577,1318,286,256,542,19,12,27,19,16,31,104,75,173,40449,35049,75501,2489,2648,5141,605,11,618,216,28,246,612,199,812,377,140,514,1511,1644,3162,47436,40657,88093,58,38,95,0,0,0,26,29,57,323,170,498,32,35,68,33,3,38,480,277,753,0,0,0,0,0,0,21,30,58,14,38,53,9,11,14,51,78,129,393,179,576,923,535,1458,172,120,289,7,6,12,18,3,16,197,131,320,1428,2319,3748,4362,7681,12045,617,595,1212,54954,51919,106877
SOSR214,369,343,710,86,64,144,6,6,9,9,10,22,39,25,62,20004,16896,36899,1306,1294,2598,382,12,393,95,9,106,301,103,398,175,87,266,1078,1121,2194,23849,19960,43805,30,28,62,0,0,0,13,22,36,162,117,278,14,15,33,29,10,35,252,189,438,0,0,0,0,0,0,3,9,9,6,5,16,0,0,0,7,13,27,190,74,266,451,280,727,76,64,142,0,0,0,9,0,9,86,64,147,820,1353,2168,2411,4210,6617,365,337,697,27979,26199,54179
SOSR215,572,459,1035,210,132,343,13,3,16,11,15,30,31,16,52,33075,27124,60201,1876,1825,3703,822,16,841,173,16,185,408,163,571,296,148,442,1817,2049,3863,39300,31976,71282,41,51,88,0,0,0,32,33,60,250,202,455,21,52,70,21,7,29,367,336,706,0,0,0,0,0,0,17,8,28,16,20,36,7,3,9,37,36,71,330,136,460,735,504,1243,113,123,234,7,0,9,16,0,16,140,127,264,1590,2362,3952,4095,7029,11129,657,596,1257,46524,42594,89120
SOSR221,65,58,118,63,30,101,7,4,12,7,6,9,3,0,8,9154,7551,16708,441,454,894,279,7,280,48,3,51,70,30,97,123,49,175,460,511,972,10712,8702,19416,10,3,8,0,0,0,7,0,4,52,39,96,7,7,10,3,0,5,71,58,132,0,0,0,0,0,0,4,3,8,0,4,3,0,0,0,4,6,14,118,55,170,196,118,314,20,18,45,0,0,0,0,0,5,27,22,49,493,658,1150,1174,1901,3075,174,140,313,12780,11537,24320
SOSR222,45,39,85,48,43,91,6,0,6,0,8,13,5,0,3,5889,4787,10678,317,301,614,182,8,184,35,3,45,63,18,81,121,47,166,462,385,842,7175,5641,12815,0,0,3,0,0,0,3,0,7,28,17,46,4,8,12,0,0,0,36,31,71,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,3,3,6,49,25,70,92,54,146,15,11,23,0,0,3,4,0,3,19,9,32,373,469,842,738,1189,1920,118,122,243,8518,7484,16005
SOSR231,819,733,1552,405,247,651,23,12,37,37,41,73,58,40,98,67066,55640,122708,3239,3610,6855,2836,88,2928,960,189,1156,316,90,406,1295,465,1767,5238,2983,8224,82289,64152,146435,43,37,83,0,0,0,29,33,66,569,414,983,51,68,123,18,3,24,722,553,1274,0,0,0,3,0,3,29,32,56,20,27,49,13,0,17,66,60,119,706,282,986,1487,892,2380,215,202,414,13,9,20,86,10,91,309,222,525,14170,12071,26247,7904,12662,20568,1604,1451,3054,107756,91453,199216
