SOSR_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR201,54422,106694,259000,222561,207512,127239,25960,2193,419,1006001,63363,41036,72444,66533,58967,88913,131407,91446,46271,660386,5325,8775,21739,15496,13745,11900,10563,8814,6895,103244,123105,156508,353181,304594,280226,228049,167930,102445,53590,1769632,10574,83093,360370,309257,279755,162487,25919,1698,338,1233494,65139,97345,124158,124591,114071,86664,33284,4245,512,649999,2653,4754,18236,13405,8630,8563,2812,354,70,59484,2182,5022,10274,7326,6566,3991,1343,436,169,37293,80544,190212,513039,454577,409017,261707,63358,6727,1087,1980273,4017,11815,21527,15013,13448,8547,646,59,22,75092,19708,16406,11858,8651,6954,5467,1254,146,29,70475,23730,28223,33389,23666,20405,14015,1896,200,46,145571,104276,218437,546428,478239,429421,275719,65257,6931,1135,2125846,134862,79738,105455,90782,88112,139953,232375,162626,73745,1107654,10807,17945,43820,32118,28047,23502,19893,15614,10368,202125,249943,316127,695698,601145,545587,439174,317529,185177,85254,3435626
SOSR203,2634,4388,8046,7450,7656,5421,946,78,26,36638,2107,1198,2401,2141,2181,3814,6245,4446,2521,27051,229,347,594,492,563,538,525,502,444,4243,4969,5934,11039,10084,10403,9767,7721,5024,2996,67932,543,3537,10652,9217,9372,5935,772,65,10,40106,3085,3841,4316,4708,4552,4073,1278,143,20,26022,162,273,740,532,414,487,118,11,3,2737,126,195,290,227,201,146,43,19,14,1264,3919,7852,15990,14684,14539,10644,2213,240,48,70130,217,540,700,488,542,374,12,6,0,2879,666,493,366,299,228,232,40,9,0,2338,888,1036,1066,788,766,601,55,13,4,5211,4805,8881,17058,15472,15303,11245,2265,249,55,75345,4687,2349,3394,3079,3436,6194,11116,7656,3899,45814,467,701,1226,1000,1146,1028,1000,858,648,8071,9959,11931,21680,19552,19884,18465,14388,8763,4593,129222
SOSR211,4671,7299,13843,12673,12860,9336,1482,112,37,62318,3514,2196,4797,4103,3728,6715,10683,6617,3312,45656,485,622,1218,967,1004,1053,943,774,550,7626,8670,10117,19862,17743,17586,17108,13112,7502,3895,115597,1438,6705,18060,15861,16058,10521,1327,90,29,70089,5277,5577,7572,7781,7280,6621,1996,216,23,42339,269,469,1305,877,706,874,250,22,0,4777,210,356,442,391,354,277,87,34,7,2155,7202,13107,27376,24910,24401,18284,3661,362,65,119360,560,1124,1327,960,843,561,34,3,3,5401,1157,785,687,573,436,390,74,7,0,4102,1713,1907,2010,1537,1274,947,107,10,3,9509,8913,15013,29388,26441,25681,19237,3764,370,66,128867,7792,3817,6494,5860,5960,10846,19172,11729,5068,76734,958,1269,2451,1982,1999,2042,1822,1327,819,14661,17664,20098,38326,34284,33634,32117,24759,13422,5952,220263
SOSR212,3065,3994,8038,7914,8616,6122,1051,90,19,38904,2058,1101,2665,2262,2237,3874,6574,4588,2225,27586,324,377,793,653,708,746,756,645,484,5481,5441,5468,11499,10828,11557,10739,8380,5321,2739,71969,936,4183,10716,9672,10801,7227,1017,63,16,44625,3574,2688,4232,4864,4814,4083,1356,151,25,25777,159,244,747,482,478,556,147,21,7,2833,143,176,279,255,243,177,78,18,16,1380,4807,7287,15976,15268,16333,12038,2592,250,55,74610,376,623,803,566,510,344,17,4,0,3244,784,337,334,319,248,254,37,10,0,2331,1160,956,1139,890,760,603,55,11,3,5573,5960,8244,17116,16157,17089,12638,2654,260,61,80186,4533,1859,3672,3333,3582,6371,11778,8016,3511,46647,650,800,1599,1315,1472,1493,1431,1086,683,10521,11145,10899,22389,20807,22142,20504,15863,9362,4248,137351
SOSR213,4062,4950,10835,11553,12633,9321,1620,169,38,55188,2808,1359,3559,3312,3180,6517,11548,7873,4122,44281,386,459,869,862,983,1065,1095,1014,684,7423,7258,6773,15262,15728,16799,16904,14263,9051,4849,106887,1308,5299,14108,13877,15068,10245,1355,121,18,61396,4918,3502,5948,7547,7573,6941,2222,305,42,38993,253,272,1064,711,808,1003,262,36,7,4422,199,265,396,343,368,319,106,50,15,2062,6682,9334,21512,22474,23812,18509,3948,514,84,106877,431,814,829,790,765,595,30,4,3,4253,844,369,451,453,332,371,75,3,3,2901,1273,1187,1280,1246,1091,964,100,10,5,7156,7953,10519,22796,23719,24902,19469,4050,520,90,114026,6256,2275,4751,4679,5077,10533,20888,14005,6370,74827,773,942,1780,1793,1948,2052,2110,1714,1045,14164,14987,13737,29330,30191,31934,32056,27053,16238,7501,203020
SOSR214,1913,2192,4753,5655,6883,5193,1087,119,34,27829,1657,766,1715,1738,1815,4021,7860,5126,2666,27368,216,209,461,501,564,675,837,782,555,4793,3795,3164,6928,7888,9259,9885,9777,6026,3261,59991,720,2477,6002,6543,8067,5535,874,78,23,30329,2271,1624,2808,3662,4162,4093,1366,199,33,20218,157,171,512,414,450,583,194,31,3,2517,126,128,184,188,185,186,60,29,11,1112,3285,4402,9514,10811,12863,10393,2494,337,71,54179,241,365,419,389,419,322,11,0,3,2157,344,172,211,198,200,197,52,4,0,1382,583,538,628,587,620,517,62,10,3,3544,3868,4934,10139,11402,13482,10914,2562,348,74,57723,3735,1402,2557,2736,3147,6698,14315,9372,4231,48200,446,427,901,959,1180,1322,1596,1336,822,8981,8049,6762,13599,15094,17803,18934,18475,11053,5132,114902
SOSR215,2754,3599,8084,9256,10797,8465,1770,175,45,44943,2583,996,2784,2708,2860,6132,11096,7432,4109,40706,325,334,702,792,885,1100,1098,901,669,6814,5665,4929,11573,12757,14549,15700,13961,8507,4820,92460,1022,4075,10414,11214,12850,9199,1553,130,50,50515,3332,2575,4603,6044,6658,6537,2366,315,48,32489,164,240,887,736,737,1021,313,41,7,4141,187,228,338,339,382,320,111,52,17,1975,4705,7119,16247,18327,20624,17073,4345,547,125,89120,290,459,625,570,617,543,26,7,6,3149,520,214,280,294,314,330,74,13,4,2037,806,673,906,865,929,870,104,17,6,5192,5517,7799,17154,19190,21558,17949,4454,561,130,94308,5671,1676,3614,3816,4597,10119,20627,13528,6395,70044,643,714,1418,1532,1837,2190,2147,1669,1031,13177,11821,10185,22188,24539,27995,30257,27228,15760,7560,177528
SOSR221,736,842,1881,2501,3156,2541,530,42,17,12236,721,251,702,765,894,1916,3245,1831,772,11106,88,61,183,239,284,369,376,235,182,2022,1546,1161,2769,3503,4336,4824,4146,2111,972,25366,271,955,2479,2875,3672,2720,428,48,18,13464,884,579,1055,1729,2039,2036,708,82,18,9123,57,64,209,185,270,324,102,10,0,1224,41,47,78,93,105,82,33,19,7,506,1248,1644,3823,4881,6088,5166,1265,162,40,24320,93,151,166,158,196,202,7,0,0,974,130,54,79,95,93,120,26,0,0,588,223,209,242,256,289,315,36,0,0,1566,1469,1850,4065,5140,6380,5481,1301,158,40,25887,1569,409,931,1120,1517,3402,6437,3530,1276,20199,175,148,367,465,574,764,769,446,290,4004,3218,2410,5364,6731,8472,9647,8504,4133,1603,50085
SOSR222,442,552,1237,1565,2057,1710,279,35,16,7910,491,134,405,479,553,1223,1862,894,434,6477,79,65,144,184,213,225,204,123,51,1292,1012,751,1788,2236,2826,3161,2340,1052,502,15679,226,643,1552,1912,2469,1955,314,39,12,9126,515,376,755,1017,1240,1352,427,54,9,5734,33,40,135,113,180,204,51,7,0,765,26,39,77,56,81,61,16,13,4,372,805,1095,2514,3094,3971,3579,808,115,28,16005,46,81,115,94,145,129,0,0,0,614,83,35,40,61,59,78,12,0,0,359,125,114,157,157,201,210,12,0,0,974,932,1204,2670,3250,4174,3784,816,115,25,16973,1067,222,554,701,935,2138,3743,1751,717,11830,164,138,293,337,460,465,420,230,99,2603,2156,1563,3521,4284,5565,6392,4978,2095,847,31400
SOSR231,6258,6720,12311,17955,25404,20173,5530,902,147,95403,5819,1447,3783,4493,5401,10766,15441,6622,2296,56075,776,638,1243,1652,2340,2442,1974,941,322,12328,12860,8809,17334,24097,33153,33382,22945,8465,2766,163808,2846,8189,16597,22606,32522,25140,6805,1290,207,116196,7611,4795,6844,11556,15599,15252,6385,1277,217,69533,376,422,1326,1257,1762,2321,942,172,42,8622,497,452,588,710,979,848,494,226,56,4861,11331,13855,25363,36129,50857,43557,14633,2963,520,199216,465,728,821,775,1059,1028,55,10,3,4945,1037,373,395,463,545,670,130,8,8,3619,1507,1102,1215,1239,1600,1691,183,15,10,8566,12839,14959,26581,37367,52458,45249,14816,2981,523,207778,12525,2884,6137,7257,9152,18692,31251,13883,4110,105890,1682,1336,2530,3370,4809,5146,4276,2007,632,25788,27043,19177,35251,47992,66424,69088,50347,18869,5266,339459
