SOSR_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR201,1561466,1632986,3194450,46599,47890,94486,8035,7960,15999,188905,194773,383685,5871,6015,11884,2667,2620,5282,3612,3416,7027,1017,1136,2152,802,798,1604,1117,1238,2350,36,20,61,212072,217978,430047,49424,55602,105022,3677,3300,6977,311766,324761,636531,156371,157209,313582,2029600,2114956,4144555
SOSR203,57098,61373,118467,2578,2844,5427,232,265,498,7092,7848,14942,226,243,469,88,105,193,115,107,220,32,56,83,51,45,101,37,44,84,0,0,0,7880,8708,16592,955,870,1818,140,142,288,11555,12568,24118,6075,6600,12677,74727,80538,155264
SOSR211,99710,106450,206163,4590,5074,9663,865,928,1794,12423,13848,26267,532,529,1060,211,241,454,194,195,395,100,115,212,92,96,187,62,58,121,0,0,0,14484,16011,30492,843,1033,1875,264,210,476,20176,22331,42511,11289,12038,23332,131181,140820,271998
SOSR212,62310,66640,128946,3763,4181,7941,378,421,794,5329,5830,11159,277,277,550,188,191,379,120,116,239,46,56,98,55,66,123,16,16,35,0,0,0,6398,6974,13374,802,768,1568,179,177,351,11140,12103,23245,7709,8185,15899,81160,86928,168086
SOSR213,92628,99400,192027,7318,8382,15702,493,560,1054,6869,7658,14523,356,375,733,136,165,299,205,190,396,53,62,112,80,91,167,32,40,77,0,0,0,8231,9137,17369,482,590,1070,253,235,485,16287,18347,34628,10301,11094,21396,119215,128839,248049
SOSR214,51192,54962,106147,3916,4340,8254,307,344,646,3594,3970,7562,220,215,435,98,83,177,101,85,183,21,39,53,50,35,85,20,20,36,0,0,0,4406,4785,9193,322,326,651,120,99,222,8769,9554,18322,6494,6434,12927,66452,70947,137399
SOSR215,82476,86795,169266,5011,5657,10673,434,453,887,6038,6759,12795,291,319,615,111,95,214,137,171,310,38,51,93,74,81,162,23,33,55,0,0,0,7150,7970,15120,415,448,860,194,189,383,12771,14263,27040,8860,9411,18274,104107,110467,214577
SOSR221,23878,24055,47934,1049,1075,2121,96,119,221,1881,1881,3762,84,81,163,45,31,77,34,33,70,23,13,36,18,22,38,11,4,14,3,0,3,2191,2193,4380,84,101,184,54,70,117,3370,3430,6806,2663,2646,5305,29915,30127,60042
SOSR222,15199,14979,30178,541,598,1141,78,87,163,1081,1068,2150,66,62,129,30,24,52,20,30,55,8,6,19,15,15,37,6,0,9,3,0,4,1312,1292,2601,77,96,176,33,42,76,1967,2033,4004,1842,1799,3646,19015,18814,37826
SOSR231,170988,161640,332625,4696,4725,9422,823,761,1584,11713,11970,23682,657,533,1190,215,200,416,244,247,495,88,75,164,181,162,346,62,36,98,3,0,3,13988,13980,27966,711,758,1471,294,299,591,19687,19760,39452,21333,16991,38319,212004,198388,410393
SOSR279,13,0,12,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,12,0,11,3,0,3,28,4,29
SOSR299,810,544,1354,300,188,486,94,89,185,1046,961,2005,103,111,216,28,24,54,57,42,106,16,15,31,10,15,28,5,11,18,0,3,3,1368,1270,2645,331,340,666,94,64,159,2095,1859,3954,1374,795,2164,4279,3200,7480
