SOSR_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
SOSR201,78163,12769,16613,19248,19629,19356,11057,5849,238232,24,26,48,7,8,14,12,10,12,557,723,45028,36823,91780,17037,21306,23636,23754,23385,13398,8282,304436,31607,12105,11794,2416,2202,1722,1429,1353,645,1588,66848,45747,34516,43198,5721,6331,5721,4970,4716,2401,2308,155640,3712,3580,5949,1244,1654,2070,1591,1575,996,868,23229,331,250,294,23,39,58,33,25,17,75,1138,49789,38344,49441,6987,8024,7846,6594,6322,3412,3246,180011,44,32,27,3,10,9,5,4,3,300,442,81444,50480,61263,9405,10237,9574,8029,7676,4063,5138,247300,52713,8256,6275,1048,957,673,589,489,284,1636,72922,67376,14683,13239,1806,1791,1550,1245,1087,570,1974,105304,12506,3716,4968,1058,1293,1485,1228,1228,872,1483,29828,544,124,96,12,18,14,17,9,5,84,927,80418,18518,18306,2879,3104,3049,2482,2327,1442,3538,136061,73,16,21,0,0,7,0,4,3,220,339,133204,26795,24602,3928,4063,3724,3075,2814,1731,5390,209320,58722,2872,1683,320,282,259,223,189,106,1484,66140,70463,4491,2628,467
SOSR203,1104,192,240,299,253,298,181,71,3075,0,0,3,0,0,0,0,0,0,5,6,592,339,1346,249,310,358,315,358,219,134,4223,664,255,245,60,32,44,25,23,10,38,1398,359,283,601,84,107,87,60,59,34,31,1703,15,23,77,18,24,38,23,24,19,13,280,7,0,8,0,0,0,0,0,0,0,13,378,308,685,104,138,125,81,90,54,43,2002,0,0,0,0,0,0,0,0,0,7,11,1042,560,929,162,171,169,106,113,60,91,3409,1452,174,187,25,8,15,17,11,4,36,1934,695,185,216,24,27,23,23,16,18,28,1253,90,22,56,11,25,31,19,20,9,14,289,11,0,3,0,0,0,0,0,0,3,19,798,211,270,30,51,51,37,34,24,46,1554,3,0,0,0,0,0,0,0,0,3,3,2251,383,465,58,57,71,50,43,32,85,3491,2132,67,60,10,5,3,3,7,0,56,2347,1024,52,28,3
SOSR211,1645,244,271,280,248,242,141,74,3889,0,0,0,0,0,0,0,0,0,7,6,792,610,1918,309,354,353,303,317,171,131,5256,931,322,304,57,55,50,31,26,9,61,1849,523,659,1104,134,136,111,96,93,49,57,2968,25,43,129,31,29,28,33,29,14,10,370,9,9,9,0,0,0,0,0,0,0,25,560,711,1242,169,163,142,125,121,64,71,3364,0,0,0,3,0,0,0,0,0,0,4,1495,1031,1554,224,217,192,159,146,77,130,5220,1909,203,195,25,36,16,17,16,7,91,2512,742,338,364,38,41,32,30,31,12,32,1658,70,55,105,19,15,31,12,19,16,11,362,10,4,9,0,5,0,0,0,0,0,24,816,391,475,59,60,67,42,52,34,47,2040,3,3,0,0,0,0,0,0,0,5,9,2727,595,670,85,97,82,60,62,42,143,4563,2574,79,82,6,13,16,7,4,6,96,2880,975,114,85,5
SOSR212,971,136,229,221,278,326,192,164,3009,0,0,0,0,0,0,0,0,3,0,8,497,393,1160,202,276,260,325,375,224,195,3910,525,182,161,57,36,24,40,27,10,32,1090,308,363,640,90,87,96,81,62,39,32,1797,61,62,119,28,30,62,33,29,22,16,454,5,3,8,0,0,0,0,0,0,0,25,373,422,767,117,119,157,120,89,62,54,2276,0,0,0,0,0,0,0,0,0,0,3,899,600,929,176,153,189,158,111,71,82,3373,1258,166,122,27,28,27,11,19,6,48,1721,593,208,250,38,31,28,31,23,12,23,1228,103,66,92,24,34,29,10,17,8,13,401,7,3,3,0,0,0,0,0,0,0,12,696,279,348,63,63,56,40,34,18,34,1649,4,0,0,0,0,0,0,0,0,0,5,1957,446,474,97,96,86,52,50,26,81,3373,1639,73,54,9,7,5,3,5,3,70,1873,588,69,43,4
SOSR213,724,121,127,145,168,158,56,64,1841,0,0,0,3,0,0,0,0,0,0,8,513,324,999,178,199,199,213,177,78,114,2986,930,332,347,71,50,52,39,31,15,68,1938,252,256,553,58,66,72,57,44,19,48,1420,7,23,45,4,20,6,9,5,3,9,131,0,3,3,0,0,0,0,0,0,0,14,263,283,601,68,84,78,60,52,20,55,1564,3,0,0,0,0,0,0,0,0,3,14,1194,621,950,135,135,134,98,81,35,125,3515,1953,234,239,36,39,23,22,9,6,87,2659,414,165,176,30,27,23,12,10,4,32,900,34,21,53,14,10,9,9,13,3,4,186,4,0,0,0,0,0,0,0,0,0,4,452,192,229,48,41,31,27,24,10,42,1086,4,0,0,0,0,0,0,0,0,3,6,2415,425,469,86,76,51,45,32,14,129,3754,3059,116,71,9,10,20,3,9,6,95,3401,701,47,55,7
SOSR214,356,57,79,77,102,98,44,42,969,0,0,0,0,0,0,0,0,0,73,77,211,127,472,86,112,110,126,111,58,147,1550,436,149,176,33,23,21,15,18,3,41,908,127,123,250,45,44,35,25,20,5,17,683,10,8,15,3,9,8,0,3,4,0,67,0,0,0,0,0,0,0,0,0,0,8,138,140,268,49,57,43,27,25,12,13,761,0,0,0,0,0,0,0,0,0,45,50,570,292,445,83,80,62,38,38,11,100,1714,1131,129,109,15,12,8,8,3,6,52,1482,250,64,82,23,11,7,6,3,3,12,459,23,14,9,4,3,3,8,8,3,11,92,4,3,0,0,0,0,0,0,0,0,6,276,76,91,27,16,12,11,12,9,22,553,7,0,0,0,0,0,0,0,0,47,55,1410,207,202,46,25,20,26,19,15,125,2093,1753,51,44,6,11,3,4,8,3,74,1958,322,16,12,3
SOSR215,445,64,99,118,108,113,83,51,1268,0,0,0,0,0,0,0,0,0,3,5,402,209,642,107,147,156,151,151,105,94,2159,835,298,205,46,37,18,23,8,11,76,1556,208,197,340,38,48,45,24,31,15,25,974,12,18,33,9,9,7,11,10,4,16,122,0,3,4,0,0,0,3,0,0,0,14,221,215,379,46,62,54,37,37,18,43,1108,3,0,0,0,0,0,0,0,0,0,9,1063,514,585,92,96,77,55,46,28,114,2677,2052,233,163,29,24,10,12,0,5,100,2628,386,92,118,11,14,13,9,9,4,31,685,50,4,35,4,0,0,5,3,5,10,109,3,0,0,0,0,0,0,0,0,0,10,434,96,152,21,20,17,10,14,5,40,805,4,0,4,0,0,0,0,0,0,3,8,2491,327,319,43,40,30,26,17,16,140,3446,2971,106,51,9,9,9,9,5,3,126,3299,552,35,30,3
SOSR221,51,7,9,24,24,18,3,11,176,0,0,0,0,0,0,0,0,0,0,3,97,33,101,27,17,36,32,24,9,19,394,239,57,43,5,3,4,7,5,3,14,390,45,24,59,6,7,9,3,3,3,4,163,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,45,21,58,10,7,14,5,3,4,4,173,0,0,0,0,0,0,0,0,0,0,0,286,85,105,20,12,22,10,9,12,19,567,616,64,49,11,3,6,3,0,0,40,800,95,21,20,3,6,6,3,0,0,6,158,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,97,24,21,3,6,6,3,0,4,4,168,3,0,0,0,0,0,0,0,0,0,5,723,87,74,10,13,10,6,5,4,47,974,1098,36,24,3,3,0,0,0,3,57,1223,175,8,10,0
SOSR222,39,12,8,16,28,27,17,23,183,0,0,0,0,0,0,0,0,0,0,0,55,25,66,15,13,17,31,30,25,27,312,167,40,36,11,3,3,3,3,0,15,287,29,19,43,5,11,12,11,3,3,3,131,0,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,32,20,43,5,12,11,11,3,3,9,145,0,0,0,0,0,0,0,0,0,0,0,196,62,84,19,19,12,9,5,5,24,433,387,48,13,3,3,5,3,0,3,26,493,68,9,22,0,4,4,0,3,4,0,110,3,0,0,0,3,0,3,0,0,3,12,3,0,0,0,0,0,0,0,0,0,3,74,9,19,0,4,9,5,4,3,3,122,0,0,0,0,0,0,0,0,0,0,0,461,52,36,3,6,13,5,4,3,32,623,675,16,13,3,0,3,0,0,0,29,739,90,4,3,0
SOSR231,644,106,129,122,136,145,80,100,1823,0,0,3,0,0,0,0,0,0,224,229,609,354,993,183,205,198,191,190,105,377,3400,1513,494,418,76,43,52,28,34,10,110,2784,406,325,476,86,69,50,47,50,33,49,1586,22,15,30,3,11,3,7,9,7,15,112,3,0,8,0,0,0,0,0,0,0,15,429,337,512,90,77,50,53,52,39,69,1711,4,0,0,0,0,0,0,3,0,225,235,1952,830,934,164,125,102,78,94,48,403,4727,4394,562,394,40,47,27,29,24,5,242,5766,851,164,210,37,25,22,24,20,14,64,1428,37,11,28,6,9,12,3,18,9,22,148,9,3,0,0,0,0,0,0,0,0,15,896,184,235,41,30,28,26,40,25,85,1589,11,0,0,0,0,0,0,0,0,150,160,5299,746,630,80,74,57,52,67,34,474,7510,6552,254,153,25,12,16,18,12,10,254,7300,1479,69,40,9
