SOSR_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SOSR201,21219,837,228,1066,22284,4593,82,26964,135,28,3,124,284,4,0,5,292,38,247,569,81342,10899,1132,1686,95059,2645,636,3282,98338,7870,451,106667,16188,1892,159,123,18365,468,94,564,18925,1030,28,19985,21561,2699,242,197,24701,378,90,469,25163,893,26,26080,476,74,114,3,670,18,3,17,684,40,0,721,281,53,3,297,630,24,5,27,656,45,19,720,38507,4712,516,615,44358,888,193,1077,45435,2004,70,47512,534,101,12,19,662,152,17,173,839,83,0,919,956,176,9,26,1167,125,58,183,1347,92,0,1440,1492,282,17,41,1826,279,74,354,2184,178,0,2361,39998,4994,535,657,46182,1166,267,1433,47621,2179,76,49872,9511,1779,145,288,11728,456,140,592,12323,2937,52,15306,70,15,0,48,137,7,0,4,144,25,166,329,49585,6792,684,991,58044,1625,405,2032,60082,5142,289,65513,23779,2706,273,182,26940,687,152,843,27781,1636,29,29446,28109,3674,349,277,32412,546,111,660,33073,1457,38,34571
SOSR203,583,23,7,26,615,132,3,747,3,0,0,4,5,0,0,0,5,0,10,19,2720,313,48,45,3128,73,26,101,3229,232,19,3483,482,61,13,0,556,20,4,24,577,32,0,606,878,72,4,3,959,10,3,9,969,43,0,1015,18,3,3,0,31,0,0,0,31,3,0,32,10,4,0,6,18,0,0,0,18,0,0,18,1385,141,24,13,1564,30,5,34,1598,72,0,1672,21,9,0,0,26,3,0,3,34,0,0,33,38,0,0,0,37,3,4,7,47,0,0,48,54,11,0,3,62,12,4,11,76,3,0,83,1442,152,24,13,1630,41,7,48,1672,78,0,1751,297,49,5,6,362,13,6,21,387,92,0,475,3,0,0,0,3,0,0,0,3,0,7,12,1745,200,31,27,1995,53,10,70,2062,165,11,2235,743,65,12,4,826,15,0,15,838,36,3,878,1109,115,13,14,1255,18,0,18,1273,68,0,1342
SOSR211,1244,65,12,79,1320,330,8,1659,3,0,0,0,4,0,0,0,3,0,18,23,4915,638,100,98,5753,153,42,193,5946,549,32,6525,1019,111,17,8,1155,18,7,19,1172,46,5,1223,1392,151,20,21,1589,24,9,40,1622,64,0,1686,49,7,7,0,59,3,0,3,63,0,0,61,17,0,0,17,31,0,0,0,33,0,0,37,2470,274,45,46,2828,47,14,63,2890,107,4,3005,25,3,0,0,34,8,0,8,40,3,0,46,57,4,0,3,66,0,7,7,73,8,0,84,85,6,4,3,102,8,7,14,113,14,0,127,2552,285,51,44,2929,53,22,78,3007,125,4,3132,518,96,15,15,635,28,12,38,676,203,7,889,3,0,0,0,3,0,0,0,5,0,9,17,3072,372,66,65,3571,84,36,118,3689,332,23,4043,1454,147,19,15,1635,22,9,34,1671,89,5,1763,1851,214,26,12,2106,18,4,31,2133,107,0,2242
SOSR212,659,44,9,48,703,237,4,949,7,0,0,3,8,0,0,0,8,0,13,22,3174,342,64,59,3641,110,23,135,3775,368,17,4157,677,65,4,6,755,26,3,27,780,38,0,823,946,79,26,14,1064,20,3,21,1088,43,0,1128,28,9,3,0,39,0,0,0,44,0,0,46,5,3,0,4,14,0,0,0,14,0,0,10,1650,157,36,35,1876,40,4,46,1921,83,0,2011,29,4,0,0,33,13,0,13,39,4,0,45,39,5,0,0,40,10,0,11,52,3,0,52,61,6,0,0,71,17,0,23,93,5,0,98,1716,164,33,35,1948,58,4,68,2013,92,3,2106,303,42,7,11,360,22,9,29,391,142,0,530,3,0,0,4,6,0,0,0,6,0,10,18,2020,204,48,49,2314,86,14,100,2411,233,8,2654,991,112,16,6,1125,32,3,36,1165,67,0,1227,1333,136,37,13,1511,25,3,30,1538,71,0,1605
SOSR213,974,29,3,33,1010,204,0,1212,3,0,0,4,10,0,0,0,10,0,15,27,4726,516,96,96,5434,114,16,128,5568,402,24,5994,930,86,15,7,1036,15,3,19,1060,49,7,1111,1552,161,13,16,1747,30,5,34,1777,57,0,1838,40,0,7,0,47,4,0,8,56,3,0,60,10,3,0,23,36,0,0,0,36,0,0,38,2532,251,31,52,2866,48,12,62,2928,113,4,3046,38,14,0,0,51,3,0,3,59,3,0,58,39,3,0,0,46,0,3,8,50,5,0,58,83,18,0,0,98,12,3,10,112,4,0,115,2615,271,31,52,2965,58,12,72,3040,118,4,3163,465,55,13,11,547,16,3,22,569,126,0,696,6,0,0,6,7,0,0,0,7,0,7,17,3081,325,43,64,3519,76,19,95,3610,245,18,3878,1387,142,24,8,1561,23,3,27,1588,71,5,1662,1928,209,35,26,2191,26,7,39,2227,80,0,2304
SOSR214,475,23,3,28,504,98,3,601,0,0,0,0,0,0,0,0,0,0,7,14,2415,314,66,47,2843,73,27,98,2940,200,15,3158,482,58,4,8,552,3,8,7,562,37,0,605,680,78,16,7,784,16,6,18,802,40,3,844,25,6,8,0,44,0,0,0,45,0,0,50,10,3,0,10,20,0,0,0,20,0,0,23,1203,143,32,23,1404,20,7,26,1429,80,5,1517,12,3,0,0,17,4,0,4,20,0,0,20,23,5,0,0,30,0,0,0,29,0,0,30,39,7,0,0,44,4,0,3,50,0,0,51,1236,151,36,25,1448,23,9,34,1483,86,5,1570,224,49,15,7,290,16,0,22,310,74,3,384,0,0,0,0,0,0,0,0,0,0,7,6,1460,199,49,36,1739,41,9,55,1791,156,19,1959,678,93,4,6,776,14,3,14,794,39,0,829,881,140,27,12,1057,14,0,14,1076,60,9,1144
SOSR215,945,31,11,42,985,162,8,1151,10,5,0,3,17,0,0,0,17,0,8,25,4017,536,120,99,4774,100,22,122,4893,342,25,5255,763,91,18,9,878,14,0,12,894,53,0,947,1107,158,27,13,1299,8,3,7,1304,61,5,1372,44,12,4,0,61,0,0,0,61,3,0,60,15,0,0,23,31,0,0,0,31,0,0,35,1918,255,51,43,2270,17,3,24,2287,115,3,2412,17,3,0,0,23,8,0,8,30,9,0,32,37,3,0,0,36,0,5,7,49,3,0,52,53,6,3,0,64,10,5,13,71,6,0,81,1973,258,57,43,2333,24,10,34,2365,126,3,2495,455,57,12,19,544,20,3,18,569,118,4,683,6,3,0,0,10,0,0,0,10,0,4,13,2438,316,66,67,2885,40,10,51,2941,243,17,3200,1105,114,25,8,1251,25,3,30,1282,64,4,1352,1485,196,38,19,1728,25,5,28,1757,77,5,1834
SOSR221,234,9,0,15,244,49,4,304,0,0,0,0,5,0,0,0,5,0,3,10,1112,182,32,36,1358,43,6,48,1403,112,10,1523,196,24,4,0,226,0,0,0,223,14,3,245,360,54,11,3,432,0,0,0,433,19,0,452,14,3,0,0,20,0,0,0,16,0,0,16,0,0,0,10,14,0,0,0,14,0,0,14,576,81,11,16,679,7,0,5,689,39,3,724,5,3,0,0,6,3,0,3,9,0,0,9,9,3,0,0,12,0,0,0,11,0,0,11,11,6,0,0,23,0,0,3,25,0,0,25,587,85,11,16,702,8,4,9,712,39,3,746,94,14,7,10,129,0,0,5,127,37,0,165,0,0,0,0,3,0,0,0,3,0,0,4,683,102,20,20,829,12,3,13,843,71,3,921,277,31,5,0,317,5,0,5,315,15,0,332,463,59,16,3,539,8,0,3,549,24,0,579
SOSR222,169,0,0,0,171,32,0,204,3,0,0,0,3,0,0,0,3,0,8,5,712,117,20,10,861,8,4,13,873,70,4,953,170,22,3,0,191,0,0,0,193,5,0,201,197,38,7,0,241,0,0,3,239,5,0,250,16,0,3,0,17,0,0,0,18,0,0,18,4,0,0,0,3,0,0,0,3,3,0,9,386,55,17,3,453,3,0,3,460,19,0,474,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,3,5,0,0,0,5,0,0,0,8,0,0,9,388,55,17,3,460,8,0,4,466,17,0,481,67,8,7,0,85,8,0,8,86,23,0,117,3,0,0,0,3,0,0,0,3,0,3,5,458,61,18,8,549,14,0,13,555,44,3,602,226,24,6,0,257,0,0,0,264,4,0,270,251,54,14,3,316,0,0,0,314,26,0,343
SOSR231,1977,48,15,59,2042,325,6,2376,31,4,5,9,47,0,0,0,47,3,28,77,10171,1207,235,265,11878,143,37,180,12052,696,61,12813,2248,222,28,16,2504,17,3,22,2533,108,3,2641,3225,401,49,43,3717,36,12,46,3759,145,3,3902,78,12,28,0,120,0,0,0,124,8,0,130,37,7,3,56,98,0,0,0,98,3,3,106,5588,640,98,113,6442,59,12,68,6512,262,12,6788,23,10,0,3,36,12,0,12,45,8,0,50,83,13,0,0,94,6,4,13,106,8,0,114,104,15,0,3,132,16,4,17,151,15,0,164,5700,657,100,118,6571,76,12,91,6661,277,12,6950,931,136,35,37,1146,21,6,35,1175,233,5,1415,22,6,0,3,32,0,0,0,34,0,20,57,6655,795,136,160,7747,100,21,125,7874,518,33,8422,3319,301,57,24,3693,33,9,41,3737,154,9,3898,4283,572,74,60,4996,43,11,53,5046,176,9,5231
