SOSR_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOSR201,37856,96395,270451,244656,211767,140286,37966,4617,699,1044686,81,298,778,782,866,516,175,38,9,3531,3,26,266,379,234,108,14,3,0,1035,1896,2749,9341,11183,11869,6903,1206,99,7,45256,31,334,2168,1883,1188,498,68,3,0,6173,219,1295,5040,5161,4793,2449,551,45,7,19566,431,1942,6557,6923,6483,3330,624,42,9,26348,13552,21833,25104,18026,18487,11247,2346,184,12,110789,15653,14906,15253,7895,7039,3877,679,70,10,65380,228,1563,5644,5824,5795,3225,500,31,7,22807,618,1600,5373,4433,3048,1404,239,7,5,16736,200,2655,14267,12757,8875,4043,729,52,24,43599,336,1816,5192,3844,3233,1804,564,69,20,16871,575,6350,26507,21202,15255,7902,2142,172,21,80130,406,3041,9904,8024,7865,4957,1145,103,12,35458,272,2042,11437,13152,12594,7656,1424,118,16,48716,2252,7467,27874,27468,29240,20461,3727,239,46,118773,1683,13476,48580,42070,42596,30911,6437,383,50,186197,1893,3136,4940,3692,2961,1591,491,46,17,18765,1012,3679,9090,7154,6847,3838,909,64,5,32605
SOSR203,1745,3895,8433,7629,7230,5459,1287,169,26,35868,7,11,32,32,38,27,13,4,0,163,0,3,7,7,0,7,0,0,0,18,103,131,217,217,250,197,31,0,0,1151,3,41,88,69,41,16,0,0,0,268,9,41,128,162,154,85,22,3,0,595,16,60,101,111,96,68,9,0,0,462,675,932,1068,817,846,593,84,3,3,5010,931,756,496,334,302,210,39,3,0,3070,8,40,95,94,132,85,12,4,0,475,34,51,87,67,46,43,11,0,0,342,4,77,365,320,265,99,13,3,3,1149,5,64,135,95,74,61,15,5,0,455,20,137,435,446,349,221,49,3,0,1663,13,85,214,267,319,208,48,3,0,1157,12,106,459,533,529,361,71,0,0,2076,69,296,1063,1135,1203,884,123,5,0,4773,88,746,2002,1820,2170,1679,284,12,0,8799,67,89,103,92,87,50,26,0,0,503,49,174,291,236,220,151,37,7,0,1167
SOSR211,3339,6638,14482,13036,12190,9355,2212,252,30,61541,14,29,60,83,78,60,24,6,0,360,0,11,21,29,39,18,3,0,0,124,208,285,530,529,571,388,55,3,0,2572,0,16,86,89,78,50,3,0,0,314,22,98,261,312,279,174,18,0,0,1165,32,58,160,154,167,103,19,3,0,683,1173,1408,1565,1258,1420,963,168,10,6,7967,1556,1116,875,602,546,360,60,3,3,5122,21,104,285,255,319,248,42,4,3,1277,41,90,206,153,110,62,13,0,0,677,12,146,534,494,396,227,28,3,0,1837,25,94,178,133,159,101,15,0,0,711,52,226,692,608,493,287,68,3,0,2439,37,154,400,407,462,377,54,6,0,1900,29,187,787,940,926,676,111,8,3,3677,120,509,1736,1842,1883,1360,189,3,3,7648,193,1290,3513,3131,3443,2882,390,21,10,14874,108,168,197,162,158,107,30,0,0,936,108,300,514,344,359,255,55,0,0,1943
SOSR212,2277,3697,8433,7823,8084,6165,1566,162,39,38243,16,48,133,113,110,86,42,7,3,557,0,0,5,8,9,3,3,0,0,35,90,99,291,285,353,222,24,3,0,1377,8,24,79,90,96,49,0,0,0,353,17,39,158,144,174,99,13,3,0,658,18,61,130,110,127,78,15,0,0,530,893,744,937,844,1043,706,109,6,0,5289,949,542,487,385,398,272,72,3,0,3111,13,77,173,183,268,154,35,0,0,904,31,62,84,70,75,41,5,0,0,370,8,84,218,258,220,111,12,3,0,923,15,40,108,139,118,51,23,0,0,493,36,159,400,344,347,185,51,11,0,1527,19,103,283,273,362,239,60,5,0,1357,22,142,502,662,643,448,84,7,0,2512,86,287,927,1110,1228,895,113,6,0,4639,111,747,2017,1858,2130,1839,259,12,3,8971,62,73,89,92,67,45,14,4,0,449,58,164,310,271,268,173,33,3,4,1283
SOSR213,3237,4858,11275,11551,11711,9576,2361,347,42,54954,25,76,149,140,133,116,56,12,3,706,0,0,17,11,17,8,3,0,0,57,176,196,394,423,461,334,44,8,0,2042,3,21,79,78,80,28,0,0,0,288,23,58,206,253,274,166,29,4,0,1010,38,69,134,165,179,117,13,3,0,719,1089,875,1274,1293,1431,1029,144,19,3,7150,1345,786,757,640,680,459,91,7,6,4761,19,71,131,209,266,194,29,3,0,928,35,59,120,122,106,45,10,0,0,502,16,98,370,356,311,166,24,0,0,1340,21,87,179,171,160,96,30,6,0,747,50,154,522,606,514,351,76,9,0,2283,29,99,282,441,488,305,88,16,0,1748,29,150,696,906,987,643,105,3,3,3521,112,327,1462,1668,1898,1381,205,17,3,7065,151,879,2616,2633,3271,2862,426,19,4,12867,96,91,138,154,118,99,29,4,0,724,94,257,487,391,404,261,81,6,0,1984
SOSR214,1659,2430,5042,5456,6286,5406,1435,226,43,27979,14,26,59,88,109,65,42,17,0,423,0,0,13,9,12,7,0,0,0,39,139,144,258,328,384,245,47,0,0,1541,0,6,27,28,25,15,0,0,0,104,8,29,110,121,137,81,17,8,0,508,14,16,67,79,82,70,8,0,0,334,518,377,533,599,793,540,131,11,0,3509,576,351,405,376,457,324,63,7,3,2557,13,34,79,99,139,116,22,0,0,501,10,16,38,58,44,47,15,0,0,232,3,39,131,165,155,86,9,4,0,595,14,23,62,82,76,60,11,6,0,335,21,66,209,287,261,190,59,0,0,1099,16,44,140,189,233,197,51,11,3,874,6,68,280,406,483,334,72,6,0,1668,33,122,580,801,941,690,118,3,0,3299,77,365,1062,1212,1738,1529,270,14,6,6282,31,53,78,91,104,69,20,0,0,450,46,105,214,173,191,154,33,3,3,930
SOSR215,2347,3788,8552,9499,10287,8967,2618,380,88,46524,34,93,171,198,172,174,93,31,0,964,0,6,15,12,16,14,0,0,0,61,164,155,348,428,510,370,73,3,0,2047,5,9,51,74,70,36,0,0,0,251,16,52,204,263,220,138,41,3,0,928,11,45,124,141,187,82,17,0,0,606,839,616,890,995,1238,954,174,7,6,5716,804,582,663,655,718,515,118,9,3,4074,10,43,169,190,261,213,47,4,4,942,15,35,57,71,87,65,23,3,0,354,11,67,236,267,246,139,27,0,0,991,18,60,138,132,145,79,26,3,0,612,23,101,422,469,450,297,103,3,3,1879,16,87,236,320,422,298,87,7,5,1472,19,104,477,614,720,539,87,9,3,2573,49,278,1087,1343,1449,1210,201,10,0,5644,113,621,1755,1875,2633,2397,396,21,7,9820,41,63,109,176,168,103,43,0,0,705,67,208,342,323,293,213,66,3,0,1509
SOSR221,617,881,2066,2507,3061,2752,757,114,24,12780,9,35,59,57,70,72,38,8,0,343,0,3,5,7,3,0,0,0,0,16,42,41,79,99,134,96,14,0,0,516,0,7,14,20,10,8,0,0,0,56,3,11,41,73,76,42,11,4,0,244,0,7,13,30,61,35,11,0,0,153,229,156,193,258,364,260,48,3,0,1510,227,125,129,173,198,160,36,3,0,1053,3,8,36,51,84,64,23,0,0,269,3,5,20,23,22,17,7,0,0,88,3,16,46,69,68,32,7,0,0,237,8,10,23,35,33,25,14,0,0,142,6,22,82,121,110,95,30,4,0,471,7,14,71,68,103,78,14,3,0,368,3,26,126,191,240,152,30,3,0,771,11,73,271,360,450,359,49,8,0,1584,27,138,384,526,775,741,131,3,7,2740,12,22,39,45,54,43,9,0,0,225,14,46,84,93,74,52,23,0,0,384
SOSR222,427,587,1344,1594,2005,1942,533,74,14,8518,16,19,36,61,60,46,19,6,3,271,0,0,5,0,3,3,0,0,0,12,19,32,48,70,82,61,6,0,0,324,0,6,7,7,6,7,0,0,0,37,0,8,30,48,49,27,4,3,0,171,8,4,20,21,27,23,3,0,0,105,113,62,136,166,224,171,25,3,0,901,126,100,146,129,145,128,36,4,0,805,4,9,25,41,64,53,16,0,0,212,3,6,13,16,15,3,0,0,0,65,0,8,18,29,36,20,0,0,0,127,3,12,18,22,25,18,9,0,0,109,6,8,53,72,78,70,13,0,0,309,4,19,51,55,88,62,18,3,0,295,3,17,74,93,118,113,16,3,0,439,17,55,141,216,306,242,28,3,3,1013,21,76,233,315,489,472,55,0,0,1667,10,11,24,34,30,26,5,3,0,142,8,24,45,47,45,19,3,0,0,199
SOSR231,5774,7645,13626,18833,26225,24072,9145,2068,375,107756,256,409,1120,1727,2531,2901,2046,580,66,11647,3,6,35,55,50,39,7,0,0,198,347,285,461,825,1164,845,183,11,3,4138,4,20,109,146,159,97,14,0,0,554,44,106,357,629,757,470,91,11,3,2473,63,123,230,340,461,275,68,11,0,1566,1671,1057,1121,1416,2204,1530,311,25,7,9342,1803,898,596,772,1062,794,199,14,4,6146,37,100,253,408,639,430,118,9,6,1997,52,55,97,149,163,130,25,0,0,673,25,112,357,394,554,267,63,5,3,1782,36,110,227,228,270,199,59,3,3,1136,90,288,743,1168,1340,853,240,20,3,4738,65,152,337,577,844,695,159,14,7,2839,50,212,712,1231,1615,1015,170,4,4,5012,213,474,1421,2321,3369,2663,416,23,10,10897,234,1055,2507,3478,5532,4857,743,37,13,18450,170,201,232,308,333,246,85,7,0,1580,158,301,457,539,715,486,132,15,4,2804
SOSR279,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,42,145,420,264,195,140,24,3,0,1242,0,6,3,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,6,0,3,10,7,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,3,0,0,0,20,0,0,4,3,3,3,0,0,0,12,8,11,15,14,6,4,0,0,0,62,11,50,46,8,11,4,0,0,0,130,0,9,3,6,3,0,0,0,0,23,0,0,3,0,4,0,0,0,0,9,0,0,11,3,3,0,0,0,0,22,0,0,5,0,4,0,0,0,0,13,0,4,30,13,0,9,0,0,0,59,0,6,16,4,0,6,3,0,0,37,3,3,10,9,6,4,0,0,0,36,0,10,26,19,10,13,0,0,0,70,0,12,49,22,29,18,3,0,0,139,0,0,17,4,0,4,3,0,0,28,0,3,19,5,7,5,0,0,0,38
